MaxD2w0t,MeanD2w0t,EmpiricalD2,ReturnMeanIW,InitialReturnMin,StdD2w0t,Weights,MeanIW,TimeElapsed,MinD2w0t,EpisodesSoFar,MinIW,ReturnStepMaxmin,EpRewMean,MaxIW,InitialReturnStd,EpLenMean,StdIW,Bound,InitialBound,J_sample_variance,InitialReturnMax,TimestepsSoFar,InitialReturnMean,Iteration,ReturnStepMax,MeanEntropy,EpThisIter
1.0000288,0.08766037,1.0000135,-83.08867,-97.51883,0.28280848,[-0.367 -0.675 -0.482 -0.252  0.001],0.99984545,222.23382806777954,,1800,0.9900284,99.17371,-120.83816882306053,1.009656,8.370102,43.83,0.0034157485,-1829.6721,-1829.6802,70.3376,-55.280884,81922,-83.10323,18,100.0,1.4202825,100
1.0001284,0.08838365,1.0000619,-82.86656,-98.157104,0.2838598,[-0.367 -0.675 -0.482 -0.252  0.001],0.9986717,233.27192378044128,,1900,0.9788038,99.193985,-121.08564492914347,1.0226355,7.6931067,44.19,0.0076273712,-1834.659,-1834.7129,61.762363,-63.984097,86341,-82.962494,19,100.0,1.4208716,100
1.0001391,0.09474258,1.0000838,-80.47382,-98.74069,0.29285982,[-0.367 -0.675 -0.482 -0.252  0.002],0.9988278,247.52572917938232,,2000,0.9748196,99.0,-120.40295381952123,1.0235912,10.879087,47.37,0.008398783,-1932.7424,-1932.7815,120.61345,-29.348186,91078,-80.551025,20,100.0,1.4212574,100
1.0002565,0.09362574,1.0001271,-81.4642,-97.49623,0.29131067,[-0.366 -0.675 -0.482 -0.252  0.002],0.99720377,259.5476748943329,,2100,0.9660015,99.21352,-121.58254997287649,1.0250328,6.9644356,46.81,0.010918433,-1848.1007,-1848.2019,52.916836,-64.6625,95759,-81.62979,21,100.0,1.4214251,100
1.0004238,0.091846995,1.0002217,-81.19326,-99.054016,0.28881317,[-0.365 -0.674 -0.481 -0.252  0.002],0.99703485,270.79709100723267,,2200,0.9503912,99.14702,-120.51605193766062,1.0331333,8.051984,45.92,0.0143482825,-1838.0933,-1838.2046,67.87781,-54.1975,100351,-81.39916,22,100.0,1.4208989,100
1.0001022,0.09062162,1.0000482,-81.75011,-97.489845,0.28706986,[-0.364 -0.675 -0.481 -0.253  0.002],0.99935436,283.28292441368103,,2300,0.9829684,99.15531,-120.54594003176295,1.0225233,8.146988,45.31,0.0067848577,-1812.0844,-1812.1101,67.9764,-59.655315,104882,-81.79627,23,100.0,1.4209055,100
1.0002282,0.09184408,1.00008,-81.2105,-95.7534,0.28880483,[-0.364 -0.674 -0.481 -0.253  0.002],0.99876904,297.8586006164551,,2400,0.9688858,99.19671,-120.34434383021049,1.0178819,8.232572,45.92,0.009001825,-1822.5364,-1822.5824,69.49408,-59.84304,109474,-81.3005,24,100.0,1.4207875,100
1.0001966,0.09240659,1.0001197,-82.49167,-98.420456,0.28961742,[-0.364 -0.675 -0.481 -0.253  0.002],0.9983141,311.68495869636536,,2500,0.962931,99.2106,-122.36596320153019,1.0220498,7.177806,46.2,0.011195817,-1839.3635,-1839.4323,51.758255,-66.70045,114094,-82.6268,25,100.0,1.4204742,100
1.0002953,0.09176682,1.000181,-81.850235,-98.241,0.28871083,[-0.364 -0.676 -0.481 -0.253  0.002],0.99809307,323.9604036808014,,2600,0.9705714,99.14491,-121.30373239571543,1.0509098,8.09886,45.88,0.013330842,-1817.7892,-1817.871,64.53805,-61.911625,118682,-82.00908,26,100.0,1.4208769,100
1.0005856,0.092168085,1.0003009,-81.91936,-98.83576,0.28926927,[-0.364 -0.676 -0.481 -0.253  0.002],0.99675804,333.50300884246826,,2700,0.95745015,99.12068,-121.65237476744751,1.0549815,8.485218,46.08,0.017287558,-1843.7704,-1843.9174,73.16127,-63.296093,123290,-82.17227,27,100.0,1.4208134,100
1.0001917,0.091943845,1.0000879,-81.48607,-95.247314,0.28895414,[-0.366 -0.676 -0.481 -0.253  0.002],0.9984705,344.9557967185974,,2800,0.9711651,99.16328,-120.7627211377677,1.025658,7.54172,45.97,0.009473943,-1833.282,-1833.3467,58.7373,-56.02743,127887,-81.596306,28,100.0,1.4203497,100
1.0001608,0.092843786,1.0000732,-82.03996,-98.14014,0.29020935,[-0.365 -0.677 -0.481 -0.253  0.001],0.99889857,357.538054227829,,2900,0.9707584,99.15653,-121.92037614499147,1.0246307,8.499502,46.42,0.0078218775,-1800.8978,-1800.9384,74.55173,-58.100796,132529,-82.12011,29,100.0,1.41995,100
