StdD2w0t,Bound,EpThisIter,TimestepsSoFar,EpLenMean,ReturnStepMax,MaxD2w0t,MeanEntropy,TimeElapsed,ReturnStepMaxmin,InitialReturnMin,MinD2w0t,EpisodesSoFar,Weights,InitialReturnMean,Iteration,MaxIW,EntropyCoefficient,InitialReturnMax,MeanD2w0t,StdIW,EpRewMean,MeanIW,EmpiricalD2,J_sample_variance,InitialReturnStd,MinIW,ReturnMeanIW,InitialBound
1.2231596,-20906.025,100,4609,46.09,299.22015,29.074661,1.3724422,11.853395938873291,299.22015,-199.22017,,100,[ 0.579 -0.554  0.227  0.402  0.   ],-196.75623,1,7.276369,10.0,-190.33928,0.28297105,1.0862383,-141.8229098366061,0.80459064,8.841186,286363900.0,2.1648555,0.0031724167,-16321.711,-22265.691
1.2514337,-18598.303,100,8492,38.83,298.77554,56.678474,1.3363925,28.405545234680176,298.77554,-198.77554,,200,[ 0.669 -0.553  0.258  0.492 -0.047],-196.87341,2,18.271946,10.0,-191.69417,0.23376681,1.2154722,-134.98947095692228,0.64257956,11.954737,387627070.0,1.6216887,0.0020785485,-14152.305,-22183.424
0.43840834,-21261.367,100,13376,48.84,299.47665,5.298168,1.3710043,46.776719093322754,299.47665,-199.47665,,300,[ 0.599 -0.579  0.222  0.409 -0.083],-197.19922,3,4.2311053,10.0,-192.1185,0.13507764,0.6342681,-144.92795456467204,0.8898328,1.9040995,106785590.0,1.8508697,0.11725721,-18322.096,-22313.633
1.0693443,-19413.656,100,17390,40.14,299.1477,31.59188,1.3442205,62.26644682884216,299.1477,-199.14772,,400,[ 0.614 -0.529  0.212  0.393 -0.048],-197.07344,4,6.736795,10.0,-192.51135,0.21318197,1.0422106,-136.3230349294176,0.72980475,9.822408,275819260.0,1.4121951,0.0058940696,-15137.015,-22181.762
