InitialReturnMin,StdD2w0t,InitialBound,J_sample_variance,MinD2w0t,InitialReturnMean,EpThisIter,Iteration,EpLenMean,MaxIW,MeanIW,StdIW,EpisodesSoFar,MaxD2w0t,ReturnStepMaxmin,ReturnStepMax,TimeElapsed,InitialReturnMax,Bound,ReturnMeanIW,EpRewMean,MeanEntropy,MeanD2w0t,InitialReturnStd,Weights,TimestepsSoFar,MinIW,EmpiricalD2
-99.28012,2.5758069,-86.73941,3016.5806,,-82.39787,100,1,45.73,11.351782,0.5577053,0.75910515,100,83.42299,99.023315,100.0,9.594248056411743,-56.768597,-65.053055,-51.264954,-121.62483749719935,1.4339355,0.5120971,8.854463,[-0.365 -0.68  -0.484 -0.253  0.   ],4573,0.0046266587,21.602955
-95.19687,1.8439833,-84.07041,2711.752,,-79.575676,100,2,53.0,28.492355,0.62616384,0.80035233,200,95.43564,99.10422,100.0,29.208954334259033,-52.84606,-66.40131,-55.337994,-123.95749803761281,1.4759991,0.30695418,9.027042,[-0.406 -0.708 -0.445 -0.243  0.015],9873,0.03014631,12.160452
-99.03904,2.353589,-77.63004,2217.7002,,-72.55329,100,3,74.28,8.020148,0.67380893,0.74033886,300,83.251205,99.10105,100.0,51.083494424819946,-37.14813,-67.04583,-55.561382,-129.91088584883246,1.4686427,0.5238652,12.555542,[-0.49  -0.678 -0.435 -0.207  0.057],17301,0.010161851,9.153156
-95.37149,1.8492004,-83.36013,1693.2557,,-78.54859,100,4,56.68,9.26334,0.55625314,0.62232697,400,86.74246,99.13405,100.0,68.67700099945068,-55.921547,-62.774612,-50.147064,-124.8862529811716,1.4930786,0.4096584,10.030478,[-0.486 -0.67  -0.458 -0.245  0.05 ],22969,0.026293777,8.787633
-95.58986,0.88196373,-76.220764,1945.8055,,-71.17419,100,5,76.65,25.563684,0.9084417,1.2627244,500,17.376686,99.123764,100.0,92.12633228302002,-46.057205,-69.3367,-61.750984,-129.18504072824746,1.5282414,0.29321304,12.0485,[-0.515 -0.689 -0.422 -0.251  0.074],30634,0.093642145,3.0515234
-95.09131,3.679932,-68.77026,1062.9812,,-63.641518,100,6,99.56,42.39598,0.80239314,1.3961495,600,93.00638,99.0003,100.0,116.9989652633667,-24.080633,-57.310795,-47.853153,-129.43907657934957,1.514754,0.86143446,15.662116,[-0.556 -0.675 -0.41  -0.26   0.109],40590,0.06527929,9.768738
-86.04988,39.00278,-58.667866,722.95996,,-53.413677,100,7,158.47,30.369623,0.8219107,1.265155,700,913.16187,99.0,100.0,150.93481373786926,-13.725618,-48.90818,-40.380905,-132.22344528911393,1.5122786,6.6347136,18.637882,[-0.583 -0.662 -0.379 -0.252  0.096],56437,0.0013278064,49.36703
-78.94743,6.275693,-45.769386,556.52014,,-41.036148,100,8,259.48,83.74028,1.3186933,3.7286527,800,51.21459,99.0,100.0,199.94161009788513,-3.9733126,-41.190624,-35.536396,-119.11366918025008,1.4681054,3.0976398,17.375286,[-0.606 -0.667 -0.354 -0.259  0.093],82385,0.0034151122,12.481826
-75.31189,4.3788,-38.20311,406.1895,,-33.96664,100,9,323.56,18.941359,0.9731875,1.2754939,900,32.00482,99.0,100.0,264.0653066635132,-3.4749868,-35.487988,-30.557318,-106.61219652832712,1.4492122,3.088623,16.439842,[-0.649 -0.644 -0.357 -0.254  0.049],114741,0.0062366654,10.704591
-85.51359,14.646768,-37.035507,287.96378,,-33.110817,100,10,335.41,30.96881,0.7563354,1.4071847,1000,95.709305,99.0,100.0,330.685674905777,-5.422509,-33.266884,-28.215649,-98.76619997511736,1.4111383,8.284686,15.710339,[-0.682 -0.659 -0.355 -0.262  0.03 ],148282,0.00016151922,37.73979
-63.896732,1781.8527,-34.680027,4371.88,,-30.625866,100,11,420.69,158.85861,0.9241995,4.5955324,1100,50304.965,99.0,100.0,407.1854724884033,-8.466939,-25.724499,-17.017141,-102.02437400314217,1.4175454,497.1013,12.112228,[-0.699 -0.656 -0.353 -0.238 -0.008],190351,5.2805102e-05,4415.005
-83.25102,1.6271355,-35.04113,348.10657,,-31.202036,100,12,328.51,19.810205,0.9842224,0.9462871,1200,10.235267,99.0,100.0,471.64031529426575,-4.839143,-33.379494,-29.138098,-96.61214006867338,1.4218525,1.5926708,17.098059,[-0.716 -0.589 -0.353 -0.247 -0.001],223202,0.025026083,4.1283817
-73.6474,36.840893,-36.073868,345.75012,,-32.517895,100,13,360.57,49.222008,0.9218911,2.273196,1300,313.82516,99.0,100.0,542.3359668254852,-5.7146807,-33.457626,-28.587362,-89.48730350683131,1.4521428,19.024723,13.471647,[-0.735 -0.624 -0.355 -0.249  0.003],259259,0.002533944,103.4846
-64.556046,322.1867,-36.011703,779.5651,,-32.15492,100,14,402.61,238.74696,1.1714411,7.0276866,1400,2789.1182,99.0,100.0,622.9035387039185,-6.099099,-32.10181,-25.288322,-97.05738743689467,1.4795797,140.64761,13.1530075,[-0.759 -0.63  -0.34  -0.25   0.033],299520,0.00013137131,1074.9167
-67.814026,34.21657,-36.781685,289.87988,,-32.81348,100,15,275.69,31.016218,0.7355099,1.2425392,1500,410.40314,99.0,100.0,678.7769892215729,-6.126925,-32.354034,-26.682041,-99.86139186904099,1.4374995,12.009076,14.874395,[-0.766 -0.595 -0.349 -0.267  0.061],327089,0.0012427736,70.78358
-58.27565,17.338036,-31.617271,218.4826,,-28.118896,100,16,364.61,16.903906,0.72750455,0.83873564,1600,109.16179,99.0,100.0,749.2259340286255,-1.7614856,-29.973873,-25.415668,-88.0378495770115,1.4599867,10.163423,12.174969,[-0.771 -0.589 -0.323 -0.26   0.019],363550,0.0005761521,46.35083
-69.945404,17.996006,-33.385403,413.41705,,-29.572353,100,17,337.28,11.6153,0.80710596,1.0865711,1700,179.99478,99.0,100.0,816.2803709506989,4.47691,-31.151243,-26.111376,-95.9566015999087,1.4676864,9.33114,14.732139,[-0.786 -0.601 -0.316 -0.283  0.041],397278,0.0034294939,43.573746
-66.096634,62.14364,-31.008537,344.94675,,-27.568727,100,18,368.99,12.67679,0.7240099,0.97348726,1800,674.9505,99.0,100.0,885.7145471572876,2.8468754,-28.673307,-23.608627,-86.56398603774305,1.4834858,29.11931,14.267832,[-0.791 -0.606 -0.293 -0.297  0.049],434177,0.00030769722,160.88618
-67.12493,733.5497,-33.48092,188.76129,,-29.912544,100,19,363.68,144.21536,0.94810283,4.444514,1900,28315.684,99.0,100.0,961.3419680595398,-2.2134378,-28.288975,-22.676653,-89.7993850133592,1.4864343,91.27824,14.6829815,[-0.806 -0.627 -0.281 -0.326  0.065],470545,2.2788277e-05,915.3782
-75.62684,81.71815,-35.911785,225.75487,,-31.899824,100,20,291.35,21.111542,0.7228025,1.0267575,2000,2467.6929,99.0,100.0,1014.6491236686707,5.5093646,-31.397419,-26.32532,-100.96242173473237,1.4862256,12.0911665,17.85624,[-0.795 -0.621 -0.31  -0.33   0.068],499680,0.0008591996,81.75585
-83.04631,10.528944,-35.664474,499.20383,,-32.052742,100,21,276.92,20.852083,0.7874635,1.1195738,2100,83.5133,99.0,100.0,1071.4705030918121,-1.3382124,-32.862427,-28.213156,-90.89053168513921,1.5328692,5.136593,18.385117,[-0.763 -0.661 -0.328 -0.338  0.067],527372,0.011425691,21.940561
-80.94597,91.48532,-33.26265,201.10817,,-29.584743,100,22,344.54,18.936874,0.505884,0.79537123,2200,1158.2716,99.0,100.0,1137.4164011478424,-4.694588,-27.764252,-22.220121,-92.55581145196673,1.5052278,35.880264,15.449415,[-0.748 -0.705 -0.326 -0.349  0.114],561826,0.0002878227,232.96796
-81.13083,62.618134,-33.250324,353.19873,,-29.509714,100,23,292.02,20.229773,0.76986665,1.1217874,2300,1080.3916,99.0,100.0,1194.1796338558197,10.159181,-29.156834,-23.645721,-94.13370710698452,1.5120625,19.997234,17.336174,[-0.736 -0.602 -0.299 -0.314  0.086],591028,0.0009860293,135.73997
-56.490692,38.754192,-28.82244,264.53943,,-25.660732,100,24,344.05,18.609047,0.68489206,1.0215098,2400,883.7936,99.0,100.0,1260.8462319374084,11.338216,-25.667395,-21.307194,-79.56543195488103,1.5139955,14.933625,14.391943,[-0.757 -0.587 -0.272 -0.309  0.093],625433,0.00047700934,79.06003
-64.105896,142.68138,-33.3058,267.6488,,-29.699041,100,25,321.74,18.9662,0.6346441,0.9240743,2500,4821.626,99.0,100.0,1321.0914335250854,8.992873,-29.787516,-24.130634,-90.76543506385121,1.5189706,36.21363,14.241805,[-0.754 -0.577 -0.297 -0.291  0.095],657607,0.00012700974,270.53476
-75.45064,50.654625,-37.848015,343.33887,,-33.646557,100,26,230.61,18.198624,0.55953944,0.867413,2600,925.81036,99.0,100.0,1367.4208688735962,10.368792,-31.035364,-24.490137,-105.73122950729896,1.4663825,11.88881,17.416704,[-0.756 -0.566 -0.323 -0.308  0.1  ],680668,4.238815e-05,85.366
