MeanEntropy,ReturnStepMax,Weights,EmpiricalD2,TimestepsSoFar,StdD2w0t,ReturnStepMaxmin,MeanIW,TimeElapsed,MaxD2w0t,EpisodesSoFar,ReturnMeanIW,MinIW,EpRewMean,InitialBound,InitialReturnMax,Bound,Iteration,MaxIW,MinD2w0t,StdIW,EpThisIter,MeanD2w0t,InitialReturnMean,J_sample_variance,InitialReturnMin,EntropyCoefficient,EpLenMean,InitialReturnStd
1.3642814,100.0,[-0.563 -1.093 -0.809 -1.04   0.   ],116.514206,3540,16.03058,99.00072,0.4406279,7.856362819671631,1848.7578,100,-32.239353,2.376989e-05,-107.5568281044892,-66.56813,-45.291973,-29.105782,1,29.516901,,1.2412995,100,1.4480656,-79.2192,2847.9463,-95.935974,10.0,35.4,12.600159
1.286621,100.0,[-0.598 -1.131 -0.748 -1.019 -0.055],1.8867313,7547,0.39920977,99.0,0.8909403,26.361310720443726,3.0489383,200,-66.850174,0.04990654,-106.35538215603185,-62.93273,-40.19513,-55.9328,2,7.1068964,,0.7927224,100,0.114392735,-75.0219,2953.731,-94.166794,10.0,40.07,13.264916
1.3344353,100.0,[-0.567 -1.139 -0.741 -1.044 -0.132],106.65912,11494,16.594528,99.0,0.67221487,42.511452436447144,1722.3906,300,-53.361843,0.0016139604,-103.77119898089553,-62.588882,-16.986443,-48.45706,3,15.941798,,1.273058,100,1.4770925,-73.928734,9462.893,-94.92651,10.0,39.47,16.69778
1.1889653,100.0,[-0.6   -1.18  -0.704 -1.036 -0.085],148.4845,15824,17.624,99.0,0.3289318,59.017332315444946,821.44366,400,-29.465582,3.971385e-06,-105.98752129365799,-61.044548,-21.208092,-28.444466,4,18.127964,,0.79892766,100,1.9469975,-72.813644,3312.97,-93.93333,10.0,43.3,14.637451
1.2099676,100.0,[-0.57  -1.186 -0.711 -1.113 -0.23 ],14.819119,19559,5.854753,99.00001,0.8069878,75.37653589248657,104.11712,500,-62.78832,0.006560146,-104.59001300018724,-65.635254,-16.492283,-57.66613,5,28.728678,,1.3114601,100,0.9562166,-75.9316,7334.036,-92.802704,10.0,37.35,15.721222
1.1864222,100.0,[-0.597 -1.199 -0.678 -1.161 -0.209],36.501694,23811,11.838978,99.0,0.66582507,92.0229709148407,190.62744,600,-49.886982,0.0003217841,-103.83127638306854,-61.37255,-27.800282,-47.23243,6,24.059538,,1.2466394,100,2.154906,-71.92902,6745.469,-96.05905,10.0,42.52,16.299496
1.1697851,100.0,[-0.613 -1.138 -0.707 -1.075 -0.233],297.85687,27741,54.65705,99.0,0.3663639,110.44718480110168,6333.575,700,-18.31284,0.0004340795,-105.26492045986016,-64.412544,-42.041634,-19.067133,7,59.049934,,1.4295729,100,2.345179,-74.77561,7217.5396,-94.67493,10.0,39.3,14.026616
1.1485436,100.0,[-0.632 -1.169 -0.696 -1.023 -0.249],156.50023,32284,19.441832,99.0,0.55403894,127.53857970237732,1304.8077,800,-43.68825,0.00012301627,-103.79160637491758,-59.795624,-24.821991,-40.98203,8,27.664425,,1.4172304,100,2.3372147,-69.96682,12982.984,-94.87175,10.0,45.43,15.950745
1.1284113,100.0,[-0.649 -1.182 -0.636 -1.005 -0.27 ],102.75209,36838,15.630555,99.0,0.42019808,151.62522387504578,1612.2692,900,-32.189644,0.00059606583,-104.7592616398904,-60.4253,-31.05328,-30.209814,9,9.460404,,0.80328757,100,1.3430856,-70.36984,3291.151,-93.74738,10.0,45.54,15.206111
1.1835954,100.0,[-0.627 -1.155 -0.672 -1.026 -0.291],112.54311,41042,18.33432,99.0,0.56329095,171.04584193229675,1453.6165,1000,-43.212452,0.00062146765,-104.47228271460091,-62.944016,-28.383997,-41.15738,10,9.539578,,1.1665249,100,1.954711,-72.68481,5855.0454,-92.78015,10.0,42.04,15.248061
