Iteration,EpRewMean,EmpiricalD2,MeanD2w0t,ReturnMeanIW,ReturnStepMax,MinIW,InitialBound,TimestepsSoFar,EpThisIter,InitialReturnMin,MeanIW,MeanEntropy,MinD2w0t,MaxIW,J_sample_variance,InitialReturnStd,MaxD2w0t,StdD2w0t,InitialReturnMax,Weights,EpLenMean,EpisodesSoFar,TimeElapsed,Bound,InitialReturnMean,ReturnStepMaxmin,StdIW
1,-107.5568281044892,1.0000473,0.07080236,-79.090866,100.0,0.9703998,-2706.8447,3540,100,-95.935974,0.99831164,1.4185153,,1.021115,159.83435,12.600159,1.0001137,0.2564972,-45.291973,[-0.563 -1.093 -0.809 -1.04   0.   ],35.4,100,5.9817211627960205,-2706.7708,-79.2192,99.00072,0.008047534
2,-106.76316082303646,1.000041,0.07174173,-78.22845,100.0,0.97842264,-2690.2336,7127,100,-93.45618,0.99887073,1.4179903,,1.0137471,190.376,13.731176,1.0001029,0.25806913,-35.924988,[-5.625e-01 -1.094e+00 -8.092e-01 -1.041e+00 -4.154e-04],35.87,200,16.49927806854248,-2690.191,-78.31079,99.0,0.0061148703
3,-105.83534016289619,1.0000465,0.070321426,-77.9449,100.0,0.9863874,-2727.877,10643,100,-95.82822,0.9990586,1.4184195,,1.0224354,220.97784,14.783774,1.0001024,0.25568888,-27.862833,[-5.630e-01 -1.094e+00 -8.096e-01 -1.041e+00 -8.970e-04],35.16,300,26.569074630737305,-2727.839,-78.018875,99.0,0.0055075223
4,-106.43091523891722,1.000052,0.074562795,-77.169174,100.0,0.9812044,-2851.3298,14371,100,-96.051956,0.99780625,1.4179969,,1.0238949,257.2483,15.900515,1.000143,0.26268336,-24.302212,[-5.635e-01 -1.094e+00 -8.095e-01 -1.041e+00 -4.902e-04],37.28,400,37.813732385635376,-2851.2568,-77.31488,99.00003,0.0076309876
5,-106.3751561103338,1.0001568,0.07124359,-78.03257,100.0,0.960759,-2720.8296,17933,100,-95.237366,0.99745,1.4179953,,1.0311251,205.78427,14.248935,1.0003393,0.25723383,-39.244553,[-5.637e-01 -1.094e+00 -8.096e-01 -1.041e+00 -8.547e-04],35.62,500,47.713399171829224,-2720.7373,-78.21219,99.00001,0.0109142205
6,-107.00037048865408,1.0001628,0.071243554,-78.42712,100.0,0.9464209,-2721.2327,21495,100,-95.91195,0.9972778,1.4175452,,1.0315489,186.25629,13.459208,1.0003392,0.25723487,-41.169518,[-5.627e-01 -1.094e+00 -8.093e-01 -1.041e+00 -8.758e-04],35.62,600,58.580262660980225,-2721.134,-78.615295,99.0,0.013624449
7,-108.49712136647634,1.0000196,0.074460894,-78.475426,100.0,0.9837465,-2721.1394,25218,100,-95.85862,0.9993133,1.4170773,,1.0098492,142.25294,11.838479,1.0000405,0.26252577,-44.46672,[-0.562 -1.094 -0.809 -1.042 -0.001],37.23,700,69.31852698326111,-2721.1138,-78.522064,99.00003,0.004339378
8,-107.10800217268347,1.0001197,0.07460428,-77.438385,100.0,0.9755538,-2767.6335,28948,100,-95.57994,0.99747163,1.4179686,,1.0333556,219.712,14.809494,1.0002143,0.2627542,-26.653183,[-0.562 -1.094 -0.809 -1.042 -0.002],37.3,800,79.30886960029602,-2767.5337,-77.638275,99.00001,0.008983882
9,-107.96074933796395,1.0000023,0.07118002,-79.42426,100.0,0.99644303,-2714.6392,32507,100,-94.83094,0.99988204,1.4179617,,1.0036774,178.87491,13.295723,1.0000063,0.2571241,-42.685947,[-5.619e-01 -1.094e+00 -8.089e-01 -1.042e+00 -9.747e-04],35.59,900,89.3770010471344,-2714.6348,-79.4311,99.0,0.0013627547
10,-106.77535538479788,1.0000383,0.06264124,-81.28318,100.0,0.97569925,-2701.2312,35639,100,-95.76032,0.99882984,1.4178628,,1.012373,151.89835,12.263857,1.0001092,0.24232443,-44.030655,[-5.617e-01 -1.094e+00 -8.087e-01 -1.042e+00 -1.026e-03],31.32,1000,97.18275308609009,-2701.188,-81.36592,99.00002,0.006243267
11,-108.0009425156894,1.000033,0.06644097,-81.04051,100.0,0.98642594,-2789.2058,38961,100,-96.01906,0.9993489,1.4176089,,1.0140172,158.61078,12.574514,1.0000576,0.24905875,-35.48436,[-0.561 -1.093 -0.808 -1.041 -0.001],33.22,1100,107.58256220817566,-2789.1777,-81.095894,99.0,0.0053733652
12,-105.6312538261399,1.000066,0.079042435,-74.98444,100.0,0.97985053,-2788.975,42913,100,-95.24405,0.9984751,1.4178784,,1.0204945,262.0939,16.115644,1.0001404,0.26981246,-19.845942,[-0.561 -1.093 -0.808 -1.041 -0.001],39.52,1200,117.85403800010681,-2788.9172,-75.09337,99.000015,0.0064332187
13,-107.18505285656717,1.0000169,0.071980596,-78.68329,100.0,0.98297507,-2873.474,46512,100,-95.07807,0.9994222,1.417941,,1.0122677,180.12486,13.30442,1.0000345,0.2584655,-22.21056,[-0.562 -1.093 -0.808 -1.041 -0.001],35.99,1300,128.021910905838,-2873.4543,-78.71935,99.000114,0.004510838
14,-106.9696998940578,1.0000551,0.066601165,-80.067505,100.0,0.9776477,-2743.9941,49842,100,-96.428894,0.99896014,1.4176247,,1.017689,165.4123,12.775206,1.0001315,0.24932727,-39.752487,[-5.621e-01 -1.093e+00 -8.086e-01 -1.041e+00 -1.078e-03],33.3,1400,137.21539115905762,-2743.9556,-80.14311,99.0,0.006885113
15,-107.97909853773828,1.0000391,0.0720415,-78.970055,100.0,0.98137015,-2690.9648,53444,100,-95.98073,0.99892384,1.4170188,,1.0144969,156.18852,12.390432,1.0000769,0.25855687,-35.740627,[-0.561 -1.093 -0.808 -1.042 -0.001],36.02,1500,147.63655400276184,-2690.9272,-79.04195,99.00001,0.005983986
16,-108.39913359886606,1.0001422,0.064943835,-81.681694,100.0,0.96523666,-2717.1152,56691,100,-97.947365,0.9971209,1.4165457,,1.0273333,151.20944,12.285821,1.0002863,0.24642697,-45.205368,[-0.561 -1.093 -0.808 -1.042 -0.002],32.47,1600,157.7009139060974,-2717.0017,-81.90711,99.00002,0.011961181
17,-108.00344682406694,1.0000461,0.07262146,-78.83827,100.0,0.9796499,-2792.8098,60322,100,-96.66953,0.9987111,1.4160386,,1.017461,181.7958,13.364246,1.0001137,0.2595242,-36.42874,[-0.562 -1.094 -0.809 -1.042 -0.002],36.31,1700,167.34076976776123,-2792.7627,-78.92804,99.00013,0.006441819
18,-107.0479354197047,1.0000546,0.076162905,-76.86963,100.0,0.9710728,-2773.1758,64130,100,-94.7512,0.997926,1.4155692,,1.0187389,202.99876,14.122929,1.000127,0.26526076,-23.157522,[-0.561 -1.094 -0.809 -1.042 -0.003],38.08,1800,176.9919810295105,-2773.1074,-77.0058,99.00013,0.0071713626
19,-107.37176092776872,1.0001074,0.06668255,-80.2772,100.0,0.95997953,-2684.2073,67464,100,-95.51536,0.9981891,1.4151505,,1.021627,168.38086,12.899762,1.000239,0.24947894,-41.211456,[-0.561 -1.094 -0.809 -1.042 -0.003],33.34,1900,187.0262644290924,-2684.136,-80.414215,99.00004,0.010065457
20,-106.50852680492301,1.0000037,0.07116008,-78.33655,100.0,0.99376076,-2742.1985,71022,100,-95.15989,0.99986845,1.4153836,,1.00547,196.20456,13.947726,1.000009,0.25709575,-35.85393,[-0.56  -1.094 -0.808 -1.043 -0.004],35.58,2000,197.85308289527893,-2742.1924,-78.34749,99.0,0.0018975901
21,-107.88918487652353,1.0000473,0.07438127,-78.06577,100.0,0.9823602,-2792.013,74741,100,-95.121284,0.99892604,1.4153849,,1.0158095,168.58182,12.850673,1.0000731,0.2623895,-33.940994,[-0.56  -1.094 -0.808 -1.043 -0.004],37.19,2100,206.0395839214325,-2791.9785,-78.131035,99.000015,0.006784709
22,-106.7691473259705,1.0000349,0.0698616,-78.78987,100.0,0.9762483,-2682.6582,78234,100,-96.71844,0.998988,1.4151254,,1.0175179,191.81921,13.809093,1.0000819,0.25492013,-33.65536,[-0.56  -1.094 -0.808 -1.043 -0.004],34.93,2200,215.5103919506073,-2682.619,-78.86517,99.0,0.0064113033
23,-106.6232681335643,1.0000018,0.07454001,-77.648445,100.0,0.9944973,-2907.7217,81961,100,-94.4681,0.99990404,1.415124,,1.002992,264.87128,16.179598,1.0000052,0.2626447,-14.176577,[-0.56  -1.095 -0.808 -1.043 -0.004],37.27,2300,226.0653760433197,-2907.7183,-77.653534,99.0,0.0012518689
24,-107.94933942962396,1.0000503,0.06870209,-80.01605,100.0,0.97833586,-2737.066,85396,100,-95.382095,0.9982964,1.4160099,,1.0171349,153.83008,12.283966,1.0001131,0.2529554,-43.24988,[-0.56  -1.095 -0.808 -1.043 -0.004],34.35,2400,234.86480116844177,-2737.007,-80.1312,99.0,0.006980064
25,-106.45865481332504,1.0000762,0.0765834,-76.1639,100.0,0.9681615,-2740.181,89225,100,-95.38319,0.9976968,1.4153799,,1.0162811,192.95691,13.821085,1.000221,0.26592875,-43.198536,[-0.56  -1.095 -0.808 -1.044 -0.003],38.29,2500,245.49710083007812,-2740.0945,-76.32976,99.0,0.0074424525
26,-105.29541884756516,1.000037,0.07298201,-77.11186,100.0,0.97575593,-2796.723,92874,100,-96.11014,0.9990808,1.415131,,1.0124843,295.21515,17.152859,1.000108,0.2601208,-16.18494,[-0.559 -1.095 -0.808 -1.044 -0.004],36.49,2600,256.9983694553375,-2796.6802,-77.19663,99.0,0.0056077214
27,-106.51396725499151,1.0000529,0.071901776,-78.01685,100.0,0.9803314,-2748.7383,96469,100,-95.355774,0.99846435,1.4150164,,1.014974,193.07549,13.7914295,1.0001588,0.2583216,-38.49211,[-0.559 -1.095 -0.808 -1.044 -0.004],35.95,2700,266.56210589408875,-2748.6702,-78.126915,99.0,0.0063960836
28,-107.24009177035265,1.0000852,0.060343146,-82.2014,100.0,0.96831715,-2710.0332,99486,100,-95.51001,0.99722546,1.4140399,,1.0287187,130.51811,11.290548,1.0001918,0.23812614,-41.767418,[-0.559 -1.095 -0.808 -1.044 -0.004],30.17,2800,276.16455483436584,-2709.9243,-82.40768,99.0,0.009776302
29,-107.64632956416466,1.000051,0.06996254,-79.46174,100.0,0.9774486,-2729.4375,102984,100,-97.041214,0.9985507,1.413955,,1.0189402,163.98904,12.75968,1.0001034,0.25508317,-42.66093,[-0.559 -1.095 -0.808 -1.043 -0.005],34.98,2900,287.2262020111084,-2729.3757,-79.57935,99.0,0.0075824023
30,-107.98879929679127,1.000078,0.07066177,-79.718575,100.0,0.97782445,-2775.991,106517,100,-96.07955,0.99884236,1.414062,,1.0350376,174.36188,13.212583,1.0001364,0.25626794,-38.134052,[-0.558 -1.095 -0.808 -1.043 -0.005],35.33,3000,298.6217577457428,-2775.9348,-79.8211,99.00012,0.008741443
31,-107.57893673964998,1.0000334,0.068821386,-79.87729,100.0,0.980525,-2763.629,109958,100,-96.71635,0.99888813,1.414063,,1.0145929,185.96503,13.478609,1.0000914,0.25314686,-38.08019,[-0.559 -1.095 -0.808 -1.043 -0.005],34.41,3100,308.9032766819,-2763.5918,-79.94904,99.00005,0.0057921056
32,-107.38937988594587,1.0001291,0.07484529,-77.55031,100.0,0.96349484,-2712.9854,113700,100,-94.860954,0.9970718,1.413611,,1.0275642,198.05444,14.11511,1.0002526,0.26316065,-43.792915,[-0.559 -1.096 -0.808 -1.043 -0.005],37.42,3200,319.38035893440247,-2712.8718,-77.77744,99.00001,0.011481569
33,-106.51881327286941,1.0000478,0.0761616,-76.79038,100.0,0.978879,-2883.034,117508,100,-97.00197,0.99905515,1.4131142,,1.0225563,243.00406,15.562332,1.0000978,0.26525638,-17.833374,[-0.559 -1.095 -0.807 -1.043 -0.005],38.08,3300,329.8330545425415,-2882.992,-76.87418,99.0,0.006947295
34,-106.29246696738751,1.0000564,0.07022199,-78.476944,100.0,0.9722114,-2819.478,121019,100,-95.92423,0.99841154,1.4127235,,1.0171335,216.4635,14.611529,1.0001247,0.2555324,-30.704197,[-0.559 -1.095 -0.807 -1.043 -0.006],35.11,3400,339.26356983184814,-2819.4216,-78.59001,99.00001,0.007938087
35,-106.67298322733558,1.000065,0.07078165,-78.32912,100.0,0.9782742,-2762.0952,124558,100,-95.80012,0.998827,1.4129784,,1.0154151,170.68748,12.961417,1.0001116,0.256457,-38.032913,[-0.559 -1.096 -0.807 -1.042 -0.006],35.39,3500,347.91675209999084,-2762.0513,-78.41533,99.00001,0.0066744885
36,-107.98673391636343,1.0001153,0.06878282,-79.89757,100.0,0.96378356,-2743.8967,127997,100,-96.210464,0.99793124,1.4127195,,1.0204495,147.96634,12.053194,1.0001646,0.25308856,-29.554096,[-0.559 -1.095 -0.807 -1.043 -0.006],34.39,3600,355.38760900497437,-2743.819,-80.04573,99.00426,0.0108636245
37,-106.390856083138,1.0000927,0.07222272,-77.874985,100.0,0.9687628,-2768.0562,131608,100,-96.02442,0.9973628,1.4121311,,1.0200161,217.98552,14.614774,1.0002164,0.25886506,-33.91205,[-0.558 -1.096 -0.808 -1.043 -0.006],36.11,3700,364.313756942749,-2767.9387,-78.06085,99.0,0.0101024695
38,-106.45066059140773,1.0000244,0.07556099,-76.54243,100.0,0.9825294,-2733.529,135386,100,-95.453,0.9991595,1.4116786,,1.0089916,208.50955,14.341321,1.0000463,0.26429254,-26.8899,[-0.557 -1.096 -0.807 -1.044 -0.007],37.78,3800,374.99389147758484,-2733.5007,-76.59413,99.0,0.005094134
39,-107.50756873285103,1.0000552,0.07134155,-78.815636,100.0,0.97427976,-2721.5305,138953,100,-94.80826,0.99858814,1.4120227,,1.0203415,171.46506,12.923798,1.0001581,0.25740576,-42.275455,[-0.557 -1.096 -0.807 -1.044 -0.007],35.67,3900,384.69465470314026,-2721.472,-78.91306,99.0,0.0076666903
40,-106.79768877381015,1.0000389,0.07646083,-76.672356,100.0,0.9834897,-2822.6526,142776,100,-94.23017,0.9993674,1.4120172,,1.0130217,199.66951,14.039091,1.00006,0.2657443,-27.855625,[-0.556 -1.095 -0.807 -1.044 -0.007],38.23,4000,395.81865406036377,-2822.6313,-76.7139,99.0,0.005653007
41,-106.67083803605613,1.0000987,0.06972274,-78.523766,100.0,0.9710554,-2656.8738,146262,100,-93.83982,0.9980979,1.4120185,,1.0296271,159.30524,12.473587,1.0001386,0.2546819,-37.4837,[-0.556 -1.095 -0.807 -1.044 -0.007],34.86,4100,405.1833221912384,-2656.8103,-78.64642,99.00001,0.010299459
42,-107.52991134643064,1.0000758,0.072122805,-78.52731,100.0,0.9715177,-2656.8792,149868,100,-95.917946,0.9984006,1.4111558,,1.0286937,149.2369,12.17744,1.0001422,0.25868857,-51.057056,[-0.556 -1.095 -0.807 -1.044 -0.007],36.06,4200,415.4648189544678,-2656.815,-78.65185,99.00011,0.009652642
43,-108.0321652279798,1.000019,0.068720646,-80.39373,100.0,0.98290557,-2816.1611,153304,100,-95.92538,0.99947625,1.4110463,,1.0121669,164.50218,12.762324,1.0000509,0.2529802,-34.602467,[-0.556 -1.095 -0.807 -1.044 -0.008],34.36,4300,424.8224482536316,-2816.1372,-80.43698,99.00001,0.0045461445
44,-107.56584356053199,1.0001699,0.06932457,-79.425064,100.0,0.9441439,-2763.3499,156770,100,-95.46138,0.99644,1.4101843,,1.0362101,160.18875,12.434001,1.0002999,0.25400442,-41.71947,[-0.555 -1.095 -0.807 -1.044 -0.008],34.66,4400,434.6729221343994,-2763.2239,-79.670006,99.0,0.012567421
45,-106.36805295198664,1.000066,0.07272311,-77.60334,100.0,0.9775695,-2823.708,160406,100,-95.873055,0.9979267,1.4111273,,1.0277861,212.18979,14.54154,1.0001549,0.2596832,-28.908329,[-0.556 -1.095 -0.807 -1.044 -0.009],36.36,4500,446.2577528953552,-2823.6248,-77.769264,99.00005,0.008065829
46,-107.6079761545197,1.00006,0.06786176,-79.90781,100.0,0.9813181,-2763.6846,163799,100,-95.59839,0.99872804,1.4115849,,1.0168115,128.23097,11.258412,1.0001042,0.25151658,-37.477795,[-0.556 -1.096 -0.807 -1.044 -0.008],33.93,4600,455.98901319503784,-2763.6353,-80.00465,99.000114,0.0073662354
47,-107.47849877944687,1.0001194,0.07010407,-79.01328,100.0,0.96829575,-2666.1733,167304,100,-96.281624,0.99710643,1.4124545,,1.0313046,172.0299,12.97006,1.000255,0.2553283,-43.967308,[-0.556 -1.095 -0.807 -1.044 -0.007],35.05,4700,465.4279341697693,-2666.0618,-79.222946,99.00001,0.010357375
48,-106.3864084973573,1.0000412,0.06806126,-79.194885,100.0,0.97479486,-2736.2244,170707,100,-95.230064,0.9985801,1.4126555,,1.0176471,196.87605,13.899676,1.0001307,0.25186142,-28.995373,[-0.556 -1.096 -0.807 -1.044 -0.007],34.03,4800,475.7166905403137,-2736.165,-79.28948,99.0,0.0060539097
49,-106.93463636710634,1.0000621,0.075822234,-76.829636,100.0,0.9749817,-2688.8574,174498,100,-94.77461,0.9983273,1.412217,,1.0174857,198.93536,13.991741,1.0001324,0.26471218,-36.58205,[-0.555 -1.096 -0.807 -1.044 -0.006],37.91,4900,486.481897354126,-2688.8022,-76.93457,99.000015,0.0074610296
50,-107.01593794697948,1.0000181,0.073320754,-77.64421,100.0,0.9912731,-2681.4714,178164,100,-96.82676,0.99959826,1.4122161,,1.0158052,176.93637,13.252666,1.0000511,0.26065877,-42.914005,[-0.556 -1.097 -0.807 -1.045 -0.007],36.66,5000,497.02496457099915,-2681.454,-77.67854,99.00005,0.0035701657
51,-106.05789962904304,1.0000384,0.07180132,-77.55198,100.0,0.9808714,-2773.8176,181754,100,-96.09117,0.99887186,1.4120243,,1.0209806,224.33757,14.949305,1.0001159,0.25816438,-18.45156,[-0.556 -1.097 -0.808 -1.044 -0.007],35.9,5100,505.9800055027008,-2773.7617,-77.64773,99.0,0.0065953443
52,-108.15305656847715,1.000175,0.069646746,-79.59586,100.0,0.9710088,-2729.7795,185236,100,-95.533424,0.9956136,1.4129995,,1.034459,170.90353,13.012632,1.0003903,0.25456676,-26.41914,[-0.555 -1.097 -0.807 -1.045 -0.007],34.82,5200,516.6196846961975,-2729.6157,-79.92132,99.00003,0.011507945
53,-107.40042622401535,1.0002847,0.07618681,-76.93547,100.0,0.9568642,-2741.0964,189045,100,-94.780426,0.99549794,1.4130929,,1.0404217,197.64987,13.994356,1.000517,0.26530275,-24.62544,[-0.556 -1.098 -0.808 -1.045 -0.006],38.09,5300,527.8697597980499,-2740.9407,-77.24532,99.0,0.014578245
54,-106.77221413857752,1.0000488,0.06682211,-79.99676,100.0,0.97560006,-2750.7334,192386,100,-96.90531,0.9984962,1.4129741,,1.0195836,184.80052,13.549887,1.0001372,0.24971415,-34.005463,[-0.555 -1.097 -0.808 -1.045 -0.006],33.41,5400,538.2836289405823,-2750.67,-80.12209,99.00001,0.0068376022
55,-108.54158003903343,1.0000188,0.07058068,-79.79539,100.0,0.98790485,-2715.0442,195915,100,-95.720406,0.9993694,1.4124559,,1.0079608,124.35395,11.060219,1.0000402,0.25611603,-46.861153,[-0.555 -1.098 -0.808 -1.045 -0.006],35.29,5500,548.9347245693207,-2715.0225,-79.836205,99.0002,0.0041619767
56,-107.31260184630356,1.000028,0.07134102,-78.76575,100.0,0.982499,-2803.8662,199482,100,-94.878136,0.99924284,1.4121324,,1.014955,159.63795,12.569893,1.0000559,0.25740463,-24.9234,[-0.555 -1.098 -0.808 -1.045 -0.007],35.67,5600,559.3350560665131,-2803.8394,-78.82034,99.00004,0.005187159
57,-106.52291954792,1.0001323,0.07128305,-77.93758,100.0,0.9465493,-2808.5718,203046,100,-95.63097,0.9973728,1.4125345,,1.0455707,211.52432,14.396834,1.0002947,0.25731298,-12.018378,[-0.555 -1.098 -0.808 -1.046 -0.007],35.64,5700,568.5174789428711,-2808.4724,-78.12752,99.0,0.01205161
58,-108.45584731086652,1.0000739,0.07496214,-78.20908,100.0,0.9726867,-2728.169,206794,100,-95.86353,0.99882305,1.4120185,,1.0192088,143.40866,11.994534,1.0001308,0.26333037,-42.83643,[-0.556 -1.099 -0.809 -1.046 -0.006],37.48,5800,577.4570751190186,-2728.118,-78.31069,99.00001,0.008937432
59,-107.6177750349918,1.0000194,0.063480824,-81.759865,100.0,0.98705566,-2668.76,209968,100,-97.029945,0.99945235,1.4120173,,1.0117865,134.30339,11.559457,1.0000585,0.24382515,-50.00045,[-0.556 -1.099 -0.808 -1.045 -0.007],31.74,5900,585.728684425354,-2668.7344,-81.80958,99.0,0.0042226203
60,-107.21286715597833,1.0000168,0.07286054,-78.212524,100.0,0.9865658,-2792.1301,213611,100,-96.50368,0.9996725,1.4115795,,1.0120192,179.4499,13.3747,1.000034,0.25991112,-33.339928,[-0.556 -1.099 -0.809 -1.046 -0.007],36.43,6000,595.9413270950317,-2792.1108,-78.24819,99.0,0.0039900364
61,-106.40595356761806,1.0002948,0.07182628,-77.57788,100.0,0.96006685,-2833.6353,217202,100,-94.61213,0.99567986,1.4111111,,1.0299499,205.22986,14.433914,1.0005155,0.2582098,-19.881636,[-0.556 -1.099 -0.809 -1.046 -0.007],35.91,6100,605.7251029014587,-2833.4646,-77.92349,99.0,0.013093353
