MaxIW,EmpiricalD2,Iteration,MeanD2w0t,InitialReturnMax,TimestepsSoFar,EntropyCoefficient,MaxD2w0t,TimeElapsed,MinIW,ReturnStepMaxmin,J_sample_variance,MeanIW,EpisodesSoFar,InitialReturnMean,EpThisIter,Weights,InitialReturnStd,InitialBound,StdIW,EpLenMean,MeanEntropy,Bound,InitialReturnMin,MinD2w0t,ReturnStepMax,StdD2w0t,EpRewMean,ReturnMeanIW
8.774623,14.283273,1,0.32279477,-46.38131,3509,10.0,71.235634,7.788115501403809,0.00022792202,99.00009,6270.6875,0.51363105,100,-79.87676,100,[-0.822 -0.493 -0.474 -0.749  0.   ],10.794411,-69.41905,0.944394,35.09,1.3099598,-42.433716,-96.24779,,100.0,1.8708348,-108.1894935537418,-45.06486
11.2940235,11.077485,2,0.21229094,-56.005577,6501,10.0,88.90377,25.35629105567932,0.002886866,99.00033,8724.014,0.74899405,200,-83.581795,100,[-0.822 -0.466 -0.52  -0.758 -0.109],9.7991495,-74.07938,1.085243,29.92,1.3554672,-61.2518,-96.48439,,100.0,1.4649622,-108.36746248697881,-66.95221
13.906063,20.043423,3,0.33906633,-27.06887,9686,10.0,338.7331,38.188692808151245,1.5512773e-05,99.0,2348.7249,0.47058734,300,-81.04198,100,[-0.775 -0.455 -0.511 -0.812 -0.063],13.857257,-71.35566,0.6828192,31.85,1.239227,-42.336334,-96.93767,,100.0,3.2323523,-106.68272948941112,-39.5887
7.884281,26.036121,4,0.6044093,-46.462116,12785,10.0,214.36702,54.354820251464844,4.700719e-05,99.0,4219.512,0.48189253,400,-82.08866,100,[-0.814 -0.485 -0.489 -0.785 -0.18 ],10.582891,-73.250435,0.8213279,30.99,1.1401346,-45.91089,-93.94437,,100.0,4.3118787,-107.54773607424715,-43.38658
9.342675,41.37773,5,0.48424128,-37.94007,15778,10.0,255.34326,68.4226930141449,0.0020764493,99.000084,3874.4185,0.5539462,500,-82.914665,100,[-0.82  -0.494 -0.568 -0.777 -0.279],11.93368,-75.14763,0.7854373,29.93,1.1684501,-49.34939,-96.36964,,100.0,3.9575768,-107.67832674656742,-48.40043
13.272052,54.034977,6,0.44857684,-36.91798,18562,10.0,222.32166,82.54550552368164,0.0033002517,99.00006,9786.2705,0.56043786,600,-84.335205,100,[-0.834 -0.463 -0.61  -0.796 -0.251],12.7094145,-76.31562,1.2072238,27.84,1.2171538,-49.70833,-95.66906,,100.0,4.263157,-107.36440919157069,-49.34746
14.135115,26.125883,7,0.39751786,-36.781498,21774,10.0,128.17517,97.32768940925598,0.011958506,99.0002,2948.2747,0.5221151,700,-81.727646,100,[-0.871 -0.527 -0.593 -0.807 -0.202],11.408886,-73.2726,0.8099108,32.12,1.2997816,-41.87493,-96.785,,100.0,2.643673,-108.1119370305653,-43.522186
25.972359,27.941422,8,0.5802256,-30.852324,25257,10.0,210.21016,113.36957025527954,0.00064320955,99.00001,7877.137,0.69261515,800,-79.6467,100,[-0.875 -0.578 -0.576 -0.807 -0.119],13.417344,-70.40049,1.138514,34.83,1.2882025,-57.501465,-95.72864,,100.0,4.3749733,-107.72584190808948,-57.801617
21.191887,61.79373,9,0.7112575,-45.245247,28435,10.0,376.7355,128.01168990135193,0.0012936093,99.00001,3988.5332,0.5135119,900,-82.79306,100,[-0.856 -0.511 -0.602 -0.787 -0.131],11.238751,-73.551155,0.95859,31.78,1.276273,-44.705288,-96.154686,,100.0,6.0346565,-109.18620143034057,-42.017147
6.326501,20.275389,10,0.3638671,-45.26195,31903,10.0,798.5552,145.8533844947815,0.016927522,99.00005,2620.6968,0.68427956,1000,-80.312996,100,[-0.863 -0.568 -0.562 -0.782 -0.143],11.178916,-71.204895,0.63434255,34.68,1.29138,-54.015118,-95.17803,,100.0,6.2536273,-108.71318389873448,-58.252483
8.164958,5.400873,11,0.1946625,-24.879427,35437,10.0,36.77965,160.9664990901947,0.0019869942,99.0,5350.0366,0.77255255,1100,-79.245544,100,[-0.723 -0.558 -0.506 -0.825 -0.128],13.092325,-70.310844,0.94884443,35.34,1.2607441,-61.74394,-94.4373,,100.0,1.0017103,-107.41397265242092,-65.428276
6.308437,8.1727915,12,0.28298768,-46.352642,38975,10.0,51.830486,176.43512082099915,0.02550907,99.00014,1861.7682,0.6650669,1200,-79.384056,100,[-0.696 -0.572 -0.495 -0.782 -0.158],11.867532,-70.46559,0.5763122,35.38,1.3379822,-51.398575,-94.51502,,100.0,1.7013417,-108.06919660784344,-54.859776
10.13571,33.86934,13,0.43940204,-42.055435,42373,10.0,123.883446,191.83489656448364,0.0009305512,99.0,7509.268,0.44924226,1300,-79.96417,100,[-0.7   -0.609 -0.505 -0.837 -0.081],12.250831,-70.359924,1.0327556,33.98,1.3021252,-38.6443,-94.428925,,100.0,3.1768155,-107.45594085138872,-38.857006
9.312402,47.37451,14,0.57484585,-32.051407,46167,10.0,218.8446,208.75160551071167,0.0013964626,99.00004,2673.6338,0.47876772,1400,-77.1913,100,[-0.707 -0.636 -0.471 -0.793 -0.117],12.413179,-68.08324,0.75806177,37.94,1.2997048,-38.869873,-94.609505,,100.0,4.458851,-107.2803860910216,-37.603085
12.7047205,7.746931,15,0.29957324,-1.3789692,50532,10.0,114.57018,222.39882922172546,0.008797406,99.0,2003.473,0.6404696,1500,-72.41072,100,[-0.721 -0.662 -0.436 -0.756 -0.119],14.861652,-63.348145,0.6086616,43.65,1.2576869,-45.863724,-93.61835,,100.0,1.9071847,-105.58542252764799,-49.35308
15.461857,25.541607,16,0.605389,-19.907345,54766,10.0,127.50931,238.75957131385803,0.007952507,99.0,1635.2423,0.46360517,1600,-72.99626,100,[-0.641 -0.648 -0.385 -0.797 -0.161],14.654918,-64.31684,0.63882196,42.34,1.2725571,-34.639637,-95.6232,,100.0,3.8627858,-105.0494177210267,-34.643402
4.0361686,4.0868564,17,0.24289851,-25.343798,59277,10.0,42.82849,256.4278416633606,0.07170204,99.00001,1294.6321,0.72371435,1700,-71.098724,100,[-0.656 -0.67  -0.34  -0.788 -0.146],15.637608,-62.301613,0.52644706,45.11,1.3456794,-48.67775,-92.90627,,100.0,1.1695008,-104.22655503259892,-53.34082
11.416477,13.259008,18,0.5822527,-38.686634,63812,10.0,105.76192,276.282014131546,0.0074894535,99.0,3250.3962,0.7617615,1800,-71.24029,100,[-0.715 -0.69  -0.351 -0.806 -0.073],12.599546,-61.54242,0.93890136,45.35,1.379442,-51.74138,-92.85104,,100.0,3.7425704,-105.30301336181122,-54.41299
26.635838,15.688485,19,0.5370788,-39.53903,68710,10.0,68.16947,291.4914710521698,0.0059232865,99.0,1895.5266,0.6647227,1900,-67.88397,100,[-0.698 -0.693 -0.285 -0.811 -0.039],12.635718,-57.86058,0.81307966,48.98,1.4433804,-43.26147,-90.411804,,100.0,2.4802537,-103.5826878440027,-47.20302
5.4399333,9.955865,20,0.31328163,-30.840248,73181,10.0,60.356945,307.39439582824707,0.029940106,99.0,2486.371,0.6332637,2000,-70.67947,100,[-0.691 -0.713 -0.288 -0.875  0.024],12.4430065,-60.114742,0.66860986,44.71,1.5165805,-43.29036,-90.2711,,100.0,1.4725845,-104.12976969834318,-48.552925
11.688103,14.03933,21,0.70781755,-27.496956,78148,10.0,58.608986,324.75563502311707,0.0014963557,99.0,1414.6427,0.4933836,2100,-66.30039,100,[-0.669 -0.697 -0.289 -0.911  0.098],13.17806,-54.92803,0.7449017,49.67,1.4433527,-33.041527,-92.34461,,100.0,3.5453308,-102.4019108063077,-34.61366
15.733071,16.457445,22,0.5742976,-41.181763,83024,10.0,98.752106,344.2025525569916,0.001245733,99.00001,3281.8892,0.5244021,2200,-69.00608,100,[-0.638 -0.616 -0.279 -0.816  0.024],12.759888,-58.509506,0.7643365,48.76,1.3978902,-39.765594,-92.356964,,100.0,2.9085102,-104.82343328665208,-41.625416
20.614088,48.406113,23,0.62049794,-23.403896,87291,10.0,216.9537,363.8511571884155,0.0054289,99.0,3895.2124,0.5863308,2300,-73.12269,100,[-0.667 -0.546 -0.318 -0.792 -0.021],14.038268,-62.923702,0.96093845,42.67,1.4140905,-41.7155,-92.23769,,100.0,4.6291256,-105.38799771706974,-42.912415
11.563488,25.583328,24,0.72008455,-45.903324,92084,10.0,106.14802,382.72288179397583,5.6825138e-05,99.0,3162.7104,0.41888544,2400,-70.95777,100,[-0.742 -0.582 -0.302 -0.766 -0.005],11.342306,-60.725876,0.7859739,47.93,1.2944273,-36.438263,-89.78771,,100.0,3.9434824,-106.76713460404868,-35.327946
14.306922,6.6726766,25,0.3679179,-30.614626,96671,10.0,67.43017,403.41235876083374,0.0010833762,99.0,2151.5261,0.75794643,2500,-70.75755,100,[-0.76  -0.541 -0.33  -0.782 -0.125],14.639263,-61.5987,0.7660105,45.87,1.2489258,-52.036133,-92.862045,,100.0,2.107485,-104.61284313048093,-54.905365
14.757599,29.708652,26,0.67598844,-33.89825,101091,10.0,128.95613,420.9952030181885,0.00039096933,99.0,4084.9343,0.6226176,2600,-71.32241,100,[-0.768 -0.529 -0.296 -0.815 -0.17 ],15.18341,-62.612595,1.0140489,44.2,1.2300111,-46.01182,-94.123116,,100.0,3.865382,-103.81382738772778,-45.893448
17.197968,12.292765,27,0.42985296,-30.964226,105912,10.0,142.65881,437.5941336154938,0.008211956,99.0,3300.923,0.6958536,2700,-68.78068,100,[-0.779 -0.53  -0.267 -0.764 -0.189],14.893683,-60.416275,0.8809579,48.21,1.2455813,-49.102043,-94.18633,,100.0,2.2095304,-103.64803007622523,-50.539387
5.472229,6.5771084,28,0.37831673,-23.668898,110157,10.0,97.88279,455.8358597755432,0.0018957137,99.0,2008.9429,0.69040704,2800,-71.57587,100,[-0.779 -0.498 -0.297 -0.767 -0.173],15.6450405,-62.817123,0.6324887,42.45,1.227513,-48.922653,-93.522736,,100.0,3.2963812,-103.07822227636657,-52.28206
8.371812,15.917371,29,0.4169111,-45.927536,114636,10.0,75.324684,475.29084062576294,0.0002869506,99.000046,5779.9224,0.6319823,2900,-71.69856,100,[-0.871 -0.534 -0.345 -0.796 -0.191],12.506158,-63.257347,1.1426846,44.79,1.1698109,-46.918583,-93.83155,,100.0,2.2305005,-105.51876089709081,-47.99761
4.7584653,2.6185894,30,0.16123171,-33.529877,119044,10.0,18.622993,492.35424160957336,0.01745833,99.0,1950.8054,0.6184086,3000,-71.21241,100,[-0.874 -0.55  -0.325 -0.761 -0.249],13.595588,-63.444904,0.58147347,44.08,1.0903596,-42.814995,-94.31903,,100.0,0.6288487,-104.28323073303415,-46.827114
5.742723,3.9837775,31,0.16518208,-35.6501,123116,10.0,48.204887,510.34604144096375,0.030879285,99.0,2022.6122,0.744613,3100,-73.69346,100,[-0.843 -0.513 -0.309 -0.742 -0.329],12.099685,-66.72568,0.70950574,40.72,1.0766317,-51.84006,-93.94507,,100.0,0.82279974,-104.92290582661136,-54.57098
8.253932,17.49578,32,0.51929367,-10.381928,127667,10.0,85.14652,526.447906255722,0.0029541948,99.0,1572.5248,0.57219857,3200,-69.102806,100,[-0.878 -0.493 -0.279 -0.721 -0.342],14.800094,-62.16524,0.78482324,45.51,1.0737675,-38.10303,-93.45152,,100.0,2.6273818,-102.6056946367614,-37.12276
