MeanEntropy,InitialReturnMin,MeanD2w0t,EpisodesSoFar,ReturnMeanIW,Bound,MaxIW,Iteration,MeanIW,TimeElapsed,InitialReturnStd,J_sample_variance,InitialBound,InitialReturnMax,MinD2w0t,ReturnStepMaxmin,EpThisIter,StdIW,TimestepsSoFar,MinIW,MaxD2w0t,ReturnStepMax,InitialReturnMean,EpLenMean,Weights,StdD2w0t,EmpiricalD2,EpRewMean
1.4209886,-2.4639435,0.09225753,100,209.02142,-117.4657,1.1336548,1,1.0026703,6.136096239089966,2.1648557,42.134514,-117.76547,6.4169464,,93.845825,100,0.040174074,4609,0.91256315,1.004323,100.0,-3.8146973e-07,46.09,[ 0.579 -0.554  0.227  0.402  0.   ],0.28952602,1.0015494,-141.8229098366061
1.4248102,-2.0414505,0.09592803,200,212.34093,-116.9247,1.8092469,2,1.0484922,19.47537326812744,1.6825655,756.56085,-121.402145,6.890991,,93.91765,100,0.17002803,9324,0.58135957,1.0827285,100.0,8.239746e-06,47.15,[ 0.577 -0.55   0.227  0.4    0.002],0.29733637,1.0422356,-143.39144175530672
1.4178771,-2.0696793,0.09106415,300,234.86388,-92.001785,2.60742,3,1.0921291,30.786372900009155,1.6586242,4790.9937,-99.04361,7.324608,,93.59749,100,0.42016318,13709,0.37864608,1.2053854,100.0,1.5258789e-07,43.85,[ 0.583 -0.54   0.228  0.389  0.006],0.29394692,1.1434133,-140.3750619875491
1.4165616,-2.3768768,0.09280865,400,214.10359,-110.106155,1.5669931,4,1.0268953,43.41705131530762,1.8466315,872.64795,-112.54649,5.092415,,93.819046,100,0.18176806,18298,0.6518653,1.0578715,100.0,1.5258789e-07,45.89,[ 0.568 -0.562  0.229  0.383 -0.001],0.2919652,1.0397166,-141.82197626447757
1.4189187,-2.2580948,0.08357617,500,232.25008,-91.53038,1.3876181,5,1.0052506,54.18417763710022,1.695098,264.22455,-92.38321,5.391243,,93.38991,100,0.083494,22466,0.8569979,1.0118268,100.0,3.5095215e-06,41.68,[ 0.563 -0.569  0.225  0.377 -0.002],0.27714795,1.0062889,-137.75419134458048
1.4166322,-1.8920212,0.087432146,600,290.99252,-49.384644,5.631373,6,1.1878308,65.46263217926025,1.3527707,26607.998,-69.954956,3.576027,,93.02701,100,0.74981177,26351,0.3188438,1.7540711,100.0,-4.7302246e-06,38.85,[ 5.553e-01 -5.656e-01  2.219e-01  3.733e-01 -9.204e-05],0.3030021,1.3550856,-135.45037443536606
1.4130876,-1.8737335,0.09185816,700,217.57951,-114.856186,1.526118,7,1.0287611,77.56481790542603,1.9496199,888.4208,-117.55206,7.1188507,,93.75542,100,0.17573778,30889,0.6139648,1.0593109,100.0,3.0517577e-07,45.38,[ 0.574 -0.553  0.231  0.416 -0.002],0.2907495,1.0341198,-141.68961968795867
1.4244677,-2.3195953,0.094977796,800,214.77686,-117.17316,1.7171774,8,1.0499129,89.90186309814453,1.7371272,1228.971,-121.01959,5.393837,,93.87952,100,0.20156133,35546,0.60629034,1.100201,100.0,5.1116945e-06,46.57,[ 0.579 -0.547  0.235  0.425 -0.006],0.29641706,1.0304174,-142.51531070742104
1.4189719,-2.168335,0.086182326,900,228.21346,-101.02925,1.3216265,9,1.0151618,101.38679885864258,1.7196591,463.95605,-102.732635,7.4813995,,93.50429,100,0.117969036,39826,0.64482844,1.0331714,100.0,9.841919e-06,42.8,[ 0.593 -0.552  0.237  0.414  0.006],0.28167352,1.0147301,-139.0081734828048
1.4252273,-2.1931076,0.09246844,1000,220.95518,-95.512375,1.9955057,10,1.0511354,112.09982752799988,1.8085616,2220.731,-99.30022,5.720825,,93.75333,100,0.29674014,44347,0.50464904,1.1193438,100.0,3.890991e-06,45.21,[ 5.971e-01 -5.640e-01  2.381e-01  4.105e-01  1.034e-04],0.2933473,1.071145,-141.20621481525356
1.4384767,-2.1295319,0.079516046,1100,257.5677,-62.027924,1.6725142,11,1.0494188,123.37042617797852,1.7904967,1392.0211,-68.1402,5.4721603,,93.0641,100,0.18268827,48246,0.59368044,1.1082288,100.0,7.858276e-06,38.99,[ 0.588 -0.58   0.24   0.404  0.006],0.27345657,1.0360221,-135.21529154031384
1.431111,-1.9861145,0.08846612,1200,223.96954,-101.5661,1.3756319,12,1.0221015,134.43958187103271,1.9141926,289.56964,-103.69928,5.94236,,93.60562,100,0.08986636,52632,0.7456852,1.04158,100.0,9.155274e-06,43.86,[ 0.591 -0.598  0.244  0.401  0.02 ],0.28529263,1.010169,-140.22865633569057
1.4365008,-2.1969986,0.08581622,1300,242.09142,-77.42049,2.9972982,13,1.0693846,145.050066947937,1.5924103,3939.8086,-83.06918,4.910782,,93.34747,100,0.3638863,56802,0.50139815,1.1536187,100.0,1.9073486e-06,41.7,[ 0.591 -0.599  0.246  0.393  0.012],0.28465232,1.1135558,-137.94354638008474
