EmpiricalD2,MinD2w0t,MaxD2w0t,Bound,InitialReturnMean,J_sample_variance,StdD2w0t,MeanD2w0t,InitialReturnMin,MeanIW,InitialReturnMax,EpisodesSoFar,Iteration,EpRewMean,EpThisIter,ReturnStepMaxmin,StdIW,MaxIW,Weights,TimeElapsed,InitialBound,MinIW,EpLenMean,ReturnStepMax,InitialReturnStd,TimestepsSoFar,MeanEntropy,ReturnMeanIW
1.000008,,1.0000249,-3033.8914,-97.14614,4.5047355,0.28927156,0.092180215,-99.610085,0.99979514,-90.729195,100,1,-141.8229098366061,100,100.0,0.0028569805,1.0064374,[ 0.579 -0.554  0.227  0.402  0.   ],9.775827646255493,-3033.9016,0.9907332,46.09,100.0,2.1648557,4609,1.418859,-97.12654
1.0002222,,1.0002933,-3063.1616,-97.71855,3.9410155,0.2894084,0.092264816,-99.64865,0.9974851,-90.76826,200,2,-142.48649075649908,100,100.0,0.013187038,1.0311574,[ 5.796e-01 -5.542e-01  2.276e-01  4.020e-01 -1.413e-04],23.203418254852295,-3063.263,0.96280366,46.13,100.0,1.6856048,9222,1.4185224,-97.533775
1.0000148,,1.000043,-2989.1418,-97.72751,2.4127781,0.28755087,0.09096067,-99.56258,0.9995025,-92.23805,300,3,-141.85781105090027,100,100.0,0.0040684924,1.0113173,[ 5.790e-01 -5.548e-01  2.273e-01  4.021e-01 -3.624e-04],37.071401834487915,-2989.162,0.9876055,45.48,100.0,1.5040892,13770,1.4189458,-97.68786
1.0000113,,1.0000582,-3028.2014,-97.32578,4.1653376,0.28957155,0.09238066,-99.677246,0.9993616,-90.69326,400,4,-142.1231808562344,100,100.0,0.0034516405,1.0113143,[ 5.790e-01 -5.550e-01  2.274e-01  4.020e-01  1.458e-05],49.31116819381714,-3028.2288,0.98806524,46.19,100.0,1.995029,18389,1.4189439,-97.27801
1.0000991,,1.0001571,-2858.014,-97.63585,4.003307,0.27320644,0.08124217,-99.66304,0.99845046,-92.06439,500,5,-136.9324617340498,100,100.0,0.010145022,1.0215356,[ 5.786e-01 -5.547e-01  2.274e-01  4.019e-01 -1.325e-05],60.52148652076721,-2858.075,0.97221696,40.62,100.0,1.7332842,22451,1.4188342,-97.52139
1.0001574,,1.0002613,-3035.9734,-97.55647,3.4821012,0.28391084,0.088424176,-99.51051,0.9975897,-91.05528,600,6,-140.42311013863662,100,100.0,0.011851844,1.0332352,[ 5.780e-01 -5.551e-01  2.274e-01  4.022e-01 -2.090e-04],70.1643419265747,-3036.1057,0.97178847,44.21,100.0,1.618078,26872,1.4190352,-97.34579
1.0000213,,1.0000621,-3026.5242,-97.772194,2.5681114,0.27948055,0.085401095,-99.58873,0.9992387,-92.68734,700,7,-139.1935469421217,100,100.0,0.0043677622,1.0103484,[ 5.770e-01 -5.549e-01  2.270e-01  4.021e-01  1.597e-04],82.27720642089844,-3026.5564,0.9840681,42.7,100.0,1.5235634,31142,1.4190365,-97.71227
1.0000776,,1.0001622,-2936.5337,-97.34587,4.437564,0.2669905,0.07724241,-99.7069,0.9981308,-90.5181,800,8,-134.62768899998375,100,100.0,0.007910485,1.0184727,[ 5.769e-01 -5.549e-01  2.269e-01  4.016e-01  1.747e-04],93.33134031295776,-2936.6108,0.9626997,38.62,100.0,1.8730942,35004,1.4186069,-97.202
1.0002377,,1.0003575,-3041.6064,-97.43622,5.1769247,0.29143167,0.09370508,-99.647064,0.9975207,-89.209175,900,9,-142.87269706660038,100,100.0,0.01430134,1.0292019,[ 5.766e-01 -5.553e-01  2.269e-01  4.021e-01 -2.408e-04],103.771240234375,-3041.7083,0.95321727,46.85,100.0,2.0222836,39689,1.4188589,-97.240486
1.0000296,,1.0001146,-3047.3723,-97.571594,3.8332572,0.28909925,0.09204261,-99.67091,0.998699,-91.54819,1000,10,-142.2277096299911,100,100.0,0.005665957,1.014365,[ 5.779e-01 -5.553e-01  2.272e-01  4.024e-01 -1.428e-04],115.9224488735199,-3047.4407,0.9801302,46.02,100.0,1.7024784,44291,1.4186003,-97.44955
1.0001208,,1.0002956,-2884.5293,-97.96296,3.227563,0.26337805,0.074986205,-99.76542,0.996442,-91.34479,1100,11,-134.20371298403614,100,100.0,0.0121589145,1.0298703,[ 5.780e-01 -5.551e-01  2.271e-01  4.030e-01 -2.831e-04],124.87394189834595,-2884.6917,0.95909107,37.49,100.0,1.5078628,48040,1.4179686,-97.647644
