Bound,Weights,ReturnStepMax,J_sample_variance,EpLenMean,EmpiricalD2,InitialBound,InitialReturnMax,EpisodesSoFar,ReturnMeanIW,Iteration,EpThisIter,MeanIW,InitialReturnMean,MeanD2w0t,MaxD2w0t,MinD2w0t,TimeElapsed,MeanEntropy,EpRewMean,MinIW,TimestepsSoFar,ReturnStepMaxmin,InitialReturnStd,StdD2w0t,InitialReturnMin,StdIW,MaxIW
-53.769314,[-0.689  0.919 -0.673  0.288  0.   ],100.0,5412.6235,17.45,129.05817,-93.78497,-83.81554,100,-48.27928,1,100,0.5034161,-93.01559,1.4000872,1795.8927,,5.208419322967529,1.3665842,-108.67197648780628,4.4859582e-05,1745,99.36191,3.275067,23.828638,-97.78645,0.82102257,19.734747
-53.25817,[-0.69   0.823 -0.79   0.45  -0.052],100.0,15934.56,16.3,512.56323,-94.4736,-85.033005,200,-42.760487,2,100,0.4227607,-93.77448,2.0767982,1587.0864,,20.11484694480896,1.3510948,-108.43103442541438,9.322126e-05,3375,99.39533,2.583149,32.820415,-98.00152,1.39998,31.398817
-58.36242,[-0.642  0.893 -0.86   0.447 -0.068],100.0,3746.203,16.45,204.45355,-94.364235,-83.798416,300,-51.64037,3,100,0.52481467,-93.68503,1.7743493,2632.6677,,31.85859489440918,1.3882393,-108.47225222370835,0.001867967,5020,99.36575,2.6930475,37.384117,-97.43176,0.6949933,24.0537
-26.544077,[-0.616  0.936 -0.838  0.323 -0.031],100.0,1730.25,16.72,616.8889,-94.15763,-81.697556,400,-17.174543,4,100,0.14273582,-93.361984,2.5289526,2191.7212,,44.810428619384766,1.164518,-108.36275006474527,3.134265e-08,6692,99.36981,3.0098746,39.410793,-97.73031,0.50486106,18.036095
-45.33928,[-0.752  0.896 -0.768  0.357 -0.254],100.0,6797.739,16.93,371.93695,-94.06416,-82.34522,500,-37.553482,5,100,0.36602098,-93.319756,2.0290635,1895.3363,,59.224780797958374,1.1523443,-108.49460658288822,0.00012431559,8385,99.362236,2.871575,34.490105,-97.52658,0.9205887,9.5490265
-33.237232,[-0.772  0.847 -0.723  0.395 -0.267],100.0,3704.5322,16.46,136.78586,-94.27099,-85.240234,600,-27.785683,6,100,0.27194768,-93.47612,0.5708335,550.0297,,70.81904363632202,0.98694795,-108.25505529081516,6.767299e-07,10031,99.37416,2.771707,7.9049134,-97.46354,0.70520777,18.459116
-38.256268,[-0.888  0.793 -0.692  0.379 -0.432],100.0,4681.337,16.94,397.05008,-93.94326,-84.52408,700,-28.677954,7,100,0.27419335,-93.24411,1.7518091,2625.1514,,86.04461860656738,0.8543516,-108.4359184808718,1.554631e-08,11725,99.36403,2.8507488,30.803123,-97.44615,0.80461115,33.381927
-60.841446,[-0.916  0.627 -0.767  0.383 -0.565],100.0,27338.871,16.21,513.156,-93.89106,-86.82916,800,-52.19688,8,100,0.532979,-93.249275,2.4100292,1995.5781,,99.85485100746155,0.8523514,-107.74795144814436,9.4289186e-05,13346,99.395386,2.3714142,37.93692,-97.361206,1.8672866,30.743828
-62.950745,[-0.937  0.593 -0.727  0.402 -0.567],100.0,5195.438,15.76,120.21868,-94.45011,-85.45294,900,-56.121292,9,100,0.5764577,-93.79585,1.3512335,3626.8794,,111.49008417129517,0.85531944,-107.93180443820826,0.00023567071,14922,99.39635,2.559015,36.76277,-97.225716,0.79430276,9.282778
-48.94188,[-0.958  0.603 -0.762  0.516 -0.564],100.0,5303.864,16.76,567.2047,-94.03229,-82.967186,1000,-39.133762,10,100,0.3891551,-93.353615,2.0021067,2040.4749,,124.74284362792969,0.8683137,-108.38663580262094,8.4152474e-05,16598,99.39846,2.91257,33.634167,-97.32632,0.84268695,13.579183
