TimeElapsed,StdD2w0t,Weights,MinD2w0t,StdIW,EpRewMean,MeanD2w0t,ReturnMeanIW,TimestepsSoFar,MaxD2w0t,InitialBound,Bound,InitialReturnStd,J_sample_variance,EntropyCoefficient,EpisodesSoFar,ReturnStepMaxmin,InitialReturnMin,MinIW,EmpiricalD2,EpThisIter,InitialReturnMax,Iteration,MaxIW,MeanIW,MeanEntropy,EpLenMean,ReturnStepMax,InitialReturnMean
4.125464677810669,0.24422716,[ 0.911 -0.288 -0.586 -0.882  0.   ],,0.71499735,-108.8235630534528,0.049716577,472.4207,2043,2.2547219,496.73407,520.4158,6.5082946,71606.46,100.0,100,88.47723,-7.197624,0.26340765,1.4084162,100,30.6531,1,4.667901,1.0940931,1.4836746,20.43,100.0,1.0986329e-05
16.695258378982544,34.567223,[ 0.91  -0.282 -0.593 -0.896  0.065],,46.347187,-108.46147591760888,2.2168891,2283.2048,3994,1852.4349,524.41504,1372.6033,6.9840813,362677500.0,100.0,200,87.88145,-6.396286,0.00066786195,206.58504,100,40.765896,2,703.1929,5.4106374,1.4687529,19.51,100.0,2.0217894e-06
31.77563500404358,0.21934907,[ 0.806 -0.22  -0.467 -0.816  0.05 ],,0.41999266,-107.8257365910993,0.045884687,438.7058,6117,1.7510997,472.2744,489.2005,8.0936985,23153.566,100.0,300,88.84858,-7.6735306,0.45263302,1.1123626,100,35.357933,3,3.5030453,1.0640565,1.4960834,21.23,100.0,9.269715e-06
45.17973756790161,0.21575733,[ 0.759 -0.203 -0.457 -0.821  0.077],,0.2965186,-107.94939161214671,0.04606457,416.0525,8301,1.2480794,458.39847,466.8111,9.833872,11111.106,100.0,400,89.11495,-8.81852,0.3772434,1.11748,100,44.244396,4,2.2136145,1.0380541,1.4746503,21.84,100.0,1.6021728e-06
57.911686182022095,0.22497882,[ 0.783 -0.209 -0.471 -0.834  0.056],,0.44890657,-108.29962902994204,0.048096836,417.88702,10498,1.51823,451.01132,461.73938,9.067468,25123.408,100.0,500,89.351814,-7.8925476,0.424362,1.1795334,100,52.83405,5,3.434532,1.0470338,1.4744052,21.97,100.0,-3.7002565e-06
74.1248369216919,0.24368043,[ 0.752 -0.196 -0.445 -0.829  0.055],,0.49619037,-107.43646713692505,0.05418533,377.3353,12914,2.035425,408.68326,422.193,13.543515,22659.738,100.0,600,90.10626,-9.595345,0.30503574,1.2193666,100,48.732056,6,3.8259895,1.0692014,1.4772123,24.16,100.0,-3.3950805e-06
88.0352475643158,0.20015618,[ 0.772 -0.178 -0.451 -0.818  0.058],,0.24151888,-108.3489072773886,0.04026331,466.99692,14860,1.1470666,526.9694,531.8583,5.161041,10438.707,100.0,700,87.98136,-6.429878,0.57483137,1.07055,100,20.967766,7,1.9770653,1.0095919,1.5000033,19.46,100.0,-3.8146973e-07
102.27736687660217,0.765763,[ 0.761 -0.18  -0.447 -0.807  0.081],,6.0052075,-108.2740098462624,0.105371214,557.9754,17115,23.24358,446.71713,497.64798,9.507554,2706614.5,100.0,800,89.50518,-8.518295,0.008226505,2.598586,100,36.605034,8,65.749245,1.5960039,1.48551,22.55,100.0,5.607605e-06
116.40576243400574,0.21114689,[ 0.787 -0.169 -0.432 -0.752  0.067],,0.4014137,-108.86718293289303,0.042648394,480.83197,19092,1.7628856,513.819,524.0321,5.811206,27365.879,100.0,900,88.248344,-6.80085,0.2449085,1.1205732,100,38.087303,9,3.7240758,1.0579758,1.4411844,19.77,100.0,-3.7384034e-06
130.00139713287354,0.6639442,[ 0.807 -0.153 -0.416 -0.758  0.022],,3.1387856,-108.23809727921562,0.105689265,609.6392,21195,16.420012,469.70615,576.3621,9.198939,1417947.5,100.0,1000,88.70644,-7.3497467,0.028034039,5.792204,100,61.66674,10,30.241106,1.4989303,1.4481047,21.03,100.0,4.348755e-06
