InitialReturnStd,InitialReturnMin,ReturnStepMaxmin,MinIW,EntropyCoefficient,MeanIW,Iteration,MeanD2w0t,StdD2w0t,InitialReturnMax,EpLenMean,TimestepsSoFar,EpThisIter,MeanEntropy,StdIW,InitialBound,MaxIW,ReturnMeanIW,EpisodesSoFar,InitialReturnMean,Weights,J_sample_variance,TimeElapsed,ReturnStepMax,EpRewMean,EmpiricalD2,MaxD2w0t,MinD2w0t,Bound
3.4973137,-5.334259,86.68869,0.094586805,100.0,1.200597,1,0.048912182,0.27262723,12.306763,17.36,1736,100,1.4958831,1.0421262,593.5197,7.9984055,622.3854,100,-4.196167e-06,[-0.718  0.851  0.951 -0.346  0.   ],241565.38,3.049349069595337,100.0,-107.7164208577093,2.361292,5.774517,,669.61475
5.882361,-5.692581,86.631805,0.0020385245,100.0,1.7258489,2,0.10105915,0.8284351,36.5166,17.31,3467,100,1.2663491,2.7642365,593.9258,14.928916,867.7373,200,-5.569458e-06,[-0.718  0.912  0.936 -0.327  0.077],1728806.1,13.271457433700562,100.0,-107.05976457784922,5.0541105,49.109055,,763.8994
4.5016546,-4.6185226,86.61248,6.0261227e-05,100.0,1.698844,3,0.23080458,2.4280784,26.164284,17.05,5172,100,1.220444,8.821373,585.2628,92.02632,882.9839,300,4.119873e-06,[-0.741  0.94   0.914 -0.279 -0.153],18604194.0,25.058536052703857,100.0,-107.88072828964876,38.688564,115.60964,,758.64264
3.181061,-4.6102676,86.45079,0.028752234,100.0,1.4033283,4,0.123472266,0.9710383,13.940086,16.81,6853,100,1.2588375,3.9254692,592.6205,33.533962,749.66797,400,4.348755e-06,[-0.849  0.894  0.85  -0.288 -0.199],3763280.8,36.17746186256409,100.0,-107.69180156931021,9.507057,34.106472,,687.04504
3.8842854,-4.6667404,86.36009,8.9392095e-05,100.0,4.8030105,5,1.1326982,19.118114,29.57946,16.83,8536,100,1.2038399,27.786724,592.2002,259.79694,2394.9175,500,-1.9073486e-06,[-0.886  0.87   0.808 -0.259 -0.16 ],179485940.0,48.711939573287964,100.0,-107.91150830154083,256.61472,1477.5682,,1845.5957
4.0533714,-4.6085663,86.84377,0.025812477,100.0,1.6014475,6,0.07840874,0.9716821,27.301003,17.49,10285,100,1.1887455,6.2018394,562.55676,66.75972,815.5793,600,3.2043456e-06,[-1.071  0.86   0.706 -0.245 -0.215],8940703.0,61.537768840789795,100.0,-107.88254077428866,3.0027952,54.42967,,652.8461
3.0480993,-4.0080414,86.28545,4.200643e-08,100.0,125.81626,7,343.79456,23659.95,9.615837,16.72,11957,100,1.0468166,1246.7542,596.25555,12669.597,62709.062,700,-1.5258789e-06,[-1.094  0.878  0.672 -0.287 -0.23 ],381946600000.0,77.83515334129333,100.0,-107.69594133244509,83004.23,4472262.5,,39888.95
3.5071182,-4.688965,86.68532,0.18102674,100.0,1.0819092,8,0.037470516,0.19924062,21.46344,17.27,13684,100,0.998722,0.42154375,553.2941,2.4696789,566.56274,800,-8.087158e-06,[-1.312  0.908  0.625 -0.131 -0.372],42031.695,94.23890686035156,100.0,-107.5375132834833,1.164216,2.4887433,,578.8719
4.124288,-5.301758,86.94557,6.104776e-06,100.0,11.477931,9,1.6464609,92.28723,26.832787,17.84,15468,100,0.89712095,82.278114,527.24054,788.1532,5175.2617,900,-6.790161e-06,[-1.313  0.893  0.632 -0.147 -0.42 ],1319200900.0,107.33199191093445,100.0,-107.53201146062625,483.05106,18797.719,,3638.048
3.0569572,-4.7160263,86.327156,0.00054011453,100.0,1.6898856,10,0.13169126,1.0887802,9.4468155,16.78,17146,100,0.82412314,4.041934,559.5034,25.39326,891.3031,1000,4.5776366e-07,[-1.186  0.958  0.65  -0.135 -0.522],3879089.8,121.46601438522339,100.0,-107.6872617593204,16.69571,26.676008,,794.32654
4.2694435,-5.111084,86.76017,0.23369706,100.0,1.1767956,11,0.042001076,0.23417339,18.254349,17.41,18887,100,0.86818576,1.335176,527.7506,14.58233,604.6398,1100,-6.4849855e-06,[-1.227  0.913  0.624 -0.139 -0.595],340541.16,134.89440155029297,100.0,-107.64799828012482,1.4186013,5.6943593,,587.68365
4.954369,-5.1290436,86.854805,0.005856557,100.0,1.31721,12,0.06817905,0.44937712,31.592865,17.39,20626,100,0.84833187,2.6564968,531.748,21.139618,674.0869,1200,-5.9509275e-06,[-1.213  0.925  0.615 -0.121 -0.551],1568397.9,145.74369144439697,100.0,-107.64515294798828,5.560477,13.8462715,,631.7882
2.6745737,-4.2274933,86.31183,0.007979339,100.0,1.5841166,13,0.068458505,0.58147985,13.017944,16.54,22280,100,0.7782383,3.6919823,566.73096,28.530933,844.34436,1300,2.1362305e-06,[-1.274  0.908  0.583 -0.129 -0.571],3215454.5,158.93871593475342,100.0,-108.04916564086182,3.7439337,31.639837,,763.3264
3.0336955,-4.669121,86.56141,0.0006683564,100.0,3.4523997,14,0.9736602,16.197403,8.304123,16.86,23966,100,0.7904236,27.129213,547.6366,275.3786,1741.1538,1400,3.967285e-06,[-1.356  0.921  0.537 -0.139 -0.641],175385800.0,172.1556749343872,100.0,-106.91220915177833,233.22289,947.4698,,1124.3943
3.311982,-5.1720123,86.55982,0.002125393,100.0,1.6989069,15,0.2220349,2.4268048,15.564201,17.09,25675,100,0.76594454,6.2930074,534.2263,76.306656,870.6996,1500,-7.705688e-06,[-1.347  0.989  0.569 -0.121 -0.628],9213081.0,185.69131898880005,100.0,-107.77464131585094,27.471626,114.346634,,747.902
3.592236,-5.186722,86.815445,0.09669164,100.0,1.2062265,16,0.048936397,0.28923255,23.618683,17.29,27404,100,0.77443844,1.9649562,525.5614,18.041122,619.4051,1600,-8.31604e-06,[-1.39   0.962  0.552 -0.095 -0.653],785591.0,198.77182245254517,100.0,-107.4255013677693,2.4732053,10.564173,,580.33716
2.8035653,-4.4654083,86.59759,0.0068568722,100.0,1.4590967,17,0.07977769,1.030143,6.39917,17.07,29111,100,0.75725836,3.2535346,541.58765,30.956732,746.0417,1700,-3.4332274e-06,[-1.406  0.932  0.548 -0.14  -0.644],2134894.5,211.57613444328308,100.0,-107.61227765239138,9.2678795,117.24268,,676.4563
4.061144,-5.6992264,86.95352,0.36187315,100.0,1.0667188,18,0.037659038,0.19806609,20.098824,17.6,30871,100,0.76227677,0.36441723,511.19836,2.7421868,547.5186,1800,-4.8065185e-06,[-1.454  0.898  0.53  -0.178 -0.662],29927.908,224.6667182445526,100.0,-107.75056281702757,1.1522996,1.9632803,,534.56647
