InitialBound,TimestepsSoFar,StdIW,TimeElapsed,InitialReturnMean,Iteration,InitialReturnMin,J_sample_variance,ReturnStepMax,EpRewMean,MeanD2w0t,EpThisIter,EpLenMean,EntropyCoefficient,Bound,MaxD2w0t,StdD2w0t,MaxIW,EmpiricalD2,MinD2w0t,Weights,ReturnStepMaxmin,InitialReturnStd,MinIW,InitialReturnMax,ReturnMeanIW,EpisodesSoFar,MeanIW,MeanEntropy
-84.34502,4609,1.1277964,9.579761505126953,-97.14614,1,-99.610085,7081.011,100.0,-141.8229098366061,2.754033,100,46.09,10.0,-64.48439,3753.2493,41.072674,15.1905,208.61078,,[ 0.579 -0.554  0.227  0.402  0.   ],100.0,2.1648557,0.00031340832,-90.729195,-68.4646,100,0.6044129,1.427293
-84.74757,9225,1.2862054,27.77039074897766,-97.61384,2,-99.61631,9541.186,100.0,-142.4499959216474,2.928062,100,46.16,10.0,-47.074257,10494.233,64.48933,27.933552,441.8019,,[ 0.529 -0.596  0.167  0.464  0.008],100.0,1.6998844,3.7424913e-06,-92.481445,-51.673622,200,0.3696307,1.3619231
-85.60337,15712,1.4539877,48.468403816223145,-97.625114,3,-99.81463,11116.615,100.0,-161.07184315884896,3.7851322,100,64.87,10.0,-56.92733,3994.8596,42.15935,16.390512,266.8625,,[ 0.395 -0.685  0.144  0.526 -0.057],100.0,1.8134601,0.0012392709,-92.335175,-62.510536,300,0.5929669,1.3799933
-85.5525,20791,0.8878819,67.52230668067932,-97.91597,4,-99.753075,5813.4443,100.0,-147.42685522642222,0.82171625,100,50.79,10.0,-68.097084,104.757286,4.8779387,9.57634,11.848647,,[ 0.431 -0.606  0.184  0.603 -0.039],100.0,1.7623203,0.0012178177,-91.91688,-76.41956,400,0.7548722,1.321743
-85.78422,25898,1.2083764,86.44618606567383,-97.56703,5,-99.759895,8050.656,100.0,-147.2973502623676,6.7759876,100,51.07,10.0,-56.469208,8706.457,90.09515,42.568756,975.72424,,[ 0.43  -0.626  0.222  0.5   -0.097],100.0,2.1218677,0.00011040903,-91.36772,-55.679024,500,0.44086075,1.3109192
-85.90276,32923,0.49980047,108.90519833564758,-97.366585,6,-99.77767,1699.6385,100.0,-166.10429720750355,2.3904748,100,70.25,10.0,-67.58133,1272.9656,26.15643,6.396576,26.927605,,[ 0.334 -0.683  0.169  0.464 -0.108],100.0,2.2645116,0.0006631521,-88.946106,-74.09402,600,0.70562553,1.3362967
-85.575806,38624,1.1105177,127.39500880241394,-97.43106,7,-99.76544,5345.5586,100.0,-153.03337802074836,0.44842446,100,57.01,10.0,-74.40174,180.09195,3.4693017,13.148294,8.479549,,[ 0.342 -0.604  0.13   0.476 -0.083],100.0,1.7834466,0.010414089,-92.80615,-83.13809,700,0.8124611,1.2558354
-86.36294,46357,1.5629494,148.12778973579407,-97.20744,8,-99.81478,8425.753,100.0,-172.9963082244871,12.931394,100,77.33,10.0,-51.648457,21342.86,244.0306,17.18554,843.56335,,[ 0.287 -0.621  0.146  0.501 -0.163],100.0,2.0484238,4.1717736e-05,-91.198006,-50.095234,800,0.4448652,1.2016537
-86.919556,54833,0.81302786,173.12104105949402,-97.151566,9,-99.78508,3596.4202,100.0,-180.22434888031106,7.1888976,100,84.76,10.0,-55.135185,3709.0803,67.32063,15.979349,516.4535,,[ 0.182 -0.583  0.105  0.372 -0.217],100.0,2.2617943,0.00029472524,-89.08836,-56.733387,900,0.38635194,1.1865492
-87.35352,67907,1.2543365,202.060378074646,-96.97802,10,-99.779945,7953.3486,100.0,-225.59269723411688,8.407113,100,130.74,10.0,-68.55614,2745.9856,65.53734,25.697586,142.26596,,[ 0.118 -0.614  0.066  0.381 -0.232],100.0,2.4919596,0.0025742394,-89.15593,-74.10174,1000,0.59104913,1.1967752
-87.108635,85222,0.96879697,241.16103553771973,-96.44672,11,-99.76585,4187.213,100.0,-264.70522751225576,10.018824,100,173.15,10.0,-65.559425,2673.9043,64.618515,16.4056,104.633255,,[ 0.102 -0.641  0.038  0.317 -0.222],100.0,2.7300808,2.3778006e-05,-89.04712,-71.23535,1100,0.5295647,1.1283892
-88.38908,109380,0.96486205,292.83272075653076,-96.398705,12,-99.519226,2999.8818,100.0,-329.5920494029486,182.02155,100,241.58,10.0,-67.42645,19951.3,1030.2197,7.128111,1852.9889,,[ 0.082 -0.634  0.016  0.354 -0.291],100.0,2.8262992,9.445104e-06,-88.07099,-70.314156,1200,0.61898637,1.1485422
-87.838486,126802,1.70131,330.30634117126465,-96.67973,13,-99.45546,4539.9995,100.0,-266.16591115552444,43.50001,100,174.22,10.0,-63.33988,7760.695,284.17978,52.72695,536.7723,,[ 0.084 -0.626  0.048  0.346 -0.27 ],100.0,2.4643583,0.0002955629,-87.288536,-65.64189,1300,0.56789136,1.1180496
-87.965355,150706,1.03476,378.1200420856476,-95.93927,14,-99.440735,3226.5298,100.0,-322.7803721602629,14.218798,100,239.04,10.0,-65.4463,2062.1946,84.710556,10.185436,72.95087,,[ 0.073 -0.613  0.011  0.351 -0.301],100.0,3.1515462,1.2173096e-05,-84.287796,-66.8247,1400,0.67427117,1.1182798
-88.29931,170110,0.77445877,420.98521900177,-96.64923,15,-99.6482,3957.2002,100.0,-285.1620773508378,104.70554,100,194.04,10.0,-59.566494,20935.281,835.787,14.386514,952.86096,,[ 0.088 -0.59   0.02   0.433 -0.301],100.0,2.4863083,1.0101422e-05,-89.620476,-57.931046,1500,0.3806146,1.0406734
-88.70955,194970,1.0055083,471.06163263320923,-95.80928,16,-99.58271,2840.348,100.0,-332.88761189791353,306.9499,100,248.6,10.0,-68.27751,90609.49,2434.1108,20.804457,3192.7354,,[ 0.078 -0.642  0.018  0.342 -0.378],100.0,3.4251778,6.2518324e-05,-86.8085,-68.23104,1600,0.5140388,1.0395508
-88.996666,221354,1.298944,521.8041188716888,-95.97674,17,-99.500435,5359.5044,100.0,-343.80342946954573,31.922964,100,263.84,10.0,-71.67427,2271.5432,123.85139,16.068066,210.89586,,[ 0.082 -0.634 -0.008  0.282 -0.379],100.0,3.069844,9.625364e-05,-87.07258,-73.40375,1700,0.6355484,0.96532214
-90.25859,246029,1.7727517,568.7095077037811,-96.610214,18,-99.62037,3582.1204,100.0,-332.3430228479003,10.165557,100,246.75,10.0,-78.131775,5752.296,97.12077,22.208408,195.1158,,[ 0.068 -0.545 -0.008  0.32  -0.454],100.0,2.2957737,3.413964e-05,-90.390686,-81.54909,1800,0.7999725,0.9551174
-89.004944,262512,0.70172596,603.7891345024109,-95.990814,19,-99.76984,2874.1704,100.0,-258.22969099253936,42.42832,100,164.83,10.0,-53.75553,27548.658,514.24,18.912863,742.87335,,[ 0.1   -0.526 -0.021  0.333 -0.464],100.0,2.8550234,0.00026025192,-89.93924,-53.234066,1900,0.3850158,0.9637324
-89.38231,274093,0.9985117,630.1048808097839,-96.92668,20,-99.56477,5811.877,100.0,-210.68971992429942,10.7867985,100,115.81,10.0,-66.9661,4671.7026,122.87254,10.28161,109.27501,,[ 0.113 -0.384 -0.022  0.265 -0.455],100.0,2.3609045,9.281002e-05,-90.00586,-69.85424,2000,0.64867204,0.94430155
-89.75245,284102,0.6307993,661.6543126106262,-97.257195,21,-99.727005,2284.314,100.0,-195.47073662330098,1.3499125,100,100.09,10.0,-71.48029,535.0903,11.807844,8.494429,15.244645,,[ 0.108 -0.361 -0.049  0.231 -0.475],100.0,2.3035083,0.0017789545,-89.624664,-76.54788,2100,0.70458525,0.92630404
-89.20623,294772,1.0732986,688.4362044334412,-96.47311,22,-99.7359,7432.3506,100.0,-200.93659454269925,17.309303,100,106.7,10.0,-65.96192,35077.69,364.97974,21.87954,777.2051,,[ 0.148 -0.408 -0.046  0.185 -0.493],100.0,2.8284485,5.9420076e-06,-87.42714,-65.202614,2200,0.52047026,0.8949839
-89.5313,302575,0.61919516,711.7194786071777,-96.76424,23,-99.74992,2414.6023,100.0,-172.8412068609576,3.3127334,100,78.03,10.0,-74.71581,929.47906,34.10086,4.7891684,26.664394,,[ 0.186 -0.39  -0.071  0.139 -0.524],100.0,2.8062217,4.0629147e-05,-84.94144,-77.93392,2300,0.7791589,0.88951087
-88.90272,309985,1.3772995,736.5385744571686,-96.12911,24,-99.686165,12813.803,100.0,-168.22552588190348,6.645106,100,74.1,10.0,-60.979614,6108.0938,74.93302,12.464069,433.79376,,[ 0.181 -0.407 -0.089  0.189 -0.529],100.0,3.1047986,1.367249e-05,-87.7311,-58.588154,2400,0.49025577,0.87612474
-89.96838,315608,0.7749074,756.1709179878235,-97.23042,25,-99.763916,5039.0522,100.0,-151.9274188424904,5.697266,100,56.23,10.0,-49.425858,5450.3003,64.97724,35.687305,602.5895,,[ 0.206 -0.34  -0.104  0.241 -0.543],100.0,2.410902,2.6106714e-05,-88.778244,-46.633335,2500,0.36588788,0.87403274
