ReturnStepMax,TimestepsSoFar,MeanD2w0t,StdD2w0t,Weights,EpLenMean,MeanEntropy,InitialReturnMean,EmpiricalD2,J_sample_variance,TimeElapsed,EpThisIter,EpisodesSoFar,EpRewMean,Iteration,MeanIW,InitialReturnStd,MaxIW,MinD2w0t,ReturnStepMaxmin,MinIW,MaxD2w0t,Bound,InitialBound,InitialReturnMax,StdIW,InitialReturnMin,ReturnMeanIW
100.0,32360,0.0343178,0.18208815,[-0.707  0.918 -0.676  0.296  0.003],17.15,1.426118,-93.62579,1.0009593,10.153932,141.46826434135437,100,1900,-109.05769981203048,19,0.99445903,2.362997,1.0957917,,99.40757,0.93451834,1.0024177,-677.0405,-677.30334,-86.76931,0.028252527,-98.24011,-93.11022
100.0,34122,0.035247516,0.18441932,[-0.705  0.919 -0.675  0.295  0.007],17.62,1.4234908,-92.53397,1.0005844,15.269792,149.87938022613525,100,2000,-108.27882158604905,20,0.99697787,3.2253761,1.0585737,,99.36065,0.9352743,1.0010791,-711.0248,-711.164,-80.60513,0.022807645,-97.00871,-92.27107
100.0,35816,0.03390423,0.18104619,[-0.707  0.919 -0.674  0.295  0.005],16.94,1.4291313,-93.30608,1.0014607,19.415113,157.75405955314636,100,2100,-108.495447266616,21,0.9933174,2.9570625,1.107713,,99.38497,0.9286036,1.0030849,-619.4478,-619.7473,-82.33253,0.03427639,-97.42491,-92.723015
100.0,37521,0.03410673,0.18151541,[-0.709  0.918 -0.675  0.294  0.01 ],17.05,1.4280772,-93.25623,1.0004247,13.195001,166.96350073814392,100,2200,-108.54326986404959,22,0.99781525,2.9742553,1.0439315,,99.35441,0.9074452,1.0009176,-697.6565,-697.7542,-83.99419,0.021785105,-97.663086,-93.06959
100.0,39220,0.033996813,0.18126827,[-0.708  0.919 -0.674  0.293  0.009],16.99,1.4293503,-93.02191,1.0012302,17.165724,174.36013054847717,100,2300,-108.24057485928823,23,0.99554,3.0418878,1.1189544,,99.388794,0.92265964,1.0021636,-670.90704,-671.1017,-80.769936,0.030679623,-97.54965,-92.6382
100.0,40916,0.03395189,0.18119995,[-0.709  0.917 -0.675  0.294  0.01 ],16.96,1.427845,-93.03393,1.0025014,31.379633,181.93923592567444,100,2400,-108.19520396001944,24,0.99151796,3.0302305,1.1498156,,99.39243,0.8642579,1.0047839,-681.7299,-682.1457,-82.310555,0.053158075,-97.51904,-92.290634
100.0,42677,0.035232436,0.18439575,[-0.705  0.917 -0.675  0.292  0.009],17.61,1.4295822,-93.23695,1.001226,20.368967,189.7885284423828,100,2500,-109.056702489047,25,0.9959922,3.0013468,1.1052903,,99.350464,0.9100096,1.0015956,-682.165,-682.3487,-83.589966,0.03700642,-97.54255,-92.88413
100.0,44287,0.0322397,0.1767446,[-0.707  0.916 -0.675  0.291  0.011],16.1,1.4327275,-94.05961,1.0041871,26.72588,196.38563418388367,100,2600,-108.57061026667509,26,0.9889737,2.431621,1.1866708,,99.38382,0.86100066,1.0076642,-596.7486,-597.31134,-86.87269,0.05298362,-97.6191,-93.04545
100.0,45964,0.033564586,0.1801782,[-0.7    0.917 -0.676  0.294  0.014],16.77,1.4282647,-93.44967,1.0012677,20.3839,203.7404067516327,100,2700,-108.53071071351333,27,0.992135,3.0929513,1.0762634,,99.38309,0.86118454,1.002311,-676.7449,-677.1272,-84.67388,0.035469506,-97.82535,-92.74644
100.0,47762,0.035997443,0.18638687,[-0.701  0.918 -0.675  0.292  0.009],17.98,1.4234856,-93.26918,1.0024303,25.888546,211.60124969482422,100,2800,-109.42553545181384,28,0.9883964,3.1267126,1.1265233,,99.429596,0.82672274,1.0074756,-659.09503,-659.634,-82.24111,0.051213395,-97.482475,-92.24133
