MeanEntropy,MeanIW,EpLenMean,ReturnStepMax,MaxD2w0t,EntropyCoefficient,Iteration,InitialReturnMean,InitialReturnMin,ReturnStepMaxmin,MinIW,EmpiricalD2,InitialReturnStd,StdD2w0t,InitialReturnMax,EpThisIter,TimestepsSoFar,StdIW,MaxIW,Bound,InitialBound,EpisodesSoFar,TimeElapsed,Weights,MeanD2w0t,MinD2w0t,ReturnMeanIW,EpRewMean,J_sample_variance
1.4110461,1.6622943,35.4,100.0,9.316009,10.0,1,-1.2207031e-06,-16.716774,92.924065,0.00786235,4.211716,12.600159,0.6731383,33.927227,100,3540,4.1756353,34.37248,202.03673,148.77803,100,5.260813236236572,[-0.563 -1.093 -0.809 -1.04   0.   ],0.15576649,,329.7965,-107.5568281044892,370056.84
1.4027728,1.6705418,35.71,100.0,12.077699,10.0,2,-9.536743e-07,-16.363197,92.955154,0.047151655,3.5138624,12.684152,0.9843067,44.565716,100,7111,3.599824,60.96245,204.04155,146.66066,200,19.497405290603638,[-0.622 -1.073 -0.83  -0.971 -0.008],0.21262309,,366.48245,-107.9307244157793,615438.1
1.3783886,1.3960365,37.04,100.0,5.5942764,10.0,3,-2.3269654e-06,-16.303406,93.095406,0.047115292,2.8522103,11.1398535,0.42370912,36.049713,100,10815,1.6344084,10.798329,176.12436,140.77531,300,31.72860813140869,[-0.67  -1.064 -0.804 -1.01  -0.016],0.11291813,,277.69843,-109.35695941951373,64205.0
1.4198303,1.1518016,36.68,100.0,1.9880043,10.0,4,9.918213e-07,-17.634727,93.10629,0.31366044,1.3414553,13.039884,0.32097545,46.23825,100,14483,0.75108373,5.395863,154.46179,139.39046,400,43.00719380378723,[-0.648 -1.029 -0.812 -1.023 -0.041],0.089326605,,240.82341,-108.09062287605124,17959.26
1.3990424,1.1195447,34.94,100.0,1.688226,10.0,5,-8.773804e-07,-18.56285,92.853065,0.1889682,1.2026687,13.4733515,0.2922091,44.345512,100,17977,0.50073147,2.944128,163.28284,149.21017,500,54.07469463348389,[-6.409e-01 -9.902e-01 -7.898e-01 -9.980e-01  8.034e-04],0.079507716,,250.1732,-107.38741981083889,10000.825
1.4609389,1.5269494,34.73,100.0,12.807018,10.0,6,1.2969971e-06,-15.170334,92.75001,0.061918683,5.088467,11.71774,0.6757005,45.15626,100,21450,3.2603695,46.19554,205.31157,157.20227,600,65.5188615322113,[-0.62  -0.956 -0.772 -0.972 -0.02 ],0.1591122,,334.4844,-108.53418215969114,386078.78
1.4951158,2.0120308,36.72,100.0,17.870628,10.0,7,4.615784e-06,-17.767502,93.1533,0.045823283,5.3269277,13.105433,0.94364494,53.058537,100,25122,6.6425705,62.35352,202.06685,134.41397,700,77.6622850894928,[-0.625 -0.94  -0.735 -0.931  0.042],0.20843633,,378.22687,-107.34577186603357,1027481.56
1.4564888,1.1914737,37.89,100.0,2.1576114,10.0,8,-1.9454956e-06,-17.279823,93.29021,0.21503502,1.4490881,11.963485,0.3508556,34.134922,100,28911,0.8505976,5.664054,149.50375,132.02525,800,90.89334797859192,[-0.611 -0.857 -0.654 -0.867  0.076],0.09843872,,239.92188,-108.17202630746623,22382.023
1.5043252,5.0728006,37.8,100.0,220.54251,10.0,9,3.3187866e-06,-16.989685,93.23361,0.00790109,24.30528,12.497514,8.5999365,46.411232,100,32691,36.36599,385.63605,386.5444,134.7706,900,101.83415627479553,[-0.589 -0.844 -0.667 -0.847  0.038],1.0904176,,773.85364,-108.98745926815671,22135298.0
1.43109,3.1237562,31.87,100.0,338.03314,10.0,10,-4.4631956e-06,-13.436508,92.23985,0.00050078356,28.087296,11.053478,8.01899,35.746246,100,35878,17.979296,183.88913,322.60532,185.27591,1000,115.3422954082489,[-0.573 -0.762 -0.682 -0.776  0.085],0.8345934,,675.4214,-107.72328261405868,11439365.0
