EpThisIter,MeanEntropy,EpRewMean,MeanIW,ReturnMeanIW,InitialReturnMax,J_sample_variance,StdD2w0t,EpLenMean,MaxIW,Weights,InitialBound,EntropyCoefficient,MaxD2w0t,ReturnStepMax,StdIW,InitialReturnMin,EpisodesSoFar,MeanD2w0t,Iteration,TimestepsSoFar,TimeElapsed,Bound,InitialReturnMean,InitialReturnStd,EmpiricalD2,ReturnStepMaxmin,MinIW,MinD2w0t
100,1.4374946,-141.8229098366061,0.7484842,-78.923096,-90.729195,6396.0366,3.5276372,46.09,10.319203,[ 0.579 -0.554  0.227  0.402  0.   ],-88.51001,10.0,197.46542,100.0,1.06695,-99.610085,100,0.5144955,1,4609,10.490855932235718,-80.2362,-97.14614,2.1648557,24.01873,100.0,0.0026679165,
100,1.4046599,-144.098478621716,0.77269435,-80.46361,-92.54843,2124.989,1.1837871,47.35,10.977653,[ 0.532 -0.588  0.181  0.449  0.019],-89.18752,10.0,39.048817,100.0,0.54710424,-99.685646,200,0.2103771,2,9344,26.637354135513306,-75.78015,-98.04697,1.5022221,3.7844,100.0,0.0033398673,
100,1.4457278,-139.6403563475324,0.70420766,-73.44863,-93.391205,10874.234,2.5825205,43.13,16.801647,[ 0.571 -0.547  0.146  0.426 -0.014],-89.060745,10.0,83.486305,100.0,1.2871143,-99.689095,300,0.3881689,3,13657,45.243239641189575,-71.63496,-97.794785,1.6681839,25.171904,100.0,0.015424006,
100,1.4061375,-138.13094830921526,0.55910724,-61.786526,-95.090324,2411.7332,2.6706443,41.59,4.8896036,[ 0.639 -0.45   0.136  0.457  0.027],-88.59103,10.0,121.68891,100.0,0.60865355,-99.617584,400,0.35452357,4,17816,61.77989363670349,-62.284122,-97.8191,1.2632287,23.13496,100.0,0.0005705174,
100,1.2890935,-129.96439416474118,0.6103624,-67.315125,-93.15797,5469.5747,1.8167745,33.38,18.269924,[ 0.671 -0.364  0.179  0.461 -0.013],-88.59204,10.0,89.139275,100.0,0.85498065,-99.586876,500,0.27377173,5,21154,77.11824774742126,-68.60835,-97.831604,1.3587102,12.679486,100.0,0.0005279244,
100,1.3662344,-128.85512420900525,0.84223646,-86.093956,-94.65237,3017.5864,0.77002156,32.64,7.4266543,[ 0.757 -0.342  0.192  0.35  -0.13 ],-89.34649,10.0,24.396954,100.0,0.64012295,-99.89575,600,0.14677617,6,24418,92.58527898788452,-81.73823,-97.53726,1.1554965,3.6664221,100.0,0.034336846,
100,1.3442522,-127.34142211616026,0.56319654,-60.999622,-93.088806,4699.132,4.9238176,30.98,22.479513,[ 0.806 -0.351  0.164  0.336 -0.053],-88.50834,10.0,457.1443,100.0,0.83763474,-99.55278,700,0.49904227,7,27516,107.0325493812561,-65.07611,-97.64777,1.3905847,51.280663,99.976494,0.00027340784,
100,1.3987861,-131.98427280489068,0.68425834,-73.435425,-93.29123,5918.393,1.5831923,35.51,9.086746,[ 0.731 -0.392  0.098  0.28  -0.075],-89.10343,10.0,83.299095,100.0,0.9186805,-99.614136,800,0.23781057,8,31067,125.19598031044006,-70.700615,-97.78024,1.4126273,13.925124,100.0,0.030373668,
100,1.2742949,-132.494087191352,0.5643904,-63.577827,-93.77671,6450.8535,4.329081,36.01,7.638662,[ 0.634 -0.396  0.061  0.325 -0.02 ],-88.43243,10.0,242.7699,100.0,0.9875364,-99.551315,900,0.54212207,9,34668,140.50852489471436,-67.95383,-97.75188,1.4070212,35.941452,100.0,9.157697e-06,
100,1.1956737,-138.99538998124228,0.4145671,-50.338882,-94.81746,7775.7,15.498665,42.29,13.886982,[ 0.61  -0.507  0.057  0.421 -0.145],-90.5402,10.0,1424.7772,100.0,1.0107684,-99.7594,1000,1.095756,10,38897,157.75359296798706,-57.52113,-97.96728,1.2611542,135.48236,100.0,1.0103542e-05,
100,1.1783261,-129.46260265720875,0.5140914,-58.955944,-94.66806,12203.655,9.411081,32.61,73.49931,[ 0.673 -0.396  0.059  0.488 -0.223],-90.75539,10.0,415.4565,100.0,1.3075553,-99.56602,1100,0.8722338,11,42158,172.97578358650208,-66.565735,-98.01778,1.2860547,146.04839,100.0,0.00016345698,
100,1.186879,-127.5789805663974,0.709926,-71.46367,-94.38285,5558.3794,1.9174409,30.78,7.5058465,[ 0.727 -0.272  0.05   0.464 -0.241],-90.79937,10.0,116.25078,100.0,0.9321269,-99.46609,1200,0.23082554,12,45236,188.22007775306702,-71.98686,-98.006805,1.1577345,12.5563135,100.0,0.013050308,
