MaxIW,J_sample_variance,ReturnStepMaxmin,StdIW,Iteration,TimeElapsed,EpThisIter,EntropyCoefficient,MinD2w0t,StdD2w0t,ReturnStepMax,TimestepsSoFar,InitialReturnMax,Weights,MeanIW,InitialBound,EpRewMean,MeanEntropy,InitialReturnMean,ReturnMeanIW,InitialReturnMin,Bound,EpisodesSoFar,MinIW,EpLenMean,MeanD2w0t,EmpiricalD2,InitialReturnStd,MaxD2w0t
36.24285,4468.3945,99.00072,1.2051435,1,7.418821573257446,100,10.0,,5.1400867,100.0,3540,-45.291973,[-0.563 -1.093 -0.809 -1.04   0.   ],0.46577242,-68.798004,-107.5568281044892,1.3294697,-79.2192,-35.065994,-95.935974,-38.249187,100,1.0553922e-05,35.4,0.6672856,46.919254,12.600159,371.36957
5.0048227,2277.9656,99.0,0.61251706,2,26.81280255317688,100,10.0,,1.1412476,100.0,7407,-27.549427,[-0.619 -1.106 -0.756 -1.007 -0.09 ],0.6856349,-66.77713,-106.37207317335313,1.3384175,-76.26558,-55.288616,-94.22635,-49.313744,200,0.0038832973,38.67,0.23952195,4.0208125,14.434409,22.770874
8.784239,3886.1445,99.0,0.85968643,3,44.79667949676514,100,10.0,,3.2702825,100.0,11567,-9.1843815,[-0.767 -1.067 -0.813 -0.989 -0.08 ],0.5877972,-65.42129,-107.30383785474018,1.3964843,-74.86282,-46.10827,-92.58311,-43.78919,300,0.015007583,41.6,0.45652547,36.27976,14.033954,164.71426
13.736934,11727.879,99.0,1.411457,4,60.479464530944824,100,10.0,,1.8326308,100.0,15660,-32.554596,[-0.823 -1.071 -0.809 -0.932 -0.022],0.77622235,-65.94615,-108.26065197071888,1.4254234,-76.0465,-59.611565,-95.65824,-55.029884,400,0.010198613,40.93,0.38535923,14.014248,14.175738,52.205734
14.062817,5310.1294,99.00007,1.0265309,5,74.53442406654358,100,10.0,,3.537091,100.0,19506,-38.289097,[-0.83  -1.059 -0.739 -0.906  0.007],0.48454288,-67.17684,-107.89203576447835,1.3427736,-77.57044,-40.582237,-95.93989,-40.67485,500,0.00052807044,38.46,0.5426916,27.033031,13.448395,199.22
5.4671154,3890.5732,99.00001,0.917889,6,91.80623936653137,100,10.0,,1.0868893,100.0,23815,-19.061499,[-0.837 -1.095 -0.691 -0.892 -0.076],0.79291284,-63.443665,-105.9638023085197,1.3028495,-73.03709,-60.41668,-91.95943,-54.710762,600,0.0016371213,43.09,0.26307535,3.7557478,14.796903,12.190903
16.07559,5982.829,99.00002,1.1730363,7,108.58765959739685,100,10.0,,3.2133744,100.0,28137,-40.68427,[-0.807 -1.084 -0.72  -0.856 -0.116],0.68468094,-64.93429,-107.52381391670947,1.2797616,-74.134056,-52.96205,-95.900055,-50.906567,700,0.0012653437,43.22,0.49165335,20.321854,13.640976,133.027
17.556147,7289.7476,99.0,1.3264887,8,125.5415186882019,100,10.0,,2.5052333,100.0,32786,-31.315554,[-0.794 -1.11  -0.712 -0.812 -0.139],0.70874596,-62.48207,-106.94008988372276,1.325224,-71.36435,-51.56085,-94.11747,-49.150375,800,0.012126524,46.49,0.44282046,19.218987,14.189692,112.37016
11.364276,3668.2056,99.0,0.7884144,9,143.04207015037537,100,10.0,,3.9175258,100.0,37316,-26.972479,[-0.79  -1.131 -0.685 -0.783 -0.094],0.51053977,-62.810154,-106.46463910237927,1.3095627,-72.118454,-42.03859,-92.447296,-42.003082,900,0.00023299371,45.3,0.61933064,29.547297,14.654464,185.47372
7.3410945,781.2631,99.0,0.43222165,10,158.61662435531616,100,10.0,,4.1713843,100.0,41921,-32.52553,[-0.782 -1.109 -0.726 -0.807 -0.109],0.4394735,-63.4506,-107.88179193164126,1.3758875,-72.626465,-34.85362,-94.07291,-34.582855,1000,0.005161716,46.05,0.8336253,28.750673,14.673975,146.55217
