ReturnStepMaxmin,InitialBound,InitialReturnMean,MaxIW,MinIW,MeanIW,Weights,StdIW,InitialReturnMin,MaxD2w0t,J_sample_variance,EpLenMean,ReturnStepMax,EmpiricalD2,Iteration,TimeElapsed,MeanEntropy,EpThisIter,EpisodesSoFar,ReturnMeanIW,EntropyCoefficient,Bound,InitialReturnStd,TimestepsSoFar,MeanD2w0t,InitialReturnMax,EpRewMean,MinD2w0t,StdD2w0t
89.15846,374.94638,8.392334e-07,3.8141809,0.12565593,1.0966939,[ 0.867 -0.5   -0.634  0.472  0.   ],0.62082666,-2.51548,2.406237,63815.46,21.25,100.0,1.3400061,1,3.985227108001709,1.3691442,100,100,483.16156,10.0,398.38193,1.5804397,2125,0.05122828,5.4108276,-115.19138151004096,,0.24620134
89.48134,361.3199,5.340576e-06,169.4562,0.0001062241,2.905758,[ 0.899 -0.507 -0.648  0.43  -0.05 ],17.063507,-3.199913,279.977,41553136.0,21.95,100.0,44.72998,2,10.320559978485107,1.2001818,100,200,1160.2242,10.0,788.9147,2.4405801,4320,0.5198119,7.6651917,-115.03170737890827,,4.7693586
89.17703,375.5676,3.5095215e-06,5.0110016,0.20889118,1.1143973,[ 0.965 -0.451 -0.666  0.337 -0.219],0.67287457,-4.0829163,1.9534973,78675.87,21.03,100.0,1.3509324,3,17.144604921340942,1.1970642,100,300,488.81445,10.0,409.84515,2.3399024,6423,0.052447684,6.0665817,-113.0672130505821,,0.25351518
88.59479,400.3593,4.119873e-06,455.04276,2.7444466e-06,4.7976894,[ 0.993 -0.492 -0.713  0.342 -0.222],44.033127,-3.4515076,897.63513,260059980.0,19.95,100.0,277.66144,4,23.12083864212036,1.1520792,100,400,1861.4415,10.0,1069.2562,2.504977,8418,1.4266789,6.990486,-112.15581622010933,,19.695929
87.71571,445.71048,-6.408691e-06,50.90857,0.00030752295,1.71383,[ 1.011 -0.423 -0.766  0.341 -0.267],5.2500305,-3.279625,56.82355,5364974.0,18.34,100.0,14.991031,5,29.058571577072144,1.0358287,100,500,829.54504,10.0,652.5587,2.4265466,10252,0.17171991,7.0018387,-110.79312512164559,,1.4565632
88.70808,398.0684,-1.7547608e-06,55.431244,0.0012365491,1.6398125,[ 0.989 -0.481 -0.758  0.391 -0.383],5.7483277,-3.264389,147.46478,4977967.0,20.0,100.0,23.625357,6,35.587517499923706,0.98732096,100,600,731.0369,10.0,539.5246,2.5278928,12252,0.1507582,6.214966,-112.18493595747091,,1.8225887
88.43568,406.76328,-4.119873e-06,418.1878,0.00045053993,3.2629013,[ 1.156 -0.497 -0.79   0.43  -0.432],24.977678,-3.8074112,823.6338,115146680.0,19.66,100.0,51.3214,7,41.889859199523926,0.932955,100,700,1452.8975,10.0,1118.9673,2.3036683,14218,0.57361835,6.0247116,-111.71371425769381,,10.019927
88.058464,423.28482,9.765625e-06,29777.715,2.8426605e-08,79.24612,[ 1.213 -0.446 -0.743  0.313 -0.486],811.0602,-3.896881,342720.94,131359334000.0,19.09,100.0,5955.5195,8,48.52242588996887,0.7884095,100,800,36571.7,10.0,26671.842,2.6265259,16127,110.03516,7.08477,-111.10685273306488,,4007.428
88.9158,382.0375,1.2207031e-06,437.8199,7.879569e-05,5.4307976,[ 1.234 -0.357 -0.627  0.35  -0.631],42.77574,-3.5626068,3672.9194,259240450.0,20.51,100.0,133.05573,9,56.32344031333923,0.7704246,100,900,2151.9954,10.0,1284.9929,2.020682,18178,0.6869203,4.5241013,-112.68908904337502,,23.023712
89.1955,366.29153,9.536743e-06,3.5623996,0.30491713,1.0548266,[ 1.222 -0.453 -0.664  0.392 -0.649],0.46942776,-3.2632828,1.3787373,31176.309,21.13,100.0,1.2696997,10,63.79173922538757,0.7718937,100,1000,461.4661,10.0,383.33414,2.1431751,20291,0.044841245,5.6645813,-113.75012966822344,,0.21410406
89.15196,373.63766,-4.7302246e-06,51.110577,0.00042577722,1.9072094,[ 1.239 -0.446 -0.669  0.396 -0.647],6.9172354,-3.0772476,69.111565,6013546.5,21.02,100.0,27.16517,11,69.99576330184937,0.73374724,100,1100,758.7947,10.0,563.7587,1.7734559,22393,0.19643793,5.0032043,-113.60843321519413,,1.8148742
89.137,358.67737,-1.5258789e-07,19.82188,0.005413796,1.3081675,[ 1.196 -0.464 -0.636  0.377 -0.685],2.6682599,-2.9806442,26.409193,1086446.1,21.18,100.0,6.957388,12,76.79950523376465,0.7196171,100,1200,564.1932,10.0,432.61572,1.9599127,24511,0.09324539,7.891243,-113.98182321653633,,0.6045849
89.40381,347.09314,-6.1035157e-06,3.4045057,0.30031294,1.0501603,[ 1.158 -0.487 -0.629  0.398 -0.699],0.51107866,-3.0900574,1.5368867,35342.977,21.58,100.0,1.2408278,13,82.83046865463257,0.701514,100,1300,451.99542,10.0,361.30115,2.0607102,26669,0.04618024,6.28331,-114.3330039002628,,0.21808001
89.71538,338.67526,1.197815e-05,12.240846,0.009861568,1.2731429,[ 1.158 -0.505 -0.63   0.399 -0.718],1.7583252,-3.28331,6.715105,380156.2,22.38,100.0,3.5272534,14,89.15165948867798,0.68750006,100,1400,513.7027,10.0,408.1743,2.0744603,28907,0.06765624,5.620575,-114.90282713653231,,0.35210782
88.387695,407.93854,-9.918213e-07,14.915454,0.09320316,1.1608591,[ 1.188 -0.495 -0.647  0.417 -0.731],1.4853045,-2.4214401,8.2128935,427493.56,19.38,100.0,1.8659375,15,95.58121943473816,0.6812645,100,1500,552.0721,10.0,439.84665,1.6355779,30845,0.057373732,4.4960327,-112.43170124153357,,0.31053957
89.08214,372.3568,2.0599366e-06,1.9579614,0.4729466,1.0396335,[ 1.195 -0.481 -0.635  0.373 -0.738],0.2679847,-3.3665848,1.2442846,12128.922,20.77,100.0,1.0824816,16,101.56845211982727,0.66651213,100,1600,462.24783,10.0,383.68484,2.1898522,32922,0.043934863,5.9247284,-113.01716418626137,,0.2112704
89.16533,357.28284,-1.5258789e-06,2.704756,0.22910805,1.0800275,[ 1.196 -0.479 -0.628  0.378 -0.752],0.5056938,-2.785843,1.5698634,37378.117,21.35,100.0,1.3539218,17,107.10558485984802,0.6772234,100,1700,467.24576,10.0,381.2694,1.8892112,35057,0.04635601,6.7762985,-114.16154127091043,,0.22061472
88.88377,385.52008,1.2207031e-06,679.8,8.861477e-05,7.485976,[ 1.211 -0.469 -0.63   0.384 -0.742],65.46297,-3.2780075,883.99084,545196160.0,20.38,100.0,55.806164,18,112.67075943946838,0.6363321,100,1800,2818.8516,10.0,1812.3713,1.7038754,37095,1.6025412,4.567215,-113.000010147139,,24.224268
89.097046,372.88388,-4.8065185e-06,3.4719915,0.034832448,1.1350653,[ 1.219 -0.45  -0.581  0.415 -0.783],0.63127494,-2.6891785,2.5976865,66184.586,20.95,100.0,1.3443619,19,120.31225156784058,0.5750828,100,1900,502.85672,10.0,411.498,1.5700206,39190,0.050903633,4.549782,-114.20845744700108,,0.24681593
