InitialBound,MinIW,MeanEntropy,Iteration,TimeElapsed,EpLenMean,EpisodesSoFar,InitialReturnMax,ReturnStepMax,J_sample_variance,InitialReturnMean,MaxIW,StdIW,MinD2w0t,Weights,StdD2w0t,InitialReturnStd,EmpiricalD2,InitialReturnMin,Bound,MeanIW,ReturnStepMaxmin,EpThisIter,MaxD2w0t,TimestepsSoFar,MeanD2w0t,EpRewMean,ReturnMeanIW,EntropyCoefficient
106.31687,0.085924186,1.3661158,1,6.953263282775879,45.73,100,25.629276,100.0,61230.83,1.2969971e-06,16.948812,1.8631165,,[-0.365 -0.68  -0.484 -0.253  0.   ],0.4414687,8.854463,1.9466211,-16.882248,124.03461,1.313476,93.704056,100,3.2197604,4573,0.13468792,-121.62483749719935,226.00949,10.0
99.57088,0.0997857,1.3368856,2,21.750937700271606,47.3,200,23.862465,100.0,9034.924,-2.1743774e-06,4.179987,0.6567698,,[-0.364 -0.675 -0.465 -0.282 -0.053],0.3410876,9.454068,1.298825,-17.675896,108.872604,1.1187161,94.09412,100,1.6704016,9303,0.10952957,-120.23815048426721,189.44583,10.0
97.22044,0.3151719,1.3700949,3,34.19828653335571,47.28,300,27.793835,100.0,11252.818,3.7765503e-06,5.807418,0.7875693,,[-0.411 -0.654 -0.48  -0.273 -0.082],0.33634242,8.393957,1.278762,-17.590454,105.34428,1.1137064,94.058044,100,1.7518948,14031,0.10795611,-120.66915668619536,188.70793,10.0
101.44436,0.37272453,1.3574203,4,44.274765729904175,44.28,400,39.86926,100.0,4405.3896,1.2207031e-06,3.5755117,0.42466387,,[-0.432 -0.641 -0.473 -0.276 -0.049],0.30731124,9.3973,1.1168275,-15.583191,109.02463,1.0792048,93.71804,100,1.4483438,18459,0.095621504,-116.94291489707928,195.85025,10.0
95.79933,0.07595097,1.3245885,5,55.84667420387268,47.21,500,30.383255,100.0,17949.232,-5.1879883e-06,7.476992,1.0152856,,[-0.424 -0.614 -0.449 -0.282 -0.062],0.3993704,9.410389,1.612408,-19.32177,113.23008,1.2399431,94.05094,100,2.2413492,23180,0.12605955,-118.84804646751168,203.20892,10.0
108.34571,0.4897422,1.3155214,6,68.8003363609314,43.97,600,22.145054,100.0,1421.8274,1.6021728e-06,1.9939163,0.2410839,,[-0.415 -0.58  -0.453 -0.263 -0.094],0.29128432,8.535115,1.0608661,-17.288094,111.761185,1.0315003,93.85585,100,1.1077712,27577,0.090428405,-117.6288368427515,190.05765,10.0
113.08038,0.007930721,1.3241885,7,78.5993378162384,43.17,700,31.657509,100.0,4872057.0,1.7547608e-06,212.01762,16.650595,,[-0.426 -0.598 -0.464 -0.258 -0.103],2.395185,9.097353,9.67586,-16.45842,212.71638,2.8091269,93.68415,100,49.21113,31894,0.44844472,-116.79325132094021,443.1147,10.0
102.86078,0.16046798,1.3485364,8,92.82956075668335,46.0,800,24.876675,100.0,14221.149,1.9454956e-06,8.113437,0.85844874,,[-0.382 -0.529 -0.439 -0.201 -0.095],0.3451108,8.308559,1.3289447,-14.578186,109.02346,1.0988705,93.83464,100,1.7134736,36494,0.10894726,-121.3304595565374,195.31023,10.0
110.69095,0.7420498,1.3573043,9,104.3865749835968,45.26,900,18.856956,100.0,760.6858,-1.3732911e-06,1.7247701,0.16669591,,[-0.378 -0.559 -0.436 -0.214 -0.07 ],0.29166853,7.2180395,1.022651,-12.633324,112.16121,1.0115378,93.906395,100,1.0500479,41020,0.09201414,-122.4615309518288,187.70662,10.0
99.06911,0.3618726,1.3607103,10,115.65859746932983,47.07,1000,26.162914,100.0,6323.6074,-1.1367798e-05,5.027675,0.52514267,,[-0.369 -0.547 -0.423 -0.213 -0.062],0.32409316,9.400525,1.1851102,-15.297928,103.6725,1.0564941,93.95363,100,1.3256079,45727,0.104208946,-122.46349939889886,186.0249,10.0
84.17575,0.14380638,1.3463217,11,127.49917340278625,49.89,1100,21.269772,100.0,3286.9282,-2.9754638e-06,2.5145264,0.41669738,,[-0.37  -0.56  -0.413 -0.222 -0.058],0.32708785,9.19349,1.1733458,-18.74186,91.516014,1.0816743,94.31901,100,1.3526481,50716,0.10861546,-121.23433502690814,173.7576,10.0
90.7226,0.29774824,1.3622092,12,139.0296711921692,48.41,1200,25.49588,100.0,6298.0825,-7.705688e-06,4.7660236,0.58198345,,[-0.397 -0.588 -0.425 -0.229 -0.073],0.33391815,10.0237055,1.2077947,-17.649902,96.005745,1.0783116,94.12373,100,1.3630159,55557,0.10908488,-120.88121795299024,179.05022,10.0
72.71518,0.45476386,1.3536112,13,151.08814477920532,51.95,1300,33.40198,100.0,1338.3353,-3.4332274e-06,1.966915,0.25151342,,[-0.384 -0.593 -0.407 -0.232 -0.057],0.31611937,10.571894,1.0557922,-19.873909,75.02827,1.0275624,94.47806,100,1.1479219,60752,0.107598454,-119.52335891890802,155.8081,10.0
66.69427,0.21275483,1.3271183,14,163.2442877292633,53.76,1400,32.635067,100.0,5801.155,1.8692017e-06,3.8222623,0.585231,,[-0.38  -0.573 -0.392 -0.235 -0.065],0.351443,10.219265,1.1975049,-18.699913,76.46304,1.1351889,94.493225,100,1.4976485,66128,0.12157794,-122.13878497430666,165.25732,10.0
73.934204,0.13959284,1.3652637,15,177.61980390548706,52.05,1500,25.642624,100.0,34675.21,-1.2588501e-06,16.27793,1.810633,,[-0.354 -0.546 -0.362 -0.241 -0.092],0.41249758,10.063761,1.7029793,-20.40731,84.527435,1.2424335,94.35694,100,2.701014,71333,0.13722727,-120.84261215603425,179.66615,10.0
66.23865,0.47630632,1.3672991,16,190.18288826942444,54.18,1600,26.2518,100.0,957.7883,8.773804e-07,2.4572413,0.26944226,,[-0.347 -0.512 -0.35  -0.255 -0.054],0.3188481,10.519131,1.0671816,-19.986298,69.75613,1.0376478,94.55762,100,1.1541389,76751,0.11112136,-122.18508923489232,151.15697,10.0
75.61513,0.37227866,1.363749,17,202.73123049736023,50.62,1700,33.000275,100.0,1252.5565,-6.67572e-06,2.4117858,0.27638325,,[-0.377 -0.518 -0.362 -0.25  -0.052],0.31256726,9.068392,1.0606943,-16.12902,79.039055,1.0488471,94.38546,100,1.2563277,81813,0.10481708,-119.59879714682758,162.83875,10.0
68.01568,0.22844125,1.3623942,18,216.300390958786,53.94,1800,39.65592,100.0,4334.579,2.1362305e-06,3.5845246,0.60798943,,[-0.398 -0.51  -0.364 -0.254 -0.055],0.3546862,10.487116,1.3412164,-16.981316,75.91276,1.1218077,94.49847,100,1.7507404,87207,0.12254775,-121.41103443872576,161.02623,10.0
56.643574,0.18469913,1.355351,19,228.73115825653076,55.22,1900,39.099762,100.0,8668.299,3.0899048e-06,6.7105002,0.8913336,,[-0.415 -0.527 -0.373 -0.237 -0.056],0.37506503,11.643472,1.4427387,-20.112305,67.41354,1.1942112,94.675835,100,2.0315022,92729,0.1308626,-120.08801850146082,161.95978,10.0
44.10834,0.5606243,1.3574162,20,242.2114725112915,60.62,2000,32.349285,100.0,311.87158,2.8991699e-06,1.6463332,0.1950965,,[-0.419 -0.539 -0.361 -0.228 -0.064],0.33143187,11.371403,1.0357933,-19.303818,44.792957,1.022847,95.03602,100,1.0612314,98791,0.12309719,-122.15889459585442,127.04486,10.0
42.971905,0.35592192,1.3612161,21,258.5794804096222,61.37,2100,29.2439,100.0,1267.8174,1.9073487e-07,2.817924,0.35828277,,[-0.413 -0.534 -0.363 -0.229 -0.062],0.34583822,10.390714,1.1336488,-18.699173,46.97043,1.0696101,95.05263,100,1.2915508,104928,0.12915854,-122.7742065731207,131.2952,10.0
36.382652,0.7274399,1.3685439,22,272.06470704078674,63.34,2200,34.403683,100.0,331.84494,5.41687e-06,1.8527573,0.13254929,,[-0.427 -0.52  -0.362 -0.216 -0.058],0.3364888,10.713381,1.01798,-20.65313,37.21627,1.0121874,95.131744,100,1.0483172,111262,0.12815185,-123.74898021807822,121.29426,10.0
39.953354,0.507862,1.3641642,23,287.448504447937,62.43,2300,30.57639,100.0,564.3319,-1.2588501e-06,2.234863,0.28072527,,[-0.424 -0.516 -0.357 -0.219 -0.05 ],0.34326005,11.199838,1.0623025,-18.893906,42.541546,1.0615892,95.09295,100,1.1639515,117505,0.12958154,-124.63198797350671,127.79686,10.0
