StdD2w0t,InitialBound,ReturnStepMax,EpisodesSoFar,MaxIW,StdIW,ReturnStepMaxmin,Weights,InitialReturnMin,EpThisIter,Iteration,InitialReturnMax,MeanIW,EpLenMean,ReturnMeanIW,J_sample_variance,MaxD2w0t,MeanD2w0t,MinIW,TimeElapsed,Bound,TimestepsSoFar,MinD2w0t,MeanEntropy,InitialReturnMean,EmpiricalD2,EntropyCoefficient,InitialReturnStd,EpRewMean
0.29326034,124.34515,100.0,100,1.6955073,0.19002959,93.845825,[ 0.579 -0.554  0.227  0.402  0.   ],-2.4639435,100,1,6.4169464,1.0121086,46.09,210.50839,887.3178,1.0749708,0.09344269,0.6385795,8.088702917098999,125.52251,4609,,1.4267597,-3.8146973e-07,1.0324897,10.0,2.1648557,-141.8229098366061
0.30946076,141.4381,100.0,200,3.7558045,0.51962864,93.54115,[ 0.575 -0.538  0.228  0.398  0.008],-2.0469208,100,2,7.9071274,1.0796537,43.11,238.99907,8526.633,1.4938157,0.09471537,0.28771234,19.9788658618927,151.45135,8920,,1.435653,-4.653931e-06,1.2988489,10.0,1.8061604,-139.22053794671947
0.29891717,141.23528,100.0,300,2.5728917,0.32758304,93.5403,[ 0.588 -0.511  0.232  0.375  0.017],-1.8978577,100,3,6.858658,1.0482444,43.23,231.7909,3219.4492,1.2902629,0.09182875,0.24573469,31.338804721832275,145.54974,13243,,1.4092919,5.8746336e-06,1.1043742,10.0,1.598246,-139.6262971165262
0.2884269,159.42758,100.0,400,2.7460418,0.400758,93.17967,[ 0.602 -0.502  0.228  0.383 -0.01 ],-2.075798,100,4,5.478981,1.0420818,39.9,251.13814,6595.5864,1.3397522,0.08481941,0.34632546,41.62660264968872,165.00937,17233,,1.3896486,6.3323973e-06,1.162875,10.0,1.8372905,-136.06550173157237
0.3620918,150.78433,100.0,500,13.410521,1.4634175,93.308365,[ 0.595 -0.52   0.224  0.366 -0.029],-1.895546,100,5,5.500572,1.2209245,41.06,275.5087,58042.645,3.6984966,0.10436949,0.095337845,52.412720680236816,175.54698,21339,,1.4124708,-6.790161e-06,2.2647355,10.0,1.5651765,-137.37921880730585
0.30903792,126.108,100.0,600,2.4197328,0.37335846,93.81572,[ 0.538 -0.545  0.216  0.358 -0.007],-2.2980347,100,6,6.878929,1.0626742,45.94,219.89156,3807.482,1.3632318,0.098152794,0.3238689,64.23288464546204,131.74686,25933,,1.3892975,1.6784668e-06,1.1594298,10.0,1.6857882,-142.0529780961644
0.3092561,125.2227,100.0,700,2.5824752,0.48724502,93.81349,[ 0.544 -0.534  0.224  0.373 -0.03 ],-2.099327,100,7,6.2130356,1.065861,45.98,219.89929,6297.8325,1.4169497,0.09815117,0.21186177,76.46338033676147,131.44788,30531,,1.3765825,-2.7465821e-06,1.2781973,10.0,1.6908877,-142.22798791571603
0.39550385,150.26784,100.0,800,13.968743,1.3054883,93.33583,[ 0.567 -0.515  0.23   0.38  -0.042],-2.120163,100,8,5.972412,1.172324,41.25,274.4156,74591.03,3.4834118,0.11448072,0.08779295,89.86646509170532,167.94075,34656,,1.3784652,1.4495849e-05,1.9105107,10.0,1.6601456,-137.44835569802424
0.33409503,168.94472,100.0,900,4.9286985,0.66002303,93.01993,[ 0.548 -0.449  0.228  0.328 -0.04 ],-2.0147629,100,9,4.983528,1.1100264,38.64,275.48883,21886.129,2.4950023,0.09466006,0.24637322,100.14673590660095,182.2773,38520,,1.3789934,-3.2806397e-06,1.3124448,10.0,1.4918103,-134.8549997450785
2.9182339,185.65903,100.0,1000,152.0121,11.506243,92.67638,[ 0.561 -0.46   0.224  0.271 -0.04 ],-2.2194366,100,10,5.0880127,2.6318994,36.07,582.6296,5008524.5,81.94832,0.37701914,0.0035101208,110.30402660369873,354.76053,42127,,1.405723,1.6784668e-06,41.599987,10.0,1.5367503,-132.03979508904095
0.3008724,131.16055,100.0,1100,2.0201457,0.31937984,93.760254,[ 0.49  -0.541  0.203  0.275 -0.013],-2.1586838,100,11,4.781784,1.0423135,45.3,218.77713,3049.2104,1.1847267,0.09490568,0.43778118,122.44976496696472,134.9461,46657,,1.4188342,-5.264282e-06,1.1097894,10.0,1.8530446,-141.33038499637343
1.0386503,141.60683,100.0,1200,70.11043,7.0332656,93.510895,[ 5.070e-01 -5.425e-01  2.100e-01  2.937e-01 -2.144e-04],-1.9689484,100,12,7.759598,1.8061353,42.89,360.8461,1328585.9,34.790546,0.21359204,0.0025417604,133.8616030216217,190.33199,50946,,1.3702103,-3.7384034e-06,6.28937,10.0,1.728246,-139.15902949554402
