ReturnMeanIW,EpisodesSoFar,InitialReturnMin,J_sample_variance,EpRewMean,MinIW,EpThisIter,StdIW,InitialReturnMean,TimeElapsed,StdD2w0t,MaxIW,MeanEntropy,ReturnStepMaxmin,InitialBound,Iteration,MaxD2w0t,ReturnStepMax,EmpiricalD2,TimestepsSoFar,Bound,InitialReturnStd,MeanD2w0t,Weights,EpLenMean,InitialReturnMax,MeanIW,MinD2w0t
-79.611115,100,-96.24779,120.24761,-108.1894935537418,0.95368654,100,0.015035177,-79.87676,8.083284616470337,0.25547513,1.0288843,1.4183288,99.00009,-1804.5105,1,1.0004671,100.0,1.0002578,3509,-1804.3789,10.794411,0.070188835,[-0.822 -0.493 -0.474 -0.749  0.   ],35.09,-46.38131,0.9964173,
-78.55873,200,-95.66263,164.13043,-107.96432218184422,0.9713974,100,0.008847979,-78.68538,21.24710988998413,0.2608139,1.033776,1.418952,99.00009,-1876.1322,2,1.0002211,100.0,1.0001001,7179,-1876.0696,12.812719,0.073403664,[-8.219e-01 -4.930e-01 -4.749e-01 -7.491e-01 -6.501e-04],36.7,-39.21174,0.99837273,
-80.37832,300,-95.265205,127.22339,-108.19090824887031,0.98210484,100,0.006346143,-80.428406,32.85636925697327,0.25324687,1.0132933,1.4192889,99.0,-1816.2903,3,1.000127,100.0,1.000048,10623,-1816.2639,11.179728,0.06888122,[-8.225e-01 -4.932e-01 -4.749e-01 -7.492e-01  5.368e-05],34.44,-38.514595,0.99922955,
-78.96414,400,-96.170456,159.45074,-107.14907096587973,0.9878654,100,0.002812427,-78.982346,44.24664568901062,0.25581554,1.0081022,1.4193697,99.0,-1872.3126,4,1.0000328,100.0,1.0000081,14143,-1872.3025,12.5473385,0.07040028,[-8.219e-01 -4.933e-01 -4.750e-01 -7.494e-01  2.870e-04],35.2,-44.031662,0.9997379,
-78.91469,500,-96.77204,132.91774,-107.82156103483871,0.93132305,100,0.023285879,-79.43413,54.28860950469971,0.25647545,1.0848454,1.4200119,99.0,-1820.716,5,1.0010371,100.0,1.0005713,17681,-1820.4497,11.617956,0.07077572,[-8.220e-01 -4.931e-01 -4.749e-01 -7.494e-01  3.959e-04],35.38,-38.828423,0.9934265,
-78.6521,600,-95.94346,153.78598,-107.94431015359085,0.9694178,100,0.011032943,-78.87102,64.12360525131226,0.25947228,1.0283786,1.4210111,99.0,-1895.5685,6,1.0003666,100.0,1.0001675,21310,-1895.4537,12.248979,0.07258577,[-0.823 -0.494 -0.475 -0.749  0.001],36.29,-39.465252,0.9968008,
-79.162224,700,-94.53549,136.58838,-107.60660503919487,0.96668154,100,0.0077891066,-79.26368,73.69487619400024,0.25579184,1.0258279,1.421868,99.00002,-1798.0819,7,1.000184,100.0,1.0000733,24829,-1798.028,11.59782,0.07038309,[-0.823 -0.494 -0.475 -0.749  0.002],35.19,-40.454273,0.9985323,
-79.621216,800,-96.22575,119.36986,-108.31715418725693,0.96403915,100,0.00887616,-79.734924,82.42539882659912,0.2565003,1.0252721,1.4209883,99.00029,-1831.4854,8,1.0002289,100.0,1.0000732,28369,-1831.4258,10.795464,0.07080344,[-0.823 -0.495 -0.475 -0.749  0.003],35.4,-51.86041,0.9983108,
-79.29435,900,-95.64657,147.72327,-107.20048808232163,0.9818101,100,0.0046338136,-79.32933,92.24223327636719,0.25467613,1.023099,1.4208772,99.000015,-1916.4706,9,1.0000944,100.0,1.0000209,31855,-1916.4523,12.0898285,0.06972094,[-0.823 -0.495 -0.475 -0.75   0.002],34.86,-42.748936,0.99951345,
-80.15057,1000,-94.95201,122.09251,-108.86485351393135,0.9598212,100,0.010137743,-80.25311,101.52953243255615,0.25630438,1.0222458,1.4200134,99.00004,-1793.1167,10,1.0001613,100.0,1.000066,35389,-1793.0583,10.941621,0.07068316,[-0.822 -0.495 -0.475 -0.75   0.002],35.34,-38.205685,0.99843556,
-79.781845,1100,-94.40381,131.84387,-107.33943737509948,0.96875894,100,0.0074963043,-79.8601,110.95880770683289,0.25236654,1.0191509,1.4205589,99.00007,-1831.6105,11,1.0001414,100.0,1.00006,38807,-1831.5696,11.4030075,0.06836215,[-0.821 -0.495 -0.474 -0.75   0.001],34.18,-40.183666,0.9988791,
-79.430374,1200,-96.53897,132.88226,-108.02260812108497,0.9682848,100,0.010717016,-79.58567,121.02009963989258,0.25619575,1.0228946,1.4198993,99.00011,-1859.9934,12,1.0002744,100.0,1.0001336,42338,-1859.9148,11.50391,0.07062422,[-0.821 -0.495 -0.474 -0.75   0.002],35.31,-41.644672,0.9980675,
-82.07305,1300,-94.550995,97.28718,-109.21774396504885,0.9479277,100,0.016878223,-82.56368,130.1375026702881,0.24584034,1.0346011,1.4190365,99.0,-1834.3141,13,1.0015786,100.0,1.0002869,45567,-1834.0547,9.603836,0.06459466,[-0.821 -0.496 -0.474 -0.75   0.001],32.29,-56.066414,0.99347377,
-78.42606,1400,-94.876656,165.84772,-107.35816779723272,0.95448005,100,0.013007513,-78.60256,139.62976837158203,0.25869384,1.025367,1.4180547,99.00001,-1876.0493,14,1.000245,100.0,1.0001255,49173,-1875.9528,12.813037,0.07212464,[-8.195e-01 -4.958e-01 -4.733e-01 -7.512e-01  1.821e-04],36.06,-34.75345,0.9976559,
-75.98181,1500,-95.02616,187.5937,-108.14347940534772,0.95285875,100,0.016147776,-76.55511,149.28986287117004,0.2714695,1.0308592,1.4199276,99.0,-1889.5728,15,1.0008395,100.0,1.0003875,53177,-1889.2689,13.295654,0.080097854,[-0.82  -0.496 -0.473 -0.751 -0.001],40.04,-33.128475,0.99113953,
-82.09707,1600,-94.916405,114.96899,-108.33798627477952,0.9652728,100,0.01057948,-82.3142,159.33839011192322,0.24441077,1.0379361,1.4198992,99.00004,-1823.5961,16,1.0003197,100.0,1.0001303,56367,-1823.4694,10.608907,0.063804865,[-0.819 -0.496 -0.473 -0.752  0.001],31.9,-39.89383,0.9971498,
