MinIW,J_sample_variance,EpThisIter,InitialReturnMean,EpRewMean,InitialReturnMax,Iteration,EntropyCoefficient,EpisodesSoFar,Weights,EmpiricalD2,MaxD2w0t,MeanEntropy,InitialBound,StdIW,InitialReturnStd,ReturnStepMaxmin,InitialReturnMin,MinD2w0t,TimestepsSoFar,MaxIW,ReturnStepMax,Bound,TimeElapsed,StdD2w0t,MeanIW,EpLenMean,ReturnMeanIW,MeanD2w0t
0.0019347318,204967860.0,100,-176.12457,-108.1894935537418,-142.62909,1,10.0,100,[-0.822 -0.493 -0.474 -0.749  0.   ],5.723669,18.103197,1.3329121,-21248.164,0.85231173,10.794412,292.49557,-192.49557,,3509,6.452904,292.49557,-16696.188,9.515014886856079,0.80754423,0.61646026,35.09,-12860.083,0.17901117
0.017888883,93991944.0,100,-178.18198,-109.1834464260294,-155.03786,2,10.0,200,[-0.823 -0.466 -0.509 -0.754 -0.086],4.0949965,12.311071,1.3267804,-21193.422,0.58984387,9.926708,292.7674,-192.7674,,6834,3.99614,292.7674,-17790.457,26.65548348426819,1.0060765,0.68699354,33.25,-13944.434,0.21350835
0.08145908,103903310.0,100,-173.21152,-106.12429227035473,-118.67682,3,10.0,300,[-0.844 -0.47  -0.469 -0.79  -0.092],2.144665,6.321203,1.3466514,-21370.521,0.65003496,14.123297,291.63385,-191.63387,,10507,4.980785,291.63385,-20185.209,42.29223847389221,0.4313825,0.86451447,36.73,-16844.154,0.111021765
0.0006174464,282380130.0,100,-176.71324,-108.21855056904695,-146.02321,4,10.0,400,[-0.885 -0.505 -0.471 -0.804 -0.072],6.644023,19.84446,1.3248098,-21030.164,1.0938187,10.350432,290.23804,-190.23802,,13770,7.060731,290.23804,-19741.828,54.86974287033081,0.7591133,0.8212436,32.63,-15896.725,0.15889098
