Weights,EpThisIter,MinIW,MeanEntropy,MeanIW,Iteration,Bound,InitialBound,ReturnStepMaxmin,EpRewMean,MinD2w0t,StdIW,EntropyCoefficient,EpisodesSoFar,EpLenMean,ReturnMeanIW,TimestepsSoFar,MaxD2w0t,InitialReturnMin,ReturnStepMax,J_sample_variance,TimeElapsed,EmpiricalD2,MeanD2w0t,InitialReturnStd,InitialReturnMax,MaxIW,InitialReturnMean,StdD2w0t
[0.865 0.619 0.341 0.65  0.   ],100,0.58905846,1.447055,1.0445108,1,363.21002,351.29782,88.65788,-114.09164470450104,,0.28294188,100.0,100,20.14,485.0842,2014,1.167972,-3.0504456,100.0,14014.717,3.450021266937256,1.0813525,0.04192777,1.4360125,4.0299683,2.4543185,6.866455e-06,0.20475428
[0.872 0.623 0.356 0.664 0.028],100,0.003022448,1.4265068,2.051614,2,447.32123,323.6937,88.239426,-114.1227200348628,,8.1461735,100.0,200,20.01,904.93115,4015,96.49566,-3.0042038,100.0,11677775.0,15.051604270935059,9.87495,0.11659766,1.2369998,4.193924,77.91689,1.2969971e-06,1.0901712
[0.916 0.69  0.366 0.605 0.008],100,0.3686387,1.4726591,1.0846848,3,409.7729,388.7406,87.690125,-112.333886721804,,0.62870693,100.0,300,18.92,532.79913,5907,1.5095971,-3.2225494,100.0,81358.49,27.934105157852173,1.2352887,0.04225537,1.6696858,5.6133423,5.3478284,1.2207031e-05,0.21382728
[0.866 0.694 0.365 0.575 0.054],100,0.32077277,1.4987375,1.0859296,4,466.591,439.91565,87.18849,-112.0232738694028,,0.65029645,100.0,400,18.12,561.41376,7719,2.628438,-2.9374695,100.0,95094.555,40.03051996231079,1.3599542,0.040986728,1.5787851,6.1677704,6.897623,6.790161e-06,0.21463728
[0.872 0.729 0.335 0.56  0.08 ],100,0.4741169,1.483563,1.017112,5,415.6905,412.3052,87.603355,-112.75727541109126,,0.22840244,100.0,500,18.94,503.50864,9613,1.077178,-3.0242157,100.0,10902.992,52.78688883781433,1.0364869,0.038508363,1.5986147,5.215042,2.1728868,-1.5258789e-07,0.19410434
[0.901 0.723 0.341 0.548 0.065],100,0.29735136,1.4411844,1.1203344,6,426.51428,395.76178,87.50544,-112.24293995295629,,0.41728282,100.0,600,18.74,556.97644,11487,1.4790041,-3.3832855,100.0,37676.6,65.01255130767822,1.1765331,0.041671496,1.8381909,6.3656464,2.9533541,6.027222e-06,0.21182704
[0.933 0.702 0.37  0.538 0.022],100,2.965928e-05,1.3426908,34.723557,7,9052.336,356.51553,87.62151,-112.23780428912468,,339.6388,100.0,700,18.84,15784.837,13371,220403.45,-3.1763916,100.0,23367209000.0,80.07381343841553,4646.661,18.673607,1.7856625,4.931198,6801.288,-1.3504028e-05,1207.8555
[ 0.9    0.83   0.32   0.757 -0.076],100,0.22331318,1.3171492,1.0932536,8,406.90076,381.58685,87.858086,-113.49413697601533,,0.5121511,100.0,800,19.18,533.60754,15289,1.5251684,-2.2287064,100.0,50539.324,97.31856679916382,1.2911795,0.041316114,1.3265903,4.19915,3.0763168,1.2054444e-05,0.20769782
[ 0.891  0.8    0.316  0.742 -0.102],100,0.3407247,1.3506289,1.1429627,9,402.5462,357.5622,88.158295,-113.606345333598,,0.6054467,100.0,900,19.21,556.87177,17210,2.0640297,-2.469719,100.0,72957.99,112.61389684677124,1.3317834,0.043631934,1.3320327,4.6354904,4.0064626,1.0299683e-05,0.2201817
[ 0.935  0.799  0.338  0.78  -0.068],100,0.014632961,1.3339244,1.6346489,10,413.424,355.96033,88.457954,-114.55940902016042,,5.7351074,100.0,1000,20.27,721.03906,19237,49.567734,-2.9263992,100.0,5100598.5,124.81975293159485,6.347577,0.09646426,1.192889,2.710518,57.294243,-6.713867e-06,0.79863316
