EmpiricalD2,StdIW,Iteration,MaxIW,MinD2w0t,MeanIW,Weights,TimeElapsed,EpisodesSoFar,ReturnMeanIW,TimestepsSoFar,EpThisIter,InitialBound,MinIW,InitialReturnStd,EpRewMean,MeanD2w0t,InitialReturnMean,InitialReturnMin,MaxD2w0t,EpLenMean,Bound,J_sample_variance,ReturnStepMaxmin,InitialReturnMax,ReturnStepMax,MeanEntropy,EntropyCoefficient,StdD2w0t
1.0478642,0.29021186,1,2.4639997,,1.0610425,[-0.563 -1.093 -0.809 -1.04   0.   ],5.421085834503174,100,233.81082,3540,100,-55.15161,0.4624123,12.600159,-107.5568281044892,0.073040694,-1.2207031e-06,-16.716774,1.1044705,35.4,-49.39929,2857.2327,92.924065,33.927227,100.0,1.4254429,10.0,0.26471007
3.0979407,3.6064668,2,27.958263,,1.6526666,[-0.576 -1.087 -0.816 -1.027  0.007],17.472713708877563,200,330.48428,7148,100,-65.49562,0.03825589,14.42625,-106.94304446473407,0.113809004,-3.1280517e-06,-17.257652,6.1640186,36.08,-41.84791,352178.72,93.07194,54.66076,100.0,1.4232745,10.0,0.4414341
1.016067,0.1134115,3,1.3620856,,1.018547,[-0.62  -1.095 -0.791 -1.008  0.004],29.787142515182495,300,190.77115,11212,100,-94.22316,0.7316315,13.898683,-107.72078730683005,0.08195971,1.1444092e-06,-20.51928,1.031359,40.64,-92.58778,507.38522,93.69878,42.273373,100.0,1.4141741,10.0,0.27555045
1.0199673,0.14050566,4,1.6886909,,1.0235497,[-0.621 -1.089 -0.791 -1.007 -0.005],40.91326308250427,400,182.70259,15348,100,-102.61124,0.6802273,16.0556,-105.35841739851034,0.08344256,-4.15802e-06,-21.167046,1.0368016,41.36,-100.54681,664.2915,93.905334,42.856407,100.0,1.4238214,10.0,0.27786627
1.0128168,0.104901925,5,1.5843933,,1.0231602,[-0.612 -1.093 -0.793 -1.013  0.005],51.76449990272522,500,209.69102,19108,100,-77.17831,0.7524125,13.844321,-107.40411097347058,0.07571756,-7.2479247e-07,-17.560753,1.0519555,37.6,-74.944885,496.88412,93.287025,38.117188,100.0,1.4246991,10.0,0.26554313
1.051893,0.28574005,6,2.0662525,,1.0586689,[-0.627 -1.083 -0.793 -1.005  0.006],62.31928539276123,600,216.66241,22918,100,-65.05495,0.55286545,11.68288,-109.04170840031222,0.078732595,-4.53949e-06,-17.298447,1.1406415,38.1,-60.35936,2987.3538,93.27603,32.2389,100.0,1.4326158,10.0,0.2742408
1.0134736,0.12098084,7,1.4806559,,1.0187505,[-0.641 -1.076 -0.784 -1.005  0.014],73.28669857978821,700,212.26628,26598,100,-69.62448,0.7627061,14.854181,-105.9465536693426,0.07425042,-7.2860717e-06,-19.103798,1.0301389,36.8,-67.67411,802.166,93.242035,44.922325,100.0,1.4418497,10.0,0.26343825
1.0235739,0.16250913,8,1.7013348,,1.0396558,[-0.635 -1.084 -0.783 -1.01   0.023],83.93170261383057,800,210.8167,30396,100,-79.61245,0.6629636,12.73204,-107.62792743298589,0.077276856,1.4495849e-06,-17.920097,1.0489088,37.98,-76.14987,1098.7169,93.33239,39.877678,100.0,1.428795,10.0,0.2695465
1.0174366,0.13987395,9,1.3727419,,1.0291826,[-0.646 -1.088 -0.793 -1.008  0.01 ],94.4691903591156,900,219.1857,34063,100,-82.73958,0.64207923,14.360986,-108.22650338485346,0.07415059,5.0735475e-06,-16.375542,1.0438948,36.67,-79.86282,967.0013,93.09728,58.21771,100.0,1.4346801,10.0,0.26357958
1.0485063,0.21782559,10,1.7954779,,1.0486553,[-0.653 -1.102 -0.801 -1.012  0.016],105.1952052116394,1000,224.2507,37702,100,-75.8297,0.5826985,13.28773,-107.7304433684418,0.07443212,-3.7765503e-06,-16.705147,1.1277094,36.39,-71.194786,1683.1422,93.079185,49.8348,100.0,1.44007,10.0,0.26574156
1.0115527,0.0960459,11,1.2857354,,1.0104872,[-0.635 -1.101 -0.794 -1.023  0.021],115.84700512886047,1100,216.91913,41358,100,-67.60586,0.78044945,12.1795845,-107.9754373792072,0.07350626,9.918213e-07,-16.866539,1.0207001,36.56,-66.44862,362.4978,93.09325,37.127388,100.0,1.4361005,10.0,0.26170796
1.0144575,0.1187445,12,1.5384367,,1.0209037,[-0.634 -1.099 -0.797 -1.024  0.017],126.51914882659912,1200,202.54417,45204,100,-76.18027,0.7390218,14.539209,-106.37743706668783,0.07764963,-2.2888185e-06,-18.552193,1.036461,38.46,-74.09817,634.77496,93.468155,40.69172,100.0,1.4282892,10.0,0.2690082
