InitialBound,EpThisIter,EntropyCoefficient,StdIW,EpisodesSoFar,MeanD2w0t,Bound,ReturnStepMaxmin,MinD2w0t,MeanEntropy,EpRewMean,MaxD2w0t,TimestepsSoFar,MeanIW,InitialReturnStd,InitialReturnMean,StdD2w0t,MinIW,J_sample_variance,Weights,InitialReturnMin,TimeElapsed,ReturnMeanIW,EpLenMean,EmpiricalD2,InitialReturnMax,MaxIW,ReturnStepMax,Iteration
-5.6110687,100,100.0,0.24685758,100,0.11349919,-2.9323425,94.57265,,1.4296743,-151.3689476386113,1.073497,5578,1.0377712,2.49757,-1.0681152e-06,0.3203453,0.6339525,1011.92017,[ 0.74  -1.049  0.227  0.317  0.   ],-2.565277,15.927751302719116,177.0709,55.78,1.0491922,9.139626,2.277451,100.0,1
15.84259,100,100.0,0.2486993,200,0.099830136,20.700302,94.07037,,1.4402999,-144.32697978094828,1.1020198,10446,1.0472801,2.2662923,9.841919e-06,0.3040259,0.58405626,1581.5728,[ 0.747 -1.036  0.227  0.317  0.011],-2.653679,39.72736978530884,206.08609,48.68,1.051751,7.244713,2.0141492,100.0,2
-12.529037,100,100.0,0.04845833,300,0.11293377,-12.149185,94.60785,,1.4405178,-151.87011989138043,1.0100935,16079,1.0056648,2.3045409,2.9754638e-06,0.31693557,0.89470816,69.1285,[ 0.754 -1.033  0.23   0.33   0.021],-2.5675888,69.03238916397095,171.5427,56.33,1.0024697,7.150902,1.2262024,100.0,3
-16.88556,100,100.0,0.17475912,400,0.114395194,-14.299194,94.637115,,1.4452988,-151.6355366097405,1.0540057,21734,1.0307703,2.509668,-1.1367798e-05,0.32033983,0.66998136,470.40042,[ 0.75  -1.024  0.228  0.332  0.022],-2.8739014,99.07170176506042,173.80444,56.55,1.0285472,7.563156,1.6077881,100.0,4
-7.8242493,100,100.0,0.1028923,500,0.110627204,-5.6528015,94.49573,,1.4518331,-150.76200556960916,1.0450253,27212,1.0220506,1.9020854,-8.087158e-06,0.31540352,0.8242177,250.0642,[ 0.76  -1.024  0.231  0.325  0.026],-2.2250748,127.78407168388367,179.36823,54.78,1.0135379,6.863884,1.5810182,100.0,5
-3.1322021,100,100.0,0.14304231,600,0.10854885,-0.19638062,94.43239,,1.462675,-149.35128762928363,1.049983,32577,1.0244117,2.3323102,-3.2806397e-06,0.31311715,0.733088,397.36893,[ 0.763 -1.021  0.229  0.334  0.033],-2.4306793,155.52804565429688,183.36711,53.65,1.0223,9.104927,1.477536,100.0,6
-18.50415,100,100.0,0.1654017,700,0.11892586,-15.602692,94.74571,,1.4734739,-154.23949939720222,1.067151,38448,1.0319821,2.3380797,-1.0681152e-06,0.3260765,0.6495315,424.02194,[ 0.772 -1.025  0.232  0.334  0.044],-2.6385117,182.29497003555298,168.11055,58.71,1.027211,7.4063797,1.4771503,100.0,7
17.094376,100,100.0,0.35045928,800,0.101360194,23.482468,94.104904,,1.4841619,-144.8721158420488,1.154351,43363,1.0727844,2.177679,-9.994506e-06,0.307131,0.48804596,2724.6824,[ 0.782 -1.027  0.235  0.333  0.055],-2.6298676,206.86702275276184,206.64508,49.15,1.1133332,6.620178,2.110746,100.0,8
-12.591354,100,100.0,0.17356515,900,0.117254846,-10.746231,94.68481,,1.4773753,-153.9004451204997,1.0545065,49165,1.0320874,2.1153042,1.1444092e-06,0.323652,0.49678835,508.59195,[ 0.805 -1.022  0.239  0.337  0.065],-2.3159256,234.1334376335144,170.4671,58.02,1.0305548,8.040466,1.5436671,100.0,9
-2.520401,100,100.0,0.15132198,1000,0.11153613,0.18913269,94.52173,,1.4884828,-150.65245621012332,1.0632614,54665,1.0274429,2.334402,-7.095337e-06,0.3172919,0.6841625,471.3654,[ 0.793 -1.021  0.234  0.336  0.058],-2.5429993,259.73591685295105,179.27298,55.0,1.0215733,8.165268,1.5653133,100.0,10
