InitialReturnMax,MeanD2w0t,TimestepsSoFar,InitialReturnMin,Bound,J_sample_variance,EpLenMean,Iteration,InitialReturnMean,Weights,EmpiricalD2,MeanEntropy,ReturnStepMaxmin,MeanIW,MinD2w0t,ReturnMeanIW,MaxD2w0t,InitialBound,StdD2w0t,MinIW,MaxIW,TimeElapsed,ReturnStepMax,StdIW,EpThisIter,EpisodesSoFar,InitialReturnStd,EpRewMean
-90.729195,1.0641123,4609,-99.610085,-84.3342,7429.253,46.09,1,-97.14614,[ 0.579 -0.554  0.227  0.402  0.   ],57.023697,1.4188378,100.0,0.68766487,,-74.47855,746.2142,-99.41328,10.370617,0.0009456849,12.300915,7.454447984695435,100.0,1.149019,100,100,2.1648557,-141.8229098366061
-93.27166,1.2005357,9020,-99.81255,-54.376995,4390.6147,44.11,2,-97.6764,[ 5.335e-01 -5.892e-01  1.734e-01  4.643e-01 -2.060e-04],117.584816,1.3223568,100.0,0.33355632,,-44.221596,851.3569,-99.88911,13.450747,0.00023444317,26.014885,17.2899751663208,100.0,0.7543652,100,200,1.6492552,-140.4986499249612
-90.54479,1.863835,14362,-99.82849,-69.24042,7090.8496,53.42,3,-97.34667,[ 0.424 -0.64   0.133  0.483 -0.097],183.9115,1.3785346,99.988815,0.48580453,,-58.54418,1064.1383,-99.74627,16.408752,0.0021423537,22.871101,27.926119327545166,100.0,1.0721554,100,300,1.9159569,-149.40997797753988
-87.581696,0.55969006,21708,-99.74322,-87.47983,1233.379,73.46,4,-97.790276,[ 0.346 -0.733  0.12   0.467 -0.04 ],8.589008,1.3603222,100.0,0.7852414,,-82.09668,486.93185,-100.539246,7.50283,0.009196069,6.7985487,41.111496448516846,100.0,0.44256264,100,400,1.9883902,-169.75337749490322
-90.262764,1.976534,28314,-99.75956,-71.2585,4867.346,66.06,5,-97.44594,[ 0.294 -0.741  0.143  0.465 -0.059],110.60167,1.3812138,100.0,0.48744702,,-60.57205,706.24,-100.03983,16.143747,0.0024654919,10.74387,53.61461853981018,100.0,0.9384008,100,500,2.084421,-162.06970349273152
-89.754036,4.676168,37187,-99.73747,-68.21692,3356.7573,88.73,6,-96.69953,[ 0.226 -0.744  0.093  0.474 -0.038],202.79428,1.2895503,100.0,0.3884916,,-55.381958,2060.9883,-99.67413,42.24243,8.1859966e-05,12.792955,68.59270572662354,100.0,1.026507,100,600,2.456084,-183.6326949545779
-87.54294,2.7629278,51951,-99.874596,-78.930534,2408.5793,147.64,7,-96.925575,[ 0.148 -0.8    0.077  0.524 -0.129],91.06885,1.2816428,99.995804,0.53592026,,-70.517845,1044.9626,-100.82513,17.602396,0.0007578231,11.909233,92.44286370277405,100.0,0.79864,100,700,2.794548,-240.3770412003404
-88.62932,14.898986,70904,-99.757866,-92.293564,4359.8794,189.53,8,-96.66625,[ 0.074 -0.794  0.055  0.554 -0.137],109.187965,1.2906494,100.0,0.7273995,,-84.250046,6188.162,-101.234985,155.32019,0.0016303267,22.164774,122.43338012695312,100.0,1.1513758,100,800,2.8407753,-281.62746866486805
-88.035576,17.313902,96790,-99.71219,-87.20668,1823.4541,258.86,9,-96.33402,[ 0.082 -0.809  0.024  0.536 -0.128],214.58954,1.3143599,100.0,0.7055211,,-79.28423,7970.7803,-101.87882,186.89034,0.00039179946,15.167288,162.8687880039215,100.0,0.63754904,100,900,2.6262777,-341.7937355308535
-90.017914,9.300399,115834,-99.71712,-80.141045,9944.785,190.44,10,-96.73156,[ 0.119 -0.793  0.009  0.551 -0.105],121.986115,1.2823203,100.0,0.58333266,,-67.76137,3053.693,-101.300385,66.21894,0.00027635435,44.53503,193.5210645198822,100.0,1.5622721,100,1000,2.4315987,-281.6325723285712
-87.89124,31.518126,149116,-99.38028,-91.476685,3104.6853,332.82,11,-96.30006,[ 0.074 -0.829  0.004  0.453 -0.137],286.26547,1.2891804,100.0,0.7525547,,-80.79037,4252.506,-102.75715,135.31544,0.00048770997,8.31811,244.74890303611755,100.0,1.1762167,100,1100,2.8101735,-398.02911398030017
-86.37168,26.52557,183821,-99.49288,-86.187515,3691.5645,347.05,12,-95.0228,[ 0.06  -0.852 -0.024  0.437 -0.13 ],218.16109,1.2602603,100.0,0.6591261,,-75.19411,1442.9413,-101.660995,78.56007,5.2171443e-05,53.145473,297.78922843933105,100.0,1.3665311,100,1200,3.2557867,-409.19356216611527
-87.05557,18.128807,206644,-99.47757,-83.18697,3519.2727,228.23,13,-95.48376,[ 0.069 -0.82  -0.052  0.454 -0.159],164.92488,1.2568438,100.0,0.6171729,,-71.57636,1875.8596,-100.576515,92.632,3.5054254e-05,7.4203215,333.4098904132843,100.0,1.0031164,100,1300,3.3406441,-313.92896038169374
-89.29978,10.500079,226182,-99.92843,-88.873375,4904.6763,195.38,14,-96.091286,[ 0.125 -0.815 -0.056  0.529 -0.162],48.97502,1.2920232,100.0,0.7076895,,-78.490234,1239.3107,-100.708664,53.461395,0.0038824808,15.901762,364.0439963340759,100.0,0.89611655,100,1400,2.6913176,-284.625591830277
-83.61897,15.828206,243929,-99.6759,-71.38649,3636.959,177.47,15,-96.11481,[ 0.118 -0.838 -0.064  0.446 -0.127],158.89713,1.2500318,100.0,0.532979,,-58.397816,2251.9119,-100.50424,88.74608,8.102425e-05,13.128494,392.2999048233032,100.0,0.9711728,100,1500,2.9433367,-270.5762679865711
-87.812836,7.927841,258033,-99.93897,-87.34658,2925.2854,141.04,16,-96.45297,[ 0.15  -0.844 -0.076  0.55  -0.169],46.633717,1.30185,100.0,0.79423124,,-80.18881,2414.5046,-100.249954,84.29179,0.00872733,6.0959816,415.2448537349701,100.0,0.8474446,100,1600,3.106938,-234.05474473845854
-88.022095,8.612518,275738,-99.79408,-87.98828,5904.776,177.05,17,-96.68097,[ 0.174 -0.836 -0.063  0.505 -0.117],57.693016,1.3164295,100.0,0.7741418,,-80.62537,1815.9222,-101.04538,58.14153,0.0019519156,12.943928,442.793683052063,100.0,1.1632652,100,1700,2.8273392,-269.03303640120527
-84.99072,9.230582,289971,-99.79632,-86.09354,4595.549,142.33,18,-96.104836,[ 0.172 -0.868 -0.093  0.538 -0.102],102.34996,1.3831596,100.0,0.7251462,,-77.7273,1924.8595,-99.89986,67.609344,0.002702532,12.142986,466.04962396621704,100.0,1.0973215,100,1800,3.2854724,-233.93337258335384
-88.540634,6.2219696,301957,-99.757614,-78.55857,5121.743,119.86,19,-96.678406,[ 0.211 -0.881 -0.105  0.489 -0.036],132.33104,1.3036861,100.0,0.47214332,,-68.45333,2586.8416,-100.15321,52.43628,7.5268617e-06,23.823555,486.37172389030457,100.0,0.9398258,100,1900,2.8978205,-214.2020672849493
-85.59275,8.981365,314639,-99.84531,-67.38925,1897.289,126.82,20,-96.31369,[ 0.146 -0.923 -0.094  0.437 -0.115],214.25348,1.2857437,100.0,0.406375,,-52.868286,2673.0872,-99.89057,63.717358,2.7497426e-05,9.846706,506.80604243278503,100.0,0.7493862,100,2000,2.9623806,-220.5765916888597
-85.69864,15.85074,324750,-99.908516,-70.118706,2538.9915,101.11,21,-96.344574,[ 0.173 -0.89  -0.128  0.503 -0.133],299.80966,1.1835665,100.0,0.43339136,,-59.480038,25699.463,-99.51157,397.57462,0.00021411618,8.360892,524.2791223526001,100.0,0.695176,100,2100,3.2367399,-195.22255834209943
-86.40667,6.180865,336945,-99.745255,-72.03529,3137.7837,121.95,22,-96.509285,[ 0.136 -0.884 -0.104  0.524 -0.235],135.22868,1.2000699,100.0,0.53340524,,-60.703358,1853.5465,-100.01687,43.71457,2.9129673e-05,7.4271874,545.5943508148193,100.0,0.8697007,100,2200,3.247706,-216.23584463786509
-82.61835,0.3548965,348159,-99.71825,-92.523796,2858.086,112.14,23,-96.01033,[ 0.175 -0.854 -0.12   0.437 -0.219],1.8444077,1.1845709,100.0,0.9305798,,-88.613106,5.9641314,-99.33237,0.7244275,0.04653241,12.245619,564.3331618309021,100.0,0.9572582,100,2300,3.509824,-204.77807630828045
-87.732086,2.6592712,358403,-99.69895,-85.41151,4560.8076,102.44,24,-95.98227,[ 0.168 -0.831 -0.108  0.393 -0.234],29.235855,1.1046013,100.0,0.7305421,,-76.60016,553.9613,-99.15943,18.393314,5.041181e-06,9.207445,581.3101816177368,100.0,0.95952225,100,2400,3.1046236,-196.07885757127042
-85.68649,0.51589954,368035,-99.80777,-89.96957,3053.1873,96.32,25,-95.52545,[ 0.173 -0.859 -0.138  0.417 -0.314],2.771211,1.087411,100.0,0.8736609,,-85.194626,34.797848,-98.5937,1.8575699,0.0047413143,5.445551,598.3557391166687,100.0,0.727822,100,2500,3.6607614,-189.43360417304808
-86.071945,2.0108125,376027,-99.899635,-71.15994,4809.5566,79.92,26,-96.18507,[ 0.169 -0.906 -0.163  0.412 -0.331],32.75461,1.0175481,100.0,0.5029775,,-59.532177,318.5484,-98.980316,12.111072,0.0002990007,13.782438,612.5064289569855,100.0,0.841849,100,2600,3.0685678,-174.04494218983785
-86.41224,4.511644,385628,-99.755714,-69.03787,4089.554,96.01,27,-95.40112,[ 0.169 -0.924 -0.136  0.354 -0.401],147.4127,1.0079321,100.0,0.46702287,,-55.531445,1203.906,-98.44383,28.856373,0.00018156317,16.949087,628.5493855476379,100.0,1.0036223,100,2700,3.4210832,-188.84718190810338
-87.43725,4.407129,397323,-99.70041,-62.9962,1896.0895,116.95,28,-95.26669,[ 0.121 -0.87  -0.107  0.28  -0.411],121.81225,0.97640693,100.0,0.39009514,,-51.382446,802.83746,-98.6559,23.156527,0.00011495755,9.622085,648.4246728420258,100.0,0.7841716,100,2800,3.3875494,-209.38141845365442
-76.83382,2.2256446,406036,-99.74839,-71.05943,3531.1206,87.13,29,-95.37072,[ 0.148 -0.853 -0.134  0.263 -0.443],88.312386,0.9809576,100.0,0.3998308,,-61.20241,316.61533,-98.23296,11.664759,0.00090117916,17.326353,663.4099998474121,100.0,0.7362312,100,2900,3.745545,-179.96254141583563
-83.294624,3.1196926,418720,-99.76443,-72.716194,4178.556,126.84,30,-95.55025,[ 0.109 -0.853 -0.105  0.263 -0.438],35.98528,0.96089584,100.0,0.5536243,,-62.865726,410.4812,-99.101585,14.425073,0.00013318646,9.930477,683.4716005325317,100.0,0.8324375,100,3000,3.7941942,-219.35667424759734
-82.67756,2.1836424,428551,-99.87967,-70.94186,2618.7412,98.31,31,-95.191925,[ 0.112 -0.863 -0.134  0.301 -0.458],68.02436,0.9803463,100.0,0.4733814,,-61.116802,481.83917,-98.26973,11.640477,3.462627e-05,18.246176,699.7332799434662,100.0,0.7399108,100,3100,4.00463,-190.79632685934484
-80.64144,1.5609714,437326,-99.8241,-63.44072,2276.7278,87.75,32,-95.26513,[ 0.154 -0.862 -0.151  0.263 -0.439],43.125175,0.95845485,100.0,0.4484832,,-54.124363,392.436,-98.16082,7.796328,0.00029286928,8.699589,715.0265829563141,100.0,0.7085843,100,3200,4.290125,-180.37842277450326
