MeanD2w0t,MinIW,InitialReturnMean,EpThisIter,Iteration,InitialReturnStd,TimestepsSoFar,InitialReturnMin,EpLenMean,StdD2w0t,TimeElapsed,ReturnStepMax,Weights,J_sample_variance,EpisodesSoFar,MaxIW,Bound,StdIW,MeanIW,InitialReturnMax,ReturnStepMaxmin,MeanEntropy,InitialBound,MinD2w0t,ReturnMeanIW,EpRewMean,EmpiricalD2,MaxD2w0t
0.83556026,0.0024399736,-82.39787,100,1,8.854463,4573,-99.28012,45.73,5.1684837,11.052231311798096,100.0,[-0.365 -0.68  -0.484 -0.253  0.   ],2740.274,100,13.189931,-58.447815,0.7303727,0.48989105,-56.768597,99.023315,1.4365461,-85.0565,,-46.548347,-121.62483749719935,45.18469,229.00449
0.60126185,0.0015668459,-78.64383,100,2,9.903381,10098,-95.63522,55.25,3.5821195,32.57399582862854,100.0,[-0.416 -0.712 -0.443 -0.243  0.018],7373.148,200,16.075323,-65.07744,1.3490587,0.63939595,-53.364777,99.111275,1.4252518,-81.47204,,-55.22098,-124.29763815381357,25.412928,220.86635
1.1171618,0.021429526,-69.06901,100,3,11.92809,18491,-96.90959,83.93,6.2122817,56.364096879959106,100.0,[-0.474 -0.726 -0.41  -0.227  0.006],2269.2588,300,11.479937,-59.67782,1.068971,0.68123263,-31.94846,99.00001,1.4266458,-72.22392,,-49.772636,-131.27107579021103,22.875755,295.5004
2.6519337,0.0071568773,-62.609707,100,4,13.952472,32208,-94.56239,137.17,14.65335,87.6023063659668,100.0,[-0.475 -0.732 -0.37  -0.203  0.008],795.4175,400,26.708967,-53.00516,1.1497321,0.67286664,-27.215153,99.00006,1.4224017,-66.29781,,-45.626152,-151.61777616304494,22.996767,396.10126
41.80962,0.00087510113,-53.495583,100,5,15.396243,53258,-89.32089,210.5,235.90999,131.20086526870728,100.0,[-0.498 -0.721 -0.349 -0.223  0.003],531.8853,500,40.897987,-47.858448,1.5007863,0.7697736,-14.335371,99.0,1.4186069,-57.279728,,-40.489265,-155.50895354733285,332.74097,4216.854
6.26852,0.005760686,-43.900414,100,6,14.173939,86070,-88.51799,328.12,11.6596365,192.60873818397522,100.0,[-5.015e-01 -7.267e-01 -3.173e-01 -2.384e-01 -2.412e-04],259.34683,600,27.179262,-40.582916,1.4303623,0.90237844,-16.912907,99.00018,1.384679,-47.47673,,-36.20778,-146.96842424346733,29.427515,96.234024
58.91202,0.00013076134,-37.852932,100,7,11.027231,130662,-73.31529,445.92,120.85633,274.90191411972046,100.0,[-0.553 -0.749 -0.325 -0.235 -0.034],407.1703,700,87.71521,-34.407978,2.2593076,0.78660977,-10.408398,99.00001,1.3902783,-41.195877,,-28.422895,-137.3778657779602,343.98828,1696.391
55.985626,1.4825363e-05,-35.484516,100,8,11.739645,173595,-87.35147,429.33,100.24612,357.56813955307007,100.0,[-0.645 -0.687 -0.366 -0.212 -0.029],297.06522,800,25.133394,-35.157192,1.2314193,0.72118944,-6.567513,99.0,1.3774707,-38.264393,,-31.030407,-114.23851384117424,349.84628,718.5068
53.86542,7.667671e-06,-33.524208,100,9,11.740754,217246,-74.5393,436.51,91.95923,437.49482917785645,100.0,[-0.64  -0.67  -0.343 -0.234 -0.041],335.82678,900,17.284714,-32.696323,1.2556235,0.69268477,-12.064204,99.0,1.307985,-36.154076,,-28.63749,-108.07407518522955,328.7453,497.00925
46.43009,0.00029491307,-34.541805,100,10,13.596296,257667,-90.05036,404.21,91.18418,514.9973788261414,100.0,[-0.636 -0.665 -0.358 -0.235 -0.111],284.0099,1000,30.530989,-33.80431,1.435175,0.70413023,-13.535616,99.0,1.2987976,-37.29864,,-29.76568,-113.2916998388686,288.90277,709.21344
25.12602,0.00035939692,-32.86519,100,11,15.889305,294240,-82.780785,365.73,47.80767,588.7766077518463,100.0,[-0.647 -0.65  -0.349 -0.255 -0.12 ],358.45523,1100,43.65811,-31.716219,1.5854223,0.7688634,-10.522932,99.0,1.3330077,-35.386665,,-27.963093,-103.6196659891822,140.01254,345.27454
1.9445192,0.015215342,-32.019398,100,12,12.672396,335081,-74.98515,408.41,1.394649,664.9242558479309,100.0,[-0.652 -0.675 -0.333 -0.262 -0.086],237.94913,1200,12.498088,-32.426735,0.9630812,0.8803469,-4.667425,99.0,1.3153995,-34.452755,,-29.749247,-99.99836875003405,4.142923,7.2182612
54.155285,0.0002996987,-32.67821,100,13,12.530949,374764,-75.45398,396.83,110.01821,739.7911860942841,100.0,[-0.706 -0.689 -0.355 -0.272 -0.104],359.25113,1300,63.48536,-31.686071,2.102026,0.7455831,-10.548084,99.0,1.3222717,-35.28531,,-27.113804,-107.13826163777667,315.98837,1133.7063
345.29953,3.6076293e-05,-31.41427,100,14,12.599883,418291,-71.91012,435.27,835.5249,825.032829284668,100.0,[-0.654 -0.691 -0.307 -0.293 -0.097],1589.7214,1400,78.51704,-27.834448,2.3042805,0.79008013,-5.8839135,99.0,1.3457092,-33.723545,,-23.503988,-94.89918743625505,2940.6123,12087.881
62.55198,6.317726e-05,-29.633224,100,15,13.749295,454684,-66.69083,363.93,164.29156,894.5585761070251,100.0,[-0.671 -0.629 -0.298 -0.294 -0.073],302.44455,1500,80.64317,-27.76031,3.050061,0.9235188,-1.3767624,99.0,1.3266944,-31.883745,,-24.350195,-92.48479893459867,438.7389,2297.0693
78.8494,5.4267206e-05,-27.187326,100,16,13.745518,491306,-66.32963,366.22,191.45454,966.6557445526123,100.0,[-0.695 -0.603 -0.279 -0.297 -0.092],270.55658,1600,18.418835,-26.249443,1.2615147,0.779718,5.117545,99.0,1.3344566,-29.161749,,-22.973906,-81.13856008064737,530.0452,1844.6411
118.68953,3.662371e-06,-29.423956,100,17,16.58712,522218,-77.91043,309.12,375.26974,1032.9162847995758,100.0,[-0.681 -0.586 -0.252 -0.315 -0.085],275.10898,1700,11.93152,-25.95995,0.871046,0.5765832,4.081707,99.0,1.2587577,-31.723234,,-21.548143,-94.48851143687162,970.9152,5395.754
