MaxIW,EmpiricalD2,MeanIW,MaxD2w0t,InitialReturnStd,EpRewMean,EpisodesSoFar,StdD2w0t,MeanEntropy,EpThisIter,Iteration,TimestepsSoFar,Weights,MinIW,InitialReturnMin,InitialReturnMax,Bound,EntropyCoefficient,ReturnMeanIW,MeanD2w0t,ReturnStepMax,MinD2w0t,ReturnStepMaxmin,EpLenMean,StdIW,InitialBound,InitialReturnMean,J_sample_variance,TimeElapsed
42.43003,3.7327416,1.3436263,6.4373107,2.49757,-151.3689476386113,100,0.56718016,1.4529054,100,1,5578,[ 0.74  -1.049  0.227  0.317  0.   ],0.060794048,-2.565277,9.139626,105.736626,10.0,216.49414,0.18095832,100.0,,94.57265,55.78,2.751997,90.16974,-1.0681152e-06,124156.69,9.052393913269043
2.1626134,1.0761667,1.0500076,1.2245735,2.7003205,-155.36808704147336,200,0.34194946,1.4694545,100,2,11607,[ 0.768 -0.981  0.234  0.296  0.034],0.46010602,-2.8971558,7.174507,77.73874,10.0,164.49374,0.12652448,100.0,,94.84598,60.29,0.2982712,74.910515,-3.5095215e-06,1340.2617,21.63382577896118
5.0779333,1.3682861,1.1346422,1.947655,2.2909882,-148.21860378140113,300,0.37429148,1.4392732,100,3,16848,[ 0.778 -0.992  0.241  0.308  0.05 ],0.1704356,-2.4366226,6.905365,111.29556,10.0,203.55298,0.12668042,100.0,,94.34387,52.41,0.74544364,102.57271,-1.1672973e-05,12428.529,31.945045232772827
2.821899,1.1403348,1.0742433,1.4543853,2.522074,-146.93467688580324,400,0.3322048,1.4549098,100,4,21993,[ 0.78  -1.007  0.228  0.275  0.02 ],0.35911873,-2.7192307,7.888443,109.31178,10.0,197.7961,0.11219916,100.0,,94.28825,51.45,0.3917799,103.636314,-2.3651123e-06,3329.9846,41.69683647155762
4.3692455,1.2331755,1.0780907,1.5287119,2.189105,-151.06176002454725,500,0.34134862,1.4763992,100,5,27518,[ 0.778 -1.002  0.241  0.267  0.036],0.28896818,-2.4362106,6.909569,95.18162,10.0,184.30183,0.11999649,100.0,,94.53171,55.25,0.53717715,89.60947,-8.010864e-06,4526.049,51.662049770355225
2.1442075,1.1017513,1.0285774,1.2063887,2.701678,-144.90320585425263,600,0.31088078,1.4862744,100,6,32500,[ 0.768 -1.024  0.235  0.271  0.057],0.47373348,-3.0648499,9.5131,112.03369,10.0,196.82062,0.10335946,100.0,,94.18292,49.82,0.30968446,109.45789,8.239746e-06,2242.2488,61.81649327278137
3.8489082,1.1086093,1.051729,1.4055043,2.1289449,-146.71521861348648,700,0.32066074,1.5021231,100,7,37599,[ 0.782 -1.016  0.241  0.26   0.067],0.4341969,-2.5373154,6.369972,110.41235,10.0,196.77992,0.1079299,100.0,,94.24533,50.99,0.4077962,105.59497,-1.5258789e-07,3683.0344,71.49532985687256
3.1034248,1.1800586,1.0886465,1.6102873,2.591035,-148.22008332069774,800,0.3380748,1.5227965,100,8,42890,[ 0.769 -0.967  0.231  0.256  0.083],0.4211984,-2.8423386,8.658318,105.29519,10.0,195.31035,0.11592666,100.0,,94.39728,52.91,0.50229365,96.88952,2.3651123e-06,5283.3237,82.15449810028076
73.45408,6.3016343,1.7870419,20.808008,2.7071743,-156.0617692574556,900,0.9592429,1.4687936,100,9,48987,[ 0.783 -1.018  0.236  0.243  0.104],0.004047384,-2.959221,10.70285,94.50118,10.0,231.70319,0.27050516,100.0,,94.88071,60.97,5.2702904,74.39093,7.2479247e-06,230961.23,94.03232097625732
3.4611115,1.2075009,1.0945479,1.4171009,2.47749,-161.2627413294432,1000,0.365046,1.4824253,100,10,55598,[ 0.73  -1.053  0.203  0.246  0.05 ],0.14445782,-2.80262,5.9998703,69.53482,10.0,157.00407,0.14220054,100.0,,95.12138,66.11,0.49300778,61.448936,5.9509275e-06,2122.0117,106.64690375328064
