Iteration,MinIW,MaxD2w0t,EpThisIter,MeanEntropy,InitialReturnStd,TimeElapsed,MeanD2w0t,InitialReturnMax,EpLenMean,MinD2w0t,ReturnStepMax,EmpiricalD2,InitialReturnMean,ReturnMeanIW,Bound,StdD2w0t,InitialBound,J_sample_variance,ReturnStepMaxmin,MaxIW,TimestepsSoFar,EpRewMean,MeanIW,EpisodesSoFar,InitialReturnMin,Weights,StdIW
1,1.7859384e-05,1852.8104,100,1.3592811,12.600159,5.590705156326294,1.4401144,-45.291973,35.4,,100.0,116.65535,-79.2192,-31.711733,-42.23268,16.025951,-80.75758,2840.333,99.00072,32.23585,3540,-107.5568281044892,0.43719435,100,-95.935974,[-0.563 -1.093 -0.809 -1.04   0.   ],1.2671871
2,0.00019226263,1711.7859,100,1.3310618,14.549715,14.996912002563477,0.9008172,-25.320034,39.38,,100.0,127.5393,-75.30026,-36.41831,-45.359715,15.723229,-76.886635,4102.063,99.00001,40.15133,7478,-105.75681406011873,0.49467814,200,-94.259094,[-0.598 -1.131 -0.748 -1.018 -0.06 ],1.0809482
3,0.0009925017,857.42596,100,1.4057074,14.941944,24.83982276916504,1.7887425,-23.146072,45.94,,100.0,140.23222,-70.91609,-37.001766,-46.3519,14.999293,-72.514465,3675.1973,99.0,8.753558,12072,-105.52801513805339,0.48443335,300,-92.041565,[-0.758 -1.175 -0.766 -0.991 -0.088],0.8920839
4,1.71347e-06,1888.4017,100,1.2671151,13.363645,33.31673049926758,1.7511619,-37.35064,44.0,,100.0,129.52667,-72.81441,-23.01083,-35.0448,20.53918,-74.3862,2684.4707,99.000015,23.022812,16472,-106.62671102113704,0.29134056,400,-94.39248,[-0.803 -1.202 -0.728 -0.977 -0.013],0.7045117
5,0.00032190164,250.21565,100,1.2388967,14.905277,43.40266561508179,1.1247123,-10.719965,48.59,,100.0,52.27983,-68.79122,-44.84506,-51.64792,7.577748,-70.37397,6428.4155,99.0,15.726816,21331,-104.98650253151287,0.60000175,500,-91.45797,[-0.828 -1.185 -0.675 -0.916 -0.152],1.1238924
6,3.1120758e-06,990.931,100,1.1611673,14.082227,52.610621213912964,1.74236,-25.009258,47.28,,100.0,151.41147,-69.6953,-37.57531,-47.451122,18.057808,-71.274605,6613.558,99.0,23.385893,26059,-105.28551686766676,0.49112985,600,-92.528076,[-0.819 -1.177 -0.667 -0.98  -0.18 ],1.1258322
7,0.015395672,127.88506,100,1.2696571,13.998967,61.99862313270569,1.3868163,-38.237823,45.47,,100.0,30.713963,-70.5408,-39.77237,-46.805115,7.202401,-72.06234,2004.4789,99.0,10.005853,30606,-104.9325749752956,0.519702,700,-93.128235,[-0.784 -1.147 -0.67  -1.026 -0.258],0.70416546
8,2.2340799e-05,203.26631,100,1.1778634,13.551958,71.55138659477234,1.3758928,-34.80889,45.09,,100.0,26.863825,-70.84478,-41.204327,-48.113865,8.637305,-72.3536,2729.397,99.0,9.328191,35115,-105.18656337576358,0.49071446,800,-96.291504,[-0.787 -1.182 -0.649 -1.066 -0.149],0.69324905
9,2.0467352e-05,1205.1816,100,1.123569,12.508032,79.5885763168335,1.99346,-38.91918,43.6,,100.0,169.1337,-72.95253,-31.266903,-41.036106,21.46579,-74.47055,4228.4014,99.0,25.035408,39475,-106.77128063102776,0.39840934,900,-92.12013,[-0.73  -1.195 -0.683 -1.029 -0.241],1.0930176
10,0.005399837,547.63196,100,1.208521,14.343171,88.54841113090515,1.111986,-24.541107,45.66,,100.0,56.186676,-70.2305,-42.171867,-49.197247,8.9795065,-71.80288,1911.8417,99.0,12.996646,44041,-104.64427817076732,0.5802621,1000,-93.06024,[-0.735 -1.195 -0.725 -1.086 -0.295],0.7090904
