InitialReturnMean,EntropyCoefficient,Iteration,Bound,TimeElapsed,StdD2w0t,EpThisIter,MaxD2w0t,J_sample_variance,InitialReturnStd,StdIW,ReturnStepMax,InitialReturnMax,MinIW,MinD2w0t,TimestepsSoFar,EmpiricalD2,EpLenMean,MeanD2w0t,InitialBound,EpRewMean,MeanIW,Weights,MeanEntropy,EpisodesSoFar,InitialReturnMin,ReturnMeanIW,ReturnStepMaxmin,MaxIW
-3.8146973e-07,100.0,1,-448.54703,8.948822498321533,0.28942087,100,1.0025233,19.552523,2.1648557,0.025385257,100.0,6.4169464,0.9408313,,4609,1.0007105,46.09,0.09222331,-448.8484,-141.8229098366061,1.0017476,[ 0.579 -0.554  0.227  0.402  0.   ],1.4212418,100,-2.4639435,208.86958,93.845825,1.0838122
-1.9836425e-06,100.0,2,-427.0202,20.70256495475769,0.27874205,100,1.0110505,99.0916,1.6447917,0.049729776,100.0,4.9018555,0.90567064,,8835,1.0028082,42.26,0.08469568,-428.41336,-138.48433004171287,1.0094981,[ 0.578 -0.552  0.227  0.401  0.002],1.4261445,200,-2.112297,230.13261,93.446075,1.2064502
-9.155273e-07,100.0,3,-406.00128,31.531044244766235,0.27193817,100,1.0052943,36.59474,1.755975,0.030469304,100.0,5.3317413,0.8997787,,12851,1.0009673,40.16,0.08036268,-406.40167,-136.3980650466463,1.004104,[ 0.581 -0.556  0.229  0.401  0.007],1.4257532,300,-2.117691,240.67133,93.207275,1.1201969
,100.0,4,-406.5975,42.65338182449341,0.28190422,100,1.0038342,69.52498,1.5883228,0.04170241,100.0,4.5650787,0.8978326,,17193,1.0016487,43.42,0.08693112,-407.16736,-139.83368152007114,1.0058408,[ 0.58  -0.558  0.23   0.403  0.007],1.4247977,400,-2.057335,223.33556,93.54741,1.1754789
-7.858276e-06,100.0,5,-427.27026,53.99566698074341,0.28398347,100,1.0170413,333.6886,1.5827831,0.10420294,100.0,4.6419754,0.85828155,,21583,1.0097231,43.9,0.08810592,-431.04672,-140.156119206179,1.0248737,[ 0.574 -0.553  0.228  0.4    0.006],1.4290485,500,-2.0779037,224.61751,93.614746,1.3839511
2.2888183e-07,100.0,6,-426.3921,65.33927297592163,0.28621843,100,1.0155233,274.31046,1.4602665,0.09698539,100.0,5.089485,0.7165873,,26055,1.0111903,44.72,0.08970065,-427.79047,-141.11374418244196,1.0160823,[ 0.562 -0.548  0.224  0.399  0.01 ],1.4282905,600,-1.9330673,218.47852,93.68901,1.2421867
-3.0517577e-07,100.0,7,-387.55902,76.12598872184753,0.27092785,100,1.0130105,159.8621,1.4570274,0.06212443,100.0,4.233597,0.78830206,,30025,1.0051615,39.7,0.079568766,-389.30585,-136.15226173202132,1.012521,[ 0.568 -0.545  0.226  0.403  0.009],1.4292467,700,-1.958046,245.58525,93.140945,1.2148862
1.9073486e-06,100.0,8,-381.50714,86.42175531387329,0.2686578,100,1.0085007,173.83517,1.7201397,0.06361199,100.0,5.98584,0.86138165,,33921,1.0032483,38.96,0.078096405,-382.7516,-135.12916875221418,1.0096359,[ 0.577 -0.549  0.229  0.402  0.01 ],1.4344605,800,-2.1097488,249.03589,93.06319,1.2625866
5.340576e-06,100.0,9,-423.43832,96.44009351730347,0.2742259,100,1.0077575,152.28351,1.6870183,0.06752536,100.0,5.370369,0.79119474,,38003,1.0040835,40.82,0.08176315,-424.39014,-136.75679763795512,1.008524,[ 0.578 -0.55   0.23   0.397  0.015],1.4355539,900,-2.3155365,237.15926,93.299515,1.2229275
-1.6708374e-05,100.0,10,-437.32758,107.95945692062378,0.28326002,100,1.0073785,56.884743,1.789367,0.04202996,100.0,6.8323517,0.85191536,,42394,1.0017937,43.91,0.08789161,-438.3243,-140.13171603367707,1.0071181,[ 0.579 -0.557  0.23   0.4    0.017],1.4374151,1000,-2.006134,220.7928,93.617325,1.1605816
