MeanIW,InitialBound,J_sample_variance,Weights,Iteration,InitialReturnMax,ReturnStepMax,EmpiricalD2,ReturnStepMaxmin,MeanD2w0t,MinIW,EpLenMean,TimestepsSoFar,EpisodesSoFar,MeanEntropy,InitialReturnMean,EpThisIter,InitialReturnMin,MaxD2w0t,Bound,TimeElapsed,InitialReturnStd,EpRewMean,ReturnMeanIW,StdIW,MaxIW,MinD2w0t,StdD2w0t
1.1868825,451.63263,197403.47,[-0.718  0.851  0.951 -0.346  0.   ],1,12.306763,100.0,2.12408,86.68869,0.045065783,0.09611492,17.36,1736,100,1.4676249,-4.196167e-06,100,-5.334259,6.1884546,519.49,3.6288866996765137,3.4973137,-107.7164208577093,615.0756,0.9541969,5.7538433,,0.24955294
2.763034,452.5543,8519402.0,[-0.706  0.913  0.932 -0.324  0.049],2,40.2953,100.0,8.864773,86.44925,0.14850675,0.00026594687,17.1,3446,200,1.1904969,2.0980835e-06,100,-5.615631,187.15773,972.74695,12.803827285766602,4.9137726,-107.32207956572705,1368.4648,6.2527046,36.62606,,1.9293534
3.8039107,478.76672,187452030.0,[-0.723  0.945  0.902 -0.275 -0.228],3,14.3485565,100.0,28.60437,86.40926,0.34844673,0.0041739563,16.64,5110,300,1.2117119,-5.340576e-07,100,-4.311592,1448.3899,1078.6057,25.197166919708252,3.0224001,-107.92611020480716,1889.8829,28.793667,295.688,,9.676789
12.112977,492.56235,3156023800.0,[-0.719  0.933  0.921 -0.368 -0.207],4,8.076607,100.0,1591.405,86.19087,11.009108,0.0023493345,16.57,6767,400,1.2849109,1.5258789e-06,100,-4.3863525,95124.08,4398.519,38.52961444854736,2.6459599,-108.03409100556085,6295.4556,109.10206,1531.2423,,477.34756
2.7219534,452.04758,54926016.0,[-0.689  0.915  0.77  -0.365 -0.134],5,16.213478,100.0,29.653337,86.7899,0.37378064,0.0009946167,17.18,8485,500,1.2522078,3.0517577e-07,100,-4.455391,176.11646,927.33997,54.89818358421326,3.3696072,-107.79726414331206,1371.5281,15.456498,326.94925,,4.4917736
1.9889792,450.23553,10317671.0,[-0.717  0.899  0.749 -0.278 -0.167],6,23.725693,100.0,33.40158,86.75014,0.25520617,0.00025195463,17.22,10207,600,1.1887455,-2.3651123e-06,100,-4.681343,116.9108,730.30756,69.75682306289673,3.705723,-107.90619636308665,998.07684,6.8168335,58.54416,,2.6115458
80.408295,491.2276,149567160000.0,[-0.775  0.842  0.716 -0.249 -0.23 ],7,11.454781,100.0,95506.03,86.297775,288.54547,5.381268e-08,16.58,11865,700,1.1171329,-6.8664554e-07,100,-4.3302155,643107.56,29739.305,83.83157444000244,2.621872,-108.22828007168793,39209.29,802.30493,8193.691,,7189.8823
1.0883175,468.09933,74820.555,[-0.858  0.736  0.627 -0.232 -0.302],8,7.4607773,100.0,1.2265607,86.6657,0.03805033,0.096688755,17.01,13566,800,1.0388278,-2.7465821e-06,100,-4.348076,1.5769229,502.13358,98.13266158103943,2.691564,-107.97650555094003,578.792,0.55465275,3.4454265,,0.20323452
1.0455531,435.3198,21612.531,[-0.873  0.749  0.633 -0.222 -0.38 ],9,21.214378,100.0,1.0990833,87.03821,0.037234135,0.24337795,17.66,15332,900,1.043715,8.31604e-06,100,-5.452408,1.3936722,454.09534,111.48631620407104,4.7824755,-107.33174904174115,533.81305,0.30542046,2.3501852,,0.1948461
3.7437687,417.0357,114543380.0,[-0.905  0.763  0.629 -0.2   -0.375],10,21.213943,100.0,13.598563,87.20417,0.3169006,0.007099648,18.32,17164,1000,0.92319405,-2.4414062e-06,100,-5.525627,280.11453,1019.2077,123.7156035900116,4.834145,-108.20747430150648,1567.8964,28.273668,295.48517,,5.6945376
