EmpiricalD2,J_sample_variance,InitialReturnMax,InitialReturnMin,EpRewMean,Iteration,InitialReturnMean,MeanIW,ReturnStepMaxmin,MeanEntropy,ReturnMeanIW,Bound,MaxD2w0t,InitialBound,MeanD2w0t,Weights,StdD2w0t,TimestepsSoFar,MinIW,EpisodesSoFar,MaxIW,EntropyCoefficient,ReturnStepMax,EpLenMean,EpThisIter,MinD2w0t,StdIW,TimeElapsed,InitialReturnStd
1.0689359,10348.726,30.6531,-7.197624,-108.8235630534528,1,1.0986329e-05,1.0382518,88.47723,1.4451014,452.691,312.9717,1.1317251,303.51883,0.042142324,[ 0.911 -0.288 -0.586 -0.882  0.   ],0.20423408,2043,0.59244585,100,1.9086063,100.0,100.0,20.43,100,,0.26250124,3.8655526638031006,6.5082946
1.0110595,1906.7118,58.793114,-7.1811523,-107.3609876076836,2,-1.8310546e-06,1.0125544,88.541214,1.449385,434.4846,265.08636,1.0561851,262.22855,0.04132956,[ 0.921 -0.282 -0.586 -0.887  0.026],0.19974187,4096,0.7606589,200,1.4942237,100.0,100.0,20.53,100,,0.108743116,16.395184755325317,9.384881
1.1515315,34529.055,29.703606,-7.0915375,-107.9185756843122,3,8.392334e-07,1.0561744,88.36029,1.4685327,473.16498,320.208,1.2632166,307.1788,0.04186003,[ 0.94  -0.288 -0.586 -0.896  0.031],0.20636904,6077,0.4075411,300,3.6672997,100.0,100.0,19.81,100,,0.45825535,27.98826575279236,5.928721
1.1951263,27856.742,36.67626,-7.0131226,-107.85791148994568,4,4.997253e-06,1.1022274,88.25187,1.4578983,483.7786,316.41455,1.3317361,290.60562,0.042600527,[ 0.971 -0.291 -0.596 -0.91   0.049],0.20868938,8084,0.23208606,400,2.4650226,100.0,100.0,20.07,100,,0.43111932,41.751484870910645,7.543978
1.0616775,10927.353,51.091415,-5.647026,-108.05772194955156,5,-2.7465821e-06,1.0260106,87.707375,1.4551299,491.80597,324.00946,1.0879711,317.3412,0.038343314,[ 1.006 -0.28  -0.6   -0.92   0.039],0.19418263,9961,0.4835597,500,2.106295,100.0,100.0,18.77,100,,0.24329281,53.0792818069458,6.511655
1.0359793,8856.366,24.057144,-5.426964,-108.27584659941166,6,-7.2479247e-06,1.0211955,87.32054,1.4704854,511.52115,371.38214,1.1165959,365.31232,0.03688166,[ 0.992 -0.285 -0.593 -0.915  0.036],0.19018073,11774,0.7018472,600,1.8908083,100.0,100.0,18.13,100,,0.20413221,65.97346019744873,4.6238756
1.0315461,4283.616,56.986027,-6.92791,-108.04356958999615,7,-3.3187866e-06,1.0201958,88.3869,1.4776627,444.21152,278.30707,1.0596424,273.0343,0.04126316,[ 1.001 -0.3   -0.596 -0.914  0.051],0.2003043,13810,0.64960456,700,1.5959072,100.0,100.0,20.36,100,,0.1657897,81.12845063209534,9.322158
1.0111388,1447.5275,53.224113,-8.614494,-107.6567552571771,8,6.1035155e-07,1.0117993,89.477516,1.4796546,388.7125,233.18857,1.0403565,230.55124,0.04553606,[ 1.012 -0.3   -0.6   -0.921  0.059],0.2092483,16071,0.83197975,800,1.6759963,100.0,100.0,22.61,100,,0.104131214,95.76999616622925,10.375313
1.0468785,6501.476,53.738976,-7.8038254,-107.47033950935548,9,-1.5258789e-06,1.0390636,88.712845,1.4669639,443.96057,276.18213,1.1357867,267.30124,0.04216395,[ 1.027 -0.3   -0.597 -0.928  0.061],0.20339328,18132,0.50153863,900,1.8349359,100.0,100.0,20.61,100,,0.21370536,110.67932033538818,9.669616
1.0390425,6123.466,56.56795,-7.1854935,-108.03932292512985,10,9.536743e-07,1.0172743,88.47001,1.468914,438.69244,272.35596,1.0723765,268.99457,0.041608438,[ 1.048 -0.305 -0.603 -0.94   0.048],0.20115298,20184,0.5172797,1000,1.5590482,100.0,100.0,20.52,100,,0.2014323,122.50826168060303,9.730436
1.0266514,3341.9192,48.84912,-8.249817,-108.29991886966185,11,-2.0980835e-06,1.0256959,89.692696,1.4862744,391.53195,224.3168,1.0947753,218.31017,0.046413634,[ 1.036 -0.309 -0.599 -0.935  0.05 ],0.21233454,22465,0.6775676,1100,1.8899145,100.0,100.0,22.81,100,,0.16538087,136.63577961921692,11.248784
1.0149345,1952.5004,31.705612,-7.8139954,-107.88167815883658,12,1.2893677e-05,1.0201216,88.654434,1.4850645,441.29968,305.38354,1.0748422,301.00607,0.041309815,[ 1.05  -0.311 -0.601 -0.942  0.067],0.20001453,24511,0.75650114,1200,1.6755011,100.0,100.0,20.46,100,,0.11367974,147.3792209625244,7.5876145
1.0534701,6654.366,65.12092,-7.240547,-107.77690673960316,13,-1.1672973e-05,1.0373182,88.90852,1.485681,424.8964,245.68001,1.1599872,237.65996,0.043566737,[ 1.039 -0.31  -0.605 -0.946  0.066],0.20627269,26647,0.56443566,1300,1.9655039,100.0,100.0,21.36,100,,0.22141784,160.9108030796051,11.059274
1.1733916,45284.79,45.532463,-6.3555756,-108.23643513343598,14,-1.1062622e-05,1.0768061,87.952705,1.5143481,494.13968,328.27728,1.4472106,313.09875,0.041726958,[ 1.056 -0.302 -0.606 -0.95   0.067],0.20796564,28590,0.34248817,1400,3.868894,100.0,100.0,19.43,100,,0.50994086,172.69383883476257,7.8881903
1.0459613,6136.862,41.71299,-6.6959,-108.46615065337964,15,4.043579e-06,1.0268978,88.28231,1.5232282,452.1781,302.0547,1.101914,295.43378,0.04110666,[ 1.043 -0.31  -0.596 -0.946  0.095],0.20015353,30614,0.622471,1500,1.7716709,100.0,100.0,20.24,100,,0.20234704,185.5344204902649,7.325894
1.3653885,65966.37,22.28917,-6.024063,-108.14764550730247,16,2.9754638e-06,1.1382878,87.99851,1.5019125,529.2563,390.06857,1.6518118,355.33945,0.042214725,[ 1.032 -0.319 -0.594 -0.946  0.104],0.21281128,32527,0.23132959,1600,3.1408443,100.0,100.0,19.13,100,,0.62377703,197.91082644462585,5.1837068
1.2617553,42496.17,47.786613,-7.2864914,-107.58448420293333,17,-6.3323973e-06,1.1200223,88.68547,1.5177469,474.532,306.74335,1.4873941,278.77835,0.044869855,[ 0.997 -0.344 -0.591 -0.942  0.083],0.2174521,34582,0.3149788,1700,3.4021962,100.0,100.0,20.55,100,,0.5561463,211.0913541316986,7.848155
2.4916046,439587.6,43.407932,-8.606689,-108.48413417652922,18,4.005432e-06,1.4163456,89.29666,1.4999865,534.1822,293.13107,4.0843725,244.25006,0.066780284,[ 0.966 -0.346 -0.575 -0.932  0.099],0.32947323,36818,0.02360135,1800,12.646702,100.0,100.0,22.36,100,,1.9401126,225.08318781852722,8.432528
1.0205317,3126.3284,57.13242,-8.309204,-107.51538230341048,19,5.455017e-06,1.0343139,88.914154,1.4850719,424.02063,255.68294,1.1146328,250.09204,0.043183077,[ 0.918 -0.347 -0.539 -0.899  0.081],0.20464739,38950,0.6516935,1900,1.720742,100.0,100.0,21.32,100,,0.15513368,239.96322917938232,9.786176
1.0159092,2307.8215,48.230015,-9.640884,-107.23357605363498,20,-4.119873e-06,1.0134333,89.53963,1.4856793,385.335,213.74063,1.0408115,211.00862,0.04562338,[ 0.908 -0.35  -0.538 -0.902  0.066],0.20934182,41217,0.6921884,2000,1.5332674,100.0,100.0,22.67,100,,0.1364432,253.65841603279114,10.582395
1.108016,18486.865,57.811954,-9.313438,-108.16845316583385,21,-1.9073486e-06,1.0813133,89.520935,1.5105627,408.44864,235.79198,1.2956163,219.4321,0.047723692,[ 0.891 -0.344 -0.532 -0.898  0.067],0.2185109,43497,0.48340052,2100,3.3601642,100.0,100.0,22.8,100,,0.41928893,265.1153244972229,10.853701
