StdIW,MinD2w0t,InitialReturnMin,EpRewMean,InitialBound,StdD2w0t,EpisodesSoFar,InitialReturnStd,MeanD2w0t,ReturnStepMaxmin,ReturnMeanIW,InitialReturnMax,ReturnStepMax,EpLenMean,TimestepsSoFar,MaxIW,MeanEntropy,MeanIW,EpThisIter,TimeElapsed,MinIW,MaxD2w0t,Weights,J_sample_variance,Bound,InitialReturnMean,EmpiricalD2,Iteration
0.018675333,,-99.28012,-121.62483749719935,-1175.3683,0.28829923,100,8.854463,0.091473825,99.023315,-82.14772,-56.768597,100.0,45.73,4573,1.0438426,1.4200275,0.99635905,100,9.855595350265503,0.9484296,1.0007817,[-0.365 -0.68  -0.484 -0.253  0.   ],83.552864,-1175.2334,-82.39787,1.0004293,1
0.010116905,,-98.26155,-120.90574794175816,-1141.6226,0.28700733,200,8.048704,0.09056541,99.27418,-81.93912,-63.489162,100.0,45.28,9101,1.0275973,1.4208086,0.9988839,100,23.772080659866333,0.9716585,1.0003,[-0.367 -0.68  -0.484 -0.252  0.001],65.291565,-1141.5771,-82.02608,1.0001827,2
0.027596707,,-97.91734,-121.7867653551294,-1126.9148,0.29147825,300,8.3943815,0.09368598,99.1946,-81.01732,-58.71185,100.0,46.82,13783,1.0783453,1.4190354,0.9907606,100,36.58265829086304,0.9171909,1.001725,[-0.368 -0.68  -0.484 -0.252  0.002],74.12841,-1126.4705,-81.73855,1.0009685,3
0.00893849,,-99.12396,-120.81011485712067,-1181.9202,0.29150444,400,9.606684,0.09376432,99.000916,-81.148865,-44.27098,100.0,46.88,18471,1.0296963,1.4198359,0.99888384,100,49.974122762680054,0.9786108,1.0001651,[-3.659e-01 -6.770e-01 -4.823e-01 -2.525e-01  1.681e-04],96.01665,-1181.8862,-81.21337,1.000081,4
0.019052722,,-97.38637,-120.42649276801001,-1123.0374,0.28735396,500,7.9389124,0.09079996,99.13944,-81.36923,-56.83292,100.0,45.39,23010,1.0594001,1.4209886,0.99598396,100,59.915125608444214,0.9589779,1.0008292,[-0.366 -0.677 -0.483 -0.252  0.001],62.806973,-1122.8485,-81.68538,1.0004233,5
0.009906068,,-99.03502,-120.64425603302053,-1123.4604,0.2861354,600,7.74269,0.08996566,99.10535,-82.02128,-57.160503,100.0,44.98,27508,1.0304319,1.4218736,0.9990104,100,71.68799901008606,0.9763487,1.0002909,[-0.366 -0.675 -0.481 -0.252  0.002],59.621166,-1123.4135,-82.10851,1.0001391,6
0.024597215,,-98.49813,-121.9316386677208,-1183.2157,0.28942558,700,8.895133,0.09225877,99.16978,-82.17356,-51.172432,100.0,46.12,32120,1.049,1.420539,0.99577767,100,83.88012433052063,0.91886175,1.0008677,[-0.367 -0.674 -0.481 -0.252  0.003],77.04231,-1183.0281,-82.50894,1.0005292,7
0.004465783,,-97.25348,-122.80199578273603,-1176.2181,0.28838587,800,8.026981,0.091540605,99.233795,-83.23165,-64.28787,100.0,45.77,36697,1.0127465,1.4209055,0.9997303,100,96.89972138404846,0.983658,1.0000347,[-0.368 -0.675 -0.482 -0.251  0.002],66.02412,-1176.2085,-83.2477,1.0000191,8
0.013373329,,-99.212585,-123.03637040043118,-1178.4231,0.29127446,900,8.172051,0.093589455,99.11059,-82.68434,-58.21557,100.0,46.79,41376,1.0370799,1.420921,0.9981439,100,108.03800058364868,0.9679967,1.0004325,[-0.368 -0.675 -0.482 -0.252  0.002],68.18406,-1178.3541,-82.81537,1.0001949,9
0.011303685,,-98.07833,-120.31504228856316,-1168.0763,0.29146925,1000,8.35302,0.09372846,99.17516,-80.38506,-59.073753,100.0,46.86,46062,1.0319968,1.420807,0.9976297,100,122.43385314941406,0.96478814,1.0003407,[-0.369 -0.674 -0.482 -0.252  0.002],70.94328,-1167.9564,-80.56359,1.0001483,10
0.010365021,,-97.323135,-121.361245581934,-1166.433,0.29052326,1100,8.92031,0.093049414,99.10641,-81.57841,-52.158154,100.0,46.52,50714,1.0353898,1.4215093,0.99778014,100,135.69599652290344,0.97034544,1.0003667,[-0.368 -0.672 -0.481 -0.252  0.002],80.88893,-1166.3301,-81.74384,1.000165,11
0.024019368,,-98.171974,-121.57602107224776,-1161.4749,0.28698453,1200,7.7323747,0.09052435,99.20163,-82.17763,-59.084938,100.0,45.25,55239,1.0619699,1.4208707,0.9935551,100,148.0231590270996,0.9313848,1.0012585,[-0.369 -0.673 -0.482 -0.252  0.003],66.72245,-1161.2095,-82.630684,1.0007634,12
0.009437711,,-98.52429,-119.67041468692436,-1182.3757,0.28569925,1300,9.849741,0.089664206,99.02294,-81.596306,-49.7427,100.0,44.83,59722,1.0259885,1.420476,0.9991008,100,158.89172339439392,0.9615858,1.0002215,[-0.368 -0.672 -0.481 -0.253  0.002],97.97434,-1182.3378,-81.6689,1.0000755,13
0.011477957,,-97.72947,-121.6184525733498,-1168.5381,0.2941492,1400,8.6892605,0.095666625,99.07582,-80.924416,-59.362167,100.0,47.83,64505,1.0397885,1.4212625,0.99846476,100,173.53494000434875,0.97027963,1.0002196,[-0.369 -0.672 -0.481 -0.253  0.002],79.28902,-1168.4807,-81.025345,1.0001278,14
0.03218212,,-97.48572,-121.16438337873866,-1120.2942,0.28482646,1500,7.533882,0.08900105,99.12789,-82.19072,-60.216774,100.0,44.48,68953,1.0534039,1.4218538,0.99077123,100,186.75822687149048,0.900202,1.0023798,[-0.369 -0.671 -0.481 -0.252  0.002],65.25849,-1119.9084,-82.8592,1.0011206,15
0.020812033,,-96.51788,-121.75803634179694,-1163.9456,0.29019457,1600,8.504691,0.0928152,99.00874,-81.91015,-50.091698,100.0,46.4,73593,1.0388478,1.4202652,0.9966536,100,200.54136085510254,0.93451154,1.0006552,[-0.368 -0.674 -0.482 -0.254  0.003],77.77153,-1163.8213,-82.14547,1.00037,16
0.009299811,,-98.86337,-121.65355515130352,-1188.5836,0.2857467,1700,7.871114,0.089684434,99.185776,-82.91989,-61.741695,100.0,44.84,78077,1.0343239,1.4204493,0.9992311,100,211.88106846809387,0.97327864,1.0002189,[-0.37  -0.674 -0.483 -0.254  0.001],59.27382,-1188.5386,-83.002365,1.0000961,17
0.007273422,,-97.641426,-120.4764001823466,-1166.2246,0.28847018,1800,8.151952,0.091602795,99.09403,-81.48508,-53.73046,100.0,45.8,82657,1.0194666,1.4208931,0.99924046,100,224.93086624145508,0.9791497,1.0001209,[-0.371 -0.675 -0.483 -0.254  0.001],67.777405,-1166.1967,-81.53551,1.0000533,18
0.020903533,,-98.3431,-122.31970305982466,-1152.3853,0.288645,1900,7.744588,0.091699295,99.25038,-82.4727,-64.5204,100.0,45.84,87241,1.0619633,1.420538,0.9951224,100,236.07378339767456,0.9306205,1.001141,[-0.371 -0.676 -0.484 -0.254  0.002],62.12576,-1152.1781,-82.829666,1.0004475,19
0.018667247,,-97.342255,-120.45286127563143,-1162.9226,0.28957632,2000,8.448041,0.09235895,99.169075,-80.86056,-55.01854,100.0,46.17,91858,1.0770313,1.4222194,0.9961433,100,248.4486424922943,0.9490461,1.0005839,[-0.374 -0.675 -0.485 -0.254  0.002],78.40105,-1162.7882,-81.12258,1.0003607,20
0.01994543,,-97.39544,-119.86793108698454,-1126.1974,0.2885562,2100,9.272247,0.09164326,99.12848,-80.68326,-56.474957,100.0,45.81,96439,1.051022,1.421789,0.99515486,100,260.39626717567444,0.9386284,1.0013111,[-0.374 -0.675 -0.485 -0.254  0.003],91.89846,-1126.0122,-81.021095,1.000447,21
0.030787207,,-98.00413,-120.60247853758636,-1122.9772,0.28892487,2200,9.217346,0.091877826,99.21504,-81.01807,-59.30893,100.0,45.92,101031,1.0804234,1.4200342,0.99213743,100,271.68669986724854,0.92135525,1.0018446,[-0.372 -0.677 -0.485 -0.254  0.003],86.43466,-1122.6147,-81.6252,1.0010928,22
0.013849167,,-97.470856,-120.39168587847885,-1129.8779,0.29025283,2300,8.430493,0.092850775,99.17931,-80.82989,-61.366074,100.0,46.42,105673,1.0361481,1.4208769,0.9985497,100,282.690705537796,0.9626749,1.0003738,[-0.375 -0.677 -0.487 -0.253  0.001],70.14442,-1129.8059,-80.96751,1.0002037,23
0.02729014,,-97.43527,-121.92135408163416,-1149.1583,0.28703845,2400,8.303187,0.09057604,99.22246,-82.577934,-61.455997,100.0,45.28,110201,1.0516509,1.420371,0.99627906,100,296.212593793869,0.8917161,1.0009739,[-0.376 -0.678 -0.487 -0.253  0.002],73.0255,-1149.0155,-82.845345,1.0005729,24
0.027302831,,-97.298615,-120.92812876416838,-1131.2421,0.28658107,2500,8.413653,0.09023369,99.11386,-81.87773,-59.82876,100.0,45.1,114711,1.0646499,1.421263,0.9938859,100,309.2263135910034,0.9097757,1.0013752,[-0.374 -0.678 -0.486 -0.254  0.001],74.82322,-1131.0111,-82.331726,1.0007881,25
0.017106488,,-97.66436,-121.24949163437557,-1177.5491,0.28941044,2600,9.1956625,0.09225341,99.09178,-81.716354,-54.0165,100.0,46.12,119323,1.055291,1.4212365,0.9977118,100,321.57713174819946,0.95238614,1.0006548,[-0.374 -0.679 -0.486 -0.253  0.002],80.15794,-1177.4336,-81.94126,1.0003132,26
0.024280135,,-97.93248,-121.29241437861185,-1169.6047,0.288481,2700,8.082018,0.09158315,99.168274,-81.752304,-61.801666,100.0,45.78,123901,1.0714492,1.4213207,0.99620456,100,333.7283835411072,0.9291934,1.0009181,[-0.375 -0.678 -0.485 -0.254  0.002],59.41597,-1169.4304,-82.09202,1.0004429,27
0.0177144,,-98.261086,-122.15873218354916,-1175.7028,0.28876597,2800,8.475767,0.091797374,99.076065,-82.47321,-54.11227,100.0,45.89,128490,1.0384341,1.4199446,0.9964163,100,345.2200038433075,0.93819803,1.000618,[-0.376 -0.679 -0.485 -0.254  0.002],75.278534,-1175.57,-82.73229,1.000379,28
0.018542754,,-96.98625,-120.95663087693531,-1129.6382,0.2932633,2900,8.849607,0.09501354,99.070335,-80.55925,-56.41622,100.0,47.5,133240,1.0469687,1.4198991,0.99795514,100,357.8637104034424,0.9424327,1.0005659,[-0.376 -0.678 -0.486 -0.255  0.001],79.277855,-1129.5527,-80.72772,1.0003606,29
0.016791582,,-97.18926,-121.44749818735995,-1144.956,0.2896916,3000,8.984505,0.09245593,99.16984,-81.735916,-58.002434,100.0,46.22,137862,1.0429147,1.4214462,0.9966127,100,369.99090337753296,0.9521716,1.0005674,[-0.375 -0.679 -0.485 -0.256  0.001],87.3953,-1144.8347,-81.961945,1.0003299,30
