InitialReturnMean,InitialReturnMin,MeanIW,EpThisIter,StdIW,EpisodesSoFar,MinD2w0t,J_sample_variance,TimestepsSoFar,MaxIW,TimeElapsed,EmpiricalD2,EntropyCoefficient,MeanD2w0t,StdD2w0t,InitialReturnMax,MeanEntropy,EpLenMean,Weights,ReturnStepMaxmin,InitialBound,Bound,ReturnStepMax,MinIW,EpRewMean,InitialReturnStd,ReturnMeanIW,MaxD2w0t,Iteration
1.2969971e-06,-16.882248,1.313476,100,1.8631165,100,,61230.83,4573,16.948812,6.332385540008545,1.9466211,10.0,0.13468792,0.4414687,25.629276,1.3661158,45.73,[-0.365 -0.68  -0.484 -0.253  0.   ],93.704056,106.31687,124.03461,100.0,0.085924186,-121.62483749719935,8.854463,226.00949,3.2197604,1
-2.1743774e-06,-17.675896,1.1187161,100,0.6567698,200,,9034.924,9303,4.179987,20.802037239074707,1.298825,10.0,0.10952957,0.3410876,23.862465,1.3368856,47.3,[-0.364 -0.675 -0.465 -0.282 -0.053],94.09412,99.57088,108.872604,100.0,0.0997857,-120.23815048426721,9.454068,189.44583,1.6704016,2
3.7765503e-06,-17.590454,1.1137064,100,0.7875693,300,,11252.818,14031,5.807418,33.26924753189087,1.278762,10.0,0.10795611,0.33634242,27.793835,1.3700949,47.28,[-0.411 -0.654 -0.48  -0.273 -0.082],94.058044,97.22044,105.34428,100.0,0.3151719,-120.66915668619536,8.393957,188.70793,1.7518948,3
1.2207031e-06,-15.583191,1.0792048,100,0.42466387,400,,4405.3896,18459,3.5755117,45.64759016036987,1.1168275,10.0,0.095621504,0.30731124,39.86926,1.3574203,44.28,[-0.432 -0.641 -0.473 -0.276 -0.049],93.71804,101.44436,109.02463,100.0,0.37272453,-116.94291489707928,9.3973,195.85025,1.4483438,4
-5.1879883e-06,-19.32177,1.2399431,100,1.0152856,500,,17949.232,23180,7.476992,58.60868859291077,1.612408,10.0,0.12605955,0.3993704,30.383255,1.3245885,47.21,[-0.424 -0.614 -0.449 -0.282 -0.062],94.05094,95.79933,113.23008,100.0,0.07595097,-118.84804646751168,9.410389,203.20892,2.2413492,5
1.6021728e-06,-17.288094,1.0315003,100,0.2410839,600,,1421.8274,27577,1.9939163,70.7838351726532,1.0608661,10.0,0.090428405,0.29128432,22.145054,1.3155214,43.97,[-0.415 -0.58  -0.453 -0.263 -0.094],93.85585,108.34571,111.761185,100.0,0.4897422,-117.6288368427515,8.535115,190.05765,1.1077712,6
1.7547608e-06,-16.45842,2.8091269,100,16.650595,700,,4872057.0,31894,212.01762,82.33110523223877,9.67586,10.0,0.44844472,2.395185,31.657509,1.3241885,43.17,[-0.426 -0.598 -0.464 -0.258 -0.103],93.68415,113.08038,212.71638,100.0,0.007930721,-116.79325132094021,9.097353,443.1147,49.21113,7
1.9454956e-06,-14.578186,1.0988705,100,0.85844874,800,,14221.149,36494,8.113437,96.89282822608948,1.3289447,10.0,0.10894726,0.3451108,24.876675,1.3485364,46.0,[-0.382 -0.529 -0.439 -0.201 -0.095],93.83464,102.86078,109.02346,100.0,0.16046798,-121.3304595565374,8.308559,195.31023,1.7134736,8
-1.3732911e-06,-12.633324,1.0115378,100,0.16669591,900,,760.6858,41020,1.7247701,109.8651773929596,1.022651,10.0,0.09201414,0.29166853,18.856956,1.3573043,45.26,[-0.378 -0.559 -0.436 -0.214 -0.07 ],93.906395,110.69095,112.16121,100.0,0.7420498,-122.4615309518288,7.2180395,187.70662,1.0500479,9
-1.1367798e-05,-15.297928,1.0564941,100,0.52514267,1000,,6323.6074,45727,5.027675,120.73269033432007,1.1851102,10.0,0.104208946,0.32409316,26.162914,1.3607103,47.07,[-0.369 -0.547 -0.423 -0.213 -0.062],93.95363,99.06911,103.6725,100.0,0.3618726,-122.46349939889886,9.400525,186.0249,1.3256079,10
-2.9754638e-06,-18.74186,1.0816743,100,0.41669738,1100,,3286.9282,50716,2.5145264,133.0587408542633,1.1733458,10.0,0.10861546,0.32708785,21.269772,1.3463217,49.89,[-0.37  -0.56  -0.413 -0.222 -0.058],94.31901,84.17575,91.516014,100.0,0.14380638,-121.23433502690814,9.19349,173.7576,1.3526481,11
-7.705688e-06,-17.649902,1.0783116,100,0.58198345,1200,,6298.0825,55557,4.7660236,145.06343817710876,1.2077947,10.0,0.10908488,0.33391815,25.49588,1.3622092,48.41,[-0.397 -0.588 -0.425 -0.229 -0.073],94.12373,90.7226,96.005745,100.0,0.29774824,-120.88121795299024,10.0237055,179.05022,1.3630159,12
-3.4332274e-06,-19.873909,1.0275624,100,0.25151342,1300,,1338.3353,60752,1.966915,159.18054723739624,1.0557922,10.0,0.107598454,0.31611937,33.40198,1.3536112,51.95,[-0.384 -0.593 -0.407 -0.232 -0.057],94.47806,72.71518,75.02827,100.0,0.45476386,-119.52335891890802,10.571894,155.8081,1.1479219,13
1.8692017e-06,-18.699913,1.1351889,100,0.585231,1400,,5801.155,66128,3.8222623,172.43543124198914,1.1975049,10.0,0.12157794,0.351443,32.635067,1.3271183,53.76,[-0.38  -0.573 -0.392 -0.235 -0.065],94.493225,66.69427,76.46304,100.0,0.21275483,-122.13878497430666,10.219265,165.25732,1.4976485,14
-1.2588501e-06,-20.40731,1.2424335,100,1.810633,1500,,34675.21,71333,16.27793,185.7137942314148,1.7029793,10.0,0.13722727,0.41249758,25.642624,1.3652637,52.05,[-0.354 -0.546 -0.362 -0.241 -0.092],94.35694,73.934204,84.527435,100.0,0.13959284,-120.84261215603425,10.063761,179.66615,2.701014,15
8.773804e-07,-19.986298,1.0376478,100,0.26944226,1600,,957.7883,76751,2.4572413,198.56293654441833,1.0671816,10.0,0.11112136,0.3188481,26.2518,1.3672991,54.18,[-0.347 -0.512 -0.35  -0.255 -0.054],94.55762,66.23865,69.75613,100.0,0.47630632,-122.18508923489232,10.519131,151.15697,1.1541389,16
-6.67572e-06,-16.12902,1.0488471,100,0.27638325,1700,,1252.5565,81813,2.4117858,211.87070035934448,1.0606943,10.0,0.10481708,0.31256726,33.000275,1.363749,50.62,[-0.377 -0.518 -0.362 -0.25  -0.052],94.38546,75.61513,79.039055,100.0,0.37227866,-119.59879714682758,9.068392,162.83875,1.2563277,17
2.1362305e-06,-16.981316,1.1218077,100,0.60798943,1800,,4334.579,87207,3.5845246,224.01196384429932,1.3412164,10.0,0.12254775,0.3546862,39.65592,1.3623942,53.94,[-0.398 -0.51  -0.364 -0.254 -0.055],94.49847,68.01568,75.91276,100.0,0.22844125,-121.41103443872576,10.487116,161.02623,1.7507404,18
3.0899048e-06,-20.112305,1.1942112,100,0.8913336,1900,,8668.299,92729,6.7105002,237.95372653007507,1.4427387,10.0,0.1308626,0.37506503,39.099762,1.355351,55.22,[-0.415 -0.527 -0.373 -0.237 -0.056],94.675835,56.643574,67.41354,100.0,0.18469913,-120.08801850146082,11.643472,161.95978,2.0315022,19
2.8991699e-06,-19.303818,1.022847,100,0.1950965,2000,,311.87158,98791,1.6463332,252.97603726387024,1.0357933,10.0,0.12309719,0.33143187,32.349285,1.3574162,60.62,[-0.419 -0.539 -0.361 -0.228 -0.064],95.03602,44.10834,44.792957,100.0,0.5606243,-122.15889459585442,11.371403,127.04486,1.0612314,20
1.9073487e-07,-18.699173,1.0696101,100,0.35828277,2100,,1267.8174,104928,2.817924,267.453697681427,1.1336488,10.0,0.12915854,0.34583822,29.2439,1.3612161,61.37,[-0.413 -0.534 -0.363 -0.229 -0.062],95.05263,42.971905,46.97043,100.0,0.35592192,-122.7742065731207,10.390714,131.2952,1.2915508,21
5.41687e-06,-20.65313,1.0121874,100,0.13254929,2200,,331.84494,111262,1.8527573,283.0637710094452,1.01798,10.0,0.12815185,0.3364888,34.403683,1.3685439,63.34,[-0.427 -0.52  -0.362 -0.216 -0.058],95.131744,36.382652,37.21627,100.0,0.7274399,-123.74898021807822,10.713381,121.29426,1.0483172,22
-1.2588501e-06,-18.893906,1.0615892,100,0.28072527,2300,,564.3319,117505,2.234863,297.03585720062256,1.0623025,10.0,0.12958154,0.34326005,30.57639,1.3641642,62.43,[-0.424 -0.516 -0.357 -0.219 -0.05 ],95.09295,39.953354,42.541546,100.0,0.507862,-124.63198797350671,11.199838,127.79686,1.1639515,23
1.2588501e-06,-23.024239,1.0354434,100,0.23277654,2400,,613.5378,124247,2.1072836,311.1089267730713,1.059424,10.0,0.13938726,0.3532825,32.14357,1.3621886,67.42,[-0.4   -0.511 -0.347 -0.214 -0.055],95.27765,28.13213,30.259756,100.0,0.6089209,-125.69992010070908,11.643581,115.661865,1.1900673,24
-5.1498414e-06,-22.688553,1.0149713,100,0.16057058,2500,,455.19894,130669,1.9420111,325.58110189437866,1.0301191,10.0,0.13071114,0.3405514,36.44048,1.3706487,64.22,[-0.41  -0.491 -0.346 -0.212 -0.057],95.22231,32.17846,33.366188,100.0,0.6891385,-121.31976739566782,12.400027,117.47013,1.0833263,25
9.155273e-07,-22.916237,1.0285858,100,0.14772514,2600,,437.22964,137019,1.8043704,341.44698786735535,1.0279666,10.0,0.1287568,0.33762112,32.173397,1.3641418,63.5,[-0.414 -0.484 -0.342 -0.213 -0.048],95.13959,33.98858,36.061333,100.0,0.6423062,-123.27105036552855,11.454653,121.76824,1.0876632,26
1.7929077e-06,-19.388214,1.0728197,100,0.39375716,2700,,1287.803,143498,3.4326487,356.2282483577728,1.1075286,10.0,0.13680519,0.35492042,28.939346,1.3719759,64.79,[-0.431 -0.483 -0.347 -0.211 -0.055],95.24813,33.687836,36.80098,100.0,0.36825964,-125.08762628981277,11.474454,123.27603,1.2882681,27
-5.340576e-07,-21.156517,1.0584998,100,0.20599073,2800,,313.705,149922,1.753845,370.72482776641846,1.0527511,10.0,0.13126361,0.34193727,29.02956,1.374023,64.24,[-0.423 -0.48  -0.337 -0.203 -0.047],95.28197,32.79921,35.107082,100.0,0.55680734,-123.51894868054698,11.444524,120.828,1.1285764,28
-5.264282e-06,-19.704765,1.0506796,100,0.3139014,2900,,806.80524,156132,3.489438,384.58751249313354,1.0654417,10.0,0.1288407,0.34234115,42.17764,1.3846515,62.1,[-0.412 -0.469 -0.332 -0.207 -0.045],95.116554,37.593273,40.08092,100.0,0.46527365,-122.13382524273555,12.819613,125.93691,1.1986095,29
1.3732911e-06,-22.9842,1.07613,100,0.5261609,3000,,2886.7751,162423,5.367901,399.6263976097107,1.1634378,10.0,0.13734646,0.3626667,41.693565,1.37446,62.91,[-0.418 -0.478 -0.337 -0.216 -0.034],95.158264,35.01083,39.43322,100.0,0.38100812,-121.93262016806854,12.257844,129.23729,1.4839702,30
3.8146972e-08,-23.072533,1.036893,100,0.33047134,3100,,919.1517,169574,3.4046178,415.50479888916016,1.0738426,10.0,0.1476357,0.36178416,49.16792,1.3720763,71.51,[-0.413 -0.48  -0.322 -0.216 -0.045],95.61906,12.655474,14.780142,100.0,0.6137292,-120.8862975307971,14.772696,102.448296,1.3434048,31
