J_sample_variance,MeanD2w0t,EpThisIter,Weights,MeanIW,MaxIW,InitialReturnMean,TimestepsSoFar,MinD2w0t,StdD2w0t,EpisodesSoFar,ReturnStepMax,StdIW,InitialReturnStd,ReturnStepMaxmin,Iteration,MaxD2w0t,EpLenMean,InitialReturnMin,InitialBound,Bound,InitialReturnMax,EntropyCoefficient,MinIW,EpRewMean,MeanEntropy,ReturnMeanIW,EmpiricalD2,TimeElapsed
23427.281,0.09269687,100,[-0.822 -0.493 -0.474 -0.749  0.   ],1.1641979,5.6977787,-4.119873e-06,3509,,0.34344772,100,100.0,0.7463096,10.794412,92.833694,1,2.2122934,35.09,-16.371025,153.94077,173.4253,33.495453,10.0,0.16537994,-108.1894935537418,1.4312159,261.81543,1.4949399,4.996142864227295
4349.823,0.085148014,100,[-0.824 -0.49  -0.442 -0.759  0.012],1.08082,2.8910768,4.196167e-07,7387,,0.29428914,200,100.0,0.38204682,12.870059,93.41993,2,1.3351691,38.78,-17.649406,118.863884,127.01423,64.001045,10.0,0.36347115,-108.19771129228062,1.4023223,214.03058,1.135683,18.66749596595764
14718277000.0,209.6659,100,[-0.84  -0.489 -0.457 -0.747 -0.017],63.478226,26974.113,-3.5476685e-06,11062,,7781.096,300,100.0,661.3052,11.078585,93.11844,3,644342.1,36.75,-16.818306,138.9102,5828.352,29.443748,10.0,1.17069085e-05,-108.07460817485831,1.2753844,12380.359,11570.619,29.57503056526184
1085.7582,0.074088044,100,[-0.921 -0.333 -0.431 -0.615 -0.144],1.0282485,1.7934011,2.9373168e-06,14691,,0.26493287,400,100.0,0.1719075,12.757565,93.03646,4,1.1671536,36.29,-15.210663,133.97577,137.49084,43.076004,10.0,0.61498064,-108.2107089747305,1.267216,221.72421,1.0361149,46.66257071495056
392926.5,0.12740211,100,[-0.903 -0.327 -0.423 -0.619 -0.152],1.4514455,36.544624,9.155273e-07,17995,,0.6343639,500,100.0,3.4492133,11.690513,92.45767,5,22.209394,33.04,-13.3828125,169.8553,209.71747,42.497932,10.0,0.018645195,-108.07927181470689,1.223502,325.96646,2.8718443,57.76729440689087
16139.777,0.07188906,100,[-0.864 -0.294 -0.391 -0.645 -0.196],1.1547211,4.9192476,3.4332277e-07,21068,,0.28542727,600,100.0,0.58258957,11.191329,92.03577,6,2.1504524,30.73,-13.681915,191.3519,214.7729,29.112854,10.0,0.088539846,-107.00549137295073,1.17835,298.2697,1.2763164,68.74076056480408
3104.155,0.071710855,100,[-0.847 -0.32  -0.396 -0.662 -0.241],1.0559443,2.4222727,-2.1743774e-06,24440,,0.26722494,700,100.0,0.26452672,12.2622795,92.63615,7,1.3268504,33.72,-14.805115,156.98476,164.38686,30.053562,10.0,0.3307979,-107.29468949745214,1.1528299,247.98364,1.0949136,79.90716743469238
4266.5464,0.08097313,100,[-0.826 -0.322 -0.395 -0.659 -0.266],1.0891296,3.0977693,2.708435e-06,28192,,0.28516728,800,100.0,0.38846037,13.000983,93.273026,8,1.4548008,37.52,-16.611343,124.0609,133.12442,38.113266,10.0,0.4439417,-107.43810900419903,1.1689384,221.87857,1.1401249,91.23177242279053
11344.676,0.0761688,100,[-0.83  -0.339 -0.399 -0.666 -0.25 ],1.0810628,3.848933,4.9591063e-06,31636,,0.28107417,900,100.0,0.57492673,14.481831,92.8552,9,1.5016941,34.44,-16.975449,145.2034,153.28429,48.3725,10.0,0.29602045,-105.81460135867732,1.1912736,241.44398,1.2354898,101.69801783561707
8999569000.0,26.75128,100,[-0.823 -0.35  -0.39  -0.666 -0.228],66.83227,7198.83,1.7166137e-06,35254,,823.4695,1000,100.0,683.74524,10.750797,93.04219,10,97870.43,36.18,-15.750984,136.7649,5686.788,32.36428,10.0,0.0002977663,-107.78937671068395,1.2294937,9728.412,3789.7593,112.927973985672
37859.71,0.109356016,100,[-0.817 -0.39  -0.338 -0.645 -0.189],1.207977,15.688089,3.5858154e-06,39366,,0.3797577,1100,100.0,1.4763559,13.385148,93.79792,11,4.38184,41.12,-20.086235,104.78723,115.60794,39.170746,10.0,0.12914842,-106.95474449681133,1.2412103,212.10881,1.4688334,130.27307868003845
8777.822,0.10142548,100,[-0.828 -0.368 -0.322 -0.654 -0.178],1.1932654,5.3414936,-1.1825562e-06,43613,,0.33711964,1200,100.0,0.71218216,12.48867,93.93879,12,2.1517453,42.47,-19.450905,94.3531,107.901985,36.921886,10.0,0.15879859,-107.4765079703849,1.2572273,202.5118,1.3516173,143.33721446990967
8446.874,0.086898044,100,[-0.824 -0.358 -0.335 -0.645 -0.162],1.1311073,4.769287,-4.9591063e-06,47453,,0.30426878,1300,100.0,0.56628937,12.105477,93.41118,13,1.8981857,38.4,-15.756905,119.72644,131.49652,31.920181,10.0,0.18559505,-107.30770482115291,1.262703,221.31082,1.2414215,155.17084288597107
1764.9956,0.07730765,100,[-0.802 -0.35  -0.341 -0.637 -0.156],1.0472742,1.8913115,-1.2588501e-06,51175,,0.27272317,1400,100.0,0.22842295,13.374639,93.26536,14,1.1906683,37.22,-16.42823,126.98057,132.43384,45.933846,10.0,0.23709124,-106.72174845474339,1.2366875,215.43565,1.0664176,166.12610864639282
11272.169,0.08346549,100,[-0.813 -0.349 -0.342 -0.633 -0.182],1.1246195,4.4629054,-1.335144e-06,54883,,0.2967956,1500,100.0,0.6538658,11.409522,93.19811,15,1.7609042,37.08,-15.688324,135.42981,147.89595,43.121315,10.0,0.17949268,-107.56729031803872,1.218288,229.33505,1.3536444,176.09585738182068
10848.462,0.08087271,100,[-0.779 -0.336 -0.339 -0.636 -0.201],1.0895696,4.222721,4.7683716e-06,58545,,0.28928217,1600,100.0,0.59760183,12.720993,93.1336,16,1.5581989,36.62,-16.293892,131.82649,138.27808,40.323586,10.0,0.30383855,-107.41412328207281,1.198599,227.53691,1.1712779,186.77919673919678
9656.021,0.08797875,100,[-0.797 -0.317 -0.344 -0.621 -0.22 ],1.1158539,3.6280224,1.7166137e-06,62381,,0.30754763,1700,100.0,0.60096043,11.591557,93.404205,17,1.8982149,38.36,-17.293655,118.490005,127.597626,38.57118,10.0,0.1458371,-107.33533742559915,1.1683218,220.89388,1.2788719,197.27281999588013
2184.3198,0.08557307,100,[-0.815 -0.312 -0.354 -0.63  -0.251],1.05383,3.0237002,-2.8991699e-06,66478,,0.28671244,1800,100.0,0.30732056,13.068084,93.733154,18,1.2116674,40.97,-19.479881,103.99881,108.53683,34.73434,10.0,0.55710095,-107.89131381392207,1.1734741,192.97844,1.0716707,209.16330885887146
8953.031,0.07476454,100,[-0.836 -0.311 -0.362 -0.634 -0.245],1.047244,3.5319796,-6.713867e-06,69913,,0.27607542,1900,100.0,0.4748281,11.685789,92.73253,19,1.5632102,34.35,-14.173767,151.49171,153.84357,30.980686,10.0,0.25968736,-107.64384737282683,1.1670972,239.76384,1.1454403,219.41301560401917
3081.8176,0.08433339,100,[-0.833 -0.319 -0.366 -0.622 -0.252],1.0722508,2.327184,-4.8828124e-06,73848,,0.28897792,2000,100.0,0.31931394,13.098616,93.55532,20,1.2754132,39.35,-17.550613,112.83948,119.20483,33.292458,10.0,0.39886662,-107.1247800127246,1.1406168,204.5747,1.1057076,232.33535027503967
11075.672,0.083275214,100,[-0.845 -0.312 -0.373 -0.615 -0.278],1.0954175,4.92767,2.670288e-06,77539,,0.29700032,2100,100.0,0.58597565,13.783406,93.22305,21,1.8541067,36.91,-17.115623,126.00726,135.82166,38.22718,10.0,0.211655,-106.6135929343295,1.1230487,228.32056,1.3050773,243.17183709144592
92206.24,0.12034515,100,[-0.855 -0.31  -0.363 -0.604 -0.296],1.3808056,20.886112,6.8664554e-07,81442,,0.43783394,2200,100.0,2.1134987,12.691468,93.49121,22,4.2634554,39.03,-16.408852,115.93287,148.27626,41.915382,10.0,0.16722034,-107.50982940640287,1.1976205,260.90033,2.0119545,254.8569359779358
7085.4253,0.08269365,100,[-0.857 -0.312 -0.373 -0.61  -0.221],1.1125153,5.4212785,4.959106e-07,85170,,0.29290375,2300,100.0,0.48258275,12.318228,93.200874,23,1.8438711,37.28,-16.758408,126.87451,138.78519,35.79445,10.0,0.29266903,-108.0961449249983,1.212409,229.88997,1.2089858,267.1555051803589
2807.3645,0.07809484,100,[-0.855 -0.325 -0.376 -0.602 -0.206],1.0496922,2.124914,4.348755e-06,88895,,0.2755433,2400,100.0,0.30148363,12.201611,93.20954,24,1.2988514,37.25,-17.118156,127.05539,132.55638,35.16322,10.0,0.42052722,-107.85133972121949,1.2378978,218.0559,1.0820736,279.91716504096985
