EpisodesSoFar,ReturnStepMax,J_sample_variance,MeanD2w0t,MeanEntropy,InitialReturnMin,EpRewMean,ReturnMeanIW,TimeElapsed,TimestepsSoFar,InitialReturnMean,MaxIW,InitialReturnMax,InitialBound,ReturnStepMaxmin,Bound,StdIW,Weights,EmpiricalD2,EpLenMean,EpThisIter,Iteration,MaxD2w0t,MinD2w0t,MeanIW,StdD2w0t,MinIW,InitialReturnStd
100,100.0,821.5207,0.112996444,1.4258267,-2.565277,-151.3689476386113,176.46445,12.326788425445557,5578,-1.0681152e-06,2.1723847,9.139626,-147.49815,94.57265,-145.70541,0.22110179,[ 0.74  -1.049  0.227  0.317  0.   ],1.040599,55.78,100,1,1.0570067,,1.0332615,0.31890407,0.5909067,2.49757
200,100.0,1417.8379,0.11186398,1.4323637,-2.489151,-150.3146897288659,183.32094,36.561304807662964,11054,-1.0223389e-05,2.0089204,8.162521,-153.9881,94.510056,-149.96407,0.28053516,[ 0.745 -1.034  0.227  0.318  0.007],1.0730145,54.76,100,2,1.1072536,,1.0519446,0.31905863,0.4697001,2.6575394
300,100.0,7116.515,0.14249106,1.4255706,-2.929062,-160.8604704477938,165.67796,70.32565188407898,17645,5.8746336e-06,6.051462,8.222183,-184.2913,95.11879,-177.11745,0.78054774,[ 0.758 -1.026  0.23   0.324  0.013],1.3135163,65.91,100,3,1.4602749,,1.1927037,0.36693862,0.2836293,2.7001867
400,100.0,757.5284,0.10786876,1.4309139,-2.753502,-148.84048284566853,183.24721,97.85230660438538,22983,4.196167e-06,1.7068353,8.660278,-147.94733,94.423355,-146.5623,0.20148812,[ 0.736 -1.048  0.224  0.31   0.006],1.0307716,53.38,100,4,1.0536351,,1.0258662,0.31202823,0.66427094,2.5322037
500,100.0,255.35289,0.11219371,1.4367764,-2.6509857,-151.13177102155453,175.69685,124.72171640396118,28554,-1.04522705e-05,1.4264982,9.139557,-153.2585,94.57434,-151.31822,0.12028362,[ 0.726 -1.053  0.223  0.305  0.012],1.0176556,55.71,100,5,1.0295434,,1.0246252,0.31682593,0.7320821,2.2777493
600,100.0,195.7408,0.11782734,1.437499,-2.750206,-154.08305776104078,165.42902,154.1444535255432,34421,1.6021728e-06,1.3916063,8.461212,-165.64978,94.74747,-164.83408,0.11641288,[ 0.735 -1.054  0.226  0.309  0.018],1.0149412,58.67,100,6,1.029141,,1.0110413,0.3231613,0.76180136,2.6622624
700,100.0,433.01913,0.11663356,1.4490502,-3.191162,-152.22878262405868,173.08777,180.54783868789673,40164,2.2888183e-07,1.5724288,8.1451645,-159.5838,94.69862,-156.33774,0.15499705,[ 0.742 -1.048  0.225  0.311  0.019],1.0223918,57.43,100,7,1.068034,,1.0477191,0.32379317,0.6526261,2.6986606
800,100.0,426.74976,0.124088615,1.4470867,-2.755722,-156.95691300120487,159.16653,208.4509310722351,46316,-4.4250487e-06,1.6184826,7.639221,-174.0516,94.89737,-172.69073,0.1730834,[ 0.738 -1.052  0.228  0.308  0.03 ],1.0302544,61.52,100,8,1.0443662,,1.0197091,0.33128417,0.58483577,2.7222748
900,100.0,355.51715,0.12215903,1.4465916,-2.674553,-156.14041363269232,161.47702,235.96589922904968,52376,1.2969971e-06,1.540148,9.103836,-172.05077,94.84685,-170.70663,0.16290039,[ 0.731 -1.061  0.227  0.303  0.028],1.028922,60.6,100,9,1.0452921,,1.0267475,0.32893065,0.5704675,2.5163653
1000,100.0,157.23196,0.11047574,1.4461559,-2.6177979,-150.5094555527267,176.35078,261.2740340232849,57881,-2.2888183e-07,1.2649423,8.41835,-149.2257,94.53189,-148.05891,0.09377968,[ 0.723 -1.065  0.223  0.304  0.028],1.0095594,55.05,100,10,1.0187826,,1.0101064,0.31408703,0.7420608,2.5256581
1100,100.0,124.26036,0.12088988,1.4466019,-2.2089539,-156.23605197905843,161.78937,288.5981423854828,63902,5.569458e-06,1.2853388,8.363373,-168.9829,94.81029,-168.13306,0.09422149,[ 0.734 -1.07   0.225  0.309  0.027],1.0115325,60.21,100,11,1.0224323,,1.0117654,0.3267216,0.73511386,2.2248778
1200,100.0,2555.8247,0.12655203,1.4395081,-2.8333893,-156.38649251959322,170.6116,317.5409297943115,70003,-6.6375733e-06,2.9267054,7.7240067,-170.3696,94.87341,-163.44882,0.45573282,[ 0.741 -1.067  0.225  0.313  0.028],1.155343,61.01,100,12,1.1959143,,1.1086333,0.33976153,0.39758575,2.4251003
1300,100.0,169.0687,0.11683316,1.4344832,-2.8142166,-153.37941191516848,170.81679,345.4371597766876,75796,-5.7983398e-06,1.2879846,11.462105,-160.63426,94.704666,-157.33485,0.094204895,[ 0.717 -1.072  0.219  0.307  0.021],1.0117239,57.93,100,13,1.036309,,1.0339181,0.3227719,0.7028079,2.599843
1400,100.0,295.26215,0.12290453,1.4396231,-2.685936,-156.1977818700468,160.94409,372.9857442378998,81886,7.476807e-06,1.6043195,7.021446,-169.69318,94.870346,-168.09552,0.15338774,[ 0.727 -1.089  0.222  0.315  0.016],1.0236496,60.9,100,14,1.0379245,,1.0293181,0.33002797,0.6768323,2.4569018
1500,100.0,163.76071,0.11783913,1.4433628,-3.1002502,-153.44916207353776,165.3902,397.6844096183777,87748,4.653931e-06,1.3364558,5.440834,-160.26654,94.76462,-159.2857,0.10706147,[ 0.734 -1.087  0.225  0.32   0.021],1.010703,58.62,100,15,1.0208117,,1.0167192,0.32337835,0.7528534,2.3674364
1600,100.0,170.13928,0.11619821,1.4453678,-2.7420883,-153.21726757022466,168.40063,422.2422387599945,93526,-5.0354006e-06,1.4367723,8.212517,-164.08047,94.69653,-163.0751,0.10813201,[ 0.735 -1.08   0.224  0.314  0.024],1.010925,57.78,100,16,1.0278136,,1.0172933,0.32146847,0.7630628,2.3141732
1700,100.0,175.95668,0.113649905,1.4483867,-2.2889328,-152.53761234079738,172.37985,447.58669114112854,99180,-7.6293945e-06,1.3187442,8.26844,-152.63913,94.60426,-151.64569,0.100721635,[ 0.724 -1.073  0.222  0.321  0.027],1.0117209,56.54,100,17,1.021049,,1.0142627,0.31830573,0.7870299,2.1087286
1800,100.0,103.40257,0.11092372,1.4454889,-2.3660736,-151.19145510893216,175.63078,473.1669292449951,104712,1.2283325e-05,1.2474875,8.514526,-151.74576,94.533936,-150.73744,0.07598907,[ 0.726 -1.07   0.225  0.324  0.029],1.0056148,55.32,100,18,1.0101583,,1.0102501,0.31450844,0.8397379,2.0636714
1900,100.0,168.22614,0.11302859,1.4501004,-2.5556335,-151.90435253596505,172.90451,500.6937336921692,110338,6.8664554e-07,1.3303599,5.7643433,-156.65584,94.599915,-155.61325,0.10186654,[ 0.723 -1.059  0.224  0.321  0.027],1.0107306,56.26,100,19,1.0181162,,1.0134934,0.3174394,0.7469038,2.1206956
2000,100.0,542.813,0.11373701,1.4533342,-2.8603363,-151.58531329561302,174.03267,528.1174638271332,115971,-2.7465821e-06,1.5871923,8.60965,-159.56296,94.61795,-157.61208,0.18988058,[ 0.729 -1.06   0.226  0.326  0.031],1.0377383,56.33,100,20,1.0514791,,1.0235958,0.31922278,0.5093346,2.3977509
2100,100.0,69.98827,0.13093686,1.4461559,-2.9940186,-160.11645186362315,149.27318,555.7479643821716,122486,7.93457e-06,1.1864773,6.4357605,-180.7807,95.08469,-179.80305,0.07512809,[ 0.738 -1.051  0.227  0.325  0.035],1.0073413,65.15,100,21,1.0223281,,1.011838,0.33826473,0.7707139,2.5774672
2200,100.0,747.625,0.11234346,1.4472214,-2.8202896,-150.97887910610788,176.89609,581.2667000293732,128041,5.340576e-07,1.7237705,7.262993,-157.17445,94.56421,-155.12671,0.20964657,[ 0.735 -1.048  0.227  0.325  0.027],1.0404034,55.55,100,22,1.0555925,,1.0238198,0.3177971,0.5441837,2.386542
2300,100.0,456.41675,0.111643806,1.441615,-2.8637238,-150.75094858481552,177.18805,605.3857700824738,133572,-5.41687e-06,1.5157194,7.6691895,-147.89317,94.548874,-146.1961,0.1815735,[ 0.739 -1.035  0.228  0.329  0.028],1.0337005,55.31,100,23,1.0528,,1.0265285,0.3165659,0.5814138,2.2193248
