StdIW,Weights,TimeElapsed,MinD2w0t,ReturnStepMax,ReturnStepMaxmin,InitialReturnMean,InitialBound,EmpiricalD2,Iteration,MeanIW,MeanEntropy,EpLenMean,InitialReturnStd,InitialReturnMin,MaxIW,MinIW,MaxD2w0t,ReturnMeanIW,MeanD2w0t,J_sample_variance,StdD2w0t,EpRewMean,EpisodesSoFar,TimestepsSoFar,InitialReturnMax,Bound,EpThisIter
0.7757642,[-0.689  0.919 -0.673  0.288  0.   ],5.988189458847046,,100.0,99.36191,-93.01559,-94.90021,66.279495,1,0.49516645,1.3413216,17.45,3.275067,-97.78645,21.28315,6.50847e-05,1052.7086,-47.574764,0.7890364,4796.4067,12.392203,-108.67197648780628,100,1745,-83.81554,-57.393982,100
0.66826236,[-0.702  0.808 -0.794  0.431 -0.078],18.860201597213745,,100.0,99.38749,-93.74159,-95.4031,200.34645,2,0.26774344,1.2709001,16.22,2.6644592,-98.00152,12.368562,8.267516e-06,656.74646,-27.834543,0.9679754,3536.767,12.744617,-108.32846918715417,200,3367,-84.87263,-43.32379,100
0.8630299,[-0.633  0.83  -0.901  0.455 -0.148],32.46320152282715,,100.0,99.36066,-93.044014,-94.77213,28.497046,3,0.67193353,1.2852733,16.67,2.9569087,-97.68399,7.168181,0.0023500458,361.539,-64.03306,0.26438692,5890.494,4.358958,-107.9428853452914,300,5034,-83.36442,-71.73095,100
2.4609218,[-0.696  0.825 -0.861  0.323 -0.134],45.149524211883545,,100.0,99.36932,-93.20735,-94.78468,26.157372,4,0.61404663,1.2636462,16.64,2.8742986,-97.50303,24.812181,0.001520829,71.24993,-60.13305,0.22471786,50504.105,2.133115,-108.11048804429988,400,6698,-85.38447,-65.60184,100
0.6274615,[-0.658  0.772 -0.801  0.326 -0.155],55.909534215927124,,100.0,99.36453,-92.99603,-94.830734,223.13684,5,0.37170446,1.264168,16.76,3.1182907,-97.485146,11.15303,0.0007429926,749.31946,-37.509693,1.2564493,2956.3728,17.716764,-107.981145910458,500,8374,-83.07398,-53.337044,100
0.96481454,[-0.684  0.729 -0.747  0.36  -0.155],69.59843683242798,,100.0,99.37014,-92.8849,-94.67226,212.4292,6,0.396985,1.191025,16.44,3.165021,-97.43881,17.049492,4.568273e-06,487.99994,-39.302914,0.89856935,7086.296,11.919076,-107.56085526765054,600,10018,-82.86231,-54.049683,100
0.8735942,[-0.79   0.694 -0.681  0.366 -0.228],83.04361343383789,,100.0,99.35364,-93.17176,-94.88272,52.479477,7,0.55432487,1.1478165,16.92,2.9774745,-97.58826,32.68471,0.0015453135,369.2718,-54.24726,0.51202035,5164.5024,7.1338677,-108.3345852972123,700,11710,-82.98331,-62.93942,100
1.1332588,[-0.78   0.74  -0.688  0.296 -0.271],94.90621089935303,,100.0,99.379326,-93.325905,-95.03169,274.67276,8,0.45082864,1.1085135,16.38,3.1897926,-97.59591,21.128159,8.7101755e-05,1058.0167,-44.2327,1.1053786,9385.416,16.960676,-108.00732959166845,800,13348,-79.82166,-62.047653,100
1.2658955,[-0.836  0.693 -0.624  0.27  -0.31 ],107.33870267868042,,100.0,99.36927,-93.437965,-95.2554,368.826,9,0.47087651,1.1049786,16.38,2.7403529,-98.00981,34.47729,0.00037125175,1715.7394,-46.577374,1.5925275,12059.734,28.064333,-108.13625675014302,900,14986,-83.8687,-63.12078,100
1.4934489,[-0.795  0.776 -0.633  0.251 -0.314],121.27286195755005,,100.0,99.36516,-92.948204,-94.91649,19.84406,10,0.77821666,1.1220684,17.4,3.1777868,-97.64101,16.399357,0.0003114858,147.25195,-73.849686,0.26867077,16204.034,3.1559668,-108.53528473592718,1000,16726,-81.86447,-80.723366,100
