EpRewMean,MaxIW,MinD2w0t,MeanD2w0t,EmpiricalD2,TimestepsSoFar,Iteration,StdD2w0t,InitialBound,MaxD2w0t,MeanEntropy,ReturnStepMax,Bound,Weights,InitialReturnMin,EpLenMean,InitialReturnStd,InitialReturnMax,TimeElapsed,EpThisIter,MinIW,J_sample_variance,MeanIW,ReturnMeanIW,StdIW,InitialReturnMean,ReturnStepMaxmin,EpisodesSoFar
-107.5568281044892,35.706047,,1.4780434,127.61882,3540,1,16.895903,-81.52678,1967.2804,1.3510592,100.0,-46.40852,[-0.563 -1.093 -0.809 -1.04   0.   ],-95.935974,35.4,12.600159,-45.291973,8.896643877029419,100,9.870463e-06,2740.106,0.41699535,-30.148762,1.2385123,-79.2192,99.00072,100
-105.96323272517019,11.2930355,,1.2118684,71.071465,7543,2,10.752523,-77.43792,657.2101,1.3183882,100.0,-63.896606,[-0.604 -1.126 -0.748 -1.013 -0.068],-95.63293,40.03,14.134373,-26.277182,26.462003707885742,100,0.0002766357,12263.838,0.6290597,-52.247463,1.36882,-75.0579,99.0,200
-106.26044740509943,11.215298,,0.8315056,59.206093,11540,3,7.1491485,-77.33877,574.45605,1.2938511,100.0,-48.75413,[-0.614 -1.079 -0.798 -1.027 -0.1  ],-94.87353,39.97,14.817641,-34.641064,41.83339023590088,100,0.0012422712,4778.605,0.45651126,-37.80341,0.85381484,-75.021706,99.0,300
-107.23842331756266,34.30274,,1.3616089,72.68033,14950,4,10.643045,-81.972885,502.9851,1.2257087,100.0,-49.05961,[-0.586 -1.041 -0.842 -1.049 -0.125],-94.630196,34.1,12.821736,-43.573532,56.76359748840332,100,4.06037e-05,3866.274,0.41958642,-33.843098,1.064306,-79.67893,99.0,400
-105.91445898431124,8.245466,,1.0449544,71.70765,18689,5,11.392877,-79.44032,1205.438,1.2431703,100.0,-57.660866,[-0.607 -1.052 -0.76  -1.043 -0.193],-93.517975,37.39,15.60657,-25.224403,73.57949948310852,100,0.0013281021,6842.4375,0.5610837,-45.549995,1.0599486,-77.04522,99.0,500
-106.11539201626027,13.744311,,0.51262844,23.083101,22569,6,4.0034065,-78.200584,275.00778,1.2084899,100.0,-50.38038,[-0.603 -1.071 -0.718 -1.004 -0.176],-94.07388,38.8,14.21445,-30.277018,91.18438076972961,100,0.0007486757,3832.15,0.52253133,-42.069756,0.8549414,-75.844315,99.00002,600
-106.06915749182662,19.188097,,0.9818557,100.06509,26586,7,10.286008,-77.16118,764.2016,1.1586573,100.0,-41.80787,[-0.619 -1.055 -0.726 -1.059 -0.21 ],-95.47452,40.17,14.143292,-38.36046,106.70409417152405,100,0.00068980054,3800.7476,0.38781413,-30.265089,0.8493475,-74.86014,99.000015,700
-103.7941619287242,5.719969,,0.9168516,24.826715,30891,8,4.6240077,-73.67109,90.516075,1.2871095,100.0,-51.012527,[-0.663 -1.065 -0.694 -1.008 -0.26 ],-93.75339,43.05,15.577122,-29.929197,123.57557106018066,100,0.009021254,1869.9465,0.54232556,-42.302525,0.61331224,-71.41354,99.00002,800
-106.15770151547312,3.251934,,0.112903155,1.5757489,35031,9,0.38646984,-76.46266,2.6341603,1.2495123,100.0,-72.62195,[-0.64  -1.044 -0.647 -1.003 -0.132],-94.222336,41.4,14.085769,-38.528076,141.7243411540985,100,0.028568858,2015.304,0.9038402,-69.828156,0.5660554,-74.14212,99.0,900
-105.81700776274236,56.08687,,1.1446694,82.88435,39086,10,11.46434,-76.755264,975.16064,1.2583263,100.0,-45.238758,[-0.617 -1.05  -0.668 -0.999 -0.169],-94.97908,40.55,15.204973,-21.508476,157.81631088256836,100,0.00042092032,3687.3354,0.5371773,-34.090126,1.6354578,-74.44217,99.000015,1000
-104.87236846596846,39.91607,,1.6891705,180.39413,43273,11,18.002728,-75.334625,1179.2351,1.2665955,100.0,-50.493,[-0.633 -1.084 -0.623 -0.985 -0.161],-94.87191,41.87,14.895639,-29.041714,174.21492290496826,100,0.00026008667,4078.035,0.49196172,-36.37213,0.9583502,-73.00123,99.0,1100
-105.42500579982632,7.6761374,,0.20592585,3.418831,47315,12,0.87284154,-76.6573,16.616488,1.2540278,100.0,-69.886086,[-0.592 -1.08  -0.675 -1.025 -0.152],-95.74936,40.42,14.433942,-35.093285,190.7675440311432,100,0.019953443,5931.0337,0.8563578,-65.75142,0.9954535,-74.31161,99.0,1200
-104.60647232063928,32.227173,,0.99243575,68.504684,51679,13,9.292238,-74.51866,771.9252,1.1792251,100.0,-59.57875,[-0.554 -1.091 -0.713 -1.02  -0.165],-98.03822,43.64,17.552868,-21.199547,207.2675552368164,100,0.00016205692,16660.004,0.6679198,-49.23386,1.6837503,-72.14935,99.00001,1300
-103.38849180073588,15.132897,,1.4689506,77.43146,55996,14,11.121637,-73.55029,783.2864,1.1396216,100.0,-44.020203,[-0.565 -1.109 -0.701 -0.962 -0.24 ],-92.23705,43.17,16.809155,-13.985021,224.73556399345398,100,0.0005779952,4404.1636,0.43497413,-32.303875,0.9082857,-71.17241,99.0,1400
-105.33282187044874,39.510178,,1.5775506,165.58551,60160,15,23.406631,-75.74721,2092.3303,1.0663757,100.0,-47.9624,[-0.569 -1.128 -0.639 -0.952 -0.279],-95.171364,41.64,15.103328,-26.943903,239.92605018615723,100,4.8992406e-05,5000.413,0.4318227,-33.89981,1.0832355,-73.43914,99.0,1500
-104.99234786730067,13.875948,,1.3140709,104.18435,64794,16,12.95484,-72.52135,711.8606,1.0404894,100.0,-39.074165,[-0.617 -1.2   -0.638 -0.951 -0.353],-94.35471,46.34,14.769222,-32.736504,257.00756573677063,100,0.00023021403,1392.506,0.3719558,-28.211357,0.6364423,-70.185295,99.0,1600
-105.82633915597101,16.751526,,1.077528,39.313248,69625,17,5.7120247,-71.71089,208.26056,0.9795252,100.0,-55.342304,[-0.631 -1.227 -0.618 -0.923 -0.379],-91.71654,48.31,12.944283,-37.80774,274.2841579914093,100,0.00022488715,6670.243,0.6131913,-46.46723,1.2374983,-69.38655,99.0,1700
-105.6273109225627,23.781368,,1.4332403,73.25386,74732,18,10.277954,-69.65645,638.5661,0.97838485,100.0,-48.51791,[-0.682 -1.248 -0.665 -0.881 -0.439],-92.58788,51.07,13.258747,-38.579273,293.58511185646057,100,0.00014128293,6283.442,0.5514303,-38.94434,1.2278241,-67.359024,99.0,1800
