ReturnStepMax,Bound,MaxD2w0t,ReturnStepMaxmin,ReturnMeanIW,EpThisIter,Weights,InitialBound,Iteration,StdD2w0t,TimeElapsed,J_sample_variance,TimestepsSoFar,MeanD2w0t,StdIW,InitialReturnMax,InitialReturnMin,EmpiricalD2,EpRewMean,InitialReturnMean,MeanEntropy,MinD2w0t,MinIW,InitialReturnStd,MaxIW,EpLenMean,EpisodesSoFar,MeanIW
100.0,-32.705017,5495.2637,99.00072,-22.886797,100,[-0.563 -1.093 -0.809 -1.04   0.   ],-80.16126,1,41.136913,7.920639991760254,3733.5488,3540,2.558588,1.3823991,-45.291973,-95.935974,290.4948,-107.5568281044892,-79.2192,1.3153142,,4.077949e-07,12.600159,63.643394,35.4,100,0.34858406
100.0,-35.857845,2932.2598,99.0,-25.774971,100,[-0.616 -1.124 -0.75  -1.003 -0.104],-73.86926,2,51.45753,26.778622150421143,21817.062,7700,4.798843,1.9907081,-23.149677,-95.45126,431.53525,-104.45059432456517,-72.90498,1.2523136,,2.8773734e-06,15.874659,99.87286,41.6,200,0.4579526
100.0,-44.255337,2658.4932,99.0,-36.476078,100,[-0.648 -1.14  -0.78  -0.914 -0.167],-76.317,3,32.793804,43.754334449768066,4382.369,11807,2.2670777,0.8661761,-19.713903,-95.41171,338.35928,-107.41284122567032,-75.33565,1.3089828,,0.0017067615,14.733523,12.737367,41.07,300,0.43130875
100.0,-42.925148,1386.1559,99.00004,-36.0367,100,[-0.588 -1.145 -0.789 -0.987 -0.11 ],-77.21877,4,18.513258,59.74390435218811,7246.728,15674,2.330039,1.0634898,-35.266766,-94.93396,129.115,-106.55040911341713,-76.25489,1.3193344,,0.00040295732,13.8340845,13.055389,38.67,400,0.41782784
100.0,-37.658398,1175.6448,99.0,-28.956179,100,[-0.586 -1.158 -0.704 -0.979 -0.1  ],-74.419136,5,31.434649,76.55024480819702,1047.1516,19999,4.5666704,0.6544917,-28.161678,-96.30633,173.5657,-106.87835729986534,-73.43405,1.2402339,,3.2283086e-05,14.544534,66.19334,43.25,500,0.33919516
100.0,-52.691597,3193.0027,99.0,-44.292904,100,[-0.626 -1.204 -0.785 -0.919 -0.179],-76.18239,6,33.828667,93.22409534454346,6924.4746,24019,3.1272128,1.0987593,-10.713957,-94.75227,171.75232,-105.94743184665997,-75.18074,1.261744,,0.00086374657,15.648255,14.346794,40.2,600,0.5249172
100.0,-47.408493,5263.0107,99.0,-37.611607,100,[-0.6   -1.131 -0.817 -0.889 -0.157],-75.90725,7,46.319336,111.3238844871521,5306.947,28030,3.4824874,1.0553135,-11.359093,-94.02156,256.84888,-105.44981774320817,-74.911385,1.28332,,0.00011085469,16.31502,14.665028,40.11,700,0.45038188
100.0,-46.86694,2331.0034,99.00001,-35.205776,100,[-0.609 -1.093 -0.883 -0.896 -0.136],-79.00767,8,53.922592,126.85386228561401,4835.3003,31704,5.9532876,0.87214524,-37.64705,-96.362656,131.26291,-107.32685129022676,-78.05966,1.2296158,,3.1283842e-05,14.316922,19.303375,36.74,800,0.39458102
100.0,-56.80903,5505.4507,99.0,-47.510117,100,[-0.569 -1.096 -0.769 -0.92  -0.189],-76.83575,9,46.613438,144.86460518836975,12518.622,35693,3.2745476,1.8280054,-37.09086,-95.45399,254.80392,-107.12907627943378,-75.88449,1.15978,,1.1567772e-05,13.432157,40.251663,39.89,900,0.6441612
100.0,-50.31422,1324.125,99.0,-41.890476,100,[-0.53  -1.14  -0.86  -0.967 -0.259],-78.15905,10,21.698837,162.597069978714,5416.6533,39459,2.612581,1.0520483,-15.116362,-93.8122,73.68527,-106.725319086883,-77.15574,1.1406163,,0.00010604241,14.832356,11.170397,37.66,1000,0.5268154
