InitialReturnMean,InitialReturnMax,ReturnMeanIW,MaxIW,MeanD2w0t,ReturnStepMaxmin,Bound,EpThisIter,TimeElapsed,MeanEntropy,InitialReturnMin,MinIW,StdD2w0t,EpisodesSoFar,StdIW,TimestepsSoFar,MaxD2w0t,EpRewMean,ReturnStepMax,EpLenMean,Weights,MinD2w0t,EmpiricalD2,InitialReturnStd,MeanIW,J_sample_variance,Iteration,InitialBound
6.866455e-06,4.0299683,484.44922,2.4400303,0.04175873,88.65788,218.89822,100,3.691556692123413,1.4401203,-3.0504456,0.60253656,0.2038976,100,0.26920518,2014,1.1532382,-114.09164470450104,100.0,20.14,[0.865 0.619 0.341 0.65  0.   ],,1.0740587,1.4360125,1.0430411,12707.192,1,209.41074
-6.1035157e-06,4.500992,765.29584,38.084187,0.097265765,88.88047,269.27914,100,15.846158742904663,1.4386083,-3.166214,0.011757483,0.6451758,200,5.3192987,4149,22.62171,-115.28527471590523,100.0,21.35,[0.875 0.622 0.358 0.663 0.021],,7.648775,1.3481363,1.847862,4164111.2,2,151.60553
8.926391e-06,5.122017,494.59085,2.0164037,0.039464038,88.06733,243.74887,100,27.075767993927002,1.4659346,-3.2019043,0.63729596,0.19681142,300,0.22541805,6082,1.0766081,-113.23956971298534,100.0,19.33,[0.901 0.705 0.358 0.632 0.02 ],,1.0392256,1.5680504,1.0178497,10054.611,3,239.76648
-9.07898e-06,4.145775,615.4185,10.813718,0.048009757,87.77817,319.3652,100,38.99177932739258,1.4802963,-3.4481125,0.19433461,0.25965196,400,1.272861,7971,5.17924,-112.74007845054668,100.0,18.89,[0.897 0.7   0.362 0.631 0.047],,1.8479142,1.4932522,1.2573427,334182.22,4,250.75519
7.93457e-06,3.47184,600.9699,10.114336,0.047990136,87.92843,318.1451,100,52.998449087142944,1.4559469,-2.3415375,0.10020876,0.25574943,500,1.2615837,9874,6.192563,-113.09771137706329,100.0,19.03,[0.933 0.741 0.331 0.662 0.061],,1.9731231,1.2126065,1.2325432,315295.4,5,252.18762
-6.2561035e-06,2.8902435,661.01434,7.0451574,0.05529251,88.0811,343.87332,100,67.09930610656738,1.3698881,-3.0953064,0.028324287,0.29525238,600,1.3407656,11811,6.604027,-113.75188287770173,100.0,19.37,[0.933 0.801 0.339 0.733 0.037],,2.4341984,1.2930142,1.3986528,339144.5,6,240.76852
3.4332274e-06,3.5051422,514.6088,1.4408095,0.038328983,87.627365,255.48364,100,80.65325903892517,1.3425575,-2.8917084,0.46960568,0.19419679,700,0.20617779,13686,1.0856502,-112.83372106183768,100.0,18.75,[ 0.986  0.836  0.362  0.8   -0.049],,1.0393208,1.2502197,1.0261792,9011.158,7,247.87439
1.9836425e-06,4.74942,536.1317,4.5293207,0.04141936,87.70367,283.62897,100,93.03169512748718,1.3417978,-3.1932678,0.1809918,0.21138272,800,0.60472697,15570,2.7013607,-112.99129302972186,100.0,18.84,[ 0.97   0.841  0.354  0.792 -0.077],,1.3453931,1.2648274,1.0817015,73500.58,8,261.87738
1.5029907e-05,3.4774628,581.00525,12.799725,0.04445978,87.61598,274.3761,100,105.3545446395874,1.3506267,-2.7249374,0.12249066,0.2315812,900,1.1653149,17430,3.1080112,-112.81048644237835,100.0,18.6,[ 1.     0.861  0.363  0.839 -0.077],,1.5118811,1.3451235,1.1649667,246127.9,9,242.54669
-3.890991e-06,3.2144012,536.70447,2.5435064,0.039819494,87.476234,265.99265,100,117.37975764274597,1.3057129,-2.919609,0.32226372,0.20277186,1000,0.35783827,19291,1.3020704,-112.7612934211053,100.0,18.61,[ 1.019  0.883  0.358  0.796 -0.068],,1.1231029,1.5124284,1.0649287,27519.395,10,250.195
