StdIW,Bound,TimestepsSoFar,Weights,EpRewMean,InitialReturnStd,EntropyCoefficient,EpisodesSoFar,ReturnStepMaxmin,EpThisIter,MaxD2w0t,InitialBound,MinIW,J_sample_variance,InitialReturnMin,EpLenMean,TimeElapsed,MeanD2w0t,ReturnMeanIW,StdD2w0t,MeanEntropy,InitialReturnMean,Iteration,MaxIW,MinD2w0t,InitialReturnMax,ReturnStepMax,MeanIW,EmpiricalD2
0.64315844,425.14148,2014,[0.865 0.619 0.341 0.65  0.   ],-114.09164470450104,1.4360125,10.0,100,88.65788,100,1.9973853,403.7165,0.31679428,72895.01,-3.0504456,20.14,4.228464603424072,0.048053164,500.586,0.23660834,1.4492732,6.866455e-06,1,5.8424034,,4.0299683,100.0,1.0830326,1.3749057
187.82443,5740.098,4120,[0.877 0.624 0.381 0.68  0.031],-115.09019618192755,1.3659849,10.0,200,89.00919,100,152578.62,386.2276,1.3755283e-08,5169677000.0,-3.1290894,21.06,10.354421377182007,20.533974,7708.5903,1066.3346,1.2951652,-4.5776366e-07,2,1921.8613,,4.121109,100.0,19.754562,6696.3823
0.98800874,465.1106,6036,[ 0.863  0.847  0.365  0.826 -0.124],-113.13538106335456,1.4929695,10.0,300,87.762955,100,6.3891873,425.8117,0.105460934,193940.89,-3.2574844,19.16,17.714829683303833,0.05323162,551.1255,0.279862,1.345929,-1.0681152e-06,3,7.6967573,,3.6932144,100.0,1.1353081,1.7291068
9.2034025,657.2551,7915,[ 0.872  0.838  0.376  0.892 -0.073],-113.03837946258223,1.2972198,10.0,400,87.808624,100,959.87006,437.64694,1.4896331e-06,16633725.0,-2.9492416,18.79,23.181291580200195,0.47974774,1065.4208,8.573375,1.1161401,1.7776489e-05,4,73.72659,,3.0802002,100.0,2.2700438,82.71288
343.09204,10619.545,9925,[ 0.764  0.768  0.382  0.777 -0.303],-113.96804159135529,1.5856818,10.0,500,88.18113,100,188250.86,398.4412,1.7708988e-08,18417375000.0,-3.4323425,20.1,29.272643566131592,28.40026,14079.23,1440.815,0.9775195,-3.7384034e-06,5,3514.6182,,5.6265717,100.0,34.90129,10010.272
14.620656,665.6692,11987,[ 0.737  0.641  0.424  0.808 -0.442],-114.62132378262935,1.4047449,10.0,600,88.87858,100,232.67801,387.22214,0.007443831,32628736.0,-3.2853317,20.62,36.66736078262329,0.42314407,1137.3822,4.6933227,0.89286786,-2.8991699e-06,6,169.04898,,3.307602,100.0,2.7040594,17.203297
0.953606,437.3988,13914,[ 0.733  0.648  0.474  0.757 -0.526],-112.79895355379526,1.4901308,10.0,700,87.84589,100,3.676777,409.9019,0.028515132,176128.48,-3.0941772,19.27,42.28478741645813,0.047468916,526.6757,0.24341902,0.8547743,2.2888183e-07,7,6.8726425,,3.9039383,100.0,1.0927293,1.6829213
0.32334274,428.75113,15840,[ 0.722  0.628  0.468  0.717 -0.564],-112.91364154857793,1.4327524,10.0,800,87.77659,100,1.2963371,416.5349,0.10815056,21706.484,-3.7254333,19.26,47.81323456764221,0.0413753,503.75684,0.20711707,0.83113146,1.9836425e-06,8,1.9430469,,4.007614,100.0,1.038873,1.118022
410.49854,13222.262,17652,[ 0.755  0.613  0.476  0.698 -0.588],-111.5838276033753,1.5190622,10.0,900,87.11978,100,2093991.5,447.8229,2.4959856e-05,35969920000.0,-3.7726212,18.12,52.849050998687744,124.93422,19769.424,10180.669,0.81572396,1.6021728e-06,9,4991.37,,5.4278717,100.0,42.399616,37086.91
0.6361041,454.53217,19505,[ 0.703  0.563  0.486  0.55  -0.603],-111.21067437907809,2.0790467,10.0,1000,87.50887,100,2.6595545,434.46844,0.10391021,87810.14,-4.3435974,18.53,60.56856036186218,0.044896655,536.5986,0.23185565,0.77179563,-4.4250487e-06,10,5.5112906,,5.7757034,100.0,1.0726063,1.3247195
0.6378132,478.3852,21329,[ 0.694  0.572  0.457  0.534 -0.647],-110.63966714728912,1.9693352,10.0,1100,87.36794,100,2.5192983,443.73026,0.16659781,86771.05,-5.283615,18.24,66.10348081588745,0.043752838,556.29395,0.22858271,0.79111546,-8.087158e-06,11,3.8502097,,5.0851364,100.0,1.0977722,1.4600035
31.034184,1213.6692,23191,[ 0.66   0.567  0.461  0.512 -0.628],-111.23215405593704,2.0136173,10.0,1200,87.50488,100,1955.1371,430.96176,1.7025899e-05,176755840.0,-3.425911,18.62,71.49658298492432,1.1846699,1748.2122,26.23989,0.69885385,9.384155e-06,12,399.1099,,5.046875,100.0,3.884775,222.22887
5.651542,686.6927,25001,[ 0.644  0.649  0.433  0.478 -0.72 ],-111.04179987212801,2.149838,10.0,1300,87.111404,100,459.52014,449.40588,0.0049974755,7108974.5,-4.3249435,18.1,77.76993703842163,0.1815511,865.2419,3.680568,0.71289104,2.3651123e-06,13,50.78596,,7.172676,100.0,1.746061,22.884846
