InitialReturnMean,MinD2w0t,EpThisIter,StdIW,MinIW,EmpiricalD2,TimestepsSoFar,EpLenMean,StdD2w0t,Iteration,MaxIW,EpRewMean,MeanD2w0t,TimeElapsed,ReturnMeanIW,EntropyCoefficient,EpisodesSoFar,MeanEntropy,ReturnStepMaxmin,InitialBound,InitialReturnStd,InitialReturnMin,InitialReturnMax,MeanIW,Bound,ReturnStepMax,MaxD2w0t,Weights,J_sample_variance
1.0986329e-05,,100,0.23735031,0.6124798,1.0583729,2043,20.43,0.2027053,1,1.8092241,-108.8235630534528,0.041830957,4.082341194152832,451.00937,10.0,100,1.4381782,88.47723,175.82045,6.5082946,-7.197624,30.6531,1.0338893,183.18863,100.0,1.1046089,[ 0.911 -0.288 -0.586 -0.882  0.   ],8463.607
8.239746e-06,,100,0.17251404,0.70015657,1.0277126,4065,20.22,0.19938803,2,1.9273434,-107.93760156385505,0.040927738,10.40702509880066,448.92737,10.0,200,1.4394003,88.32373,142.33865,8.305126,-6.9808884,59.317482,1.0233991,147.98729,100.0,1.0812886,[ 0.921 -0.28  -0.586 -0.887  0.019],4383.3403
-4.997253e-06,,100,0.5189381,0.20253332,1.1642096,6243,21.78,0.21651842,3,3.6999395,-108.45946184210894,0.046130955,16.29467272758484,424.44943,10.0,300,1.4479831,89.04048,116.897514,10.53723,-7.7556686,48.95449,1.0598773,125.82974,100.0,1.4032032,[ 0.945 -0.288 -0.589 -0.898  0.02 ],32116.752
,,100,0.22778821,0.449097,1.0483643,8290,20.47,0.20248452,4,1.6258037,-107.32194805932178,0.041830983,21.74483847618103,443.43805,10.0,400,1.4304118,88.51442,138.5828,9.949785,-7.2966537,52.578064,1.0340493,145.5183,100.0,1.1135828,[ 0.978 -0.291 -0.601 -0.914  0.029],8010.6514
1.4762878e-05,,100,0.113313705,0.71601355,1.0113956,10332,20.42,0.19913436,5,1.3152319,-108.06463679185262,0.041091982,27.5339035987854,438.3734,10.0,500,1.4227711,88.41587,140.29607,8.646646,-6.7204285,50.193417,1.0066092,141.7122,100.0,1.0263093,[ 0.994 -0.292 -0.608 -0.918  0.011],2033.7086
-1.04904175e-05,,100,0.060922667,0.8471407,1.0043813,12284,19.52,0.19425617,6,1.2691259,-107.8053629202029,0.039156374,32.66087555885315,460.44016,10.0,600,1.4323134,88.22945,172.44408,7.047661,-6.4240036,34.884415,1.0062608,173.92567,100.0,1.0258783,[ 0.987 -0.289 -0.602 -0.915  0.004],760.71063
-1.3732911e-06,,100,0.43783295,0.50360847,1.1259794,14237,19.53,0.2023254,7,3.3941956,-107.68852757607023,0.04069112,37.70171809196472,480.97467,10.0,700,1.4336389,88.18086,218.98466,6.1089664,-6.4899216,30.370674,1.0620608,231.38528,100.0,1.7067322,[ 0.992 -0.289 -0.602 -0.914  0.013],28698.139
-4.577637e-06,,100,0.47331956,0.30267358,1.185989,16190,19.53,0.20573851,8,3.313081,-108.75478016536611,0.041403282,42.8386914730072,485.34085,10.0,800,1.4287943,88.055695,182.25943,6.9807925,-6.0300064,43.026802,1.0550549,195.96278,100.0,1.3614318,[ 0.97  -0.256 -0.603 -0.897  0.015],38396.54
6.1035157e-06,,100,0.12652935,0.70485157,1.0161089,18184,19.94,0.19717799,9,1.5626823,-107.89910015086994,0.040183146,48.587358713150024,453.2613,10.0,900,1.4172481,88.17804,162.34053,8.093127,-7.072342,49.5097,1.0168338,165.51352,100.0,1.0691664,[ 1.015 -0.261 -0.614 -0.912  0.01 ],2482.983
-8.506775e-06,,100,0.19321527,0.63807946,1.0339628,20320,21.36,0.20462984,10,1.7926165,-107.88658442116432,0.04322707,54.266191244125366,417.77377,10.0,1000,1.4257816,88.99712,123.42865,9.442255,-7.8780518,40.808693,1.0127108,126.74069,100.0,1.0641838,[ 1.006 -0.262 -0.611 -0.913 -0.002],4968.6846
