StdD2w0t,MeanD2w0t,ReturnStepMax,InitialBound,ReturnMeanIW,InitialReturnMax,EpRewMean,Weights,MeanEntropy,StdIW,EpThisIter,EpLenMean,Bound,EpisodesSoFar,InitialReturnMean,ReturnStepMaxmin,MinD2w0t,MinIW,EmpiricalD2,Iteration,J_sample_variance,MaxD2w0t,InitialReturnMin,MaxIW,TimestepsSoFar,MeanIW,TimeElapsed,InitialReturnStd
0.2892751,0.09218141,100.0,-1296.0715,-97.11005,-90.729195,-141.8229098366061,[ 0.579 -0.554  0.227  0.402  0.   ],1.4186,0.0056779156,100,46.09,-1296.0493,100,-97.14614,100.0,,0.98112005,1.0000298,1,4.5305967,1.000093,-99.610085,1.0122788,4609,0.99960405,8.304696559906006,2.1648557
0.28689906,0.09048023,100.0,-1273.8519,-97.11032,-90.77009,-141.27073011447408,[ 5.797e-01 -5.545e-01  2.276e-01  4.021e-01 -2.952e-04],1.4178611,0.017882256,100,45.23,-1273.6791,200,-97.4385,100.0,,0.9152595,1.0003276,2,8.5454035,1.0009115,-99.638504,1.0374986,9132,0.99591315,21.94407296180725,1.9967692
0.28946152,0.09230539,100.0,-1306.4468,-97.600655,-92.66052,-142.47123495620502,[ 0.579 -0.555  0.227  0.404 -0.001],1.4186015,0.009025993,100,46.15,-1306.3958,300,-97.7002,100.0,,0.96323043,1.0000855,3,2.889282,1.0003618,-99.54338,1.0241549,13747,0.99882406,34.93249297142029,1.5380695
0.2742232,0.08189156,100.0,-1274.9734,-97.51438,-92.173874,-137.36242582009947,[ 5.793e-01 -5.545e-01  2.273e-01  4.036e-01 -2.722e-04],1.4184946,0.019982992,100,40.94,-1274.8662,400,-97.72371,100.0,,0.9479966,1.0005213,4,4.2935123,1.0007026,-99.55854,1.0502361,17841,0.99732435,44.01958513259888,1.5744913
0.28582725,0.08974459,100.0,-1294.129,-97.50347,-89.785,-141.12648281831625,[ 5.798e-01 -5.533e-01  2.276e-01  4.039e-01 -4.709e-04],1.4183987,0.0069552613,100,44.87,-1294.0797,500,-97.592865,100.0,,0.97693926,1.0000598,5,3.4574919,1.000223,-99.871635,1.0139228,22328,0.9990035,57.13943433761597,1.8025755
0.28240547,0.08736376,100.0,-1292.3944,-97.225914,-92.13309,-139.9900271999716,[ 5.807e-01 -5.546e-01  2.282e-01  4.041e-01 -5.451e-04],1.4189227,0.026755398,100,43.67,-1292.1858,600,-97.62517,100.0,,0.9309513,1.0006671,6,8.220493,1.0012093,-99.58072,1.0740578,26695,0.99562514,70.15072727203369,1.6157728
0.28843015,0.091567576,100.0,-1266.5492,-97.35694,-93.60425,-141.9070536294641,[ 5.799e-01 -5.554e-01  2.275e-01  4.050e-01 -7.389e-05],1.4188607,0.011715119,100,45.78,-1266.4646,700,-97.49985,100.0,,0.9653946,1.0002178,7,3.0403976,1.0003849,-99.58652,1.0420781,31273,0.9985102,82.06023144721985,1.5784148
0.28199476,0.08706293,100.0,-1273.0906,-96.82742,-91.7872,-139.69411780971453,[ 5.797e-01 -5.536e-01  2.272e-01  4.049e-01 -1.209e-04],1.4170783,0.040807307,100,43.51,-1272.74,800,-97.53098,99.98349,,0.8575406,1.0016118,8,11.547043,1.0023699,-99.716034,1.0888656,35624,0.99145687,94.40789914131165,1.6271325
0.28174385,0.08691385,100.0,-1277.2222,-97.317635,-92.651375,-139.66443059810285,[ 0.578 -0.556  0.227  0.405 -0.002],1.4179968,0.018827863,100,43.45,-1277.0924,900,-97.56739,100.0,,0.94919,1.0004612,9,5.44229,1.0007364,-99.63279,1.0432831,39969,0.9971766,106.7654070854187,1.7536978
0.27366072,0.08152623,100.0,-1287.162,-97.38693,-91.885544,-136.92940264701235,[ 0.578 -0.557  0.227  0.404 -0.001],1.4174433,0.008600762,100,40.76,-1287.0997,1000,-97.51178,100.0,,0.96416557,1.0000969,10,3.0015392,1.0002939,-99.53528,1.0263027,44045,0.9985333,116.95322632789612,1.7064718
