EpRewMean,EpisodesSoFar,Bound,InitialReturnMax,MeanEntropy,InitialReturnMean,InitialReturnMin,TimeElapsed,MaxD2w0t,ReturnMeanIW,StdIW,ReturnStepMax,InitialReturnStd,MaxIW,EpThisIter,J_sample_variance,EmpiricalD2,MinIW,InitialBound,Weights,MeanD2w0t,MinD2w0t,Iteration,TimestepsSoFar,MeanIW,ReturnStepMaxmin,StdD2w0t,EpLenMean
-107.7164208577093,100,322.00665,12.306763,1.452254,-4.196167e-06,-5.334259,3.589797019958496,1.777698,584.51294,0.57673085,100.0,3.4973137,3.6552963,100,73165.305,1.3438755,0.26473525,283.6434,[-0.718  0.851  0.951 -0.346  0.   ],0.038116977,,1,1736,1.124368,86.68869,0.20212694,17.36
-107.97186353998438,200,428.30103,11.289688,1.3661705,-1.0375977e-05,-4.363823,12.608154058456421,3.7387028,736.2545,1.0919503,100.0,3.0257187,8.018339,100,304236.6,1.6316345,0.1245641,314.48022,[-0.719  0.897  0.941 -0.322  0.033],0.044195108,,2,3409,1.3689928,86.42538,0.2431769,16.73
-107.64818006282842,300,308.4869,26.043991,1.368216,-7.019043e-06,-4.7008514,24.824944972991943,1.4066223,575.92896,0.40948695,100.0,3.7674985,2.9631314,100,42961.95,1.1320977,0.31197956,296.937,[-0.731  0.943  0.912 -0.268 -0.053],0.03443656,,3,5060,1.0389899,86.18375,0.18666075,16.51
-107.68120997900576,400,324.12408,23.215874,1.3534683,-2.2125244e-06,-4.0824356,35.90719676017761,1.0558771,579.05145,0.17425728,100.0,3.4963837,1.5110765,100,8229.032,1.0376794,0.609589,317.3517,[-0.735  0.924  0.901 -0.295 -0.051],0.03274219,,4,6673,1.016883,85.889275,0.17933694,16.13
-108.46055045811345,500,3727.6243,16.434593,1.194336,4.4250487e-06,-4.5058517,49.67532682418823,5722.667,7585.3555,163.9156,100.0,2.9773653,1681.217,100,5267155000.0,1223.9662,3.0213364e-08,288.61035,[-0.753  0.924  0.894 -0.293 -0.066],3.9865782,,5,8393,16.70842,86.71038,85.72919,17.2
-107.4815594782163,600,1505.499,24.70964,1.1396312,1.1825561e-05,-4.871269,63.05832648277283,1934.1475,3626.4812,60.228683,100.0,3.7789721,613.5823,100,863813600.0,318.35876,1.4242877e-06,292.50198,[-0.817  0.774  0.847 -0.341 -0.225],2.297178,,6,10058,7.2410326,86.08989,36.529976,16.65
-108.30458126056817,700,337.54767,27.486038,1.1367223,4.196167e-06,-4.967209,78.2367537021637,11.664671,742.992,4.806073,100.0,4.868811,46.507713,100,4592191.5,5.0577874,0.00797792,249.80124,[-0.823  0.721  0.797 -0.287 -0.279],0.06615728,,7,11846,1.5290166,86.88541,0.4086203,17.88
-108.2196640689694,800,221.41867,29.014202,1.1145446,-3.8146973e-06,-5.727867,90.86242151260376,1.0718322,484.15857,0.15216757,100.0,6.9377103,1.4584627,100,4286.7344,1.0318806,0.624946,213.06375,[-0.891  0.691  0.777 -0.284 -0.282],0.03870163,,8,13752,1.0268197,87.64546,0.19441482,19.06
-107.90788596795883,900,293.77283,23.126175,1.1164799,7.93457e-06,-4.404976,102.00994348526001,1.4240663,552.5683,0.36761165,100.0,3.9340231,2.2355647,100,30029.92,1.1144266,0.36650458,285.69348,[-0.9    0.69   0.773 -0.284 -0.304],0.03512091,,9,15456,1.0374217,86.336586,0.18713374,17.04
-107.71259701868466,1000,324.237,35.22435,1.0937326,-3.0517579e-06,-5.0800323,112.96194553375244,6.9040127,671.3803,2.111426,100.0,5.5136695,18.685686,100,970439.7,2.830371,0.01621081,254.95673,[-0.883  0.699  0.78  -0.277 -0.302],0.05812367,,10,17225,1.3411393,86.823265,0.3303811,17.69
-108.47566648598638,1100,256.89203,27.87416,1.089784,7.171631e-06,-5.1774216,126.63428139686584,1.5081404,528.61115,0.48981825,100.0,5.2046723,3.048749,100,44689.426,1.246617,0.18284036,236.92343,[-0.926  0.692  0.749 -0.257 -0.325],0.038837057,,11,19061,1.0739508,87.18355,0.19956283,18.36
-107.30854596380503,1200,326.28973,25.578766,1.0691077,-1.0681152e-06,-4.571701,138.89551186561584,3.4016304,623.2985,0.9813998,100.0,4.86859,4.256284,100,207438.22,1.7413538,0.09354696,267.0355,[-0.903  0.709  0.751 -0.246 -0.329],0.040512383,,12,20794,1.2066567,86.616905,0.21880955,17.33
-108.19754408358838,1300,274.3769,23.846893,1.0645274,4.196167e-06,-4.413391,152.14571332931519,1.0113815,529.18774,0.03808639,100.0,4.1854706,1.1101277,100,376.9929,1.0016571,0.8796438,273.81485,[-0.953  0.69   0.743 -0.259 -0.35 ],0.03465795,,13,22525,1.0021441,86.49928,0.18300737,17.31
-107.88351047430803,1400,259.20157,19.956757,1.0664097,2.4414062e-06,-4.9093475,163.0774495601654,1.0951627,522.4134,0.18710959,100.0,3.9237287,1.8590811,100,8134.23,1.0280236,0.63799435,255.811,[-0.957  0.694  0.741 -0.257 -0.354],0.035848778,,14,24289,1.0152283,86.771965,0.18747999,17.64
-107.92484439013602,1500,335.15646,17.102097,1.1066791,1.6021728e-06,-3.9158554,174.94985127449036,1.455861,596.22797,0.6183325,100.0,2.9846368,4.736411,100,93877.8,1.299234,0.25317562,301.85318,[-0.967  0.692  0.745 -0.266 -0.353],0.03730206,,15,25971,1.1014051,86.48553,0.20064726,16.82
-108.21722158437893,1600,297.60776,27.962502,1.1270096,1.0147095e-05,-4.4067307,186.64571499824524,1.2758473,564.38354,0.22679873,100.0,4.4633274,2.9331717,100,12782.874,1.0324886,0.71247923,282.08432,[-0.998  0.689  0.736 -0.261 -0.312],0.03481624,,16,27674,1.0510488,86.29131,0.18553787,17.03
-108.07122325806421,1700,293.45395,27.234154,1.1184324,1.6021728e-06,-5.1449966,197.87382292747498,2.6814241,577.487,0.79076326,100.0,4.6354713,6.2121873,100,130832.28,1.4974719,0.11788679,258.02036,[-1.003  0.685  0.743 -0.258 -0.292],0.039554436,,17,29434,1.1323001,86.90288,0.21021429,17.6
-108.34420728224119,1800,283.2903,23.521568,1.1083986,-3.1280517e-06,-5.0877304,210.75170612335205,1.8583068,548.38446,0.557836,100.0,3.6775744,4.6422668,100,56442.277,1.265087,0.14917842,261.51587,[-1.007  0.651  0.732 -0.283 -0.3  ],0.037801087,,18,31214,1.0819916,87.15637,0.1976054,17.8
-108.02917845528349,1900,250.55042,24.583817,1.0856472,4.8065185e-06,-5.045738,221.68515276908875,1.0607345,511.41452,0.15289328,100.0,5.208986,1.4348848,100,4821.9575,1.0216197,0.59791666,244.05145,[-1.014  0.625  0.728 -0.302 -0.311],0.036571518,,19,33021,1.0195619,87.04351,0.18888322,18.07
-108.01478780736163,2000,294.57114,24.015518,1.0705518,3.5095215e-06,-4.974907,233.8421766757965,1.1009403,548.80774,0.1984655,100.0,3.7742617,1.7803947,100,10286.191,1.0396494,0.49530998,287.4181,[-1.016  0.624  0.726 -0.303 -0.333],0.034997255,,20,34727,1.0255569,86.33915,0.1862313,17.06
