EpisodesSoFar,EmpiricalD2,InitialReturnMin,MeanD2w0t,EpRewMean,ReturnStepMaxmin,InitialReturnMean,MaxIW,MinIW,StdIW,StdD2w0t,EntropyCoefficient,MinD2w0t,TimestepsSoFar,InitialBound,TimeElapsed,MeanIW,EpThisIter,Weights,InitialReturnStd,J_sample_variance,Iteration,ReturnMeanIW,MaxD2w0t,ReturnStepMax,InitialReturnMax,MeanEntropy,EpLenMean,Bound
100,1.0557674,-16.371025,0.07256166,-108.1894935537418,92.833694,-4.119873e-06,2.033583,0.5787381,0.24549557,0.26420322,10.0,,3509,-46.83206,5.152233600616455,1.0578026,100,[-0.822 -0.493 -0.474 -0.749  0.   ],10.794412,2596.6843,1,238.42957,1.10929,100.0,33.495453,1.4264199,35.09,-40.62603
200,1.016912,-17.597527,0.06884103,-106.52835022697359,92.744675,-3.8146973e-06,1.5865594,0.6633233,0.11156905,0.2546274,10.0,,6915,-35.4746,16.52238631248474,1.0194497,100,[-0.822 -0.495 -0.464 -0.753  0.008],13.526942,693.9216,2,235.7755,1.0486195,100.0,36.246265,1.4161221,34.06,-33.121418
300,1.0081798,-15.855667,0.06749003,-107.25961103045978,92.62121,3.7002565e-06,1.228628,0.74389637,0.081019536,0.25132963,10.0,,10278,-51.360798,25.80028533935547,1.0118262,100,[-0.814 -0.501 -0.469 -0.755 -0.003],12.407719,446.3666,3,238.86526,1.022302,100.0,35.538334,1.4124775,33.63,-50.105053
400,1.0509139,-16.48133,0.072893456,-108.31921140542238,92.953735,-3.6621093e-06,2.02949,0.4727358,0.22117981,0.26239276,10.0,,13861,-74.77515,36.18018341064453,1.0553522,100,[-0.821 -0.504 -0.469 -0.756 -0.006],10.979323,1706.0577,4,229.72054,1.096837,100.0,39.67365,1.4111314,35.83,-69.961945
500,1.010644,-16.098564,0.072952844,-107.55266836921976,93.06309,-3.2043456e-06,1.3173481,0.7534321,0.08200532,0.2610083,10.0,,17484,-76.59401,45.62752962112427,1.0163401,100,[-0.833 -0.511 -0.468 -0.754 -0.008],12.504506,409.5823,5,219.61823,1.0281552,100.0,45.95597,1.4007548,36.23,-74.61355
600,1.017386,-15.693665,0.07125296,-108.39623428969018,92.842926,4.272461e-06,1.4036595,0.6542456,0.12422269,0.25888354,10.0,,21005,-62.34769,55.62589478492737,1.0290247,100,[-0.83  -0.509 -0.467 -0.751 -0.018],12.017917,823.95483,6,231.57988,1.0480164,100.0,34.56651,1.3862792,35.21,-59.29933
700,1.0482166,-13.248024,0.06505819,-107.08501065561573,92.23958,-3.967285e-06,1.8976569,0.43180537,0.23368874,0.25018585,10.0,,24173,-21.961655,64.26569986343384,1.0471834,100,[-0.832 -0.508 -0.47  -0.748 -0.033],11.682589,2823.7363,7,264.6358,1.0996927,100.0,40.462,1.3671876,31.68,-17.04013
800,1.0427046,-15.935577,0.0773758,-108.40791862169344,93.23976,-1.2207031e-06,2.0866532,0.52284265,0.22386147,0.271265,10.0,,27937,-65.99246,75.41397213935852,1.05269,100,[-0.83  -0.506 -0.462 -0.744 -0.052],12.237945,1797.4193,8,218.15443,1.1682925,100.0,40.484135,1.379905,37.64,-60.161476
900,1.0054257,-16.443222,0.07130364,-107.95371002594408,92.93009,-1.5258789e-07,1.198948,0.77244425,0.06653625,0.25765726,10.0,,31494,-67.62588,85.65272307395935,1.0066483,100,[-0.845 -0.512 -0.472 -0.739 -0.039],12.497993,256.46783,9,223.3239,1.0147943,100.0,46.917255,1.3802361,35.57,-66.808556
1000,1.0336818,-17.0373,0.07586363,-109.30077450004701,93.119354,-7.6293946e-07,2.2859766,0.5661513,0.24391313,0.26774248,10.0,,35211,-76.18673,96.00703644752502,1.0519384,100,[-0.839 -0.508 -0.471 -0.738 -0.039],10.352055,1966.6771,10,221.6597,1.0859553,100.0,34.71988,1.3995217,37.17,-71.68734
1100,1.0521184,-16.029243,0.073411815,-107.97267423629116,92.911896,-9.155273e-07,2.0514338,0.33617234,0.26138777,0.2658443,10.0,,38758,-60.65661,105.99273157119751,1.0712681,100,[-0.831 -0.513 -0.471 -0.74  -0.019],11.348106,2692.7622,11,236.78534,1.2507465,100.0,28.506973,1.3920342,35.47,-54.36509
1200,1.0381447,-16.155678,0.07663487,-108.74582556768759,93.21278,3.2806397e-06,2.0866427,0.61382526,0.22063828,0.26885897,10.0,,42516,-61.557945,116.35501885414124,1.0445628,100,[-0.823 -0.503 -0.461 -0.747 -0.027],10.731943,1469.8286,12,216.08394,1.1002753,100.0,39.285698,1.4058217,37.58,-57.695553
1300,1.0214819,-16.998878,0.075478874,-107.71163192634788,93.213715,-5.722046e-07,1.6213626,0.73751533,0.15786089,0.26613557,10.0,,46239,-71.76278,126.38961410522461,1.0281308,100,[-0.816 -0.512 -0.466 -0.755 -0.013],11.496987,881.11224,13,214.52034,1.0474231,100.0,36.536613,1.4121958,37.23,-69.20545
1400,1.0279574,-14.908913,0.07161453,-107.5702952603086,92.87413,-4.8828124e-06,1.8264982,0.63384354,0.18057269,0.26057974,10.0,,49751,-53.71096,136.0343520641327,1.0410625,100,[-0.812 -0.508 -0.468 -0.75  -0.007],11.195742,1346.2439,14,232.89392,1.0758913,100.0,32.770706,1.4238001,35.12,-49.551674
1500,1.1073413,-15.269165,0.0753655,-108.01084071109389,92.903,-3.2043456e-06,2.5275939,0.49218068,0.31269574,0.27319923,10.0,,53294,-47.75152,147.24872589111328,1.1351361,100,[-0.815 -0.519 -0.477 -0.755  0.005],11.312484,3747.0605,15,248.47768,1.2165694,100.0,34.209694,1.3906245,35.43,-34.124073
1600,1.0044547,-16.60891,0.07160434,-108.10830795695294,92.93864,-6.1416627e-06,1.238924,0.8331354,0.06682266,0.25834706,10.0,,56861,-62.751408,159.78036069869995,1.0077231,100,[-0.808 -0.526 -0.477 -0.767 -0.028],11.986369,311.23184,16,223.3091,1.0189049,100.0,36.966373,1.3925762,35.67,-61.655552
1700,1.0153068,-15.6022415,0.070076585,-107.22329322474707,92.8147,-9.918213e-07,1.4312696,0.59050363,0.13019311,0.2567464,10.0,,60328,-61.754093,169.4111683368683,1.0317339,100,[-0.815 -0.529 -0.482 -0.766 -0.026],12.798904,931.13086,17,233.55061,1.06098,100.0,53.995667,1.3834417,34.67,-58.352364
1800,1.0256256,-16.046082,0.06890449,-108.12383247224838,92.664185,1.2969971e-06,1.8620784,0.66440076,0.1827673,0.2545906,10.0,,63741,-37.314262,180.3335554599762,1.0242412,100,[-0.829 -0.531 -0.489 -0.762 -0.035],10.466221,1181.5148,18,238.2548,1.0598007,100.0,35.010017,1.3914865,34.13,-35.187782
1900,1.0221813,-16.017143,0.073049344,-107.75106158631041,93.03206,1.411438e-06,1.6270869,0.59452933,0.16301818,0.26184183,10.0,,67352,-62.14234,190.4411723613739,1.0261172,100,[-0.816 -0.531 -0.49  -0.765 -0.028],11.873692,955.037,19,221.94727,1.0579615,100.0,31.42495,1.3808595,36.11,-59.93686
2000,1.0124875,-16.370262,0.07339916,-108.66283254397423,93.04071,2.4795531e-06,1.5142431,0.688056,0.123444565,0.26172915,10.0,,70998,-57.699844,203.1282057762146,1.0163959,100,[-0.807 -0.526 -0.486 -0.768 -0.038],10.792531,494.59442,20,219.83917,1.0409399,100.0,22.884583,1.372449,36.46,-56.088528
2100,1.0270041,-16.221191,0.07227441,-108.35543964557664,92.91775,3.929138e-06,1.5616227,0.63791263,0.15092476,0.2609383,10.0,,74561,-62.043194,212.56520795822144,1.0347385,100,[-0.816 -0.52  -0.485 -0.762 -0.047],11.147587,848.3946,21,229.01434,1.076304,100.0,25.5484,1.3622106,35.63,-58.505516
2200,1.0225668,-16.100395,0.07178857,-107.67216302705215,92.9561,2.2125244e-06,1.4540207,0.6961313,0.14438015,0.25917742,10.0,,78124,-50.628914,222.80627298355103,1.0161446,100,[-0.811 -0.528 -0.49  -0.77  -0.057],12.045686,741.54724,22,224.46832,1.0420071,100.0,41.73282,1.3573058,35.63,-48.830444
