EpisodesSoFar,MeanIW,Iteration,EpRewMean,Bound,ReturnStepMaxmin,TimeElapsed,Weights,MinIW,MinD2w0t,StdD2w0t,InitialReturnStd,MeanD2w0t,InitialReturnMin,EmpiricalD2,EpThisIter,InitialBound,InitialReturnMax,MaxIW,TimestepsSoFar,InitialReturnMean,MaxD2w0t,StdIW,MeanEntropy,J_sample_variance,ReturnStepMax,EpLenMean,ReturnMeanIW
100,1.1036903,1,-108.67197648780628,320.4853,86.90667,3.059185028076172,[-0.689  0.919 -0.673  0.288  0.   ],0.23565573,,0.20912232,3.275067,0.03952363,-4.7708664,1.2248343,100,289.65445,9.20005,3.784834,1745,3.7384034e-06,1.6586089,0.53373724,1.4091796,66332.08,100.0,17.45,576.0271
200,1.4760997,2,-108.96793227759913,394.17126,86.99835,13.64218258857727,[-0.652  0.938 -0.641  0.247 -0.01 ],0.06583202,,0.39192298,3.3382857,0.06378469,-4.6413345,3.9417133,100,287.91162,11.245995,35.105026,3506,4.348755e-06,7.7036657,3.2083414,1.4531181,2233999.2,100.0,17.61,747.56195
300,1.3852509,3,-108.21102986844588,401.61075,86.44831,24.07861852645874,[-0.678  0.872 -0.653  0.267  0.034],0.0031958655,,0.38566157,2.8989275,0.056505684,-4.253792,4.2303624,100,335.59283,8.738815,27.878355,5184,6.408691e-06,16.195553,3.1921296,1.3857191,2354475.2,100.0,16.78,730.45764
400,1.0274144,4,-108.4797243616904,314.5993,86.548416,34.06738018989563,[-0.84   0.88  -0.613  0.22  -0.033],0.5195552,,0.18446705,3.214356,0.034506325,-4.19191,1.0592022,100,303.48926,12.276947,1.6477911,6875,8.31604e-06,1.1100359,0.20762777,1.3948771,10476.204,100.0,16.91,557.6796
500,1.0414535,5,-108.12204090422277,344.3239,86.33371,42.25766372680664,[-0.81   0.874 -0.622  0.216 -0.024],0.4153787,,0.18500729,2.91279,0.034195438,-4.199692,1.0638195,100,329.95215,12.327103,2.1457531,8529,6.1798096e-06,1.2402453,0.24198847,1.3760926,15715.59,100.0,16.54,577.6795
600,1.254068,6,-108.49022542022215,375.3438,86.78203,50.26170492172241,[-0.792  0.864 -0.64   0.231 -0.043],0.11435439,,0.28109738,3.3054147,0.04999416,-4.3119125,1.6474141,100,305.6228,10.0841675,10.989914,10254,2.2125244e-06,4.972625,1.5674163,1.3363937,609879.25,100.0,17.25,657.6045
700,1.1051227,7,-108.29382007190941,367.29535,86.31453,59.72953701019287,[-0.814  0.807 -0.705  0.278 -0.083],0.26527587,,0.19716874,3.0797482,0.036334507,-3.9476166,1.3474373,100,334.74426,11.947166,5.101013,11912,-1.0910034e-05,1.7907631,0.67408234,1.3580449,111490.445,100.0,16.58,609.1502
800,1.037732,8,-108.52628195751551,340.15106,86.649895,69.11908292770386,[-0.844  0.77  -0.719  0.272 -0.061],0.32771653,,0.18966615,2.7655575,0.035544537,-4.1466675,1.1082871,100,328.66205,9.366905,2.2000005,13613,-3.8146973e-06,1.363258,0.32569358,1.3448383,25390.328,100.0,17.01,559.508
900,1.0322868,9,-107.99832581506723,353.7409,86.26415,77.35741257667542,[-0.86   0.781 -0.738  0.301 -0.074],0.3607027,,0.18567722,2.8857684,0.034264572,-4.6080475,1.0698211,100,342.8483,9.488808,2.0650737,15261,-1.9836425e-06,1.1545762,0.26038778,1.3101517,18858.688,100.0,16.48,575.199
1000,1.0754446,10,-108.16596512299616,345.18445,86.57207,86.52064847946167,[-0.865  0.789 -0.731  0.314 -0.109],0.35652834,,0.19034672,3.2277172,0.035569377,-4.3208237,1.1375173,100,323.83105,9.9729,2.5795896,16954,1.1138916e-05,1.7519863,0.4080891,1.3077161,39253.543,100.0,16.93,578.1028
