ReturnStepMax,Iteration,MeanD2w0t,MinD2w0t,InitialReturnMean,MaxIW,StdD2w0t,EpThisIter,MeanIW,InitialReturnStd,MeanEntropy,EpLenMean,EntropyCoefficient,InitialReturnMax,Weights,EmpiricalD2,ReturnMeanIW,ReturnStepMaxmin,EpisodesSoFar,MinIW,TimestepsSoFar,Bound,StdIW,MaxD2w0t,J_sample_variance,TimeElapsed,InitialBound,EpRewMean,InitialReturnMin
100.0,18,1.171456,,-92.6559,12.599568,17.832405,100,0.44808367,2.861436,1.0767739,16.71,10.0,-84.31047,[-0.039  1.141 -1.099  0.674 -0.383],310.3268,-43.78713,99.387634,1800,0.00064643245,29576,-44.053883,1.0605836,934.6105,8003.3506,232.1280288696289,-83.39536,-107.54023896276489,-96.80151
100.0,19,1.534285,,-93.21341,42.26441,22.537926,100,0.44640997,2.6310985,1.0819116,16.97,10.0,-84.66675,[ 0.002  1.239 -1.094  0.682 -0.342],321.1049,-44.324524,99.38185,1900,0.00034014264,31273,-44.55809,1.0074108,1091.7292,7002.7417,243.32757306098938,-83.75659,-108.43029031192815,-97.84244
100.0,20,0.32097557,,-93.705215,8.294613,3.2000635,100,0.75366795,2.2485182,1.2700197,16.15,10.0,-85.9534,[-0.023  1.188 -1.052  0.699 -0.337],37.01271,-71.97387,99.38507,2000,0.043094173,32888,-65.863655,1.0883777,131.13802,9836.069,253.2429599761963,-84.16114,-108.21726563630135,-97.59061
100.0,21,1.4422239,,-93.439766,10.547867,21.9098,100,0.19252966,2.5103135,1.1947975,16.74,10.0,-84.585526,[ 0.022  1.202 -1.053  0.671 -0.149],383.47687,-22.26725,99.395645,2100,1.791273e-06,34562,-21.944038,0.43512094,944.4107,1292.4974,264.4135797023773,-82.04023,-108.475757852315,-97.68292
100.0,22,0.99078447,,-93.225105,15.605936,13.081076,100,0.4598101,2.632835,1.2337636,16.53,10.0,-82.36293,[-0.081  1.104 -1.042  0.681 -0.224],197.83955,-45.260395,99.37716,2200,0.0007917568,36215,-43.56057,1.0800867,620.72,8835.222,277.2220768928528,-82.60391,-108.03564716760349,-97.268036
100.0,23,2.116857,,-93.50299,18.48177,31.739906,100,0.3664853,2.8806372,1.1959326,16.62,10.0,-83.56017,[-0.037  1.127 -1.113  0.672 -0.185],573.24896,-37.442677,99.3898,2300,2.1293277e-05,37877,-40.716187,0.8416911,1518.2781,5116.9595,290.8785674571991,-82.33753,-108.41067923102227,-97.72366
100.0,24,1.5853819,,-93.38239,10.968279,37.853226,100,0.56274205,2.9858024,1.2182369,17.16,10.0,-82.398476,[ 0.061  1.172 -1.177  0.666 -0.223],219.3408,-55.161922,99.37181,2400,0.001016347,39593,-52.92725,0.95245486,2912.6387,7532.5234,304.302134513855,-82.56841,-108.78186787949667,-97.796295
100.0,25,0.5390143,,-93.22238,14.824376,14.53126,100,0.6219731,2.643109,1.2153258,16.55,10.0,-84.77785,[ 0.099  1.235 -1.148  0.573 -0.201],43.30049,-59.138996,99.3706,2500,0.0008967896,41248,-55.232056,0.8232415,1205.5782,5363.2827,318.3275947570801,-82.313,-108.04305086581698,-97.576744
100.0,26,1.9037715,,-92.55225,15.640201,29.382324,100,0.30965087,3.0931528,1.1150998,17.06,10.0,-83.82459,[ 0.105  1.196 -1.238  0.709 -0.204],481.52496,-32.15672,99.34426,2600,1.2292163e-08,42954,-36.10474,0.797549,1383.1682,4633.341,333.4198513031006,-81.72273,-107.78772940990328,-97.474174
100.0,27,1.208932,,-93.52282,13.668777,18.96676,100,0.5731946,2.6121464,1.2320375,16.34,10.0,-85.98413,[ 0.041  1.098 -1.219  0.716 -0.304],329.35367,-56.031116,99.36125,2700,0.007713555,44588,-52.484283,1.0525748,894.2503,9020.158,347.4687035083771,-83.404945,-108.20752295800725,-97.81112
100.0,28,1.3213162,,-93.66661,20.485634,19.236485,100,0.21352996,2.5819917,1.1381854,16.2,10.0,-87.70267,[ 0.085  1.191 -1.212  0.733 -0.187],366.88745,-23.725586,99.41209,2800,1.1769935e-05,46208,-21.659435,0.7599205,801.74066,3852.15,363.4081597328186,-82.379456,-108.21711576481495,-97.64589
100.0,29,1.1119941,,-93.15661,46.52382,17.15839,100,0.3732793,2.6920676,1.0646012,16.45,10.0,-82.35618,[ 0.187  1.269 -1.248  0.742 -0.281],296.12247,-38.12264,99.38827,2900,1.4020184e-05,47853,-40.123207,1.0554515,1258.5264,7781.782,377.1342396736145,-82.91035,-107.85559358276447,-97.19941
100.0,30,1.3612765,,-93.72339,10.187046,61.867493,100,0.5665419,2.407897,1.042823,16.43,10.0,-85.81841,[ 0.295  1.296 -1.315  0.756 -0.354],166.18973,-54.583847,99.35012,3000,0.00036719258,49496,-52.14089,1.0674857,7145.745,8922.854,392.56513023376465,-84.16933,-108.48911667363895,-97.17651
100.0,31,1.4452468,,-93.449814,21.396873,83.326744,100,0.1471955,2.6923022,0.9134326,16.4,10.0,-83.59723,[ 0.262  1.298 -1.229  0.677 -0.376],446.88464,-17.658,99.36069,3100,1.3720349e-07,51136,-18.073685,0.4095602,17962.02,922.0288,408.5654966831207,-84.12743,-108.15026113782442,-97.62478
100.0,32,0.6738417,,-93.37155,7.56727,26.76673,100,0.567012,2.3047915,0.91130626,16.12,10.0,-85.81322,[ 0.406  1.4   -1.183  0.658 -0.506],48.288296,-55.0199,99.3818,3200,0.00052918284,52748,-51.387012,0.80621624,2328.2217,5350.5454,423.05910778045654,-85.30436,-107.80172222787425,-96.951256
100.0,33,0.36221164,,-93.473946,12.542386,5.840738,100,0.82102174,2.442574,0.9315982,15.98,10.0,-86.0316,[ 0.417  1.373 -1.242  0.757 -0.508],35.452785,-78.31023,99.38678,3300,0.0029954484,54346,-73.66196,1.3632482,476.36526,15070.014,434.13176226615906,-85.42785,-107.78507754573667,-97.524414
100.0,34,2.8628607,,-93.974304,32.28426,58.60708,100,0.48991343,2.1226757,0.90217525,16.19,10.0,-87.073204,[ 0.413  1.325 -1.275  0.822 -0.487],841.48456,-49.082817,99.36416,3400,0.00013994382,55965,-54.80928,1.8593196,4908.576,26829.02,446.8716526031494,-85.71414,-108.54848471431048,-97.267685
