InitialReturnMean,Weights,MaxD2w0t,InitialReturnMax,Iteration,StdD2w0t,MeanD2w0t,ReturnStepMax,EpRewMean,InitialReturnMin,MeanEntropy,EpisodesSoFar,MaxIW,InitialBound,J_sample_variance,StdIW,MinD2w0t,TimestepsSoFar,Bound,MinIW,TimeElapsed,EmpiricalD2,MeanIW,InitialReturnStd,ReturnStepMaxmin,ReturnMeanIW,EpLenMean,EpThisIter
-79.2192,[-0.563 -1.093 -0.809 -1.04   0.   ],675.7572,-45.291973,1,7.539636,0.87029326,100.0,-107.5568281044892,-95.935974,1.3388687,100,36.601635,-82.98746,3621.3987,1.2392294,,3540,-52.378143,1.1406342e-05,8.089587450027466,65.00218,0.44957554,12.600159,99.00072,-33.132595,35.4,100
-76.559204,[-0.611 -1.116 -0.753 -1.011 -0.08 ],266.19205,-28.743988,2,5.9383655,0.8264161,100.0,-106.25533891652692,-95.222435,1.2977519,200,23.878828,-80.32339,2352.6821,0.67406476,,7325,-46.491287,0.00031969036,26.783255100250244,46.427757,0.38851967,14.026086,99.0,-32.155315,37.85,100
-76.922325,[-0.597 -1.219 -0.833 -1.121 -0.121],105.6806,-32.844013,3,1.9759125,0.32260868,100.0,-105.26753464412663,-95.14088,1.2690178,300,10.398365,-80.66122,5346.621,0.9662791,,10982,-69.61181,0.00075264636,43.43634557723999,14.293967,0.7344697,15.419925,99.0,-59.824238,36.57,100
-75.30019,[-0.591 -1.182 -0.822 -1.167 -0.15 ],30.998579,-36.383,4,1.5760547,0.33744147,100.0,-104.5817692869261,-94.70797,1.2939439,400,5.525015,-79.06821,2575.843,0.6859243,,14796,-69.170044,0.016775932,60.170769929885864,6.59069,0.74378186,15.856591,99.00001,-60.05624,38.14,100
-74.75116,[-0.603 -1.188 -0.805 -1.219 -0.125],393.88312,-7.68289,5,5.595559,0.5820439,100.0,-104.30031459587728,-95.3593,1.2641526,500,14.273016,-78.59001,4986.336,0.9269793,,18687,-48.451946,0.00027337184,76.41249895095825,56.155155,0.4628328,17.641897,99.0,-34.712006,38.91,100
-73.64279,[-0.679 -1.218 -0.788 -1.184 -0.155],45.045635,-34.637005,6,1.7974272,0.3959806,100.0,-104.77990021745896,-92.78636,1.2665999,600,4.769989,-77.4262,2571.4722,0.6306699,,22746,-51.87613,0.002426413,93.8770923614502,11.033392,0.5113271,14.65298,99.0,-42.113914,40.59,100
-74.469635,[-0.673 -1.227 -0.775 -1.249 -0.152],217.02261,-30.824799,7,4.070498,0.5695096,100.0,-104.16060578773511,-95.82327,1.2425485,700,18.696411,-78.23869,11596.067,1.465871,,26655,-62.27412,0.00089867396,110.09709477424622,42.766533,0.63362306,16.103813,99.0,-49.192383,39.09,100
-72.39881,[-0.7   -1.238 -0.752 -1.192 -0.176],69.73985,-23.57283,8,2.4723403,0.4734997,100.0,-104.70165688568308,-95.03505,1.3148254,800,9.993751,-76.127045,2281.7043,0.7290823,,30904,-51.871117,0.012042435,125.07695007324219,12.682982,0.6028365,15.715661,99.0,-42.18148,42.49,100
-72.03347,[-0.713 -1.216 -0.696 -1.173 -0.104],74.6768,-7.615999,9,2.6387503,0.52717465,100.0,-104.44990236100328,-95.52418,1.2315676,900,16.767384,-75.96114,3450.6208,0.86044794,,35212,-57.02049,0.00033909729,142.54466271400452,15.602953,0.61105394,15.714655,99.0,-45.552147,43.08,100
-72.63096,[-0.727 -1.258 -0.738 -1.136 -0.187],78.5676,-22.000267,10,2.62155,0.5151988,100.0,-104.4392422578093,-92.044106,1.284643,1000,5.26128,-76.461624,1929.2511,0.5692208,,39417,-61.52401,0.010228223,158.47675013542175,10.160231,0.65761095,15.400443,99.0,-51.502274,42.05,100
-70.755554,[-0.703 -1.183 -0.664 -1.129 -0.134],169.85812,-39.60588,11,4.9873967,0.88955396,100.0,-104.73867077363809,-92.06535,1.3155495,1100,10.960013,-74.4851,4163.0234,0.9116721,,43900,-56.300873,0.0032708282,174.11959218978882,32.00671,0.5736617,14.060697,99.0,-43.14253,44.83,100
-69.68925,[-0.71  -1.216 -0.611 -1.136 -0.103],104.07805,-32.79686,12,4.6603208,0.9288561,100.0,-104.2421973794561,-94.80632,1.2192364,1200,10.012577,-73.45324,4091.9094,0.91514426,,48558,-51.233353,1.21999665e-05,191.3768825531006,29.390223,0.51099294,14.554863,99.0,-37.12634,46.58,100
-70.31586,[-0.729 -1.297 -0.672 -1.23  -0.2  ],329.75262,-14.865043,13,5.2122135,0.6178486,100.0,-102.71891674530276,-93.743195,1.1548907,1300,12.711689,-74.169,7310.4727,1.097778,,52964,-50.336723,2.8831186e-05,208.57435393333435,42.640884,0.49739477,16.359722,99.0,-37.650677,44.06,100
-67.57498,[-0.79  -1.343 -0.668 -1.217 -0.264],90.968155,-33.9104,14,4.0314307,0.8223273,100.0,-103.27063535687675,-93.46205,0.9788481,1400,14.86164,-71.28745,3113.003,0.81207377,,57793,-50.998863,6.809269e-05,227.34918594360352,21.983267,0.4887111,14.91796,99.0,-37.523342,48.29,100
-68.54954,[-0.823 -1.284 -0.668 -1.167 -0.44 ],210.73686,-22.594854,15,5.805402,0.8262187,100.0,-102.26302302322371,-91.034805,0.88964,1500,18.079336,-72.31341,4939.331,1.0985627,,62372,-48.507797,0.0002434292,245.3220977783203,62.8261,0.50015736,14.964316,99.0,-34.948475,45.79,100
-68.63501,[-0.872 -1.274 -0.666 -1.112 -0.529],238.36418,-28.737392,16,5.0083036,0.8166519,100.0,-104.06711428339997,-91.90463,0.8377088,1600,8.228905,-72.39268,3829.8994,1.038682,,67128,-52.637104,0.0008168166,263.52396392822266,33.457325,0.5540425,13.989132,99.0,-39.51674,47.56,100
-70.28168,[-0.894 -1.237 -0.688 -1.119 -0.581],63.26771,-31.518227,17,1.8353763,0.35092813,100.0,-104.37428195692071,-91.01981,0.8227425,1700,11.062195,-74.066315,7927.5317,1.168614,,71634,-58.14778,0.004448411,280.071480512619,14.478069,0.6716792,13.734494,99.0,-49.7193,45.06,100
-67.710335,[-0.911 -1.245 -0.695 -1.085 -0.596],265.09167,-25.390581,18,5.2688055,0.69925576,100.0,-103.27173836721013,-91.210464,0.8235847,1800,18.079733,-71.51134,2463.857,0.9410792,,76437,-46.266354,0.00049294013,298.20371556282043,48.95734,0.53679854,14.732339,99.0,-33.946335,48.03,100
-70.95376,[-0.888 -1.223 -0.704 -1.103 -0.595],221.1279,-34.489624,19,4.693428,0.7383286,100.0,-104.59077310425457,-92.3145,0.84390163,1900,14.546751,-74.70507,4142.6084,1.0248232,,80896,-59.729923,0.00068387133,317.3278043270111,32.14609,0.6715144,14.703542,99.0,-47.173435,44.59,100
-72.325775,[-0.917 -1.265 -0.695 -1.115 -0.575],1.939572,-44.74182,20,0.39463794,0.118113436,100.0,-105.32090584459033,-94.18745,0.86457205,2000,3.1048608,-76.03674,1412.1582,0.5226347,,85179,-74.03184,0.22880946,334.7179250717163,1.4878165,0.9469802,12.807545,99.0,-69.61298,42.83,100
-68.02119,[-0.918 -1.254 -0.705 -1.098 -0.554],41.72766,-30.079159,21,1.7289078,0.37035772,100.0,-103.51052731565568,-92.589615,0.8375837,2100,15.681197,-71.78958,4015.6716,1.0247946,,89962,-64.729355,0.0061423294,351.0530171394348,8.000053,0.78527486,14.121489,99.0,-56.51744,47.83,100
