Iteration,InitialBound,InitialReturnMin,StdD2w0t,EpThisIter,MaxD2w0t,InitialReturnMean,ReturnStepMaxmin,TimestepsSoFar,ReturnStepMax,ReturnMeanIW,EpisodesSoFar,MeanD2w0t,Bound,EpLenMean,StdIW,Weights,J_sample_variance,MinIW,InitialReturnStd,MinD2w0t,MeanIW,InitialReturnMax,TimeElapsed,EntropyCoefficient,MaxIW,EmpiricalD2,EpRewMean,MeanEntropy
1,-350.63727,-16.716774,0.25782531,100,1.0164714,-1.2207031e-06,92.924065,3540,100.0,226.65765,100,0.07116731,-348.27686,35.4,0.10459983,[-0.563 -1.093 -0.809 -1.04   0.   ],526.9792,0.79164785,12.600159,,1.0215342,33.927227,6.77298378944397,100.0,1.4328425,1.007753,-107.5568281044892,1.42472
2,-381.34412,-18.295021,0.26695362,100,1.0147249,-7.6293944e-08,93.451355,7372,100.0,201.84644,200,0.07690699,-379.89282,38.32,0.10673244,[-0.568 -1.091 -0.812 -1.035  0.006],501.52618,0.7764621,14.448159,,1.0148486,44.037617,17.498008251190186,100.0,1.3589307,1.0088581,-106.31215317412774,1.429602
3,-343.16327,-16.036446,0.250772,100,1.00507,-6.4849855e-06,92.66226,10736,100.0,236.549,300,0.06734974,-342.3489,33.64,0.03461609,[-0.571 -1.091 -0.81  -1.033  0.011],283.5682,0.93370795,12.807481,,1.0069792,35.090603,26.934101581573486,100.0,1.194087,1.0013442,-106.6014375908332,1.4286251
4,-379.5961,-18.903816,0.2676056,100,1.0067848,-4.15802e-06,93.45655,14602,100.0,199.91365,400,0.077464536,-378.699,38.66,0.05903457,[-0.566 -1.093 -0.81  -1.033  0.01 ],263.88663,0.88471323,14.354969,,1.0085357,45.942352,36.86584115028381,100.0,1.2348466,1.0033851,-107.15485494018692,1.4344852
5,-348.09213,-14.343216,0.25204965,100,1.0113066,4.043579e-06,92.64743,17995,100.0,237.79839,500,0.06800462,-346.59656,33.93,0.06781902,[-0.563 -1.093 -0.81  -1.033  0.015],297.8161,0.8934504,12.117463,,1.013406,44.083454,46.089879274368286,100.0,1.3590206,1.0037875,-107.77170944481747,1.4350094
6,-370.64606,-15.220863,0.25620162,100,1.0093147,-1.033783e-05,92.84147,21505,100.0,228.22447,600,0.070398726,-369.19135,35.1,0.072512835,[-0.567 -1.087 -0.808 -1.028  0.016],431.43832,0.8037375,12.898092,,1.0099126,45.60489,55.88123178482056,100.0,1.37614,1.0039407,-108.08249960474,1.4414048
7,-349.54877,-15.145386,0.25561616,100,1.0095841,6.027222e-06,92.866516,24998,100.0,227.50104,700,0.07005114,-348.20306,34.93,0.07842203,[-0.564 -1.086 -0.805 -1.028  0.022],473.17627,0.8368834,12.612089,,1.0108924,34.139935,65.23716640472412,100.0,1.4739385,1.0043129,-107.124952813442,1.4482417
8,-353.3463,-15.22406,0.2557787,100,1.0119107,1.5258789e-07,92.77424,28495,100.0,232.38788,800,0.07014303,-351.62335,34.97,0.065156676,[-0.561 -1.088 -0.804 -1.029  0.029],398.63452,0.8543332,11.639687,,1.0200493,40.30939,74.86827278137207,100.0,1.1994382,1.0050756,-108.85794290644739,1.443361
9,-372.01532,-17.699936,0.26528165,100,1.0133708,-4.959106e-07,93.31613,32276,100.0,207.73682,900,0.075873226,-370.51328,37.81,0.08298381,[-0.56  -1.083 -0.803 -1.027  0.024],454.9577,0.742146,13.544654,,1.017395,38.83447,84.9853298664093,100.0,1.3225437,1.0055449,-107.45618099790205,1.44392
10,-313.29935,-15.670631,0.25584614,100,1.0415751,1.2588501e-06,92.72873,35735,100.0,238.16187,1000,0.069748215,-309.5075,34.59,0.13242288,[-0.562 -1.087 -0.806 -1.025  0.025],888.83075,0.74019384,11.636294,,1.0357374,34.26531,94.78221011161804,100.0,1.6453091,1.0167655,-108.46363385712142,1.447271
11,-381.42365,-17.830566,0.26533142,100,1.0145255,-3.6239624e-06,93.32881,39520,100.0,206.8252,1100,0.075931765,-379.99524,37.85,0.0919042,[-0.556 -1.08  -0.801 -1.028  0.028],443.3908,0.8133235,13.830833,,1.0182652,38.77019,104.6055498123169,100.0,1.3363397,1.0066336,-107.32765956143956,1.4501936
12,-353.5938,-14.940849,0.26243994,100,1.024575,2.3651123e-06,93.03891,43186,100.0,223.01364,1200,0.073816784,-350.25653,36.66,0.10254583,[-0.559 -1.085 -0.804 -1.027  0.031],630.47003,0.67585295,11.803168,,1.0317001,38.719597,114.61403775215149,100.0,1.3647056,1.0101005,-109.26680376408059,1.4491152
13,-394.14948,-18.432007,0.26432246,100,1.0225085,-1.14440915e-07,93.31622,46931,100.0,209.43318,1300,0.07521218,-392.01572,37.45,0.12847844,[-0.561 -1.093 -0.808 -1.034  0.03 ],760.22906,0.7906738,13.791702,,1.0216125,46.019386,124.87529015541077,100.0,1.4571495,1.0107676,-106.4286647471704,1.4530356
14,-412.56723,-19.536362,0.26673344,100,1.0065747,1.0299683e-06,93.412315,50773,100.0,201.80072,1400,0.076955,-411.67737,38.42,0.053503647,[-0.568 -1.097 -0.808 -1.035  0.034],298.24008,0.8884499,13.78253,,1.0082555,58.78377,135.29852175712585,100.0,1.1702889,1.0029129,-107.33944063591252,1.4580022
15,-365.0652,-17.757149,0.26327932,100,1.0252564,1.2588501e-06,93.14761,54464,100.0,217.43213,1500,0.074328214,-362.1744,36.91,0.1495188,[-0.571 -1.096 -0.808 -1.033  0.039],901.0762,0.75201994,13.065785,,1.0274795,35.59108,144.7919499874115,100.0,1.5450397,1.013656,-108.00587808834395,1.4673374
