ReturnMeanIW,EpLenMean,ReturnStepMax,MeanIW,InitialReturnMean,EntropyCoefficient,Iteration,TimeElapsed,ReturnStepMaxmin,TimestepsSoFar,EpThisIter,EpRewMean,MeanD2w0t,Weights,MaxD2w0t,MinD2w0t,InitialReturnMin,MeanEntropy,EpisodesSoFar,Bound,InitialBound,InitialReturnMax,EmpiricalD2,MaxIW,StdIW,StdD2w0t,InitialReturnStd,J_sample_variance,MinIW
504.90656,29.79,100.0,1.7619481,6.713867e-06,100.0,18,194.61355018615723,91.63379,69766,100,-124.23429919215003,0.4420135,[ 0.559 -0.242  0.226  0.089  0.024],243.83131,,-3.0162811,1.4954449,1800,541.70483,434.5194,9.423813,55.782715,108.89456,10.497693,4.270994,2.4440331,6425024.5,0.0011552768
1181.796,27.04,100.0,3.7653947,-2.2888183e-07,100.0,19,203.16291069984436,90.85759,72470,100,-119.97382788054173,3.3216681,[ 0.594 -0.155  0.264  0.086  0.076],3444.727,,-4.7773285,1.4090719,1900,831.5342,467.1338,11.588417,117.45709,401.58435,28.096275,70.01764,3.256506,69250730.0,1.57033e-05
415.54163,22.97,100.0,1.0280775,3.0517577e-07,100.0,20,211.54908680915833,89.46719,74767,100,-115.57854315579516,0.05354493,[ 0.645 -0.188  0.332 -0.03  -0.01 ],2.2455707,,-3.844574,1.4541032,2000,531.6607,521.1872,12.186989,1.2980267,3.3931494,0.4908454,0.24635851,3.2496772,31974.654,0.2559915
1608.8516,22.08,100.0,4.1632776,9.689331e-06,100.0,21,219.17084002494812,89.16026,76975,100,-114.85623797532284,1.8892365,[ 6.324e-01 -1.984e-01  3.452e-01  5.388e-04  3.519e-02],2126.1028,,-3.9205475,1.3252915,2100,1253.3253,542.77216,10.989944,63.46291,297.7523,29.038162,40.72331,3.0740356,113787940.0,4.2496e-06
739.81165,20.55,100.0,1.7442403,-5.645752e-06,100.0,22,227.9875452518463,88.40478,79030,100,-112.23221370777253,0.408912,[ 0.659 -0.292  0.521 -0.014 -0.094],271.33725,,-4.7819443,1.4116843,2200,792.11255,558.578,11.319,44.32696,54.37427,4.5161185,4.5861278,3.9216244,3072543.8,0.012423043
464.80402,21.68,100.0,1.0885257,4.4250487e-06,100.0,23,235.30913996696472,88.911804,81198,100,-114.84939308014822,0.056448158,[ 0.63  -0.355  0.5    0.016 -0.007],5.2828956,,-3.9407196,1.4478261,2300,581.3208,550.2322,9.559502,1.8289909,7.0204997,0.8852579,0.27599323,3.0839205,118987.766,0.11612777
12298.126,20.64,100.0,30.975382,3.6621093e-06,100.0,24,242.8607621192932,88.659836,83262,100,-113.22059564009507,341.1595,[ 0.692 -0.377  0.544  0.058  0.029],2863766.0,,-4.4134903,1.3549575,2400,9906.569,573.08203,8.801849,74811.1,4491.9995,304.0577,17722.492,3.2381759,14174591000.0,4.5913058e-07
655.5445,18.23,100.0,1.3259054,2.670288e-06,100.0,25,252.17035055160522,87.21073,85085,100,-109.99948958181587,0.12099496,[ 7.313e-01 -2.357e-01  6.249e-01 -1.651e-04 -6.401e-02],50.60209,,-4.094536,1.5074888,2500,744.81305,619.9729,12.112518,9.950998,26.401688,2.5894456,0.930595,2.9857066,1399321.4,0.11075136
634.2765,18.13,100.0,1.2577423,-8.010864e-06,100.0,26,259.2843565940857,87.35933,86898,100,-110.21998761366885,0.17495637,[ 0.795 -0.211  0.617  0.031  0.089],48.323975,,-4.0215683,1.5581831,2600,735.1266,638.96814,9.14962,8.148307,31.518957,2.569778,1.4808462,2.7746446,1532983.6,0.02144621
963.589,18.61,100.0,2.0616772,1.6021728e-06,100.0,27,266.06929779052734,87.545685,88759,100,-109.87460233041934,1.7950134,[ 0.773 -0.204  0.674 -0.043  0.139],2453.6306,,-4.5182953,1.5420959,2700,955.1476,628.05237,11.608765,178.86334,111.040565,8.493613,30.927681,3.6117103,13701835.0,9.706132e-05
