InitialReturnMean,MaxIW,Weights,InitialBound,J_sample_variance,EpisodesSoFar,InitialReturnMin,TimeElapsed,TimestepsSoFar,InitialReturnMax,StdD2w0t,MinD2w0t,MaxD2w0t,EpRewMean,ReturnMeanIW,EpThisIter,ReturnStepMax,MeanIW,EntropyCoefficient,MinIW,EmpiricalD2,InitialReturnStd,ReturnStepMaxmin,MeanD2w0t,EpLenMean,MeanEntropy,Iteration,Bound,StdIW
-97.14614,13.030937,[ 0.579 -0.554  0.227  0.402  0.   ],-86.35739,6413.013,100,-99.610085,9.353009223937988,4609,-90.729195,9.995553,,829.5737,-141.8229098366061,-72.27288,100,100.0,0.6502347,10.0,0.0013863374,77.20095,2.1648557,100.0,0.9743809,46.09,1.4510632,1,-71.15401,1.0692658
-97.734474,15.594908,[ 0.499 -0.584  0.177  0.455  0.032],-86.71597,5765.7197,200,-99.75365,28.559324026107788,9395,-92.7618,5.632655,,191.04193,-144.25369573836804,-55.66154,100,100.0,0.42656517,10.0,0.0012844962,67.66946,1.7782881,100.0,0.74730515,47.86,1.4061378,2,-52.18702,0.9516422
-97.45575,15.721957,[ 0.407 -0.648  0.137  0.428 -0.013],-87.13457,5262.744,300,-99.783775,48.77308249473572,15291,-93.02023,10.380075,,827.6918,-154.98275057162027,-57.81685,100,100.0,0.5187171,10.0,0.0007328334,104.790634,1.8946764,100.0,1.3146803,58.96,1.4534556,3,-56.475075,1.1490803
-97.171036,6.1425138,[ 0.337 -0.765  0.131  0.409  0.034],-86.95988,8132.0854,400,-99.78274,72.40010094642639,23520,-91.73162,4.551559,,125.93115,-177.73424865080702,-75.7408,100,100.0,0.706458,10.0,0.00030412115,11.269335,2.004072,99.99643,0.9482442,82.29,1.391078,4,-71.24433,1.1284145
-97.561935,10.270678,[ 0.374 -0.746  0.146  0.508 -0.028],-87.57839,5335.4497,500,-99.825264,93.10528635978699,30097,-90.377304,10.471156,,540.9389,-161.88686051139013,-62.241047,100,100.0,0.478674,10.0,0.0012369767,89.90499,2.119097,100.0,1.3652725,65.77,1.4121151,5,-60.555058,0.83410084
-97.164665,15.877031,[ 0.279 -0.744  0.1    0.474 -0.007],-87.61548,6636.5024,600,-99.71687,120.47300171852112,39369,-90.26439,11.898448,,489.62567,-188.12686292482675,-55.792416,100,100.0,0.51549983,10.0,1.4593359e-05,70.22481,2.2112913,100.0,2.0240226,92.72,1.3585106,6,-54.907806,1.5821781
-97.679016,8.331794,[ 0.352 -0.641  0.104  0.522 -0.06 ],-88.274216,2204.8347,700,-99.74063,142.28103256225586,46948,-92.73561,25.255257,,1907.5083,-171.9699096510816,-52.314304,100,100.0,0.41201392,10.0,0.00063131517,52.74287,1.8400338,100.0,2.2659407,75.79,1.2962941,7,-52.96999,0.6012993
-97.28494,10.199115,[ 0.307 -0.658  0.077  0.409 -0.123],-88.51069,4340.741,800,-99.78778,168.11890602111816,54669,-89.72493,5.593029,,186.00407,-172.88523153389312,-72.99541,100,100.0,0.7292897,10.0,0.0033777787,13.617388,2.241438,100.0,1.0319813,77.21,1.32181,8,-70.66224,0.9763138
-97.12942,14.664122,[ 0.311 -0.677  0.038  0.379 -0.097],-88.34396,4390.9824,900,-99.68399,193.83700370788574,63374,-88.82962,8.035904,,561.90466,-182.35517169377403,-71.9876,100,100.0,0.7171864,10.0,0.011206087,24.086435,2.2083213,100.0,1.1353283,87.05,1.3500775,9,-68.41195,1.1259803
-96.50244,7.528631,[ 0.284 -0.718  0.008  0.314 -0.069],-87.88038,3305.769,1000,-99.7672,222.94387006759644,73998,-88.91014,8.129719,,254.33649,-200.53656022589,-78.755974,100,100.0,0.75182843,10.0,0.001426609,13.589071,2.6316442,100.0,1.334944,106.24,1.3877025,10,-73.873436,0.8604893
-96.30121,20.192091,[ 0.269 -0.713 -0.023  0.318 -0.031],-87.277115,5002.1714,1100,-99.78339,250.25473976135254,84545,-89.78749,11.777821,,452.09875,-199.46193326243858,-80.70497,100,100.0,0.8090168,10.0,0.00021288963,40.996647,2.662018,100.0,1.9099385,105.47,1.3265413,11,-79.088745,1.3198395
