Bound,J_sample_variance,TimestepsSoFar,StdD2w0t,InitialReturnMin,MeanIW,MaxD2w0t,MaxIW,InitialBound,ReturnStepMax,StdIW,EpRewMean,EpThisIter,TimeElapsed,MeanEntropy,MeanD2w0t,Iteration,InitialReturnStd,MinIW,InitialReturnMean,EpLenMean,EpisodesSoFar,ReturnStepMaxmin,MinD2w0t,EmpiricalD2,ReturnMeanIW,InitialReturnMax,Weights
-17588.816,253107460.0,3540,0.93734574,-191.87195,0.63584393,18.32261,11.035727,-21227.664,291.87195,0.8936269,-107.5568281044892,100,7.388108730316162,1.3538772,0.20488515,1,12.600159,0.000796704,-175.15518,35.4,100,291.87195,,6.087637,-13441.921,-141.22795,[-0.563 -1.093 -0.809 -1.04   0.   ]
-18945.34,81378890.0,7720,0.45542502,-189.9199,0.8233334,3.8703103,3.4027781,-21081.78,289.91992,0.5489212,-104.90884547516276,100,25.200350046157837,1.325224,0.12874818,2,15.508422,0.05460546,-168.11505,41.8,200,289.91992,,1.7234108,-16130.755,-132.27422,[-0.619 -1.087 -0.764 -1.027 -0.065]
-18507.115,175538770.0,11368,0.8923112,-189.28487,0.71770984,23.374626,7.4038725,-21071.508,289.28485,0.91108376,-105.11085248647395,100,39.79119610786438,1.3404622,0.19491962,3,15.223338,0.0048216707,-171.2119,36.48,300,289.28485,,7.3945622,-14390.939,-110.46266,[-0.673 -1.124 -0.795 -1.062 -0.094]
-17315.154,183712640.0,15270,1.1460371,-188.30524,0.6443353,18.334759,9.43482,-20832.164,288.30524,0.8384849,-106.61415320937427,100,54.50219416618347,1.2666312,0.2698435,4,13.567421,0.0012697899,-170.02951,39.02,400,288.30524,,6.329243,-13178.191,-126.42299,[-0.697 -1.131 -0.797 -1.009 -0.078]
