MaxIW,EpLenMean,EpThisIter,EmpiricalD2,InitialReturnMin,Weights,ReturnStepMaxmin,ReturnMeanIW,MeanIW,InitialReturnStd,ReturnStepMax,MinD2w0t,InitialBound,MeanEntropy,EpRewMean,TimeElapsed,StdIW,StdD2w0t,EpisodesSoFar,MinIW,MeanD2w0t,J_sample_variance,TimestepsSoFar,InitialReturnMean,Bound,InitialReturnMax,Iteration,MaxD2w0t
12.836024,35.09,100,155.09418,-96.24779,[-0.822 -0.493 -0.474 -0.749  0.   ],99.00009,-31.788534,0.333485,10.794411,100.0,,-80.8097,1.2596451,-108.1894935537418,7.380156993865967,0.9472388,23.160257,100,1.1869993e-06,1.9204514,6343.45,3509,-79.87676,-40.239708,-46.38131,1,1759.4883
31.155115,32.33,100,503.13034,-94.74433,[-0.822 -0.463 -0.539 -0.763 -0.159],99.000046,-34.395164,0.40385008,11.443195,100.0,,-82.50592,1.2631522,-108.03212847445673,25.023320198059082,0.92525315,56.01964,200,1.1850747e-05,3.5092187,4163.565,6742,-81.56534,-43.993458,-30.64783,2,5775.911
38.717068,33.92,100,165.83156,-95.01992,[-0.84  -0.492 -0.466 -0.757 -0.156],99.00004,-42.935825,0.5123926,11.531239,100.0,,-81.26363,1.2227564,-107.77913699771256,40.43472456932068,1.0465677,31.236002,300,5.7970345e-05,1.4697704,5297.5845,10134,-80.319626,-52.881184,-36.3117,3,3671.6624
44.424774,39.64,100,297.60385,-95.099365,[-0.874 -0.532 -0.425 -0.74  -0.196],99.00009,-35.546486,0.4547729,12.911594,100.0,,-76.27473,1.1870116,-106.31469975510872,57.91577959060669,1.2564006,30.628366,400,5.2722127e-05,2.5769308,6031.8564,14098,-75.357956,-43.216087,-48.99594,4,1509.3281
8.230649,36.37,100,173.22614,-95.37969,[-0.853 -0.511 -0.464 -0.784 -0.232],99.000015,-43.009026,0.5065173,14.006386,100.0,,-78.56556,1.2119204,-106.26012696360178,73.55822944641113,0.86249435,21.751684,500,0.0002769839,1.6778705,4491.904,17735,-77.60036,-51.101948,-32.55486,5,1792.686
7.63478,31.11,100,64.19587,-95.94529,[-0.84  -0.473 -0.499 -0.808 -0.207],99.00035,-49.16159,0.5618968,10.370307,100.0,,-83.64408,1.2446531,-108.40654662185327,88.32824182510376,1.0927777,10.878593,600,0.0013522981,1.1499182,7969.3433,20846,-82.71565,-56.10327,-47.032726,6,716.48755
11.11259,33.22,100,174.09593,-95.66532,[-0.819 -0.494 -0.427 -0.82  -0.174],99.000015,-33.2461,0.3806318,13.874032,100.0,,-80.453995,1.2509506,-105.80249732898443,102.37207245826721,0.6823437,29.108833,700,1.773018e-06,1.5936031,2938.2104,24168,-79.48735,-42.36132,-34.43464,7,3107.9082
34.705936,33.49,100,89.55649,-95.52237,[-0.702 -0.427 -0.414 -0.819 -0.168],99.00001,-52.298504,0.60237885,12.951704,100.0,,-81.03938,1.2348312,-106.8480816244785,117.79460763931274,1.1024278,9.41193,800,0.00015953093,0.8486551,7148.77,27517,-80.05791,-58.00627,-39.30481,8,806.756
21.290611,31.63,100,28.417109,-96.06769,[-0.661 -0.368 -0.435 -0.831 -0.184],99.000015,-55.3239,0.651201,13.043007,100.0,,-82.36793,1.1938732,-106.97437588694629,132.92543411254883,1.3825353,5.315913,900,0.0011629666,0.42198673,13905.677,30680,-81.40227,-59.69687,-37.229397,9,529.81744
20.353575,34.74,100,151.09607,-95.69849,[-0.66  -0.405 -0.405 -0.807 -0.225],99.0,-43.013485,0.5283197,14.048293,100.0,,-79.970375,1.1518489,-106.50090947262929,148.0081923007965,1.1326817,35.6046,1000,8.260206e-05,1.9937037,5762.5454,34154,-79.00899,-53.46463,-18.60223,10,4386.5913
15.101264,38.67,100,35.79438,-96.45283,[-0.689 -0.446 -0.361 -0.814 -0.267],99.00001,-60.752934,0.79970515,13.251422,100.0,,-77.71114,1.2005819,-107.02111523451887,162.57012271881104,1.5286406,9.759685,1100,0.005084714,0.7326941,9426.582,38021,-76.73903,-66.45512,-43.8984,11,687.8067
15.939104,40.41,100,85.22314,-95.42804,[-0.697 -0.504 -0.353 -0.822 -0.218],99.000046,-42.03793,0.48127687,12.421686,100.0,,-75.866554,1.109517,-106.3238096312639,178.29323363304138,0.88478744,25.749105,1200,5.4282295e-06,1.7584128,4827.3564,42062,-74.924904,-49.465004,-41.41929,12,1825.4539
50.980843,34.3,100,97.59598,-95.947174,[-0.666 -0.404 -0.333 -0.793 -0.309],99.0,-54.766293,0.70927733,11.52506,100.0,,-80.941536,1.0951784,-107.29985638986959,195.70782494544983,2.1407723,13.748333,1300,0.00044597438,1.0912607,18747.998,45492,-79.97505,-61.426174,-50.80026,13,1255.6418
23.493275,41.56,100,257.87488,-95.84603,[-0.692 -0.437 -0.307 -0.771 -0.324],99.00003,-31.781351,0.43097073,15.25337,100.0,,-74.57983,1.0732795,-104.77709226574252,211.56127834320068,0.9992585,34.32631,1400,2.131018e-05,2.7647312,3051.897,49648,-73.60239,-40.11226,-29.058203,14,2121.1814
5.3331575,39.52,100,180.48373,-95.065216,[-0.719 -0.45  -0.272 -0.734 -0.346],99.0,-32.755066,0.40619478,13.164765,100.0,,-75.193214,1.1259849,-104.29876808519516,226.1528263092041,0.56418276,22.520208,1500,0.00019667247,2.2719777,1112.7383,53600,-74.24394,-40.58788,-39.729744,15,1393.3832
17.570568,40.82,100,95.10335,-94.93769,[-0.717 -0.423 -0.295 -0.762 -0.293],99.0,-45.9121,0.5630772,11.46156,100.0,,-75.57482,1.1358743,-106.18908868308458,241.76480507850647,1.2489895,13.23758,1600,0.0009834946,1.0340368,9139.397,57682,-74.604645,-52.34383,-45.231762,16,1574.9639
9.345385,37.23,100,15.242235,-95.80817,[-0.664 -0.374 -0.292 -0.78  -0.283],99.0,-63.672913,0.7765792,14.602891,100.0,,-78.4789,1.1583084,-106.02432848830074,256.4853091239929,0.7358299,7.0098653,1700,0.00076183036,0.57627,2983.0117,61405,-77.48982,-68.27762,-28.074823,17,408.7501
