TimestepsSoFar,InitialReturnStd,StdD2w0t,InitialReturnMean,MinD2w0t,InitialReturnMin,MinIW,J_sample_variance,EpLenMean,InitialBound,ReturnStepMax,MeanIW,MaxIW,StdIW,EmpiricalD2,EpisodesSoFar,EpRewMean,Iteration,MeanEntropy,TimeElapsed,InitialReturnMax,EntropyCoefficient,EpThisIter,Bound,MeanD2w0t,ReturnStepMaxmin,ReturnMeanIW,MaxD2w0t,Weights
1745,3.2750666,1.4541484,-190.80205,,-195.5729,0.0007940101,217189330.0,17.45,-21216.264,295.5729,0.59573185,16.724281,0.81309485,9.895948,100,-108.67197648780628,1,1.3211684,2.8363590240478516,-181.60199,10.0,100,-16200.23,0.16600809,295.5729,-12010.41,66.71787,[-0.689  0.919 -0.673  0.288  0.   ]
3361,2.5765848,1.6111428,-191.70883,,-196.00304,0.0006680448,250035470.0,16.16,-21017.088,296.00305,0.49999836,10.733434,0.8750395,23.679533,200,-108.22431632046255,2,1.2954339,11.577633142471313,-182.13763,10.0,100,-15091.599,0.17367794,296.00305,-10608.943,47.038322,[-0.704  0.822 -0.768  0.388 -0.098]
5003,2.9066503,0.4841449,-191.0914,,-195.59172,0.08658084,378818370.0,16.42,-21185.127,295.59174,0.8337139,8.733546,1.0873177,5.897252,300,-108.00048643675413,3,1.3955351,21.251891613006592,-182.14418,10.0,100,-19585.96,0.07449036,295.59174,-16576.756,8.490639,[-0.673  0.884 -0.803  0.381 -0.123]
6644,3.2843807,1.0500199,-190.88214,,-195.2865,0.0005242214,359908740.0,16.41,-21034.133,295.2865,0.6161652,7.258152,1.0978706,16.51359,400,-107.91286412477268,4,1.3648607,29.472240686416626,-179.74667,10.0,100,-16114.401,0.10443561,295.2865,-12578.717,47.7287,[-0.636  0.916 -0.819  0.379 -0.023]
8348,3.1468878,1.0029677,-190.56369,,-195.18448,0.0016724558,219269280.0,17.04,-21001.475,295.18448,0.5788008,9.736315,0.8491983,14.174322,500,-108.21933619949561,5,1.3642577,39.1402268409729,-179.07535,10.0,100,-15784.904,0.10720339,295.18448,-12008.894,45.61161,[-0.834  0.896 -0.793  0.353 -0.054]
10068,3.0374444,1.2185369,-190.60692,,-194.53908,0.00059271517,231699940.0,17.2,-21241.014,294.53906,0.6119905,6.9641423,0.87608534,18.515095,600,-108.78462172298124,6,1.3618572,47.626309394836426,-180.19205,10.0,100,-16858.982,0.14414164,294.53906,-12461.019,30.176443,[-0.901  0.854 -0.745  0.316 -0.055]
11755,2.7648137,0.38147554,-191.04613,,-195.49147,0.0064251097,222997490.0,16.87,-21137.115,295.49146,0.7943818,5.8863034,0.8522009,3.4879892,700,-108.41967071496512,7,1.3031244,56.24054956436157,-181.59756,10.0,100,-18522.252,0.05697366,295.49146,-15721.761,23.475006,[-0.957  0.805 -0.706  0.322 -0.057]
13417,3.1202564,0.56043494,-190.82808,,-195.19182,0.008583225,553143230.0,16.62,-21142.998,295.19183,0.80249107,9.770214,1.3147221,6.913459,800,-108.11814051025732,8,1.2685862,64.89312481880188,-177.18979,10.0,100,-19445.406,0.08128521,295.19183,-16021.037,13.978305,[-0.97   0.84  -0.754  0.378 -0.116]
