StdIW,J_sample_variance,InitialReturnMax,InitialBound,TimeElapsed,EpThisIter,EmpiricalD2,ReturnStepMax,MinIW,TimestepsSoFar,InitialReturnMean,ReturnStepMaxmin,MaxD2w0t,EpisodesSoFar,MinD2w0t,ReturnMeanIW,Iteration,MeanIW,EpRewMean,Weights,InitialReturnStd,StdD2w0t,InitialReturnMin,Bound,MeanD2w0t,EpLenMean,MeanEntropy,MaxIW
0.5871954,48543.57,30.6531,354.847,3.955702304840088,100,1.3117276,100.0,0.30725414,2043,1.0986329e-05,88.47723,1.6997991,100,,466.64484,1,1.077707,-108.8235630534528,[ 0.911 -0.288 -0.586 -0.882  0.   ],6.5082946,0.2288085,-7.197624,372.40472,0.046908252,20.43,1.4680551,3.9921038
0.13677242,2876.845,62.571476,351.05576,14.850131511688232,100,1.0179106,100.0,0.5137111,4039,6.713867e-06,88.18457,1.1803772,200,,452.5635,2,1.0137649,-107.9380194422807,[ 0.918 -0.279 -0.591 -0.896  0.049],9.222262,0.19902305,-7.1426697,354.91296,0.04056744,19.96,1.4763483,1.363309
53.93874,389029280.0,27.854187,387.78757,25.513879537582397,100,30.081934,100.0,0.0019609835,5942,-2.2125244e-06,87.93094,2047.8838,300,,2421.1055,3,6.205306,-107.86931114684589,[ 0.94  -0.291 -0.6   -0.894  0.057],5.835065,20.562069,-6.0457916,1455.0592,0.54962236,19.03,1.4405178,855.96027
6.7829075,6479958.5,50.9652,327.6624,42.37789249420166,100,13.566655,100.0,4.4176988e-05,8043,-4.234314e-06,88.76372,140.25302,400,,653.7472,4,1.5975815,-107.53482620378216,[ 0.932 -0.221 -0.565 -0.964  0.022],9.179833,1.4136968,-6.9013977,440.32938,0.15373287,21.01,1.4318082,98.86089
3.858071,2605382.2,26.389565,424.85065,55.70983624458313,100,2.4586065,100.0,0.0011409727,9838,4.653931e-06,87.02268,10.268964,500,,712.5167,5,1.4804895,-107.6843580269333,[ 1.008 -0.192 -0.585 -1.018  0.013],5.999122,0.41860676,-5.150139,563.14856,0.066801354,17.95,1.274615,68.23542
18.896065,49776870.0,48.178738,350.55383,70.62658190727234,100,68.72125,100.0,0.00013541964,11857,-4.005432e-06,88.294075,1446.9624,600,,1121.2413,6,2.8036323,-108.07954038517028,[ 1.05  -0.236 -0.618 -1.008 -0.144],7.954369,9.336149,-6.890396,663.8535,0.528827,20.19,1.1933554,193.14526
0.41100988,25549.441,46.40881,341.75787,86.01020002365112,100,1.1536351,100.0,0.2918711,13903,-1.2207031e-06,88.4205,1.3316358,700,,445.34824,7,1.0273944,-108.2298643284661,[ 0.992 -0.258 -0.577 -0.953 -0.226],9.42968,0.20971897,-7.321762,348.64087,0.043245643,20.46,1.1853404,2.4181414
2.387923,892100.7,57.166832,345.3468,98.96645879745483,100,2.041011,100.0,0.004987577,15926,-3.2043456e-06,88.404945,12.256136,800,,551.8639,8,1.2834258,-107.40089542732002,[ 0.963 -0.256 -0.571 -0.94  -0.234],9.010093,0.38233685,-7.701668,388.19534,0.062992096,20.23,1.160432,23.486908
41.808273,228124460.0,45.31753,333.0101,112.93341898918152,100,217.24933,100.0,0.00015386277,18009,-3.2424928e-06,88.62657,4252.133,900,,1889.2743,9,4.976147,-108.0392400637099,[ 0.919 -0.288 -0.593 -0.918 -0.258],9.116572,31.276855,-7.3414,1065.4866,1.1728283,20.83,1.1311419,427.09067
0.85267144,107889.02,54.285828,348.1718,129.77416372299194,100,1.6092813,100.0,0.070532754,20014,6.4849855e-06,88.32781,1.9992939,1000,,483.64835,10,1.114419,-106.99210287563469,[ 0.811 -0.316 -0.554 -0.891 -0.288],9.284592,0.23947695,-7.6727524,380.98914,0.048196528,20.05,1.1249456,6.501642
