EpisodesSoFar,InitialReturnMean,EmpiricalD2,MaxIW,J_sample_variance,ReturnStepMax,MeanEntropy,Weights,InitialReturnMax,MeanIW,EpLenMean,EpThisIter,MaxD2w0t,Iteration,ReturnMeanIW,EpRewMean,MinIW,InitialReturnMin,MeanD2w0t,Bound,TimeElapsed,StdIW,InitialBound,ReturnStepMaxmin,InitialReturnStd,TimestepsSoFar,StdD2w0t,MinD2w0t
100,1.2969971e-06,1.9802142,17.621162,64869.656,100.0,1.3648602,[-0.365 -0.68  -0.484 -0.253  0.   ],25.629276,1.321806,45.73,100,3.3109312,1,227.13853,-121.62483749719935,0.082906984,-16.882248,0.13619955,110.65052,6.3893656730651855,1.9204028,92.12742,93.704056,8.854463,4573,0.44729653,
200,-5.41687e-06,1.1072861,2.274734,2432.708,100.0,1.3412061,[-0.364 -0.675 -0.464 -0.282 -0.054],26.92894,1.049221,46.43,100,1.1946425,2,183.4091,-119.48955475420716,0.28453565,-17.085365,0.09807068,93.160126,19.374428033828735,0.3466153,87.76644,93.92375,9.525457,9216,0.30671504,
300,-3.3569336e-06,1.2001457,5.184274,5732.545,100.0,1.3678117,[-0.345 -0.649 -0.449 -0.281 -0.078],27.546852,1.0784593,47.43,100,1.4443142,3,180.86935,-118.8809026926084,0.3196236,-16.791458,0.10351742,87.96786,31.083173036575317,0.5767857,81.69481,94.03401,9.239786,13959,0.32091638,
400,-3.0517579e-06,1.1993498,3.5668118,5289.6807,100.0,1.3319186,[-0.366 -0.625 -0.441 -0.277 -0.051],25.981945,1.0619487,45.53,100,1.3294322,4,190.73248,-118.40147480887356,0.25941607,-16.967636,0.101392664,98.13287,43.29518222808838,0.46754196,90.94489,93.79901,8.511458,18512,0.32106984,
500,-2.708435e-06,1.1152626,2.797721,3276.4146,100.0,1.2992874,[-0.356 -0.622 -0.426 -0.287 -0.087],23.329254,1.0582172,44.95,100,1.2132882,5,191.47545,-119.41419715428582,0.38511428,-17.092636,0.095856145,101.96997,54.968085289001465,0.38122746,96.236855,93.83806,8.6306505,23007,0.3052225,
600,5.340576e-06,1.0363925,1.5643054,667.93915,100.0,1.2881092,[-0.365 -0.641 -0.441 -0.288 -0.12 ],50.214508,1.0278466,45.16,100,1.125764,6,184.10263,-118.13642395332012,0.5769546,-18.712051,0.09219789,90.07635,67.0911545753479,0.16135715,87.136795,93.76831,10.241836,27523,0.29265812,
700,4.005432e-06,9.305321,204.86583,2642917.5,100.0,1.3471882,[-0.361 -0.656 -0.445 -0.288 -0.131],23.9678,2.5968232,44.56,100,38.93232,7,388.28323,-117.47876198543281,0.018045632,-16.809647,0.3106853,158.66301,78.06706309318542,13.020277,91.111755,93.89875,8.378767,31979,1.4634917,
800,8.773804e-07,1.2636755,6.4596896,10185.982,100.0,1.3343725,[-0.374 -0.658 -0.468 -0.328 -0.072],38.18436,1.1249568,46.04,100,1.8699381,8,190.5746,-116.3995611515366,0.23058282,-16.97448,0.10663119,90.53751,92.77473020553589,0.7319667,82.26233,93.943665,11.15604,36583,0.33849746,
900,5.1116945e-06,1.4577221,8.005308,20551.455,100.0,1.367164,[-0.393 -0.643 -0.463 -0.34  -0.085],31.14989,1.1938949,44.48,100,2.089706,9,209.7922,-117.45217878975646,0.23105997,-17.939224,0.1095923,109.55408,104.17346525192261,1.0516427,94.08426,93.79646,9.156773,41031,0.3558433,
1000,5.8364867e-06,6.9976215,178.2647,2663105.2,100.0,1.353005,[-0.401 -0.689 -0.472 -0.351 -0.052],31.423424,2.4948058,47.38,100,23.852125,10,352.78137,-116.31455641089,0.016057046,-16.994194,0.4192536,128.02127,116.06936454772949,13.597356,75.45399,94.164246,10.231618,45769,1.6748403,
