EpThisIter,StdIW,TimeElapsed,InitialReturnMean,EpRewMean,InitialBound,EmpiricalD2,ReturnStepMax,ReturnMeanIW,EpLenMean,MaxD2w0t,MinIW,TimestepsSoFar,Bound,Weights,MeanD2w0t,J_sample_variance,EpisodesSoFar,MeanEntropy,ReturnStepMaxmin,InitialReturnStd,MaxIW,MinD2w0t,StdD2w0t,InitialReturnMin,InitialReturnMax,Iteration,MeanIW
100,1.1163428,9.147124290466309,-97.14614,-141.8229098366061,-100.546844,40.377804,100.0,-76.17121,46.09,469.74554,0.0013019436,4609,-89.53141,[ 0.579 -0.554  0.227  0.402  0.   ],0.86844,7076.3228,100,1.4183087,100.0,2.1648557,11.357442,,7.580417,-99.610085,-90.729195,1,0.71125853
100,0.86848116,26.490543365478516,-97.8967,-147.0328909257869,-101.43225,81.486435,100.0,-50.88376,50.47,622.8393,0.00025082685,9656,-63.84593,[ 0.54  -0.587  0.174  0.458 -0.001],0.93085235,4891.9595,200,1.3277391,100.0,1.6329179,24.077705,,8.642151,-99.62358,-91.13407,2,0.36977503
100,0.86352557,45.698445081710815,-97.84768,-156.6786657683649,-101.63136,67.228325,100.0,-59.283867,60.18,1426.3842,0.00284,15674,-71.85369,[ 0.398 -0.624  0.147  0.495 -0.091],1.3218273,4492.782,300,1.3544908,100.0,1.8692825,12.337502,,13.286297,-99.812515,-91.75704,3,0.50889516
100,0.84607506,67.66543912887573,-97.07339,-163.90956030262063,-100.99857,4.4381423,100.0,-84.63067,68.42,31.005245,0.0074292286,22516,-91.93915,[ 0.349 -0.659  0.127  0.362 -0.064],0.43479872,4436.8193,400,1.2983687,100.0,2.2022233,6.225135,,1.6134478,-99.72424,-89.25563,4,0.84125173
100,0.52289516,88.48291850090027,-97.360344,-158.58252120901193,-101.210556,88.929474,100.0,-43.127148,62.73,758.81445,0.00019219077,28789,-57.071793,[ 0.366 -0.741  0.161  0.329 -0.121],1.400544,1481.1273,500,1.2334963,100.0,2.274344,11.069918,,10.690937,-99.69183,-86.89398,5,0.27174407
100,1.239267,116.61892890930176,-96.2939,-179.54631350034106,-100.659874,106.138115,100.0,-64.766525,85.22,977.5611,3.6270808e-06,37311,-78.59893,[ 0.275 -0.744  0.12   0.295 -0.185],2.2216785,8688.729,600,1.1959094,99.98864,3.0862074,26.71047,,15.6744585,-99.771484,-86.62021,6,0.5329959
100,0.8321019,140.88901090621948,-97.19877,-170.0947440286578,-101.31865,75.98569,100.0,-57.18412,74.5,1265.8395,5.103935e-05,44761,-73.59262,[ 0.338 -0.677  0.134  0.346 -0.223],2.4020994,2957.01,700,1.099493,100.0,2.206309,13.513839,,23.11754,-99.77434,-91.70098,7,0.4921036
100,1.087621,165.9868609905243,-97.15987,-174.66446762807308,-101.40371,98.04052,100.0,-64.06051,79.17,610.37964,0.00031937982,52678,-77.10121,[ 0.334 -0.814  0.136  0.341 -0.319],1.7993551,6593.8403,800,1.1033776,99.99711,2.7163641,12.767862,,11.712638,-99.837494,-87.28717,8,0.5275579
100,1.2742873,193.0312898159027,-96.8516,-191.3166287097865,-101.50709,47.459793,100.0,-70.256256,97.46,872.75726,0.0005043237,62424,-81.55159,[ 0.246 -0.786  0.108  0.274 -0.316],1.9484575,6068.8706,900,1.0848153,100.0,2.8237126,24.463173,,14.400595,-99.84772,-87.36249,9,0.59890234
100,1.0149562,222.91468739509583,-96.16751,-222.21583071983707,-101.57409,41.96586,100.0,-66.050354,128.43,424.50116,0.0017486432,75267,-78.12649,[ 0.214 -0.781  0.073  0.27  -0.334],2.5262673,3675.5364,1000,1.1337543,100.0,3.0941012,19.323263,,10.555013,-99.78247,-87.35886,10,0.5597519
