MaxD2w0t,InitialReturnMean,ReturnMeanIW,EpisodesSoFar,MaxIW,ReturnStepMaxmin,Bound,EntropyCoefficient,MeanIW,EpLenMean,Iteration,InitialReturnStd,InitialReturnMax,InitialBound,MinD2w0t,StdD2w0t,StdIW,EpThisIter,MeanEntropy,MinIW,Weights,J_sample_variance,MeanD2w0t,EpRewMean,EmpiricalD2,InitialReturnMin,ReturnStepMax,TimeElapsed,TimestepsSoFar
7.2885604,-4.119873e-06,285.21268,100,13.384868,92.833694,385.56982,100.0,1.2710005,35.09,1,10.794412,33.495453,341.02942,,0.66355646,1.4405227,100,1.4573671,0.05575818,[-0.822 -0.493 -0.474 -0.749  0.   ],88743.89,0.16143276,-108.1894935537418,2.9616685,-16.371025,100.0,7.137312650680542,3509
15.759186,2.2888183e-07,279.80933,200,17.882599,93.33,361.3871,100.0,1.4592316,37.4,2,14.367646,58.11157,320.75476,,0.7502665,2.1079092,100,1.3892149,0.0075130537,[-0.826 -0.485 -0.425 -0.769  0.038],107804.62,0.16580765,-106.02957725957503,2.9496772,-16.549927,100.0,18.01276159286499,7249
203.4364,-2.0217894e-06,500.06607,300,301.84848,93.293945,521.68567,100.0,3.4092288,37.54,3,12.922104,36.064247,315.7339,,3.6472876,25.930227,100,1.3628117,0.0028341652,[-0.791 -0.546 -0.45  -0.766 -0.03 ],8944566.0,0.28181046,-107.10259145379894,5.358832,-18.008804,100.0,28.24678945541382,11003
7.6493177,-4.3869018e-06,241.44221,400,12.296234,93.32097,333.32214,100.0,1.2856444,37.51,4,13.296493,38.04485,312.08835,,0.4773522,1.7378938,100,1.3271465,0.013735976,[-0.843 -0.512 -0.419 -0.788 -0.056],59700.39,0.123596214,-106.51015550461806,3.0239968,-16.678833,100.0,39.291821241378784,14754
5.6769395,-3.2424928e-06,226.64362,500,16.823164,93.549255,318.50024,100.0,1.1479915,38.34,5,15.597565,68.62803,298.93234,,0.47226033,1.1710932,100,1.3228495,0.0807277,[-0.799 -0.492 -0.417 -0.813 -0.092],44845.29,0.12537493,-104.49069377662669,2.5693018,-20.369324,100.0,49.5921835899353,18588
25.0358,1.2969971e-06,295.6177,600,22.157806,93.41344,351.52026,100.0,1.5617918,38.64,6,11.6624975,24.858158,304.65656,,1.2345357,2.9395962,100,1.1821284,0.013785766,[-0.79  -0.51  -0.382 -0.814 -0.096],211374.12,0.26223552,-107.93293091281085,6.00332,-18.1586,100.0,59.91525483131409,22452
288.7106,-1.9836425e-06,415.95325,700,276.3905,93.63987,392.27423,100.0,2.3470888,39.3,7,15.123052,39.12666,280.34302,,6.8570204,14.844478,100,1.137702,0.023652881,[-0.781 -0.561 -0.408 -0.831 -0.237],5738460.5,0.4901007,-105.32679706951215,7.9347105,-20.387115,100.0,71.00302505493164,26382
7.918301,1.7166137e-06,230.49973,800,21.323732,93.60835,305.55573,100.0,1.26974,39.07,8,13.445049,47.402275,277.15356,,0.5957668,1.7290187,100,1.2207032,0.09988888,[-0.727 -0.509 -0.352 -0.803 -0.281],62158.223,0.14984356,-105.32579566689806,2.9022827,-17.392883,100.0,82.54591679573059,30289
1018958.4,2.822876e-06,14519.326,900,16521.197,94.02698,9688.556,100.0,83.29736,42.18,9,15.439316,47.969624,267.3507,,20848.783,851.051,100,1.2640574,2.6058708e-05,[-0.693 -0.535 -0.357 -0.827 -0.198],20680954000.0,1068.3607,-104.88106980780555,32217.557,-21.432579,100.0,94.55860877037048,34507
308.89758,1.8692017e-06,384.0049,1000,233.38939,94.00888,373.75494,100.0,2.3929625,41.47,10,13.521899,41.354607,272.8304,,7.6368685,13.490776,100,1.2767307,0.006190693,[-0.723 -0.558 -0.274 -0.857 -0.155],3597540.0,1.0435594,-103.49090082802928,55.60398,-20.486473,100.0,107.47547245025635,38654
1938.6838,3.8146973e-07,646.2534,1100,479.4284,94.1203,533.1232,100.0,4.935198,42.74,11,14.060088,33.14227,268.53992,,32.216354,39.79318,100,1.2618395,0.00039743708,[-0.739 -0.542 -0.309 -0.901 -0.142],20828290.0,2.3021004,-104.27926803667826,65.62158,-20.582153,100.0,119.13991618156433,42928
