InitialReturnMax,MeanEntropy,TimeElapsed,J_sample_variance,Iteration,InitialReturnStd,ReturnStepMax,EmpiricalD2,EpLenMean,MinIW,TimestepsSoFar,InitialReturnMean,InitialBound,EntropyCoefficient,ReturnStepMaxmin,MaxIW,EpRewMean,MaxD2w0t,Bound,MeanD2w0t,EpisodesSoFar,MeanIW,StdD2w0t,EpThisIter,StdIW,ReturnMeanIW,InitialReturnMin,MinD2w0t,Weights
-45.291973,1.334368,8.254283666610718,3325.011,1,12.600159,100.0,107.518974,35.4,4.51543e-06,3540,-79.2192,-67.337326,10.0,99.00072,41.902065,-107.5568281044892,1352.3693,-31.105692,1.208795,100,0.41132945,12.799521,100,1.2293174,-29.728607,-95.935974,,[-0.563 -1.093 -0.809 -1.04   0.   ]
-38.16237,1.3260527,27.2958927154541,6183.9453,2,14.076377,100.0,8.586985,41.12,0.011100831,7652,-74.65611,-63.630882,10.0,99.0,23.33071,-106.59411599351793,30.429895,-48.33731,0.43730867,200,0.7073324,1.9531505,100,1.1750455,-55.657063,-95.20505,,[-0.615 -1.116 -0.752 -1.006 -0.085]
-32.74528,1.2833217,43.663596630096436,9676.442,3,14.114814,100.0,121.6958,40.6,0.00022556803,11712,-74.74529,-63.834373,10.0,99.0,12.1212635,-106.26112260983038,1334.3792,-34.08103,1.3119256,300,0.42684165,14.441331,100,1.170963,-33.69274,-95.61196,,[-0.615 -1.133 -0.728 -1.071 -0.093]
-28.257542,1.2803924,60.42057943344116,9573.144,4,15.784989,100.0,23.674622,42.73,0.003160017,15985,-72.53997,-62.072132,10.0,99.0,14.042606,-104.94667413166731,220.60089,-47.60991,0.7636013,400,0.66555065,5.526707,100,1.4450231,-51.221428,-93.706894,,[-0.637 -1.173 -0.682 -1.043 -0.136]
-34.698746,1.2451108,77.35318756103516,5001.977,5,16.136787,100.0,33.382404,40.85,0.0006942726,20070,-73.24427,-62.72782,10.0,99.0,25.93956,-104.3929702488964,163.91228,-45.644306,0.9339045,500,0.61777914,5.1066113,100,0.9995553,-48.83313,-93.52584,,[-0.721 -1.141 -0.722 -1.073 -0.138]
-36.976067,1.1684505,93.36932492256165,2195.338,6,14.719433,100.0,16.172707,42.0,0.00048467482,24270,-73.02587,-62.89523,10.0,99.0,9.054279,-105.17329644000091,71.71992,-43.148785,0.8043328,600,0.5697029,4.174155,100,0.69493103,-46.105473,-94.901115,,[-0.74  -1.133 -0.747 -0.996 -0.174]
-32.264023,1.1645185,110.66553092002869,7752.462,7,15.4748335,100.0,36.359913,40.79,0.00013767161,28349,-74.51838,-65.15244,10.0,99.0,12.1797,-105.81218984043612,145.32816,-47.079777,0.7272522,700,0.67048985,4.5899515,100,1.1430006,-50.61285,-95.37408,,[-0.72  -1.109 -0.762 -0.931 -0.251]
-36.374626,1.2426436,127.04055738449097,5217.826,8,14.049994,100.0,25.33027,40.93,0.013356991,32442,-75.09008,-65.747505,10.0,99.0,10.511688,-107.0166996121829,92.36911,-45.75924,0.74709076,800,0.63327,3.8798482,100,1.0190264,-49.991383,-94.65718,,[-0.674 -1.113 -0.736 -0.999 -0.254]
-42.066864,1.19824,144.62233185768127,8849.042,9,14.011498,100.0,57.822906,39.39,0.00014678888,36381,-74.44153,-64.30436,10.0,99.0,19.2488,-104.98622610375321,722.46387,-37.44079,1.1076905,900,0.46488258,10.063787,100,1.1412275,-38.3278,-93.53424,,[-0.659 -1.064 -0.66  -0.961 -0.176]
-31.749954,1.2783222,160.8243179321289,2274.2424,10,15.677401,100.0,16.544994,38.53,0.011708111,40234,-75.58981,-65.94776,10.0,99.0,8.939109,-105.39832586326072,69.86813,-46.33165,0.55129963,1000,0.6450857,3.000363,100,0.60571337,-51.84199,-95.353386,,[-0.628 -1.06  -0.725 -0.975 -0.221]
