ReturnStepMaxmin,InitialReturnMin,TimestepsSoFar,InitialBound,InitialReturnStd,EmpiricalD2,EpLenMean,ReturnStepMax,EpThisIter,EpisodesSoFar,MeanEntropy,InitialReturnMean,MeanIW,MaxD2w0t,StdD2w0t,J_sample_variance,MinIW,InitialReturnMax,MaxIW,MeanD2w0t,EpRewMean,StdIW,TimeElapsed,ReturnMeanIW,Weights,Iteration,MinD2w0t,EntropyCoefficient,Bound
86.68869,-5.334259,1736,297.83212,3.4973137,1.343654,17.36,100.0,100,100,1.4531279,-4.196167e-06,1.1246465,1.7718447,0.20225467,73204.27,0.264661,12.306763,3.678525,0.038142845,-107.7164208577093,0.5765791,3.619925022125244,584.64935,[-0.718  0.851  0.951 -0.346  0.   ],1,,10.0,336.54144
86.42608,-4.363579,3409,329.01266,3.0254338,1.6251662,16.73,100.0,100,200,1.3682079,-2.822876e-06,1.367083,3.7186146,0.24253929,302646.8,0.1279774,11.284683,8.072874,0.044086337,-107.97212670137151,1.0893254,9.553345203399658,735.2517,[-0.719  0.896  0.941 -0.322  0.034],2,,10.0,441.59348
86.183975,-4.699478,5060,310.6223,3.7651873,1.1261339,16.51,100.0,100,300,1.3710499,-2.822876e-06,1.0384799,1.3872998,0.1863609,41100.766,0.3230756,26.010612,2.900293,0.034386385,-107.64884188792392,0.40036818,15.782680988311768,575.6579,[-0.731  0.942  0.912 -0.268 -0.051],3,,10.0,322.04785
85.88985,-4.08152,6673,331.06686,3.4929104,1.0381742,16.13,100.0,100,400,1.3566587,-7.858276e-06,1.0168066,1.0570416,0.1793319,8446.56,0.6069326,23.161186,1.5431807,0.032741193,-107.68211488516621,0.1766535,20.86861228942871,579.0159,[-0.735  0.925  0.901 -0.294 -0.048],4,,10.0,337.6938
86.70971,-4.5046997,8393,302.17847,2.9788916,1007.69775,17.2,100.0,100,500,1.2483025,-2.2888185e-06,13.604042,4234.493,67.7222,3348716800.0,4.572503e-07,16.450607,1340.1876,3.3075018,-108.46088042388998,130.67099,25.624903678894043,6199.414,[-0.753  0.924  0.894 -0.293 -0.062],5,,10.0,2920.609
86.09464,-4.8395844,10060,306.56717,3.8197577,78.58478,16.67,100.0,100,600,1.152605,-8.392334e-06,5.010477,403.15497,12.244648,212628110.0,2.3742296e-05,26.038849,247.42534,0.9449112,-107.5912695185966,29.188059,32.05235695838928,2557.045,[-0.82   0.78   0.846 -0.333 -0.17 ],6,,10.0,1241.0535
86.075966,-3.9237366,11714,364.53244,2.4282067,814.7978,16.54,100.0,100,700,1.1247289,6.8664554e-07,14.51988,6488.367,84.8583,3204604400.0,2.4146952e-05,8.361534,3007.348,4.338709,-107.919982092556,113.24882,38.510796546936035,7320.5747,[-0.841  0.787  0.773 -0.248 -0.266],7,,10.0,3874.8374
86.57799,-4.3889008,13409,292.9185,4.368725,1.0145253,16.95,100.0,100,800,1.11042,1.8692017e-06,1.0093981,1.035883,0.18208906,3021.8164,0.71648204,31.778736,1.3135071,0.034109864,-107.89267841242578,0.113759525,45.20984363555908,544.6064,[-0.846  0.7    0.73  -0.217 -0.294],8,,10.0,296.09668
86.86826,-4.5017014,15144,276.79526,3.926168,1.0713258,17.35,100.0,100,900,1.1095912,-7.5531007e-06,1.0423852,1.1456233,0.18708715,15036.521,0.43971622,23.553795,1.9242514,0.03546194,-107.87623732150364,0.26140562,50.166743755340576,544.6212,[-0.841  0.702  0.733 -0.213 -0.308],9,,10.0,288.9867
86.85996,-4.381172,16889,276.14575,4.113818,101.31873,17.45,100.0,100,1000,1.0585184,2.3651123e-06,3.985482,753.3208,7.9927597,137448700.0,0.0001836512,26.177292,235.95299,0.44061384,-108.46553564541813,24.970957,55.636672496795654,1940.1831,[-0.861  0.698  0.733 -0.209 -0.309],10,,10.0,842.4629
86.72253,-4.286728,18603,296.9598,3.2426882,1.1833249,17.14,100.0,100,1100,1.0622553,-4.196167e-06,1.0586163,1.4786204,0.1987084,61977.258,0.30346015,19.012817,4.587396,0.037316285,-108.38118108391325,0.501412,62.49522519111633,566.05774,[-0.81   0.774  0.779 -0.175 -0.361],11,,10.0,310.86984
86.34468,-4.186714,20301,296.23895,4.476102,1.2822716,16.98,100.0,100,1200,1.0565696,-1.3732911e-06,1.2250915,7.607102,0.21044868,420050.62,0.2686632,28.270111,16.771719,0.03793426,-107.46073816411848,1.6176591,67.63506889343262,633.17566,[-0.814  0.768  0.768 -0.164 -0.357],12,,10.0,344.0116
85.9334,-4.9105606,21943,307.39185,4.0577617,2.5098062,16.42,100.0,100,1300,1.0371248,-9.269715e-06,1.2748402,4.729984,0.3521716,734701.44,0.065220095,30.10139,12.306515,0.05819378,-107.276879554631,1.6544397,73.20761060714722,699.6917,[-0.822  0.792  0.765 -0.131 -0.362],13,,10.0,377.9331
86.426636,-4.441246,23611,314.99142,3.2998743,94.59617,16.68,100.0,100,1400,1.0515106,-5.4931643e-06,5.5790286,757.76404,7.967242,600143040.0,0.0012679318,14.099808,503.52768,0.40374282,-107.84940716625061,49.508205,79.05602240562439,2829.4927,[-0.846  0.797  0.732 -0.1   -0.382],14,,10.0,1478.809
86.045395,-4.044998,25286,301.0766,3.2826314,1.2064943,16.75,100.0,100,1500,1.062274,-6.8664554e-07,1.0995283,1.768692,0.2008007,70955.51,0.23665605,20.677422,3.896588,0.03714056,-108.51304832321992,0.53955925,85.64565515518188,599.67285,[-0.792  0.857  0.774 -0.07  -0.368],15,,10.0,330.22382
