ReturnStepMax,MeanD2w0t,InitialReturnMean,ReturnMeanIW,MinIW,InitialReturnMin,StdD2w0t,MaxIW,J_sample_variance,TimestepsSoFar,InitialReturnStd,Weights,Bound,EmpiricalD2,InitialReturnMax,InitialBound,MinD2w0t,MeanIW,MeanEntropy,EpLenMean,EpThisIter,Iteration,EpRewMean,EpisodesSoFar,ReturnStepMaxmin,StdIW,EntropyCoefficient,TimeElapsed,MaxD2w0t
100.0,0.09227045,-3.8146973e-07,209.0513,0.90878046,-2.4639435,0.2895635,1.1425959,48.96698,4609,2.1648557,[ 0.579 -0.554  0.227  0.402  0.   ],-103.25426,1.0017952,6.4169464,-103.57602,,1.0028561,1.4213486,46.09,100,1,-141.8229098366061,100,93.845825,0.043040503,10.0,6.624030351638794,1.0051534
100.0,0.09128464,-9.841919e-06,236.82788,0.4109546,-2.2249146,0.29561374,2.7272096,6745.608,8972,1.691009,[ 0.577 -0.55   0.227  0.4    0.002],-76.55005,1.1823225,6.996834,-84.32025,,1.0810206,1.4291325,43.63,100,2,-139.71913911066898,200,93.595276,0.44781083,10.0,19.255937099456787,1.245186
100.0,0.0907571,-1.9836425e-06,228.82047,0.42650414,-1.9830093,0.29173964,2.1330683,3336.2966,13388,1.536544,[ 0.59  -0.529  0.231  0.411  0.01 ],-81.05995,1.1150899,4.2302475,-86.15433,,1.0524315,1.421236,44.16,100,3,-140.5976359397788,300,93.632355,0.3434429,10.0,31.078407287597656,1.1438999
100.0,0.08406678,-5.4931643e-06,231.71617,0.85906255,-2.0370255,0.27798107,1.3058338,167.9034,17578,1.8546515,[ 0.569 -0.537  0.226  0.405  0.002],-79.245514,1.0044532,5.0570908,-80.316284,,1.010895,1.4200118,41.9,100,4,-138.06731205635546,400,93.401535,0.063776895,10.0,43.46508717536926,1.0209521
100.0,0.08969682,1.5258789e-07,231.16115,0.42223054,-2.1278687,0.29074398,3.74061,6319.399,21929,1.7309679,[ 0.575 -0.54   0.225  0.398  0.001],-86.45891,1.1257691,4.862915,-90.7074,,1.0510411,1.4266509,43.51,100,5,-139.60981158767635,500,93.58263,0.4459648,10.0,55.153786420822144,1.1869498
100.0,0.088021204,-5.7983398e-06,225.66154,0.62530875,-1.9551468,0.28491575,1.7391386,955.0593,26286,1.5721927,[ 0.554 -0.547  0.217  0.396  0.008],-83.235435,1.0354863,4.4237976,-85.67331,,1.0233897,1.423742,43.57,100,6,-139.89022484179182,600,93.5786,0.1827897,10.0,67.27242660522461,1.0538414
100.0,0.08376865,-6.6375733e-06,236.12544,0.6282725,-2.0234146,0.278458,1.5986491,1081.1549,30436,1.6894517,[ 0.554 -0.534  0.219  0.397  0.005],-72.9904,1.0384773,4.980339,-75.25207,,1.0198648,1.4217625,41.5,100,7,-137.75691572367393,700,93.361115,0.17734767,10.0,78.60080742835999,1.0486425
100.0,0.08113161,-1.0757446e-05,259.54135,0.53402776,-2.0607605,0.2784998,3.512662,8232.443,34352,1.662548,[ 0.563 -0.526  0.222  0.397  0.003],-45.179085,1.1152514,5.4842377,-52.216686,,1.0610342,1.4305536,39.16,100,8,-135.53520848522913,800,93.07788,0.45371452,10.0,89.56735873222351,1.1967566
100.0,0.101532586,3.8146973e-06,190.49599,0.90901,-2.030861,0.30215934,1.1276323,26.673676,39425,1.5695907,[ 0.528 -0.513  0.211  0.386  0.011],-124.13014,1.0012994,5.6369934,-124.3003,,1.0020521,1.4306364,50.73,100,9,-146.99877019505158,900,94.204666,0.03464821,10.0,102.69629120826721,1.0039833
100.0,0.09411644,4.272461e-06,209.54657,0.6433683,-2.134735,0.29326373,1.4478613,413.53827,44094,1.9195641,[ 0.528 -0.514  0.209  0.384  0.012],-98.32891,1.0113547,6.1592865,-99.8983,,1.0147345,1.4292455,46.69,100,10,-142.85460901776133,1000,93.88072,0.10985246,10.0,113.18984460830688,1.034404
