StdIW,MaxD2w0t,TimestepsSoFar,TimeElapsed,EpRewMean,Bound,Weights,MeanEntropy,ReturnMeanIW,InitialBound,EpLenMean,MinIW,MeanD2w0t,EntropyCoefficient,InitialReturnStd,InitialReturnMin,InitialReturnMean,J_sample_variance,ReturnStepMax,EpThisIter,MinD2w0t,EpisodesSoFar,ReturnStepMaxmin,MeanIW,Iteration,StdD2w0t,EmpiricalD2,MaxIW,InitialReturnMax
2.8359435,6.963913,5578,13.476696729660034,-151.3689476386113,236.22577,[ 0.74  -1.049  0.227  0.317  0.   ],1.4570829,218.3288,217.86812,55.78,0.07033859,0.18748322,100.0,2.49757,-2.565277,-1.0681152e-06,130883.555,100.0,100,,100,94.57265,1.3584222,1,0.59406143,3.921656,41.860176,9.139626
0.87756205,2.0864902,10827,36.252474308013916,-148.1166211127688,248.18683,[ 0.77  -0.988  0.236  0.296  0.038],1.468761,207.70683,231.76357,52.49,0.13077492,0.123432,100.0,2.343053,-2.6092072,7.171631e-06,14590.772,100.0,100,,200,94.356384,1.180708,2,0.36700505,1.8194023,5.684227,7.697975
18.500101,169.53267,16068,60.87945246696472,-148.03643168610006,328.93903,[ 0.811 -0.958  0.244  0.306  0.05 ],1.4530808,427.11584,231.25056,52.41,0.0028132724,0.60118455,100.0,2.484049,-2.3676605,-3.6621093e-06,7779013.0,100.0,100,,300,94.35083,2.5558016,3,3.8104076,29.134253,240.74768,8.549675
1.2518803,2.9376607,19994,84.30371904373169,-135.32429448536064,317.5654,[ 0.817 -0.777  0.229  0.362  0.034],1.466579,282.05136,293.47647,39.26,0.07283259,0.10105674,100.0,1.8848716,-2.3500824,-4.272461e-06,54232.566,100.0,100,,400,93.10625,1.2030181,4,0.36250874,2.3455088,7.850127,6.716934
0.30764943,1.2895387,24264,107.70016169548035,-138.62834618113482,281.12228,[ 0.855 -0.736  0.243  0.369  0.047],1.4889259,231.8718,276.2695,42.7,0.45938754,0.09056334,100.0,1.6921095,-2.4008636,1.0681152e-06,3243.9182,100.0,100,,500,93.50687,1.0356023,5,0.29677668,1.0967605,2.4398952,6.574524
1.3315606,4.2704644,28691,128.27385663986206,-140.23435849839424,287.18518,[ 0.859 -0.739  0.233  0.359  0.07 ],1.5319264,248.1198,271.41882,44.27,0.119301826,0.114028014,100.0,1.9335157,-2.0445862,-3.0517579e-06,46178.184,100.0,100,,600,93.66458,1.1710453,6,0.38204956,1.60437,12.060008,5.611084
3.2001908,11.3343,32877,151.47617721557617,-138.09672923395865,315.90005,[ 0.909 -0.738  0.225  0.331  0.113],1.5118881,308.56903,284.90466,41.86,0.0028257258,0.15528353,100.0,1.7382495,-1.9734573,2.9754638e-06,234682.33,100.0,100,,700,93.40198,1.4750183,7,0.6196719,5.542069,32.703716,4.9731674
6.396898,11.622973,36936,171.0166687965393,-136.76128574922882,318.6029,[ 0.862 -0.826  0.221  0.381  0.093],1.5748314,305.0026,294.13275,40.59,0.03254493,0.15304941,100.0,1.833202,-2.060379,1.2969971e-06,492068.6,100.0,100,,800,93.26134,1.5557843,8,0.6067657,4.4326005,70.33166,5.445038
1.2936068,3.1260724,42026,195.04436564445496,-147.04777159546168,267.95477,[ 0.813 -0.863  0.202  0.391  0.156],1.6036654,221.83737,248.39478,50.9,0.16037299,0.13186099,100.0,1.643815,-2.0257645,-1.0681152e-06,32564.258,100.0,100,,900,94.22209,1.2328907,9,0.40404516,2.1623683,7.626628,4.9053345
0.32520038,1.3266646,47559,220.97934532165527,-150.43113267452017,238.95941,[ 0.781 -0.926  0.202  0.391  0.185],1.5859761,181.87573,235.2439,55.33,0.40738055,0.11617793,100.0,2.184676,-3.0427399,4.8828124e-06,1646.8856,100.0,100,,1000,94.56239,1.0756524,10,0.32979897,1.0948982,2.5690055,5.0507965
72.28131,722.33435,52799,243.81574392318726,-148.02022321083695,610.87384,[ 0.808 -0.928  0.198  0.392  0.167],1.4920158,904.5381,244.42737,52.4,0.00029227944,1.1929082,100.0,2.2993054,-2.7170944,4.5013426e-06,34553708.0,100.0,100,,1100,94.35037,9.453484,11,11.829072,81.96616,746.1597,7.1416245
