MeanD2w0t,TimeElapsed,StdD2w0t,ReturnStepMaxmin,EntropyCoefficient,StdIW,MinD2w0t,MaxIW,EpLenMean,Weights,InitialReturnMean,J_sample_variance,InitialReturnStd,InitialBound,MeanIW,InitialReturnMin,ReturnStepMax,EpRewMean,InitialReturnMax,EpisodesSoFar,MaxD2w0t,Bound,MinIW,MeanEntropy,Iteration,TimestepsSoFar,EpThisIter,ReturnMeanIW,EmpiricalD2
0.05333527,243.27532172203064,0.2309738,90.62662,100.0,0.25915006,,1.9032809,25.38,[ 0.937 -0.496 -0.512  0.398 -0.281],-7.6293946e-07,7197.346,1.959605,389.69012,1.0592417,-2.898735,100.0,-118.94832004252054,8.500175,1800,1.3570414,399.33212,0.36403763,1.1066624,18,39553,100,388.75934,1.08052
0.057814874,257.6853218078613,0.25746638,90.43581,100.0,0.72367233,,5.576131,24.66,[ 0.936 -0.488 -0.51   0.407 -0.312],-3.3569336e-06,48630.773,1.9465665,402.4932,1.1027477,-3.4245377,100.0,-117.92650428828249,5.510193,1900,2.085987,422.2605,0.17892915,1.1223009,19,42019,100,411.74112,1.3931623
0.3443733,270.1952726840973,6.398256,89.7887,100.0,24.017637,,310.0118,22.93,[ 0.919 -0.485 -0.494  0.371 -0.297],4.119873e-06,50110708.0,1.6029515,444.05865,3.3474982,-3.0892715,100.0,-117.072593838113,4.6376724,2000,448.79272,817.2987,0.020208256,1.1999818,20,44312,100,1121.4341,26.557924
0.06391686,288.02520084381104,0.26690766,91.230255,100.0,0.66441137,,6.2960587,27.61,[ 0.917 -0.423 -0.485  0.438 -0.219],4.5776366e-07,40619.95,1.7943052,368.8322,1.0881557,-2.9474487,100.0,-121.06628768954461,5.0881042,2100,1.8762947,391.80267,0.24898756,1.2277833,21,47073,100,369.51047,1.5264466
0.051590253,302.0349793434143,0.2234029,90.577736,100.0,0.16518137,,1.5614064,25.32,[ 0.969 -0.438 -0.511  0.451 -0.191],-1.6326905e-05,3091.8193,1.5763177,406.81482,1.0128638,-2.4300308,100.0,-118.98499660413623,4.9847717,2200,1.0869334,408.80865,0.52746946,1.2158048,22,49605,100,376.03656,1.0268915
0.068910725,316.2021267414093,0.30787805,90.84627,100.0,1.6645514,,21.478827,26.26,[ 0.968 -0.442 -0.513  0.464 -0.203],6.1798096e-06,228753.19,1.5808759,391.91827,1.1880621,-2.751236,100.0,-120.18848840238648,7.8356705,2300,4.4603705,426.4145,0.16240536,1.236526,23,52231,100,415.76257,2.0437555
0.12459951,330.48326444625854,0.7396627,90.13896,100.0,3.7023075,,29.312544,23.93,[ 0.938 -0.453 -0.493  0.419 -0.182],-3.2806397e-06,1535098.9,1.5061285,425.70245,1.5385761,-2.612526,100.0,-117.98733143692351,4.752304,2400,31.529224,503.18628,0.0003722902,1.1318932,24,54624,100,576.02454,8.148791
6.823505,346.2259523868561,115.93956,90.35027,100.0,69.34684,,705.25903,24.43,[ 1.001 -0.43  -0.524  0.408 -0.287],6.2561035e-06,551839700.0,1.7013117,408.33374,7.844293,-3.1577148,100.0,-117.70353389699568,5.902321,2500,9132.446,1322.0973,8.568041e-05,1.1298287,25,57067,100,2735.5437,1892.3387
0.047613222,361.22005248069763,0.22594665,89.336,100.0,0.54953325,,4.0421047,21.49,[ 1.077 -0.384 -0.587  0.435 -0.289],9.07898e-06,45805.03,1.7264334,457.83066,1.0415956,-2.514183,100.0,-114.58459804232425,4.4185257,2600,1.6097542,470.84958,0.26165274,1.1445304,26,59216,100,453.7771,1.3208547
11.4577675,375.0483021736145,526.966,89.67177,100.0,95.50341,,980.8159,22.36,[ 1.104 -0.373 -0.589  0.417 -0.274],-2.2888185e-06,1074174200.0,1.7733397,448.24765,10.265192,-3.1506424,100.0,-115.28445943770893,6.0247116,2700,84694.71,2304.8015,5.5912085e-07,1.1272192,27,61452,100,3656.026,3244.3325
0.05028078,389.24978947639465,0.2354447,89.66017,100.0,0.7200298,,4.278516,22.32,[ 1.208 -0.357 -0.654  0.53  -0.292],-5.1879883e-06,63619.902,1.8179353,443.35202,1.1028723,-2.8000412,100.0,-115.19617638928379,4.232109,2800,2.0308697,464.78223,0.15017503,1.1213212,28,63684,100,453.30234,1.3747766
0.16798586,402.58732748031616,1.3067515,89.785034,100.0,5.3944635,,43.825787,22.62,[ 1.201 -0.339 -0.665  0.56  -0.298],-2.9754638e-06,3472168.0,1.4260876,439.1322,1.619657,-2.89859,100.0,-115.53133855429905,3.8383942,2900,37.08967,539.6313,0.0016039781,1.0568688,29,65946,100,627.243,18.776047
0.0593523,417.05434942245483,0.2923653,89.46628,100.0,1.3639398,,9.883605,21.88,[ 1.129 -0.376 -0.642  0.581 -0.362],6.713867e-06,263425.66,1.4362501,440.15457,1.1107625,-2.4833908,100.0,-115.23894708038475,5.401848,3000,3.4386528,469.47784,0.050849613,1.0479125,30,68134,100,472.68533,2.4910016
0.050536532,431.2706594467163,0.2295902,89.94861,100.0,0.3940328,,2.563874,23.21,[ 1.189 -0.379 -0.668  0.58  -0.371],-1.6021728e-05,20531.559,1.5276575,417.09808,1.050012,-2.813919,100.0,-116.25422646327192,3.4431229,3100,1.5556993,430.9092,0.44943634,1.0946546,31,70455,100,420.3936,1.1429551
4.058171,445.81396222114563,100.47293,90.300156,100.0,122.74562,,1561.9944,24.17,[ 1.186 -0.376 -0.664  0.568 -0.324],3.6621093e-06,1484247000.0,1.58827,405.22537,12.701935,-2.5934525,100.0,-117.22261332883835,3.977806,3200,12797.127,2992.1118,0.00022024654,1.0712146,32,72872,100,4115.632,872.01447
0.055066522,462.673376083374,0.27941477,88.97789,100.0,1.3479815,,13.57534,20.68,[ 1.194 -0.263 -0.652  0.469 -0.348],-7.858276e-06,216686.19,1.8999746,467.3159,1.2272716,-3.5153732,100.0,-113.39677795752466,5.297928,3300,6.026228,516.7856,0.14669979,1.127913,33,74940,100,528.0457,2.136105
0.04997396,475.63833260536194,0.24395277,89.066895,100.0,0.7039379,,5.889554,20.76,[ 1.187 -0.302 -0.659  0.463 -0.291],-3.967285e-06,78459.27,1.6953138,479.1548,1.0887133,-2.8933792,100.0,-113.48564859874031,4.420677,3400,2.1468627,493.93414,0.06475712,1.0839992,34,77016,100,484.32318,1.3477017
0.39613283,489.2900140285492,3.874293,89.78687,100.0,9.458125,,113.63382,22.52,[ 1.181 -0.291 -0.661  0.504 -0.335],8.31604e-06,11841178.0,1.7310551,433.09985,2.1651688,-3.1822052,100.0,-114.89823215179484,4.565468,3500,170.56822,654.4724,0.009699494,1.0871902,35,79268,100,833.2035,21.052637
0.11012707,502.2601549625397,0.69330746,89.49353,100.0,3.8471334,,45.104816,21.9,[ 1.127 -0.297 -0.64   0.588 -0.332],6.2561035e-06,1994014.4,1.5172092,455.1602,1.6282308,-3.563057,100.0,-115.0457926110339,3.7499313,3600,19.2976,597.98755,0.09881564,1.1709019,36,81458,100,664.6766,5.19255
0.08611535,516.2660694122314,0.47533834,90.03624,100.0,2.7283642,,24.66086,23.38,[ 1.112 -0.282 -0.59   0.533 -0.248],6.1035155e-07,683751.7,1.4644254,427.3176,1.2456169,-2.874977,100.0,-116.47633962001385,3.6472168,3700,12.072756,459.47128,0.005136919,1.1474783,37,83796,100,478.25397,4.8183722
0.05178307,530.0185050964355,0.24083483,89.684845,100.0,0.56580734,,3.925275,22.54,[ 1.066 -0.317 -0.58   0.568 -0.271],-4.653931e-06,42501.86,1.2548532,442.0267,1.1015905,-2.240944,100.0,-116.1587096591741,3.0590591,3800,2.064099,468.0492,0.24248645,1.1543013,38,86050,100,453.2749,1.38143
0.45559832,543.0120506286621,5.7324047,90.301636,100.0,13.963334,,120.40598,24.33,[ 1.043 -0.334 -0.582  0.599 -0.265],-6.4849855e-06,18957252.0,1.2361354,413.35583,3.322326,-2.2106705,100.0,-117.98060730042933,3.8686142,3900,348.33517,847.0124,3.5224057e-05,1.0456679,39,88483,100,1134.8599,68.6159
0.09291034,559.1513669490814,0.5852658,89.97067,100.0,4.0102286,,51.956512,23.32,[ 1.1   -0.261 -0.595  0.653 -0.373],-5.7983398e-06,1477558.5,1.2652918,424.0617,1.4714892,-2.195015,100.0,-116.94198767827282,3.704979,4000,22.426495,495.05145,0.018745046,1.0319175,40,90815,100,551.80084,5.1521654
0.4963893,574.771321773529,7.4408035,90.285736,100.0,23.381113,,238.8598,24.25,[ 1.076 -0.319 -0.606  0.632 -0.387],-5.340576e-06,62249156.0,1.2604096,403.02606,3.2014337,-2.5039368,100.0,-117.78543510583118,2.9522247,4100,797.69434,867.94116,1.3105502e-05,0.9388161,41,93240,100,1134.6766,65.64257
0.057752877,591.2701659202576,0.2973307,88.80853,100.0,1.3512182,,7.9691834,20.33,[ 1.159 -0.296 -0.635  0.573 -0.48 ],-5.569458e-06,296204.03,1.3983494,475.51227,1.127421,-2.4958344,100.0,-113.76128157622941,4.159233,4200,3.348565,506.701,0.028264679,0.92550135,42,95273,100,512.5621,2.642793
0.8287455,604.2504799365997,13.587427,88.99567,100.0,18.135122,,182.92879,20.75,[ 1.201 -0.29  -0.654  0.567 -0.494],-4.7302246e-06,50411200.0,1.3787681,459.6722,2.9704018,-2.5048065,100.0,-114.16988615639238,3.651863,4300,1112.3162,940.2203,0.0025236176,1.0332028,43,97348,100,1226.8481,152.82787
0.06716549,621.044960975647,0.3482621,89.13521,100.0,1.1742876,,9.641807,21.03,[ 1.283 -0.297 -0.704  0.593 -0.386],-2.3651123e-06,205065.66,1.5032445,465.11523,1.2492038,-2.5928345,100.0,-114.24325607950071,4.3034286,4400,5.009728,539.5541,0.089477696,1.0500368,44,99451,100,546.46985,2.4578464
0.04983514,633.8184132575989,0.23498856,89.52472,100.0,0.4828081,,3.0278597,21.97,[ 1.296 -0.328 -0.697  0.628 -0.369],2.5177003e-06,34045.504,1.495404,449.89893,1.1304032,-2.4390106,100.0,-115.05905100330827,3.5946274,4500,2.7614913,482.26715,0.093430206,0.99803054,45,101648,100,475.8163,1.2198412
0.07566998,644.6534597873688,0.38249597,89.89804,100.0,1.353863,,8.39807,22.96,[ 1.265 -0.318 -0.703  0.656 -0.421],2.670288e-06,222704.67,1.4606051,416.1657,1.2394966,-2.813774,100.0,-115.9705320166523,3.8559341,4600,8.007786,465.51196,0.02159066,1.0139687,46,103944,100,488.55832,2.6931858
0.078781106,658.2091226577759,0.40372294,89.40027,100.0,1.5620419,,12.881238,21.72,[ 1.241 -0.335 -0.696  0.699 -0.405],9.384155e-06,342052.88,1.3934478,452.50723,1.1892571,-3.374611,100.0,-114.92823181618144,2.7528229,4700,4.773049,489.8834,0.043983113,1.0500911,47,106116,100,502.13562,2.7336905
0.057035316,671.7109413146973,0.26100373,90.215546,100.0,1.0214522,,5.980095,23.84,[ 1.254 -0.332 -0.719  0.669 -0.369],-7.2479247e-06,114281.68,1.4058722,403.83414,1.1692576,-2.6996384,100.0,-116.63075012960785,3.192131,4800,3.0740218,451.00836,0.1922774,1.0764543,48,108500,100,447.84695,1.8279823
0.08221443,686.5379297733307,0.49852234,89.319916,100.0,2.2420974,,26.094143,21.5,[ 1.296 -0.33  -0.737  0.694 -0.342],4.348755e-06,706637.75,1.4486525,461.72937,1.4551172,-2.517128,100.0,-114.81087032790055,3.3494492,4900,15.630858,573.6531,0.0062398454,1.0527191,49,110650,100,605.9393,6.3146214
0.15517718,699.9869933128357,1.3908093,89.00302,100.0,5.8411484,,53.660465,20.71,[ 1.333 -0.281 -0.742  0.696 -0.366],1.197815e-05,5927306.5,1.3819536,471.25784,1.5194241,-2.9538574,100.0,-113.87370383185387,3.565979,5000,53.011143,602.016,0.004248978,1.0305839,50,112721,100,674.7535,20.386673
0.047198974,714.7334179878235,0.23336963,88.7108,100.0,0.55690545,,3.8668566,20.06,[ 1.432 -0.263 -0.77   0.681 -0.388],-3.0517577e-07,57717.35,1.5710051,487.585,1.0861436,-2.9563751,100.0,-113.230709713638,3.8821335,5100,1.8293171,516.8709,0.123541705,1.0476081,51,114727,100,504.5328,1.2914044
0.047618784,727.0091099739075,0.22817685,89.17795,100.0,0.46966344,,3.6044385,21.07,[ 1.456 -0.266 -0.773  0.647 -0.371],1.1444092e-06,36010.67,1.350287,467.558,1.087142,-2.3553162,100.0,-114.01023095798404,3.275673,5200,1.7836839,490.63,0.18559724,1.0051404,52,116834,100,479.54877,1.210128
0.044906974,738.8975939750671,0.21392943,89.14482,100.0,0.32045344,,2.6798768,21.16,[ 1.439 -0.243 -0.754  0.615 -0.414],4.8065185e-06,16224.581,1.5807812,461.3189,1.0243464,-2.8734055,100.0,-114.07310754857494,3.998108,5300,1.2879757,470.5315,0.4716073,1.0419202,53,118950,100,450.97507,1.1124524
0.27770162,751.2021150588989,2.9392934,88.530396,100.0,7.054923,,65.51722,19.87,[ 1.439 -0.255 -0.759  0.608 -0.377],3.2043456e-06,8149587.5,1.6788565,497.34464,1.8289436,-3.9648438,100.0,-113.15811386483705,4.071701,5400,112.90958,678.5402,1.5436203e-06,0.9548218,54,120937,100,817.3787,48.462128
0.22841856,764.4612896442413,2.3135023,89.00794,100.0,5.4472938,,115.49586,20.77,[ 1.341 -0.276 -0.718  0.592 -0.464],6.2561035e-06,5113231.5,1.619118,468.8251,1.6505752,-2.942398,100.0,-113.62580781775934,3.6952515,5500,166.88115,626.09235,0.0043697157,1.0117177,55,123014,100,721.4406,17.73398
0.35004032,778.6190791130066,7.677695,88.510056,100.0,26.251879,,301.36728,19.86,[ 1.276 -0.283 -0.706  0.653 -0.407],-3.4332274e-06,116363310.0,1.3626648,489.3587,4.155397,-2.5460434,100.0,-113.43845506816088,3.5977707,5600,830.5355,1333.291,0.004789428,1.0422809,56,125000,100,1792.7173,49.07832
0.05482665,794.4142842292786,0.27439365,89.083786,100.0,1.37729,,11.09037,20.93,[ 1.279 -0.178 -0.668  0.637 -0.377],1.4038086e-05,289751.28,1.3836268,466.73206,1.188797,-2.542389,100.0,-114.23809477439706,3.555336,5700,3.424109,510.82745,0.02453804,1.0048876,57,127093,100,517.9283,2.2042499
0.048282254,806.8811860084534,0.22521658,89.528824,100.0,0.40716362,,3.2578344,22.06,[ 1.302 -0.145 -0.669  0.655 -0.414],3.967285e-06,24863.965,1.2938954,439.57996,1.0628294,-2.4206085,100.0,-115.18597024162365,3.4131165,5800,1.4375823,460.158,0.46010977,1.0407093,58,129299,100,447.33096,1.1692425
0.19844258,819.8286080360413,4.3015347,88.911026,100.0,19.287796,,197.42456,20.51,[ 1.299 -0.137 -0.671  0.64  -0.378],1.586914e-05,57350052.0,1.3647523,477.76236,2.8689055,-3.6474075,100.0,-113.71750261676566,3.2173843,5900,405.4255,882.98804,0.012093897,1.0720372,59,131350,100,1202.1309,20.374256
0.64694744,833.1342577934265,9.1108265,88.47543,100.0,18.612053,,190.00806,19.79,[ 1.321 -0.057 -0.631  0.626 -0.347],4.4250487e-06,64620700.0,1.4993186,506.6172,2.6643589,-3.3640747,100.0,-113.18792189395832,3.9863586,6000,505.04572,941.09247,0.004390998,1.0927746,60,133329,100,1201.2996,46.912403
0.07290742,846.5050120353699,0.4064466,88.6927,100.0,1.4472628,,10.902164,20.31,[ 1.342 -0.051 -0.669  0.548 -0.326],-6.408691e-06,386909.34,1.5875341,485.5368,1.2209295,-3.5895996,100.0,-113.41695647409577,3.3682022,6100,8.570137,537.8769,0.049215868,1.0614518,61,135360,100,555.71985,2.370103
0.05046674,858.5574326515198,0.26259372,87.914444,100.0,1.037331,,4.7659006,18.93,[ 1.326 -0.039 -0.663  0.474 -0.358],-1.6784668e-06,208965.25,1.9816797,521.35046,1.2878246,-3.061432,100.0,-111.84479855301664,5.6850815,6200,3.809004,622.92194,0.07198699,0.9759087,62,137253,100,625.761,1.9710716
0.081109755,872.640885591507,0.5145027,88.33145,100.0,3.33876,,46.54332,19.63,[ 1.305 -0.073 -0.676  0.486 -0.443],2.4414062e-06,2069920.0,1.6554476,491.69623,1.4879217,-3.5088577,100.0,-112.47122825914778,4.626831,6300,12.186971,636.2743,0.041189156,1.0576352,63,139216,100,686.52655,3.178806
0.058262452,887.973628282547,0.3134974,88.34947,100.0,1.7556531,,13.199573,19.75,[ 1.296 -0.102 -0.687  0.447 -0.361],-9.384155e-06,531750.0,2.1330247,497.02237,1.1494157,-4.7223663,100.0,-112.14675806495862,5.0035477,6400,4.900375,527.4277,0.032620016,1.011462,64,141191,100,533.19617,3.2025445
0.07331819,900.2731091976166,0.42314717,88.349815,100.0,3.469907,,32.24988,19.51,[ 1.251 -0.133 -0.681  0.449 -0.408],-4.9591063e-06,1855423.6,2.025003,498.86145,1.4012797,-3.1504211,100.0,-112.30670688057488,5.173332,6500,11.293213,617.4113,0.08399255,1.0986325,65,143142,100,638.3478,4.889962
0.33106366,914.9910879135132,3.65266,88.71258,100.0,14.076181,,135.84795,20.23,[ 1.188 -0.148 -0.674  0.456 -0.32 ],-3.2806397e-06,32776628.0,1.8935907,493.80307,2.4580338,-3.1803513,100.0,-113.04595884408556,4.818306,6600,158.57353,894.7312,5.554331e-07,0.97238976,66,145165,100,1066.6693,64.01048
0.054068375,929.8060350418091,0.2775725,88.57059,100.0,0.90894157,,7.553736,19.79,[ 1.029 -0.158 -0.638  0.456 -0.447],-3.2806397e-06,159836.5,1.6935593,483.5839,1.1137198,-3.0111008,100.0,-112.53040075669469,4.274788,6700,3.3789015,518.05347,0.19880384,1.0030085,67,147144,100,522.8293,1.7539821
0.07103666,941.670731306076,0.3917093,88.49143,100.0,1.3647021,,20.775307,19.8,[ 1.06  -0.155 -0.638  0.417 -0.416],2.2888185e-06,363043.6,1.9686449,494.45383,1.2073576,-3.3982544,100.0,-112.13778922199332,4.5603256,6800,4.492446,545.1001,0.027936826,0.9931802,68,149124,100,560.19763,2.219534
0.22041038,953.877810716629,3.4052038,88.23393,100.0,4.2322516,,90.03224,19.44,[ 1.051 -0.157 -0.655  0.376 -0.426],-3.2806397e-06,3435216.2,2.1653175,493.59067,1.7036325,-3.45549,100.0,-112.22600691938966,5.6795883,6900,301.59253,705.30554,0.0009014886,0.98250204,69,151068,100,791.4475,19.025934
0.04678953,968.4800560474396,0.2372799,88.3863,100.0,0.59097767,,4.280471,19.7,[ 0.97  -0.127 -0.587  0.337 -0.436],-6.8664554e-07,65049.566,2.1692517,491.6676,1.0791779,-3.4330444,100.0,-112.09487312231293,5.4827805,7000,2.7797647,520.3006,0.100492775,0.9841273,70,153038,100,507.9089,1.4172686
0.04225122,980.2584612369537,0.21372437,87.97218,100.0,0.3972507,,3.3631828,19.02,[ 1.    -0.141 -0.61   0.369 -0.435],1.1062622e-05,33378.902,1.808361,499.66794,1.061422,-3.6311493,100.0,-111.30561677706748,5.7133636,7100,1.6703507,521.00946,0.47705367,0.9987678,71,154940,100,516.67896,1.1796554
2.9620652,994.1883435249329,45.63231,88.85522,100.0,35.81402,,494.3889,20.45,[ 1.008 -0.141 -0.603  0.338 -0.42 ],-8.392334e-07,209400110.0,2.2304068,478.7873,4.2574325,-3.6747131,100.0,-112.35386177908295,5.9608917,7200,2768.7817,1146.3031,2.416924e-06,0.8801558,72,156985,100,1782.4562,322.54398
0.07734675,1008.1801180839539,0.59908545,87.72466,100.0,3.2255228,,28.903582,18.52,[ 0.979 -0.077 -0.623  0.272 -0.539],-6.866455e-06,2016919.0,2.3552258,512.98,1.4497769,-4.3945847,100.0,-110.16298399765195,6.134613,7300,32.467888,629.70496,0.0056181373,0.83915323,73,158837,100,695.7073,7.7873216
