InitialBound,InitialReturnStd,InitialReturnMin,InitialReturnMax,InitialReturnMean,StdD2w0t,MeanIW,TimeElapsed,EpRewMean,Bound,ReturnStepMax,MeanD2w0t,EpisodesSoFar,MinIW,Iteration,ReturnStepMaxmin,TimestepsSoFar,EpThisIter,EpLenMean,MinD2w0t,EntropyCoefficient,ReturnMeanIW,MaxD2w0t,MaxIW,Weights,J_sample_variance,StdIW,EmpiricalD2,MeanEntropy
-40.840225,10.108425,-14.931763,33.962734,-2.9373168e-06,0.25578368,1.0209243,180.5171995162964,-109.43515896600744,-38.905647,100.0,0.06950247,1800,0.73030305,18,92.63389,66816,100,34.38,,10.0,239.05333,1.0428998,1.6832411,[-0.643 -1.021 -0.771 -1.029  0.098],1002.4203,0.15061422,1.0171112,1.5244391
-57.530983,12.404271,-14.921234,37.86574,1.0299683e-06,0.2588571,1.0286604,190.4522602558136,-107.47176798365606,-54.569397,100.0,0.07095812,1900,0.77719456,19,92.85003,70311,100,34.95,,10.0,232.12878,1.0581475,2.1171868,[-0.654 -1.024 -0.777 -1.035  0.106],1537.0273,0.16808718,1.0179679,1.5292907
-58.909775,14.138307,-17.28572,46.123043,-8.010864e-07,0.25834048,1.0060042,200.89855360984802,-106.98204830189228,-58.147156,100.0,0.07160267,2000,0.815097,20,93.00157,73878,100,35.67,,10.0,220.79544,1.0127497,1.2140287,[-0.656 -1.013 -0.766 -1.033  0.11 ],341.67838,0.077575855,1.0071516,1.5338652
-41.803635,12.13744,-15.014702,36.49846,4.3869018e-06,0.2579961,1.0641342,209.64459681510925,-108.06596894090659,-34.906536,100.0,0.06952998,2100,0.50628334,21,92.6188,77265,100,33.87,,10.0,248.75497,1.116831,2.0975409,[-0.657 -1.015 -0.77  -1.036  0.115],2317.7664,0.23457788,1.0460199,1.5336139
-58.151836,11.933878,-16.162865,36.682457,2.7465821e-06,0.26256493,1.0134046,220.4482786655426,-108.0271633058013,-57.142094,100.0,0.07390846,2200,0.63662344,22,93.11528,80936,100,36.71,,10.0,216.15828,1.0298828,1.4794579,[-0.65  -1.031 -0.774 -1.055  0.115],749.35864,0.15405431,1.0208218,1.5335369
-69.675674,13.936127,-16.680878,57.92577,-4.4250487e-06,0.25689393,1.0128416,229.64884614944458,-107.09522461881403,-68.549095,100.0,0.07062122,2300,0.7481035,23,92.90292,84449,100,35.13,,10.0,226.11156,1.0211484,1.2391874,[-0.656 -1.033 -0.774 -1.049  0.115],471.5928,0.094940126,1.0080687,1.5237541
-89.6592,13.096923,-17.586288,73.74625,7.6293944e-08,0.26871035,1.0288386,241.90864968299866,-108.23279060836579,-87.29326,100.0,0.07717128,2400,0.5977791,24,93.31849,88259,100,38.1,,10.0,209.1564,1.0478312,1.8085389,[-0.654 -1.029 -0.772 -1.047  0.105],1048.0598,0.16018638,1.0215794,1.5306866
-62.544437,11.870856,-16.371552,42.2418,1.2969971e-06,0.2582317,1.0153944,251.27614450454712,-108.28788197084192,-61.030876,100.0,0.071353845,2500,0.778405,25,92.89414,91806,100,35.47,,10.0,226.55449,1.0395035,1.3646195,[-0.659 -1.015 -0.764 -1.038  0.112],608.6726,0.11130306,1.0135739,1.5326377
-79.46703,14.741748,-19.527344,44.50112,-3.7002565e-06,0.27485168,1.0859804,261.4708185195923,-106.97249583698112,-71.72828,100.0,0.07826247,2600,0.43359149,26,93.3024,95561,100,37.55,,10.0,221.3364,1.2099999,2.4750195,[-0.662 -1.025 -0.767 -1.038  0.114],4754.427,0.3848638,1.1123595,1.5383992
-73.580086,13.128994,-17.089813,60.250263,-2.2888185e-06,0.27003324,1.0831342,272.4810862541199,-107.4860343158596,-65.20873,100.0,0.07613433,2700,0.653082,27,93.16472,99245,100,36.84,,10.0,227.22281,1.1479965,2.3322806,[-0.678 -1.034 -0.763 -1.035  0.119],2453.939,0.27043784,1.0645518,1.5621682
-66.673775,12.987916,-16.006248,38.45197,-3.8146973e-07,0.26117933,1.0033615,283.7952437400818,-107.89946468785166,-66.35843,100.0,0.073486686,2800,0.8702872,28,93.11672,102913,100,36.68,,10.0,214.34497,1.0066446,1.1973172,[-0.691 -1.033 -0.765 -1.029  0.143],249.00565,0.052673053,1.0022753,1.5630734
-83.978485,12.950907,-17.41397,38.284744,-4.234314e-06,0.27131858,1.0402477,296.5094609260559,-106.92487938321926,-80.579735,100.0,0.07824232,2900,0.31056654,29,93.43102,106753,100,38.4,,10.0,207.00003,1.0728899,2.0964222,[-0.687 -1.033 -0.765 -1.027  0.144],1749.0522,0.2104958,1.0289065,1.5540259
-64.70086,13.903483,-17.25792,54.440445,1.5258789e-07,0.2692563,1.0751351,306.6236789226532,-106.66228067166153,-58.514183,100.0,0.075167604,3000,0.36567545,30,93.103806,110371,100,36.18,,10.0,227.90105,1.1559991,2.3370013,[-0.68  -1.051 -0.767 -1.037  0.135],3136.0625,0.33150575,1.0955757,1.5598841
