InitialReturnMean,InitialBound,MeanEntropy,TimestepsSoFar,MinD2w0t,MaxIW,EpLenMean,InitialReturnStd,EpThisIter,MeanD2w0t,MeanIW,InitialReturnMin,EpRewMean,InitialReturnMax,Iteration,StdIW,MinIW,Weights,EmpiricalD2,TimeElapsed,StdD2w0t,EpisodesSoFar,Bound,J_sample_variance,ReturnStepMaxmin,ReturnStepMax,ReturnMeanIW,MaxD2w0t
-1.2207031e-06,134.58858,1.4096123,3540,,34.677452,35.4,12.600159,100,0.15731308,1.6698583,-16.716774,-107.5568281044892,33.927227,1,4.2343273,0.007426133,[-0.563 -1.093 -0.809 -1.04   0.   ],4.2802534,5.4509007930755615,0.68183255,100,188.20541,380030.66,92.924065,100.0,330.94623,9.511827
2.4032593e-06,132.54343,1.4010243,7111,,60.37571,35.71,12.686237,100,0.21219024,1.6703447,-16.365555,-107.92745525445578,44.500896,2,3.5852175,0.04730714,[-0.622 -1.073 -0.83  -0.971 -0.009],3.5075397,17.75884437561035,0.98027253,200,190.0349,609352.9,92.95534,100.0,366.23483,12.013417
-1.6403199e-06,125.8496,1.3807669,10847,,8.095226,37.36,10.386072,100,0.09943502,1.2810619,-16.158424,-109.9111712526502,27.996136,3,1.2088645,0.0872008,[-0.67  -1.064 -0.804 -1.01  -0.018],2.1313405,29.350939750671387,0.3600566,300,152.4376,34192.426,93.11639,100.0,257.7817,3.4005105
4.15802e-06,141.16687,1.4188328,14294,,16.50581,34.47,13.619748,100,0.11217588,1.3994197,-15.735855,-106.6706434396371,46.67198,4,1.9548805,0.15116833,[-0.644 -1.035 -0.809 -1.019 -0.038],2.5107381,40.187415599823,0.43816,400,173.84402,96702.76,92.810814,100.0,292.25934,4.6796184
-7.476807e-06,145.48102,1.4194925,17708,,2.2584028,34.14,12.427909,100,0.07026352,1.0626274,-14.827286,-107.85616935328761,41.82621,5,0.25574356,0.40713394,[-6.580e-01 -1.019e+00 -8.023e-01 -9.721e-01 -2.267e-04],1.0802808,50.90039348602295,0.2598539,500,153.6258,2346.5737,92.68159,100.0,244.0382,1.3652595
3.8146972e-08,157.39737,1.5200921,20974,,1014.58844,32.66,13.176197,100,1.3006775,8.014707,-15.043655,-106.2284386471573,37.014153,6,74.068275,0.0068607247,[-7.009e-01 -1.015e+00 -8.070e-01 -9.665e-01  5.661e-04],48.28162,60.26016616821289,16.75008,600,824.43585,133780050.0,92.49489,100.0,1384.503,993.51575
-1.6403199e-06,119.03285,1.5752002,24708,,436.64008,37.34,12.79403,100,1.4573255,7.67701,-16.096222,-108.57309472760306,46.39562,7,45.20833,0.004047353,[-0.739 -0.938 -0.72  -0.93   0.101],78.0162,73.626540184021,14.262661,700,492.47803,28646066.0,93.18463,100.0,1036.5272,774.01654
2.4414062e-06,98.4646,1.5354704,28792,,3.577327,40.84,12.833353,100,0.094927676,1.1375808,-17.797356,-107.71099279921404,38.345592,8,0.53565925,0.26120263,[-0.84  -0.937 -0.666 -0.93   0.156],1.2660865,88.12264394760132,0.32018915,800,111.30555,6995.1074,93.72522,100.0,207.5445,1.7142034
-6.8664554e-07,96.52631,1.525805,32924,,6.2522793,41.32,13.435495,100,0.101825036,1.1190443,-19.6511,-107.52153667769555,38.32219,9,0.7926019,0.075735286,[-0.873 -0.956 -0.694 -0.921  0.116],1.4856114,100.29494333267212,0.3462099,900,107.0626,16261.083,93.79567,100.0,204.98451,2.1877787
-1.0681152e-06,82.53531,1.5425737,37311,,3.5215135,43.87,13.374637,100,0.10138213,1.107629,-21.960396,-108.67369345529025,38.74856,10,0.5304832,0.30242038,[-0.915 -0.986 -0.694 -0.936  0.107],1.3033614,112.08769869804382,0.32952908,1000,95.51373,6944.747,94.045654,100.0,192.77745,1.6633128
8.773804e-07,101.86899,1.5162833,41239,,6.3434954,39.28,13.327761,100,0.09917398,1.1864798,-18.281166,-106.72374946777971,46.55816,11,0.95090336,0.13651225,[-0.941 -1.026 -0.703 -0.956  0.124],1.7204343,124.74683356285095,0.34552687,1100,118.88872,20183.105,93.56611,100.0,225.79893,2.382621
6.4849855e-06,110.79097,1.5025089,45089,,2.0436769,38.5,13.61529,100,0.0817062,1.0541775,-17.816193,-106.90621392551856,36.873257,12,0.24963443,0.38065684,[-0.913 -1.024 -0.702 -0.99   0.097],1.0873842,135.61901998519897,0.28326875,1200,117.2474,2088.0764,93.44643,100.0,208.65346,1.2052672
